"1splitHere46","5457590splitHere46","ObjectMapper objectMapper = new ObjectMapper();<newline46mondego>objectMapper.configure(SerializationConfig.Feature.INDENT_OUTPUT, true);<newline46mondego><newline46mondego>String originalJson = ...<newline46mondego>JsonNode tree = objectMapper .readTree(originalJson);<newline46mondego>String formattedJson = objectMapper.writeValueAsString(tree);<newline46mondego>"
"482splitHere46","5475564splitHere46","web.xml"
"483splitHere46","5475564splitHere46","<context-param><newline46mondego>    <param-name>com.sun.faces.numberOfLogicalViews</param-name><newline46mondego>    <param-value>15</param-value><newline46mondego></context-param><newline46mondego>"
"484splitHere46","5475564splitHere46","web.xml"
"485splitHere46","5475564splitHere46","<context-param><newline46mondego>    <param-name>javax.faces.STATE_SAVING_METHOD</param-name><newline46mondego>    <param-value>client</param-value><newline46mondego></context-param><newline46mondego>"
"486splitHere46","5475564splitHere46","javax.faces.ViewState"
"487splitHere46","5475564splitHere46","disabled"
"488splitHere46","5475564splitHere46","readonly"
"489splitHere46","5475564splitHere46","rendered"
"490splitHere46","5475564splitHere46","<h:form>"
"491splitHere46","5475564splitHere46","<html>"
"492splitHere46","5475688splitHere46","Map<String, String>"
"493splitHere46","5475688splitHere46","${param}"
"494splitHere46","5475688splitHere46","user"
"495splitHere46","5475688splitHere46","${param.user}"
"496splitHere46","5475688splitHere46","<c:if>"
"497splitHere46","5475688splitHere46","<%@taglib prefix=<doubleQuotes46>c<doubleQuotes46> uri=<doubleQuotes46>http://java.sun.com/jsp/jstl/core<doubleQuotes46> %><newline46mondego>...<newline46mondego><c:if test=<doubleQuotes46>${param.user > 0}<doubleQuotes46>><newline46mondego>    <table><newline46mondego>        ...<newline46mondego>    </table><newline46mondego></c:if><newline46mondego>"
"498splitHere46","5476127splitHere46","System.out.printf()"
"499splitHere46","5476127splitHere46","System.out.printf( <doubleQuotes46>%-3.2d %-20.20s\n<doubleQuotes46>, rs.getInt(<doubleQuotes46>season_number<doubleQuotes46>), rs.getString(<doubleQuotes46>title<doubleQuotes46>) );<newline46mondego>"
"500splitHere46","5476178splitHere46","<context:annotation-config/>"
"501splitHere46","5476178splitHere46","@Component"
"502splitHere46","5476178splitHere46","@Autowired"
"503splitHere46","5476333splitHere46","<td>"
"504splitHere46","5476333splitHere46","<inupt type=<doubleQuotes46>submit<doubleQuotes46>>"
"505splitHere46","5476333splitHere46","<input type=<doubleQuotes46>hidden<doubleQuotes46>>"
"506splitHere46","5476333splitHere46","<table border=1><newline46mondego>    <c:forEach items=<doubleQuotes46>${products}<doubleQuotes46> var=<doubleQuotes46>product<doubleQuotes46>><newline46mondego>        <tr><newline46mondego>            <td>${product.id}</td><newline46mondego>            <td>${product.description}</td><newline46mondego>            <td>${product.unitPrice}</td><newline46mondego>            <td><newline46mondego>                <form action=<doubleQuotes46>products<doubleQuotes46> method=<doubleQuotes46>get<doubleQuotes46>><newline46mondego>                    <input type=<doubleQuotes46>hidden<doubleQuotes46> name=<doubleQuotes46>id<doubleQuotes46> value=<doubleQuotes46>${product.id}<doubleQuotes46> /><newline46mondego>                    <input type=<doubleQuotes46>submit<doubleQuotes46> value=<doubleQuotes46>Add to cart<doubleQuotes46>/><newline46mondego>                </form><newline46mondego>            </td><newline46mondego>        </tr><newline46mondego>    </c:forEach><newline46mondego></table><newline46mondego>"
"507splitHere46","5476333splitHere46","doGet()"
"508splitHere46","5476333splitHere46","/products"
"509splitHere46","5476333splitHere46","String id = request.getParameter(<doubleQuotes46>id<doubleQuotes46>);<newline46mondego>// ...<newline46mondego>"
"510splitHere46","5476333splitHere46","method=<doubleQuotes46>get<doubleQuotes46>"
"511splitHere46","5476333splitHere46","method=<doubleQuotes46>post<doubleQuotes46>"
"512splitHere46","5476333splitHere46","doGet()"
"513splitHere46","5476333splitHere46","doPost()"
"514splitHere46","5476536splitHere46","getClass().getResourceAsStream(<doubleQuotes46>/file.txt<doubleQuotes46>)<newline46mondego>"
"515splitHere46","5476536splitHere46","getClass().getClassLoader().getResourceAsStream(<doubleQuotes46>file.txt<doubleQuotes46>)<newline46mondego>"
"516splitHere46","5476536splitHere46","ClassLoader.getResourceAsStream"
"517splitHere46","5476536splitHere46","getResourceAsStream"
"518splitHere46","5476665splitHere46","R = A - 2<A, N> N<newline46mondego>"
"519splitHere46","5476665splitHere46","A = <ax, ay> <newline46mondego>"
"520splitHere46","5476665splitHere46","B = <bx, by><newline46mondego>"
"521splitHere46","5476665splitHere46","N = <nx, ny> = <-bx, by><newline46mondego>"
"522splitHere46","5476665splitHere46","R = A - 2<A, N> N = ...<newline46mondego>"
"523splitHere46","5476665splitHere46","<A, N> = ax*nx + ay*ny = ax*(-bx) + ay*by = ay*by - ax*bx<newline46mondego>"
"524splitHere46","5476665splitHere46","R = <ax, ay> - 2*(ay*by - ax*bx) * N<newline46mondego>  = <ax, by> - <2*(ay*by - ax*bx)*nx, 2*(ay*by - ax*bx)*ny><newline46mondego>  = <ax, by> - <2*(ay*by - ax*bx)*(-bx), 2*(ay*by - ax*bx)*(by)><newline46mondego>  = < ax + 2*bx*(ay*by - ax*bx), ay - 2*by*(ay*by - ax*bx) ><newline46mondego>"
"525splitHere46","5476665splitHere46","B = < 0, 100 ><newline46mondego>"
"526splitHere46","5476665splitHere46","B = <0, 1><newline46mondego>"
"527splitHere46","5476665splitHere46","Vector length = sqrt( bx^2 + by^2 ) = sqrt( 0^2 + 1^2 ) = 1<newline46mondego>"
"528splitHere46","5476665splitHere46","N = <1, 0>  // for the left hand side wall<newline46mondego>N = <-1, 0> // for the right hand side wall<newline46mondego>"
"529splitHere46","5476667splitHere46","private MyInterface impl = new MyInterfaceImpl(){<newline46mondego>    public final MyInterface mock = EasyMock.createMock(MyInterface.class);<newline46mondego>    @override //only the method you need to mock<newline46mondego>    public SomeType second(){<newline46mondego>        return mock.second();        <newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>@Test<newline46mondego>public void testFirst() {<newline46mondego>    // modify behaviour of .second()<newline46mondego>    EasyMock.expect(impl.mock.second()).andReturn(<doubleQuotes46>What I want<doubleQuotes46>).anyTimes();<newline46mondego>    impl.first();<newline46mondego>    assertSomething(...);<newline46mondego><newline46mondego>    // modify behaviour of .second()<newline46mondego>    EasyMock.expect(impl.mock.second()).andReturn(<doubleQuotes46>Now I want something else<doubleQuotes46>).anyTimes();<newline46mondego>    impl.first();<newline46mondego>    assertSomethingElse(...);<newline46mondego>}<newline46mondego>"
"530splitHere46","5476836splitHere46","indexOfAny()"
"531splitHere46","5476836splitHere46","java.lang.String"
"532splitHere46","5476836splitHere46","org.apache.commons.lang.StringUtils"
"533splitHere46","5476836splitHere46","StringUtils.XXX()"
"534splitHere46","5476836splitHere46","java.lang.String"
"535splitHere46","5476836splitHere46","final"
"536splitHere46","5476836splitHere46","StringUtils.indexOfAny(quantityInForPriceBandPopUp[i], ['z'])"
"537splitHere46","5476836splitHere46","Utils"
"538splitHere46","5476836splitHere46","java.sql.Date"
"539splitHere46","5476836splitHere46","java.util.Date"
"540splitHere46","5476836splitHere46","Date"
"541splitHere46","5476836splitHere46","Math"
"542splitHere46","5476836splitHere46","String"
"543splitHere46","5476836splitHere46","java.lang.Math"
"544splitHere46","5476836splitHere46","java.lang.String"
"545splitHere46","5476836splitHere46","org.apache.commons.lang.StringUtils"
"546splitHere46","5476836splitHere46","StringUtils"
"547splitHere46","5476865splitHere46","class Pdeuchler {<newline46mondego><newline46mondego>    static Pdeuchler db;<newline46mondego><newline46mondego>    String[][] bookdb;<newline46mondego><newline46mondego><newline46mondego>    public static String search(String term) {<newline46mondego>        String result = <doubleQuotes46><doubleQuotes46>;<newline46mondego>        int row = db.bookdb.length;<newline46mondego><newline46mondego>        outer_loop: // CHANGE #1 added a named loop<newline46mondego>        for (int i=0; i<db.bookdb.length; i++) {<newline46mondego>            for (int j=0; j<4; j++) {<newline46mondego>                if (term.equals(db.bookdb[i][j])) {<newline46mondego>                     row = i;<newline46mondego>                     //break; //REMOVED<newline46mondego>                     break outer_loop; // CHANGE #2 breaking to the outer_loop<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>        if (row == db.bookdb.length) {<newline46mondego>            result += <doubleQuotes46>Your search failed to return any results<doubleQuotes46>;<newline46mondego>        }<newline46mondego>        else {<newline46mondego>            for (int j=0; j<4; j++) {<newline46mondego>                result += db.bookdb[row][j] + <doubleQuotes46>    <doubleQuotes46>;<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>        return result;<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        db = new Pdeuchler();<newline46mondego>        db.bookdb = new String[10][4]; // title, author, publisher, year<newline46mondego><newline46mondego>        db.bookdb[0] = new String[] {<doubleQuotes46>Awesome Book<doubleQuotes46>,<doubleQuotes46>Stan<doubleQuotes46>,<doubleQuotes46>West<doubleQuotes46>,<doubleQuotes46>2001<doubleQuotes46>};<newline46mondego>        db.bookdb[1] = new String[] {<doubleQuotes46>Cool Story<doubleQuotes46>,<doubleQuotes46>Dan<doubleQuotes46>,<doubleQuotes46>North<doubleQuotes46>,<doubleQuotes46>2002<doubleQuotes46>};<newline46mondego>        db.bookdb[2] = new String[] {<doubleQuotes46>Brothers<doubleQuotes46>,<doubleQuotes46>North<doubleQuotes46>,<doubleQuotes46>North<doubleQuotes46>,<doubleQuotes46>2003<doubleQuotes46>};<newline46mondego>        db.bookdb[3] = new String[] {<doubleQuotes46>Never again!<doubleQuotes46>,<doubleQuotes46>Bob<doubleQuotes46>,<doubleQuotes46>West<doubleQuotes46>,<doubleQuotes46>2004<doubleQuotes46>};<newline46mondego>        db.bookdb[4] = new String[] {<doubleQuotes46>Howdy Partner<doubleQuotes46>,<doubleQuotes46>Stan<doubleQuotes46>,<doubleQuotes46>South<doubleQuotes46>,<doubleQuotes46>2005<doubleQuotes46>};<newline46mondego>        db.bookdb[5] = new String[] {<doubleQuotes46>What the StackOverflow?<doubleQuotes46>,<doubleQuotes46>Dan<doubleQuotes46>,<doubleQuotes46>North<doubleQuotes46>,<doubleQuotes46>2006<doubleQuotes46>};<newline46mondego>        db.bookdb[6] = new String[] {<doubleQuotes46>That's hilarious<doubleQuotes46>,<doubleQuotes46>Angie<doubleQuotes46>,<doubleQuotes46>South<doubleQuotes46>,<doubleQuotes46>2007<doubleQuotes46>};<newline46mondego>        db.bookdb[7] = new String[] {<doubleQuotes46>I like pie<doubleQuotes46>,<doubleQuotes46>Angie<doubleQuotes46>,<doubleQuotes46>East<doubleQuotes46>,<doubleQuotes46>2008<doubleQuotes46>};<newline46mondego>        db.bookdb[8] = new String[] {<doubleQuotes46>Bob writes a book<doubleQuotes46>,<doubleQuotes46>Bob<doubleQuotes46>,<doubleQuotes46>South<doubleQuotes46>,<doubleQuotes46>2009<doubleQuotes46>};<newline46mondego>        db.bookdb[9] = new String[] {<doubleQuotes46>The adverntures of Bob<doubleQuotes46>,<doubleQuotes46>Bob<doubleQuotes46>,<doubleQuotes46>North<doubleQuotes46>,<doubleQuotes46>2010<doubleQuotes46>};<newline46mondego><newline46mondego>        System.out.println(search(<doubleQuotes46>I like pie<doubleQuotes46>));<newline46mondego>        System.out.println(search(<doubleQuotes46>North<doubleQuotes46>));<newline46mondego>        System.out.println(search(<doubleQuotes46>Dan<doubleQuotes46>));<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"548splitHere46","5476865splitHere46","C:\junk>java Pdeuchler<newline46mondego>I like pie    Angie    East    2008<newline46mondego>The adverntures of Bob    Bob    North    2010<newline46mondego>What the StackOverflow?    Dan    North    2006<newline46mondego><newline46mondego>C:\junk><newline46mondego>"
"549splitHere46","5476865splitHere46","C:\junk>javac Pdeuchler.java<newline46mondego><newline46mondego>C:\junk>java Pdeuchler<newline46mondego>I like pie    Angie    East    2008<newline46mondego>Cool Story    Dan    North    2002<newline46mondego>Cool Story    Dan    North    2002<newline46mondego><newline46mondego>C:\junk><newline46mondego>"
"550splitHere46","5476865splitHere46","C:\junk>java Pdeuchler<newline46mondego>simple search:<newline46mondego>I like pie    Angie    East    2008<newline46mondego>Cool Story    Dan    North    2002<newline46mondego>Cool Story    Dan    North    2002<newline46mondego><newline46mondego>advanced search:<newline46mondego>I like pie    Angie    East    2008<newline46mondego><newline46mondego>Cool Story    Dan    North    2002<newline46mondego>Brothers    North    North    2003<newline46mondego>What the StackOverflow?    Dan    North    2006<newline46mondego>The adverntures of Bob    Bob    North    2010<newline46mondego><newline46mondego>Cool Story    Dan    North    2002<newline46mondego>What the StackOverflow?    Dan    North    2006<newline46mondego><newline46mondego><newline46mondego>C:\junk><newline46mondego>"
"551splitHere46","5476865splitHere46","public static String search2(String term) {<newline46mondego>    String result = <doubleQuotes46><doubleQuotes46>;<newline46mondego>    int row = db.bookdb.length;<newline46mondego><newline46mondego>    for (int i=0; i<db.bookdb.length; i++) {<newline46mondego>        for (int j=0; j<4; j++) {<newline46mondego>            if (term.equals(db.bookdb[i][j])) {<newline46mondego>                 row = i;<newline46mondego>                 for (int k=0; k<4; k++) {<newline46mondego>                     result += db.bookdb[i][k] + <doubleQuotes46>    <doubleQuotes46>;<newline46mondego>                 }<newline46mondego>                 result += <doubleQuotes46>\n<doubleQuotes46>;<newline46mondego>                 break; // breaks out of the INNER (j) loop<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    if (row == db.bookdb.length) {<newline46mondego>        result += <doubleQuotes46>Your search failed to return any results<doubleQuotes46>;<newline46mondego>    }<newline46mondego>    return result;<newline46mondego>}<newline46mondego>"
"552splitHere46","5476912splitHere46","TimeZone.getDefault()"
"553splitHere46","5476963splitHere46","byte"
"554splitHere46","5476963splitHere46","sbyte"
"555splitHere46","5476991splitHere46","int"
"556splitHere46","5476991splitHere46","0"
"557splitHere46","5476991splitHere46","10"
"558splitHere46","5476991splitHere46","1"
"559splitHere46","5476991splitHere46","if (k % 10) == 0"
"560splitHere46","5477203splitHere46","static void dumpResultSet(ResultSet rs) throws SQLException {<newline46mondego>    ResultSetMetaData md = rs.getMetaData();<newline46mondego>    int columnCount = md.getColumnCount();<newline46mondego>    PrintStream out = System.out;<newline46mondego>    while (rs.next()) {<newline46mondego>        out.print(<doubleQuotes46>{\n<doubleQuotes46>);<newline46mondego>        for (int i=1; i<=columnCount; i++) {<newline46mondego>            out.print(<doubleQuotes46>    <doubleQuotes46>);<newline46mondego>            out.print(md.getColumnLabel(i));<newline46mondego>            out.print(<doubleQuotes46>: <doubleQuotes46>);<newline46mondego>            out.print(rs.getObject(i));<newline46mondego><newline46mondego>            if (i<columnCount-1) {<newline46mondego>                out.print(<doubleQuotes46>, <doubleQuotes46>);<newline46mondego>            }<newline46mondego>            out.print(<doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>        }<newline46mondego>        out.print(<doubleQuotes46>}\n<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>Connection con = ...;<newline46mondego>DatabaseMetaData md = con.getMetaData();<newline46mondego><newline46mondego>dumpResultSet(md.getTables(null, null, null, new String[]{<doubleQuotes46>TABLE<doubleQuotes46>, <doubleQuotes46>VIEW<doubleQuotes46>}));<newline46mondego>dumpResultSet(md.getColumns(null, null, <doubleQuotes46>TABLE_NAME<doubleQuotes46>, null));<newline46mondego>dumpResultSet(md.getExportedKeys(null, null, <doubleQuotes46>TABLE_NAME<doubleQuotes46>));<newline46mondego>dumpResultSet(md.getImportedKeys(null, null, <doubleQuotes46>TABLE_NAME<doubleQuotes46>));<newline46mondego>dumpResultSet(md.getPrimaryKeys(null, null, <doubleQuotes46>TABLE_NAME<doubleQuotes46>));<newline46mondego>dumpResultSet(md.getIndexInfo(null, null, <doubleQuotes46>TABLE_NAME<doubleQuotes46>, false, true));<newline46mondego>"
"561splitHere46","5477231splitHere46","@XmlElementWrapper(name=<doubleQuotes46>groupOfNodes<doubleQuotes46>)<newline46mondego>@XmlElement(name=<doubleQuotes46>groupNode<doubleQuotes46>)   <newline46mondego>private List<GroupNode> groupNodesList;<newline46mondego>"
"562splitHere46","5477263splitHere46","first =newLink;"
"563splitHere46","5477263splitHere46","first.next=new Link;"
"564splitHere46","5477263splitHere46","first"
"565splitHere46","5477263splitHere46","first.next"
"566splitHere46","5477269splitHere46","setText()"
"567splitHere46","5477269splitHere46","label1.setText(nameField.getText()); <newline46mondego>"
"568splitHere46","5477407splitHere46","Socket"
"569splitHere46","5477407splitHere46","ServerSocket"
"570splitHere46","5477407splitHere46","public AcceptThread extends Thread {<newline46mondego>  public void run() {<newline46mondego>    ServerSocket ss = new ServerSocket(4646);<newline46mondego>    while (true) {<newline46mondego>      Socket newConnection = ss.accept();<newline46mondego>      ClientThread thread = new ClientThread(newConnection);<newline46mondego>      thread.start();<newline46mondego>    }<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"571splitHere46","5477420splitHere46","URL myTestURL = ClassLoader.getSystemResource(<doubleQuotes46>MY_TEST_FILE<doubleQuotes46>);<newline46mondego>File myFile = new File(myTestURL.toURI());<newline46mondego>File myTestDir = myFile.getParent();<newline46mondego>"
"572splitHere46","5477485splitHere46","protected StringBuilder setOne(){<newline46mondego>    StringBuilder builder=new StringBuilder();<newline46mondego>    try{<newline46mondego>        builder.append(<doubleQuotes46>Cool<doubleQuotes46>);<newline46mondego>        return builder.append(<doubleQuotes46>Return<doubleQuotes46>);<newline46mondego>    }finally{<newline46mondego>        builder.append(<doubleQuotes46>+1<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"573splitHere46","5477485splitHere46","protected StringBuilder setOne(){<newline46mondego>    StringBuilder builder=new StringBuilder();<newline46mondego>    try{<newline46mondego>        builder.append(<doubleQuotes46>Cool<doubleQuotes46>);<newline46mondego>        StringBuilder ret = builder.append(<doubleQuotes46>Return<doubleQuotes46>); // 1<newline46mondego>        return ret; // 2<newline46mondego>    }finally{<newline46mondego>        builder.append(<doubleQuotes46>+1<doubleQuotes46>); //3<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"574splitHere46","5477485splitHere46","builder"
"575splitHere46","5477485splitHere46","builder"
"576splitHere46","5477485splitHere46","+1"
"577splitHere46","5477485splitHere46","ret"
"578splitHere46","5477485splitHere46","builder"
"579splitHere46","5477502splitHere46","<TextView <newline46mondego>android:id=<doubleQuotes46>@id/textView01<doubleQuotes46><newline46mondego>android:text=<doubleQuotes46>Enter your initial text <doubleQuotes46><newline46mondego>android:layout_width=<doubleQuotes46>wrap content<doubleQuotes46><newline46mondego>android:layout_height=<doubleQuotes46>wrap content<doubleQuotes46><newline46mondego>></TextView><newline46mondego>"
"580splitHere46","5477502splitHere46","TextView textView = (TextView) findViewById(R.id.textView01);<newline46mondego>textView.setText(<doubleQuotes46>Enter whatever you Like!<doubleQuotes46>);<newline46mondego>"
"581splitHere46","5477596splitHere46","var imageUrl = new Java.Net.URL(GetMyImageUrl(imageNumber));<newline46mondego>var bitmap   = Android.Graphics.BitmapFactory.DecodeStream (imageUrl.OpenStream ());<newline46mondego>var image    = new Android.Graphics.Drawables.BitmapDrawable (bitmap);<newline46mondego>"
"582splitHere46","5477667splitHere46","OrderedComparator"
"583splitHere46","5477667splitHere46","class OrderedComparator implements Comparator<String> {<newline46mondego><newline46mondego>    List<String> predefinedOrder;<newline46mondego><newline46mondego>    public OrderedComparator(String[] predefinedOrder) {<newline46mondego>        this.predefinedOrder = Arrays.asList(predefinedOrder);<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public int compare(String o1, String o2) {<newline46mondego>        return predefinedOrder.indexOf(o1) - predefinedOrder.indexOf(o2);<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"584splitHere46","5477667splitHere46","List"
"585splitHere46","5477667splitHere46","Set"
"586splitHere46","5477667splitHere46","class Test {<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego><newline46mondego>        // Order (could be read from config file)<newline46mondego>        String[] order = { <doubleQuotes46>lorem<doubleQuotes46>, <doubleQuotes46>ipsum<doubleQuotes46>, <doubleQuotes46>dolor<doubleQuotes46>, <doubleQuotes46>sit<doubleQuotes46> };<newline46mondego><newline46mondego><newline46mondego>        List<String> someList = new ArrayList<String>();<newline46mondego><newline46mondego>        // Insert elements in random order.<newline46mondego>        someList.add(<doubleQuotes46>sit<doubleQuotes46>);<newline46mondego>        someList.add(<doubleQuotes46>ipsum<doubleQuotes46>);<newline46mondego>        someList.add(<doubleQuotes46>sit<doubleQuotes46>);<newline46mondego>        someList.add(<doubleQuotes46>lorem<doubleQuotes46>);<newline46mondego>        someList.add(<doubleQuotes46>dolor<doubleQuotes46>);<newline46mondego>        someList.add(<doubleQuotes46>lorem<doubleQuotes46>);<newline46mondego>        someList.add(<doubleQuotes46>ipsum<doubleQuotes46>);<newline46mondego>        someList.add(<doubleQuotes46>lorem<doubleQuotes46>);<newline46mondego><newline46mondego><newline46mondego>        System.out.println(someList);<newline46mondego><newline46mondego>        Collections.sort(someList, new OrderedComparator(order));<newline46mondego><newline46mondego>        System.out.println(someList);<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"587splitHere46","5477667splitHere46","[sit, ipsum, sit, lorem, dolor, lorem, ipsum, lorem]<newline46mondego>[lorem, lorem, lorem, ipsum, ipsum, dolor, sit, sit]<newline46mondego>"
"588splitHere46","5477809splitHere46","file:///android_res"
"589splitHere46","5477809splitHere46","assets/"
"590splitHere46","5477809splitHere46","file:///android_asset"
"591splitHere46","5477934splitHere46","onPause()"
"592splitHere46","5477934splitHere46","onResume()"
"593splitHere46","5478247splitHere46","exclusion"
"594splitHere46","5478247splitHere46","com.example:foo-bar"
"595splitHere46","5478247splitHere46","<dependency><newline46mondego>  <groupId>com.example</groupId><newline46mondego>  <artifactId>foo-bar</artifactId><newline46mondego>  <version>1.2.3</version><newline46mondego>   <exclusions><newline46mondego>     <exclusion><newline46mondego>        <groupId>org.slf4j</groupId><newline46mondego>        <artifactId>slf4j-api</artifactId><newline46mondego>     </exclusion><newline46mondego>   </exclusions><newline46mondego></dependency><newline46mondego>"
"596splitHere46","5478247splitHere46","$ mvn dependency:tree<newline46mondego>"
"597splitHere46","5478363splitHere46","AbsClass"
"598splitHere46","5478363splitHere46","public abstract class AbsClass<T extends A> {<newline46mondego>    protected List<T> list;<newline46mondego>}<newline46mondego><newline46mondego>public class ConClass extends AbsClass<B> {<newline46mondego>    list = new ArrayList<B>();<newline46mondego>}<newline46mondego>"
"599splitHere46","5478363splitHere46","public abstract class AbsClass<T extends A> {<newline46mondego>    protected List<T> list = new ArrayList<T>();<newline46mondego>}<newline46mondego><newline46mondego>public class ConClass extends AbsClass<B> {<newline46mondego>    //... other stuff ...<newline46mondego>}<newline46mondego>"
"600splitHere46","5478441splitHere46","jar -xvf gwt-dev.jar"
"601splitHere46","5478446splitHere46","private static final int MASKS[] = new int[] {<newline46mondego>1, 2, 4, 8, 16, 32, 64, 128};<newline46mondego>"
"602splitHere46","5478446splitHere46","int imageIndex;<newline46mondego>boolean colorSet = (yourByte & MASKS[imageIndex]) != 0;<newline46mondego>"
"603splitHere46","5478672splitHere46","JTextField tf = (JTextField) FrameUtils<newline46mondego>                    .getComponentById(<newline46mondego>                            instance.getContentPane(), <doubleQuotes46>reg_r<doubleQuotes46><newline46mondego>                                    + i);<newline46mondego>            Component c = (Component) getFocusOwner();<newline46mondego>            if (c == null || !tf.getName().equals(c.getName())) {<newline46mondego>            // JTextField is not focused/being edited, proceed with update<newline46mondego>            tf.setText(...);<newline46mondego>            }<newline46mondego>"
"604splitHere46","5478695splitHere46","String[] command = {<doubleQuotes46>/usr/bin/open<doubleQuotes46>, <doubleQuotes46>/Applications/Utilities/System Profiler.app<doubleQuotes46>};<newline46mondego>Process proc = Runtime.getRuntime().exec(command);<newline46mondego>int resultCode = proc.waitFor();<newline46mondego>if (resultCode != 0) {<newline46mondego>    throw new Exception(<doubleQuotes46>failed to open system profiler<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"605splitHere46","5478744splitHere46","SELECT g.filename, g.description,  g.uploadDate FROM Garbage g;<newline46mondego>"
"606splitHere46","5478744splitHere46","Garbage"
"607splitHere46","5478744splitHere46","filename"
"608splitHere46","5478744splitHere46","description"
"609splitHere46","5478744splitHere46","uploadDate"
"610splitHere46","5478744splitHere46","Object[]"
"611splitHere46","5478744splitHere46","Garbage"
"612splitHere46","5478744splitHere46","garbage[0].filename"
"613splitHere46","5478744splitHere46","SELECT g FROM Garbage g;<newline46mondego>"
"614splitHere46","5478744splitHere46","List<Garbage>"
"615splitHere46","5478744splitHere46","SearchEJB"
"616splitHere46","5478744splitHere46","public List<Garbage> findAllGarbage()<newline46mondego>"
"617splitHere46","5478744splitHere46","ResultsController"
"618splitHere46","5478744splitHere46","List<Garbage>"
"619splitHere46","5478744splitHere46","List<Garbage[]>"
"620splitHere46","5478744splitHere46","p:dataTable"
"621splitHere46","5478744splitHere46","<p:column sortBy=<doubleQuotes46>#{garbage.filename}<doubleQuotes46>>  <newline46mondego>  <f:facet name=<doubleQuotes46>header<doubleQuotes46>>  <newline46mondego>    <h:outputText value=<doubleQuotes46>Filename<doubleQuotes46> />  <newline46mondego>  </f:facet>  <newline46mondego>  <h:outputText value=<doubleQuotes46>#{garbage.filename}<doubleQuotes46> /><newline46mondego></p:column> <newline46mondego>"
"622splitHere46","5478744splitHere46","Object[]"
"623splitHere46","5478744splitHere46","Garbage"
"624splitHere46","5478744splitHere46","List<Garbage> gList = new ArrayList();<newline46mondego><newline46mondego>for (Object[] o: query.getResultList()) {<newline46mondego>  gList.add(new Garbage(o[0], o[1], o[2]);<newline46mondego>}<newline46mondego>"
"625splitHere46","5478744splitHere46","for (Object o: query.getResultList()) {         <newline46mondego>      Garbage tmpG = new Garbage();<newline46mondego>      tmpG.setFilename(o[0]);          <newline46mondego>      tmpG.setDescription(o[1]);<newline46mondego>      tmpG.setUploadDate(o[2]);<newline46mondego><newline46mondego>      gList.add(tmpG);<newline46mondego>    }<newline46mondego>"
"626splitHere46","5478884splitHere46","<newline46mondego>pointcut sampleCall(ByteBuffer bytes) :<newline46mondego>    execution(boolean com.example.Sample.myCall (String, String, String, ByteBuffer, ..))<newline46mondego>                    && args(String, String, String, bytes,..);<newline46mondego><newline46mondego>before(ByteBuffer bytes) : sampleCall(bytes) {<newline46mondego>    System.out.println(<doubleQuotes46>Before sample<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"627splitHere46","5479029splitHere46","String value = request.getParameter(<doubleQuotes46>radio1<doubleQuotes46>); <newline46mondego>"
"628splitHere46","5479155splitHere46","else if(i==2){ ... }"
"629splitHere46","5479155splitHere46","i"
"630splitHere46","5479155splitHere46","2"
"631splitHere46","5479155splitHere46","} else if(i==2){<newline46mondego>    System.out.println(<doubleQuotes46>ChoicePanel says i == <doubleQuotes46>+i);<newline46mondego>    model.setMessage(selection.getSelectedItem());<newline46mondego>    //model.setCurrentShapeType(selection.getSelectedItem());<newline46mondego>    model.resetComponents();<newline46mondego>    ++i; // Increment here<newline46mondego> }<newline46mondego>"
"632splitHere46","5479187splitHere46","break"
"633splitHere46","5479285splitHere46","ConnectionProvider"
"634splitHere46","5479285splitHere46","public Connection getConnection() throws SQLException {<newline46mondego>        DataSource ds = (DataSource) BeanFactory.getBean(<doubleQuotes46>dataSource<doubleQuotes46> + UserInfo.getDSName());<newline46mondego>        return ds.getConnection();<newline46mondego>}<newline46mondego>"
"635splitHere46","5479285splitHere46","ConnectionProvider"
"636splitHere46","5479285splitHere46","hibernate.connection.provider_class"
"637splitHere46","5479371splitHere46","@Path"
