"1splitHere46","6843305splitHere46","MouseEvent me = new MouseEvent(tree, 0, 0, 0, 100, 100, 1, false);<newline46mondego>for(MouseListener ml: tree.getMouseListeners()){<newline46mondego>    ml.mousePressed(me);<newline46mondego>}<newline46mondego>"
"2553splitHere46","6914096splitHere46","serialVersionUID"
"2554splitHere46","6914141splitHere46","@ManagedBean<newline46mondego>@EJBs({<newline46mondego>   @EJB(name=<doubleQuotes46>helloworld.HelloBean<doubleQuotes46>, type=SampleService.class)<newline46mondego>   // ... etc<newline46mondego>})<newline46mondego>public class ResourceProducerBean { }<newline46mondego>"
"2555splitHere46","6914204splitHere46","<uses-permission android:name=<doubleQuotes46>android.permission.INTERNET<doubleQuotes46> />"
"2556splitHere46","6914254splitHere46","String"
"2557splitHere46","6914254splitHere46","<doubleQuotes46>Hello World<doubleQuotes46>"
"2558splitHere46","6914254splitHere46","String"
"2559splitHere46","6914254splitHere46","AttributedString"
"2560splitHere46","6914254splitHere46","AttributedString"
"2561splitHere46","6914270splitHere46","Could not be defined due to: (jxl/format/CellFormat) bad major version at offset=6<newline46mondego>"
"2562splitHere46","6914279splitHere46","@Override<newline46mondego>@Loggable(value = LogLevel.TRACE)<newline46mondego>@Transactional<newline46mondego>public void updateBalance(String id, BigDecimal amount) {<newline46mondego>        Account acc = (Account) sessionFactory.getCurrentSession().get(Account.class, id, LockMode.UPGRADE);<newline46mondego>        acc.setBalance(acc.getBalance().subtract(amount));<newline46mondego>        save(acc);<newline46mondego>}<newline46mondego>"
"2563splitHere46","6914452splitHere46","assertTrue(a instanceof SomeClass)"
"2564splitHere46","6914491splitHere46","Proxy"
"2565splitHere46","6914491splitHere46","class MyInvocationHandler implements InvocationHandler {<newline46mondego>   Object invoke(Object proxy, Method method, Object[] args)  {<newline46mondego>     if(method.getName().equals(<doubleQuotes46>getValue1<doubleQuotes46>)) {<newline46mondego>       return new Integer(123);<newline46mondego>     } else if(method.getName().equals(<doubleQuotes46>setValue<doubleQuotes46>)) {<newline46mondego>           ...<newline46mondego>     }<newline46mondego>     ...<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>InvocationHandler handler = new MyInvocationHandler();<newline46mondego>IMyEntity e = (IMyEntity) Proxy.newProxyInstance(IMyEntity.class.getClassLoader(),<newline46mondego>                                                 new Class[] { IMyEntity.class },<newline46mondego>                                                 handler);<newline46mondego>"
"2566splitHere46","6914552splitHere46","import java.awt.*;<newline46mondego>import java.awt.event.*;<newline46mondego>import javax.swing.*;<newline46mondego>import javax.swing.text.*;<newline46mondego>import javax.swing.event.*;<newline46mondego>import javax.swing.border.*;<newline46mondego>import javax.swing.table.*;<newline46mondego><newline46mondego>public class TableEdit extends JFrame<newline46mondego>{<newline46mondego>    TableEdit()<newline46mondego>    {<newline46mondego>        JTable table = new JTable(5,5);<newline46mondego>        table.setPreferredScrollableViewportSize(table.getPreferredSize());<newline46mondego><newline46mondego>        JScrollPane scrollpane = new JScrollPane(table);<newline46mondego>        getContentPane().add(scrollpane);<newline46mondego><newline46mondego>        //  Use a custom editor<newline46mondego><newline46mondego>        TableCellEditor fce = new FiveCharacterEditor();<newline46mondego>        table.setDefaultEditor(Object.class, fce);<newline46mondego>    }<newline46mondego><newline46mondego>    class FiveCharacterEditor extends DefaultCellEditor<newline46mondego>    {<newline46mondego>        FiveCharacterEditor()<newline46mondego>        {<newline46mondego>            super( new JTextField() );<newline46mondego>        }<newline46mondego><newline46mondego>        public boolean stopCellEditing()<newline46mondego>        {<newline46mondego>        JTable table = (JTable)getComponent().getParent();<newline46mondego><newline46mondego>            try<newline46mondego>            {<newline46mondego>                String editingValue = (String)getCellEditorValue();<newline46mondego><newline46mondego>                if(editingValue.length() != 5)<newline46mondego>                {<newline46mondego>                    JTextField textField = (JTextField)getComponent();<newline46mondego>                    textField.setBorder(new LineBorder(Color.red));<newline46mondego>                    textField.selectAll();<newline46mondego>                    textField.requestFocusInWindow();<newline46mondego><newline46mondego>                    JOptionPane.showMessageDialog(<newline46mondego>                        null,<newline46mondego>                        <doubleQuotes46>Please enter string with 5 letters.<doubleQuotes46>,<newline46mondego>                        <doubleQuotes46>Alert!<doubleQuotes46>,JOptionPane.ERROR_MESSAGE);<newline46mondego>                    return false;<newline46mondego>                }<newline46mondego>            }<newline46mondego>            catch(ClassCastException exception)<newline46mondego>            {<newline46mondego>                return false;<newline46mondego>            }<newline46mondego><newline46mondego>            return super.stopCellEditing();<newline46mondego>        }<newline46mondego><newline46mondego>        public Component getTableCellEditorComponent(<newline46mondego>            JTable table, Object value, boolean isSelected, int row, int column)<newline46mondego>        {<newline46mondego>            Component c = super.getTableCellEditorComponent(<newline46mondego>                table, value, isSelected, row, column);<newline46mondego>            ((JComponent)c).setBorder(new LineBorder(Color.black));<newline46mondego><newline46mondego>            return c;<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String [] args)<newline46mondego>    {<newline46mondego>        JFrame frame = new TableEdit();<newline46mondego>        frame.setDefaultCloseOperation(EXIT_ON_CLOSE);<newline46mondego>        frame.pack();<newline46mondego>        frame.setLocationRelativeTo( null );<newline46mondego>        frame.setVisible(true);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2567splitHere46","6914560splitHere46","int maxVolume = audio.getStreamMaxVolume(AudioManager.STREAM_ALARM);<newline46mondego><newline46mondego>audioManager.setStreamVolume(AudioManager.STREAM_ALARM, maxVolume,AudioManager.FLAG_REMOVE_SOUND_AND_VIBRATE); <newline46mondego>"
"2568splitHere46","6914583splitHere46","JTextPane pane = new JTextPane();<newline46mondego>pane.setText(<doubleQuotes46>I've got to go\nI can stay, though.\nThree lines of text?<doubleQuotes46>);<newline46mondego>System.out.println(pane.getText());<newline46mondego><newline46mondego>System.out.println(<doubleQuotes46>\n\n\n removing! \n\n\n<doubleQuotes46>);<newline46mondego>Element root = pane.getDocument().getDefaultRootElement();<newline46mondego>Element first = root.getElement(0);<newline46mondego>pane.getDocument().remove(first.getStartOffset(), first.getEndOffset());<newline46mondego>System.out.println(pane.getText());<newline46mondego>"
"2569splitHere46","6914695splitHere46","LinearLayout view = (LinearLayout)LayoutInflater.from(this).inflate(R.layout.my_button, null);<newline46mondego>// or LinearLayout buttonView = (LinearLayout)this.getLayoutInflater().inflate(R.layout.my_button, null);<newline46mondego>Button myButton = (Button) view.findViewById(R.id.myButton);<newline46mondego>view.removeView(myButton);<newline46mondego><newline46mondego>LinearLayout mainView = (LinearLayout)this.findViewById(R.id.mainLayout);<newline46mondego>mainView.addView(myButton);<newline46mondego>"
"2570splitHere46","6914843splitHere46","m%20%E9"
"2571splitHere46","6914843splitHere46","%20"
"2572splitHere46","6914843splitHere46","%E9"
"2573splitHere46","6914843splitHere46","URLDecoder.decode(<doubleQuotes46>m%20%E9<doubleQuotes46>, <doubleQuotes46>ISO-8859-1<doubleQuotes46>)<newline46mondego>"
"2574splitHere46","6915075splitHere46","Pattern p = Pattern.compile(<doubleQuotes46>your regex here<doubleQuotes46>);<newline46mondego>"
"2575splitHere46","6915075splitHere46","useDelimiter(p)"
"2576splitHere46","6915075splitHere46","(null\\s)|(null\\(U\\)\\s)"
"2577splitHere46","6915187splitHere46","@Transactional"
"2578splitHere46","6915187splitHere46","propagation"
"2579splitHere46","6915187splitHere46","@Transactional"
"2580splitHere46","6915187splitHere46","REQUIRED"
"2581splitHere46","6915187splitHere46","@Transactional"
"2582splitHere46","6915228splitHere46","object.wait()"
"2583splitHere46","6915228splitHere46","synchronized(object)"
"2584splitHere46","6915228splitHere46","object.notify()"
"2585splitHere46","6915228splitHere46","object.notifyAll()"
"2586splitHere46","6915228splitHere46","object.wait()"
"2587splitHere46","6915228splitHere46","object.notify()"
"2588splitHere46","6915228splitHere46","object.notifyAll()"
"2589splitHere46","6915437splitHere46","orm.xml"
"2590splitHere46","6915437splitHere46","persistence.xml"
"2591splitHere46","6915437splitHere46","@TransactionManagement"
"2592splitHere46","6915437splitHere46","@TransactionAttribute"
"2593splitHere46","6915437splitHere46","EntityManager"
"2594splitHere46","6915437splitHere46","EntityManager"
"2595splitHere46","6915437splitHere46","EntityManagerFactory"
"2596splitHere46","6915437splitHere46","EntityManager.joinTransaction()"
"2597splitHere46","6915437splitHere46","EntityManager"
"2598splitHere46","6915520splitHere46","@XmlElementWrapper"
"2599splitHere46","6915557splitHere46","MapField"
"2600splitHere46","6915717splitHere46","import javax.swing.JFrame;<newline46mondego>import javax.swing.JPanel;<newline46mondego>import javax.swing.SwingUtilities;<newline46mondego>import java.awt.BorderLayout;<newline46mondego>import java.awt.Dimension;<newline46mondego>import java.awt.Graphics;<newline46mondego><newline46mondego>public class DrawStringUmlaut extends JPanel {<newline46mondego>    public DrawStringUmlaut() {<newline46mondego>        setPreferredSize(new Dimension(getPreferredSize().width, 200));<newline46mondego>    }<newline46mondego><newline46mondego>    public void paintComponent(Graphics g) {<newline46mondego>        super.paintComponent(g);<newline46mondego><newline46mondego>        g.drawString(<doubleQuotes46>\u00f6<doubleQuotes46>, 10, 20);<newline46mondego>        g.drawString(<doubleQuotes46>\u00df<doubleQuotes46>, 40, 20);<newline46mondego>        g.drawString(g.getFont().getFontName(), 10, 40);<newline46mondego>        g.drawString(Integer.toString(g.getFont().getSize()) + <doubleQuotes46> pt<doubleQuotes46>, 10, 60);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String args[]) {<newline46mondego>        SwingUtilities.invokeLater(new Runnable() {<newline46mondego>            public void run() {<newline46mondego>                JFrame frame = new JFrame();<newline46mondego>                frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>                frame.add(new DrawStringUmlaut(), BorderLayout.CENTER);<newline46mondego>                frame.pack();<newline46mondego>                frame.setVisible(true);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2601splitHere46","6915726splitHere46","#set( $book_list_link = <doubleQuotes46>#getBookListLink( $readingTrackerResult )<doubleQuotes46> )<newline46mondego>"
"2602splitHere46","6915824splitHere46","-XpauseTarget"
"2603splitHere46","6915824splitHere46","System.gc()"
"2604splitHere46","6915824splitHere46","-Xincgc<newline46mondego>-XX:+CMSIncrementalPacing<newline46mondego>-XX:+UseAdaptiveSizePolicy<newline46mondego>-XX:+AggressiveOpts<newline46mondego>-XX:+ExplicitGCInvokesConcurrent<newline46mondego>-XX:+UnlockExperimentalVMOptions<newline46mondego>-XX:+UseConcMarkSweepGC<newline46mondego>-XX:UseSSE=3<newline46mondego>-XX:+UseParNewGC<newline46mondego>-XX:SurvivorRatio=2<newline46mondego>-XX:NewRatio=8<newline46mondego>-XX:+DoEscapeAnalysis<newline46mondego>-XX:+UseFastAccessorMethods<newline46mondego>-XX:+ForceTimeHighResolution<newline46mondego>-XX:+UseTLAB<newline46mondego>-XX:+ResizeTLAB<newline46mondego>-XX:MaxGCPauseMillis=10<newline46mondego>-XX:ParallelGCThreads=8<newline46mondego>-XX:+CMSParallelRemarkEnabled<newline46mondego>-XX:+DisableExplicitGC<newline46mondego>-XX:+UseAdaptiveGCBoundary<newline46mondego>-XX:-UseGCOverheadLimit<newline46mondego>-Xnoclassgc<newline46mondego>-server<newline46mondego>-Xss128k<newline46mondego>-Xms1g<newline46mondego>-Xmx1g<newline46mondego>"
"2605splitHere46","6916295splitHere46","public class ImplicitTest {<newline46mondego>    public static void main(String[] args) {<newline46mondego>        Boolean b = true; <newline46mondego>        boolean i = b;<newline46mondego>        boolean e = b.booleanValue();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2606splitHere46","6916295splitHere46","Compiled from <doubleQuotes46>ImplicitTest.java<doubleQuotes46><newline46mondego>public class ImplicitTest extends java.lang.Object{<newline46mondego>public ImplicitTest();<newline46mondego>  Code:<newline46mondego>   0:   aload_0<newline46mondego>   1:   invokespecial   #1; //Method java/lang/Object.<doubleQuotes46><init><doubleQuotes46>:()V<newline46mondego>   4:   return<newline46mondego><newline46mondego>public static void main(java.lang.String[]);<newline46mondego>  Code:<newline46mondego>   0:   iconst_1<newline46mondego>   1:   invokestatic    #2; //Method java/lang/Boolean.valueOf:(Z)Ljava/lang/Boolean;<newline46mondego>   4:   astore_1<newline46mondego>   5:   aload_1<newline46mondego>   6:   invokevirtual   #3; //Method java/lang/Boolean.booleanValue:()Z<newline46mondego>   9:   istore_2<newline46mondego>   10:  aload_1<newline46mondego>   11:  invokevirtual   #3; //Method java/lang/Boolean.booleanValue:()Z<newline46mondego>   14:  istore_3<newline46mondego>   15:  return<newline46mondego><newline46mondego>}<newline46mondego>"
"2607splitHere46","6916307splitHere46","SelectionModel"
"2608splitHere46","6916307splitHere46","TabPane"
"2609splitHere46","6916307splitHere46","setSelectionModel(...)"
"2610splitHere46","6916307splitHere46","SingleSelectionModel<Tab> selectionModel = tabPane.getSelectionModel();<newline46mondego>"
"2611splitHere46","6916307splitHere46","selectionModel.select(tab); //select by object<newline46mondego>selectionModel.select(1); //select by index starting with 0<newline46mondego>selectionModel.clearSelection(); //clear your selection<newline46mondego>"
"2612splitHere46","6916455splitHere46","Class"
"2613splitHere46","6916455splitHere46","newInstance()"
"2614splitHere46","6916455splitHere46","Constructor"
"2615splitHere46","6916455splitHere46","protected <T> T getProperty(String key, T fallback, Class<T> clazz) {<newline46mondego>    String value = properties.getProperty(key);<newline46mondego><newline46mondego>    if (value == null) {<newline46mondego>        return fallback;<newline46mondego>    } else {<newline46mondego><newline46mondego>        //try getting Constructor<newline46mondego>        Constructor<T> constructor;<newline46mondego>        try {<newline46mondego>            constructor = clazz.getConstructor(new Class<?>[] { String.class });<newline46mondego>        }<newline46mondego>        catch (NoSuchMethodException nsme) {<newline46mondego>            //handle constructor not being found<newline46mondego>        }<newline46mondego><newline46mondego>        //try instantiating and returning<newline46mondego>        try {<newline46mondego>            return constructor.newInstance(value);<newline46mondego>        }<newline46mondego>        catch (InstantiationException ie) {<newline46mondego>            //handle InstantiationException<newline46mondego>        }<newline46mondego>        catch (IllegalAccessException iae) {<newline46mondego>            //handle IllegalAccessException<newline46mondego>        }<newline46mondego>        catch (InvocationTargetException ite) {<newline46mondego>            //handle InvocationTargetException<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2616splitHere46","6916455splitHere46","T"
"2617splitHere46","6916455splitHere46","Map"
"2618splitHere46","6916455splitHere46","Constructor"
"2619splitHere46","6916455splitHere46","Map<String, Constructor<?>>"
"2620splitHere46","6916455splitHere46","Map<Class<?>, Constructor<?>>"
"2621splitHere46","6916503splitHere46","javax.swing.DesktopManager"
"2622splitHere46","6916503splitHere46","javax.swing.DefaultDesktopManager"
"2623splitHere46","6916503splitHere46","iconifyFrame(JInternalFrame f)"
"2624splitHere46","6916503splitHere46","protected Rectangle getBoundsForIconOf(JInternalFrame f)"
"2625splitHere46","6916503splitHere46","import javax.swing.DefaultDesktopManager;<newline46mondego>import javax.swing.DesktopManager;<newline46mondego>import javax.swing.JDesktopPane;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JInternalFrame;<newline46mondego>import javax.swing.SwingUtilities;<newline46mondego>import java.awt.BorderLayout;<newline46mondego>import java.awt.Dimension;<newline46mondego><newline46mondego>public class CustomDesktopManager extends DefaultDesktopManager {<newline46mondego>    @Override<newline46mondego>    public void iconifyFrame(JInternalFrame f) {<newline46mondego>        super.iconifyFrame(f);<newline46mondego><newline46mondego>        JInternalFrame.JDesktopIcon icon = f.getDesktopIcon();<newline46mondego>        Dimension prefSize = icon.getPreferredSize();<newline46mondego>        icon.setBounds(f.getX(), f.getY(), prefSize.width, prefSize.height);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String args[]) {<newline46mondego>        SwingUtilities.invokeLater(new Runnable() {<newline46mondego>            public void run() {<newline46mondego>                JFrame frame = new JFrame();<newline46mondego>                frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego><newline46mondego>                JDesktopPane desktopPane = new JDesktopPane();<newline46mondego>                DesktopManager dm = new CustomDesktopManager();<newline46mondego>                desktopPane.setDesktopManager(dm);<newline46mondego>                JInternalFrame internalFrame = new JInternalFrame(<doubleQuotes46>Test Internal Frame<doubleQuotes46>, true, false, true, true);<newline46mondego>                internalFrame.setSize(200, 150);<newline46mondego>                internalFrame.setVisible(true);<newline46mondego>                desktopPane.add(internalFrame);<newline46mondego><newline46mondego>                frame.add(desktopPane, BorderLayout.CENTER);<newline46mondego>                frame.setSize(800, 600);<newline46mondego>                frame.setVisible(true);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2626splitHere46","6916545splitHere46","XMLHttpRequest"
"2627splitHere46","6916545splitHere46","XMLHttpRequest"
"2628splitHere46","6916545splitHere46","<input type=<doubleQuotes46>file<doubleQuotes46>>"
"2629splitHere46","6916545splitHere46","<iframe>"
"2630splitHere46","6916545splitHere46","<form id=<doubleQuotes46>upload-form<doubleQuotes46> class=<doubleQuotes46>upload-box<doubleQuotes46> action=<doubleQuotes46>/Upload<doubleQuotes46> method=<doubleQuotes46>post<doubleQuotes46> enctype=<doubleQuotes46>multipart/form-data<doubleQuotes46>><newline46mondego>    <h1>Upload New Style</h1><newline46mondego>    <input type=<doubleQuotes46>file<doubleQuotes46> id=<doubleQuotes46>file<doubleQuotes46> name=<doubleQuotes46>file1<doubleQuotes46> /><newline46mondego>    <div id=<doubleQuotes46>upload-error<doubleQuotes46> class=<doubleQuotes46>error<doubleQuotes46>>${uploadError}</div><newline46mondego>    <input type=<doubleQuotes46>submit<doubleQuotes46> id=<doubleQuotes46>upload-button<doubleQuotes46> value=<doubleQuotes46>upload<doubleQuotes46> /><newline46mondego></form><newline46mondego>"
"2631splitHere46","6916545splitHere46","<center>"
"2632splitHere46","6916545splitHere46","text-align: center"
"2633splitHere46","6916545splitHere46",".error"
"2634splitHere46","6916545splitHere46","<script src=<doubleQuotes46>jquery.js<doubleQuotes46>></script><newline46mondego><script src=<doubleQuotes46>jquery.form.js<doubleQuotes46>></script><newline46mondego><script><newline46mondego>    $(function() {<newline46mondego>        $('#upload-form').ajaxForm({<newline46mondego>            success: function(msg) {<newline46mondego>                alert(<doubleQuotes46>Style has been updated successfully<doubleQuotes46>);<newline46mondego>                window.location.reload();<newline46mondego>            },<newline46mondego>            error: function(msg) {<newline46mondego>                $(<doubleQuotes46>#upload-error<doubleQuotes46>).text(<doubleQuotes46>Couldn't upload file<doubleQuotes46>);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    });<newline46mondego></script><newline46mondego>"
"2635splitHere46","6916545splitHere46","multipart/form-data"
"2636splitHere46","6916545splitHere46","X-Requested-With"
"2637splitHere46","6916545splitHere46","XMLHttpRequest"
"2638splitHere46","6916545splitHere46","XMLHttpRequest"
"2639splitHere46","6916545splitHere46","File"
"2640splitHere46","6916545splitHere46","FormData"
"2641splitHere46","6916682splitHere46","keyPressed"
"2642splitHere46","6916682splitHere46","keyTyped"
"2643splitHere46","6916682splitHere46","keyPressed"
"2644splitHere46","6916682splitHere46","Document"
"2645splitHere46","6916682splitHere46","KeyListener"
"2646splitHere46","6916682splitHere46","Document"
"2647splitHere46","6916682splitHere46","textField.addActionListener(new ActionListener()<newline46mondego>{<newline46mondego>    @Override<newline46mondego>    public void actionPerformed(final ActionEvent evt)<newline46mondego>    {<newline46mondego>        SwingUtilities.invokeLater(new Runnable()<newline46mondego>        {<newline46mondego>            public void run()<newline46mondego>            {<newline46mondego>                textField.setText(null);<newline46mondego>                System.out.println(<doubleQuotes46>event received:[<doubleQuotes46> + evt.getActionCommand() + <doubleQuotes46>]<doubleQuotes46>);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"2648splitHere46","6916718splitHere46","-Xms512m -Xmx512m -XX:MaxPermSize=256m -XX:+CMSClassUnloadingEnabled<newline46mondego>"
"2649splitHere46","6916719splitHere46","BufferedImage image = ImageIO.read(<doubleQuotes46>img.jpg<doubleQuotes46>);<newline46mondego>BufferedImage ret = new BufferedImage(32,32,BufferedImage.TYPE_RGB);<newline46mondego>ret.getGraphics().drawImage(image,0,0,32,32,null);<newline46mondego>"
"2650splitHere46","6916719splitHere46","ret"
"2651splitHere46","6917015splitHere46","public static String reverse(String s)<newline46mondego>{<newline46mondego>  String rev = <doubleQuotes46> <doubleQuotes46>;<newline46mondego>  for (int i=s.length()-1; i>=0; i--)<newline46mondego>  rev.append(s.charAt(i); // <--------- This is O(n)<newline46mondego>  Return rev.toString();<newline46mondego>}<newline46mondego>"
"2652splitHere46","6917015splitHere46","append"
"2653splitHere46","6917015splitHere46","rev"
"2654splitHere46","6917033splitHere46","SingleThreadModel"
"2655splitHere46","6917049splitHere46","executeUpdate"
"2656splitHere46","6917049splitHere46","executeQuery"
"2657splitHere46","6917049splitHere46","ResultSet"
"2658splitHere46","6917126splitHere46","ListViewExample"
"2659splitHere46","6917126splitHere46","Activity"
"2660splitHere46","6917126splitHere46","onCreate()"
"2661splitHere46","6917126splitHere46","ListView"
"2662splitHere46","6917126splitHere46","setAdapter()"
"2663splitHere46","6917126splitHere46","ListView"
"2664splitHere46","6917126splitHere46","public class ListViewExample extends Activity {<newline46mondego>    String[] exampleList = {<newline46mondego>            <doubleQuotes46>Item 1<doubleQuotes46>,<newline46mondego>            <doubleQuotes46>Item 2<doubleQuotes46>,<newline46mondego>            <doubleQuotes46>Item 3<doubleQuotes46><newline46mondego>            //etc etc<newline46mondego>    };<newline46mondego><newline46mondego>    @Override  <newline46mondego>    public void onCreate(Bundle savedInstanceState) {<newline46mondego>        super.onCreate(savedInstanceState);  <newline46mondego>        setContentView(R.layout.listview);<newline46mondego><newline46mondego>        // Get an instance of your listview in code<newline46mondego>        ListView listview = (ListView) findViewById(R.id.listview1);<newline46mondego><newline46mondego>        // Set the listview's adapter<newline46mondego>        listview.setAdapter(new ArrayAdapter<String>(this,<newline46mondego>            android.R.layout.simple_list_item_1, exampleList));<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2665splitHere46","6917157splitHere46","HFactory.createKeyspace(String, Cluster, ConsistencyLevelPolicy)"
"2666splitHere46","6917190splitHere46","Integer.valueOf(x).compareTo(Integer.valueOf(y))<newline46mondego>"
"2667splitHere46","6917424splitHere46","<attribute name=<doubleQuotes46>Class-Path<doubleQuotes46> value=<doubleQuotes46>./lib/mysql-connector-java-5.0.8-bin.jar<doubleQuotes46>/><newline46mondego>"
"2668splitHere46","6917424splitHere46","mysql-connector-java-5.0.8-bin.jar"
"2669splitHere46","6917424splitHere46","appName.jar"
"2670splitHere46","6917424splitHere46","appName.jar"
"2671splitHere46","6917435splitHere46","Reference"
"2672splitHere46","6917623splitHere46","javascript_include_tag"
"2673splitHere46","6917623splitHere46","<my:includeJS sources=<doubleQuotes46>jquery, application, blah1, blah2<doubleQuotes46> /><newline46mondego>"
"2674splitHere46","6917623splitHere46","sources"
"2675splitHere46","6917623splitHere46","<script>"
"2676splitHere46","6917623splitHere46","....<newline46mondego><script type=<doubleQuotes46>text/javascript<doubleQuotes46> src=<doubleQuotes46>/javascripts/blah1.js<doubleQuotes46>></script><newline46mondego><script type=<doubleQuotes46>text/javascript<doubleQuotes46> src=<doubleQuotes46>/javascripts/blah2.js<doubleQuotes46>></script><newline46mondego>"
"2677splitHere46","6917659splitHere46","aZip"
"2678splitHere46","6917743splitHere46","SomeInterface a = (SomeInterface)Class.forName(config.readSomething()).newInstance();<newline46mondego>"
"2679splitHere46","6917773splitHere46","final"
"2680splitHere46","6917773splitHere46","final"
"2681splitHere46","6917773splitHere46","final"
"2682splitHere46","6917773splitHere46","final"
"2683splitHere46","6917773splitHere46","TestData"
"2684splitHere46","6917773splitHere46","DATA"
"2685splitHere46","6917773splitHere46","static final"
"2686splitHere46","6917773splitHere46","MyTest"
"2687splitHere46","6917773splitHere46","MyTest"
"2688splitHere46","6917773splitHere46","System.out.println"
"2689splitHere46","6917773splitHere46","RuntimeException"
"2690splitHere46","6917957splitHere46","data"
"2691splitHere46","6917957splitHere46","build_info.properties"
"2692splitHere46","6917957splitHere46","getClass().getClassLoader().getResourceAsStream(<doubleQuotes46>data/build_info.properties<doubleQuotes46>);"
"2693splitHere46","6917957splitHere46","getClass().getResourceAsStream(<doubleQuotes46>/data/build_info.properties<doubleQuotes46>);"
"2694splitHere46","6917957splitHere46","getClass()"
"2695splitHere46","6917994splitHere46","<newline46mondego>String yourXMLFragment = <doubleQuotes46>...<doubleQuotes46>;<newline46mondego><newline46mondego>AttributeStatementBuilder attributeStatementBuilder = <newline46mondego>   (AttributeStatementBuilder) builderFactory.getBuilder(AttributeStatement.DEFAULT_ELEMENT_NAME);<newline46mondego>AttributeStatement attributeStatement = attributeStatementBuilder.buildObject();<newline46mondego><newline46mondego>AttributeBuilder attributeBuilder = <newline46mondego>   (AttributeBuilder) builderFactory.getBuilder(Attribute.DEFAULT_ELEMENT_NAME);<newline46mondego>Attribute attr = attributeBuilder.buildObject();<newline46mondego>attr.setName(<doubleQuotes46>yourAttributeName<doubleQuotes46>);<newline46mondego><newline46mondego>XSAnyBuilder sb2 = (XSAnyBuilder) builderFactory.getBuilder(XSAny.TYPE_NAME);<newline46mondego>XSAny attrAny = sb2.buildObject(AttributeValue.DEFAULT_ELEMENT_NAME, XSAny.TYPE_NAME);<newline46mondego>attrAny.setTextContent(yourXMLFragment.trim());<newline46mondego><newline46mondego>attr.getAttributeValues().add(attrAny);<newline46mondego>attributeStatement.getAttributes().add(attr);<newline46mondego>"
"2696splitHere46","6918153splitHere46","@System@exit(0)"
"2697splitHere46","6918153splitHere46","%{xyz}"
"2698splitHere46","6918153splitHere46","setValue(String)"
"2699splitHere46","6918153splitHere46","PropertyTag"
"2700splitHere46","6918153splitHere46","@System@exit(0)"
"2701splitHere46","6918279splitHere46","send()"
"2702splitHere46","6918279splitHere46","public class UDPConnectionManager {<newline46mondego>    private UDPConnectionManager() { ... }<newline46mondego>    public static UDPConnectionManager instance() { ... }<newline46mondego><newline46mondego>    public void send(String message) {<newline46mondego>        if(udp != null) {<newline46mondego>            udp.send(message);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2703splitHere46","6918397splitHere46","<xliff:g id=<doubleQuotes46>device_name<doubleQuotes46>>%1$s</xliff:g>"
"2704splitHere46","6918469splitHere46","if (licenses.isEmpty())<newline46mondego>    throw new IllegalArgumentException(<doubleQuotes46>licenses is empty<doubleQuotes46>);<newline46mondego>"
"2705splitHere46","6918522splitHere46","ints"
"2706splitHere46","6918522splitHere46","int unsortedNums[] = new list[5];<newline46mondego><newline46mondego>unsortedNums[0] = 1;<newline46mondego>unsortedNums[1] = 4; <newline46mondego>unsortedNums[2] = 6; <newline46mondego>unsortedNums[3] = 2; <newline46mondego>unsortedNums[4] = 7; <newline46mondego>"
"2707splitHere46","6918522splitHere46","//loop through the list<newline46mondego>for(int i = 0; i < unsortedNums.length; i++){<newline46mondego>    if(unsortedNums[i] <= unsortedNums[i+1]){ //if current number is < next number<newline46mondego>        //keep the number there because it is less than the next number<newline46mondego>    }else{<newline46mondego>        //you need to shift the current number to the right until because it is bigger<newline46mondego>        //than the next number<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2708splitHere46","6918747splitHere46","str.matches(<doubleQuotes46>.*&#\\d{1,3};.*<doubleQuotes46>); <newline46mondego>"
"2709splitHere46","6918816splitHere46","Vector"
"2710splitHere46","6918816splitHere46","ArrayList"
"2711splitHere46","6918816splitHere46","Vector"
"2712splitHere46","6918816splitHere46","ArrayList"
