"1splitHere46","19157638splitHere46","setMaximizable(bool enabled)"
"625splitHere46","19174094splitHere46","MainClass"
"626splitHere46","19174200splitHere46","droid"
"627splitHere46","19174200splitHere46","GameMain"
"628splitHere46","19174200splitHere46","public class GameMain extends Applet implements KeyListener {<newline46mondego><newline46mondego>    //...<newline46mondego>    private Droid droid;<newline46mondego>    //...<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void init() {<newline46mondego>        //...<newline46mondego>        droid = new Droid();<newline46mondego>        //...<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void paint(Graphics g) {<newline46mondego>        g.drawImage(character, droid.getPositionX() - 61, droid.getPositionY()- 63, this);<newline46mondego>    }<newline46mondego>"
"629splitHere46","19174200splitHere46","GameThread"
"630splitHere46","19174200splitHere46","public class GameThread extends Thread {<newline46mondego><newline46mondego>    GameMain game;<newline46mondego>    Droid droid;<newline46mondego><newline46mondego>    //...<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void run() {<newline46mondego>        // Created a new GameMain<newline46mondego>        game = new GameMain();<newline46mondego>        // Created a new Droid...<newline46mondego>        droid = new Droid();<newline46mondego>        //Game while loop<newline46mondego>        while (true) {<newline46mondego><newline46mondego>            droid.update();<newline46mondego>            game.repaint();<newline46mondego>            //...<newline46mondego>"
"631splitHere46","19174200splitHere46","GameMain"
"632splitHere46","19174200splitHere46","Droid"
"633splitHere46","19174200splitHere46","GameMain"
"634splitHere46","19174200splitHere46","GameThread"
"635splitHere46","19174200splitHere46","GameThread"
"636splitHere46","19174200splitHere46","GameMain"
"637splitHere46","19174200splitHere46","updateGameState"
"638splitHere46","19174200splitHere46","public class GameMain extends Applet implements KeyListener {<newline46mondego>    //...<newline46mondego><newline46mondego>    public void updateGameState() {<newline46mondego>        droid.update();<newline46mondego>        repaint();<newline46mondego>    }<newline46mondego><newline46mondego>    //...<newline46mondego>"
"639splitHere46","19174200splitHere46","GameMain"
"640splitHere46","19174200splitHere46","GameMain"
"641splitHere46","19174200splitHere46","GameThread"
"642splitHere46","19174200splitHere46","GameThread thread = new GameThread(this);<newline46mondego>thread.start();<newline46mondego>"
"643splitHere46","19174200splitHere46","GameMain"
"644splitHere46","19174200splitHere46","Droid"
"645splitHere46","19174200splitHere46","public class GameThread extends Thread {<newline46mondego><newline46mondego>    //...<newline46mondego>    private GameMain gameMain;<newline46mondego><newline46mondego>    public GameThread(GameMain gameMain) {<newline46mondego>        this.gameMain = gameMain;<newline46mondego>        //...<newline46mondego>"
"646splitHere46","19174200splitHere46","GameTread#run"
"647splitHere46","19174200splitHere46","gameMain.updateGameState();"
"648splitHere46","19174200splitHere46","public void run() {<newline46mondego>    while (true) {<newline46mondego>        gameMain.updateGameState();<newline46mondego>        try {<newline46mondego>            Thread.sleep(17);<newline46mondego>        } catch (InterruptedException e) {<newline46mondego>            // TODO Auto-generated catch block<newline46mondego>            e.printStackTrace();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"649splitHere46","19174200splitHere46","this.getParent().getParent()"
"650splitHere46","19174200splitHere46","JApplet"
"651splitHere46","19174200splitHere46","JPanel"
"652splitHere46","19174200splitHere46","paintComponent"
"653splitHere46","19174200splitHere46","KeyListener"
"654splitHere46","19174200splitHere46","KeyListener"
"655splitHere46","19174256splitHere46","for"
"656splitHere46","19174256splitHere46","for (int j = 0; j < result1.length; j++) { // traverse over all elements of result1 and thus use its length<newline46mondego>"
"657splitHere46","19174256splitHere46","result1[i].length()"
"658splitHere46","19174256splitHere46","i"
"659splitHere46","19174256splitHere46","result1"
"660splitHere46","19174256splitHere46","for"
"661splitHere46","19174256splitHere46","0"
"662splitHere46","19174256splitHere46","1"
"663splitHere46","19174256splitHere46","1"
"664splitHere46","19174262splitHere46","Iterator<Page> childPageIterator = Currentpage.listChildren(new PageFilter(request));<newline46mondego>while(pageIterator.hasNext())<newline46mondego>            {<newline46mondego>                Page childPage = pageIterator.next();<newline46mondego>                         Resource r = page.getContentResource(<doubleQuotes46>image<doubleQuotes46>);<newline46mondego>                         if (r != null) {<newline46mondego>                            Image image = new Image(r);<newline46mondego>                            String imagePath = (String)contentpage.getPath()+<doubleQuotes46>.img.png<doubleQuotes46>+ image.getSuffix();<newline46mondego>                         }<newline46mondego>            }<newline46mondego>"
"665splitHere46","19174266splitHere46","public static void main(String[] args) {<newline46mondego>    String english = <doubleQuotes46>Your Last Login was 2013/10/04 13:06:45 ( 0 Days, 0 Hours, 0 Minutes )<doubleQuotes46>;<newline46mondego>    String chinese = <doubleQuotes46>您上次登录是 2013/10/04 13:06:45（ 0 天， 0 �?时 0 分钟 ）<doubleQuotes46>;<newline46mondego><newline46mondego>    String datePattern = <doubleQuotes46>\\d\\d\\d\\d/\\d\\d/\\d\\d<doubleQuotes46>; <newline46mondego>    String timePattern = <doubleQuotes46>\\d\\d:\\d\\d:\\d\\d<doubleQuotes46>;<newline46mondego><newline46mondego>    System.out.println(getMatch(english, datePattern));<newline46mondego>    System.out.println(getMatch(english, timePattern));<newline46mondego>    System.out.println(getMatch(english, <doubleQuotes46>\\d Days<doubleQuotes46>));<newline46mondego>    System.out.println(getMatch(english, <doubleQuotes46>\\d Hours<doubleQuotes46>));<newline46mondego>    System.out.println(getMatch(english, <doubleQuotes46>\\d Minutes<doubleQuotes46>));<newline46mondego>    System.out.println();<newline46mondego>    System.out.println(getMatch(chinese, datePattern));<newline46mondego>    System.out.println(getMatch(chinese, timePattern));<newline46mondego>    System.out.println(getMatch(chinese, <doubleQuotes46>\\d 天<doubleQuotes46>));<newline46mondego>    System.out.println(getMatch(chinese, <doubleQuotes46>\\d �?时<doubleQuotes46>));<newline46mondego>    System.out.println(getMatch(chinese, <doubleQuotes46>\\d 分钟<doubleQuotes46>));<newline46mondego>}<newline46mondego><newline46mondego>private static String getMatch(String input, String regex) {<newline46mondego>    Pattern pattern = Pattern.compile(regex);<newline46mondego>    Matcher matcher = pattern.matcher(input);<newline46mondego>    if (matcher.find()) {<newline46mondego>        return matcher.group();<newline46mondego>    } else {<newline46mondego>        return <doubleQuotes46><doubleQuotes46>;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"666splitHere46","19174356splitHere46","jumbleVerfiy.add(verficationNumber, true);<newline46mondego>"
"667splitHere46","19174356splitHere46","jumbleVerfiy.set(verficationNumber, true);<newline46mondego>"
"668splitHere46","19174421splitHere46","@Override<newline46mondego>public void actionPerformed(ActionEvent evt) {<newline46mondego>    Object source = evt.getSource();<newline46mondego><newline46mondego>    if (source.getClass() == JMenuItem.class) {<newline46mondego>        String menuText = ((JMenuItem) evt.getSource()).getText();<newline46mondego><newline46mondego>        if (menuText.equals(<doubleQuotes46>info<doubleQuotes46>)) {<newline46mondego>            System.out.println(<doubleQuotes46>it works<doubleQuotes46>);<newline46mondego>            JOptionPane.showMessageDialog(null, <doubleQuotes46>aha it works<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>    else if (source == one) {<newline46mondego>        answerBox.append(<doubleQuotes46>1<doubleQuotes46>);<newline46mondego>    }<newline46mondego>"
"669splitHere46","19174505splitHere46","@POST<newline46mondego>@Produces(<doubleQuotes46>application/json<doubleQuotes46>)<newline46mondego>@Consumes({ <doubleQuotes46>application/xml<doubleQuotes46>, <doubleQuotes46>application/json<doubleQuotes46>})<newline46mondego>@ApiOperation(<newline46mondego>    value = <doubleQuotes46>Short description of resources<doubleQuotes46>,<newline46mondego>    notes = <doubleQuotes46>Detailed textual description of the resource...<doubleQuotes46>,<newline46mondego>    responseClass = <doubleQuotes46>com.example.data.resps.PostExampleResp<doubleQuotes46>)<newline46mondego>@ApiErrors(value = { @ApiError(code = 404, reason = <doubleQuotes46>Resources Not Found<doubleQuotes46>),<newline46mondego>    @ApiError(code = 400, reason = <doubleQuotes46>Bad Request<doubleQuotes46>),<newline46mondego>    @ApiError(code = 500, reason = <doubleQuotes46>Internal Error<doubleQuotes46>)})<newline46mondego>public PostExampleResp postExample(<newline46mondego>    @ApiParam(value = <doubleQuotes46>Description of request message<doubleQuotes46>,<newline46mondego>        required = true) PostExampleReq request) <newline46mondego>    throws WebApplicationException{<newline46mondego>    ...<newline46mondego>"
"670splitHere46","19174505splitHere46","@Api..."
"671splitHere46","19174622splitHere46","<build><newline46mondego>    <plugins><newline46mondego>      <plugin><newline46mondego>        <groupId>org.apache.maven.plugins</groupId><newline46mondego>        <artifactId>maven-compiler-plugin</artifactId><newline46mondego>        <version>3.1</version><newline46mondego>        <configuration><newline46mondego>          <source>1.5</source><newline46mondego>          <target>1.5</target><newline46mondego>        </configuration><newline46mondego>      </plugin><newline46mondego>    </plugins>    <newline46mondego></build><newline46mondego>"
"672splitHere46","19174680splitHere46","this"
"673splitHere46","19174680splitHere46","String  s = <doubleQuotes46>Local<doubleQuotes46>;<newline46mondego>lblB.setText(this.s);<newline46mondego>"
"674splitHere46","19174680splitHere46","this"
"675splitHere46","19174680splitHere46","String  s = <doubleQuotes46>Local<doubleQuotes46>;<newline46mondego>lblB.setText(ClassDeclaringTheVariable.s);<newline46mondego>"
"676splitHere46","19174680splitHere46","public class Person {<newline46mondego>    private String name;<newline46mondego><newline46mondego>    public Person(String name) {<newline46mondego>        this.name = name;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setName(String name) {<newline46mondego>        this.name = name;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getName() {<newline46mondego>        return name;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"677splitHere46","19174751splitHere46","+"
"678splitHere46","19174751splitHere46","// Concatenation<newline46mondego>String a = <doubleQuotes46>a<doubleQuotes46>;<newline46mondego>String b = <doubleQuotes46>b<doubleQuotes46>;<newline46mondego><newline46mondego>a = a + b;<newline46mondego><newline46mondego>// It's equivalent once it's compiled<newline46mondego>String a = <doubleQuotes46>a<doubleQuotes46>;<newline46mondego>String b = <doubleQuotes46>b<doubleQuotes46>;<newline46mondego><newline46mondego>StringBuilder aBuilder = new StringBuilder(a);<newline46mondego>aBuilder.append(b);<newline46mondego>a = aBuilder.toString();<newline46mondego>"
"679splitHere46","19174751splitHere46","StringBuilder"
"680splitHere46","19174751splitHere46","StringBuilder"
"681splitHere46","19174751splitHere46","StringBuilder a = new StringBuilder(<doubleQuotes46>a<doubleQuotes46>);<newline46mondego>a.append(<doubleQuotes46>b<doubleQuotes46>);<newline46mondego>System.out.println(a);<newline46mondego>"
"682splitHere46","19174754splitHere46","for(n=numBeerBottles; n==0; n--)<newline46mondego>"
"683splitHere46","19174754splitHere46","n"
"684splitHere46","19174754splitHere46","0"
"685splitHere46","19174754splitHere46","n"
"686splitHere46","19174754splitHere46","for(n = numBeerBottles; n >= 0; n--)<newline46mondego>"
"687splitHere46","19174894splitHere46","dispatcher-servlet.xml:<newline46mondego><newline46mondego><?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><beans xmlns=<doubleQuotes46>http://www.springframework.org/schema/beans<doubleQuotes46><newline46mondego>   xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46><newline46mondego>   xmlns:p=<doubleQuotes46>http://www.springframework.org/schema/p<doubleQuotes46><newline46mondego>   xmlns:aop=<doubleQuotes46>http://www.springframework.org/schema/aop<doubleQuotes46><newline46mondego>   xmlns:tx=<doubleQuotes46>http://www.springframework.org/schema/tx<doubleQuotes46><newline46mondego>   xsi:schemaLocation=<doubleQuotes46>http://www.springframework.org/schema/beans           http://www.springframework.org/schema/beans/spring-beans-3.0.xsd<newline46mondego>   http://www.springframework.org/schema/aop http://www.springframework.org/schema/aop/spring-aop-3.0.xsd<newline46mondego>   http://www.springframework.org/schema/tx http://www.springframework.org/schema/tx/spring-tx-3.0.xsd<doubleQuotes46>><newline46mondego><newline46mondego>    <bean class=<doubleQuotes46>org.springframework.web.servlet.mvc.support.ControllerClassNameHandlerMapping<doubleQuotes46>/><newline46mondego><newline46mondego>    <bean id=<doubleQuotes46>urlMapping<doubleQuotes46> class=<doubleQuotes46>org.springframework.web.servlet.handler.SimpleUrlHandlerMapping<doubleQuotes46>><newline46mondego>        <property name=<doubleQuotes46>mappings<doubleQuotes46>><newline46mondego>            <props><newline46mondego>                <prop key=<doubleQuotes46>index.htm<doubleQuotes46>>indexController</prop><newline46mondego>            </props><newline46mondego>        </property><newline46mondego>    </bean><newline46mondego><newline46mondego>    <bean id=<doubleQuotes46>viewResolver<doubleQuotes46><newline46mondego>          class=<doubleQuotes46>org.springframework.web.servlet.view.InternalResourceViewResolver<doubleQuotes46><newline46mondego>          p:prefix=<doubleQuotes46>/WEB-INF/jsp/<doubleQuotes46><newline46mondego>          p:suffix=<doubleQuotes46>.jsp<doubleQuotes46> /><newline46mondego><newline46mondego>    <bean name=<doubleQuotes46>indexController<doubleQuotes46><newline46mondego>          class=<doubleQuotes46>org.springframework.web.servlet.mvc.ParameterizableViewController<doubleQuotes46><newline46mondego>          p:viewName=<doubleQuotes46>index<doubleQuotes46> /><newline46mondego>    <bean name=<doubleQuotes46>/*.htm<doubleQuotes46> class=<doubleQuotes46>controller.MyController<doubleQuotes46>/><newline46mondego></beans><newline46mondego>"
"688splitHere46","19174925splitHere46","PathIterator"
"689splitHere46","19174925splitHere46","PathIterator"
"690splitHere46","19174925splitHere46","double startX = 100;<newline46mondego>double startY = 100;<newline46mondego>double endX   = 500;<newline46mondego>double endY   = 500;<newline46mondego><newline46mondego>AffineTransform rotation = new AffineTransform();      <newline46mondego>double angle = Math.toRadians(90);<newline46mondego>rotation.rotate(angle, 200, 200); <newline46mondego><newline46mondego>Line2D.Double line = new Line2D.Double(startX, startY, endX, endY);<newline46mondego>PathIterator it = line.getPathIterator(rotation);<newline46mondego>while(!it.isDone()) {<newline46mondego>    double [] values = new double[6];<newline46mondego>    it.currentSegment(values);<newline46mondego>    System.out.println(<doubleQuotes46>[<doubleQuotes46>+values[0] + <doubleQuotes46>, <doubleQuotes46> + values[1] + <doubleQuotes46>]<doubleQuotes46>);<newline46mondego>    it.next();<newline46mondego>}<newline46mondego>"
"691splitHere46","19174925splitHere46","double startX = 100;<newline46mondego>double startY = 100;<newline46mondego>double endX   = 500;<newline46mondego>double endY   = 500;<newline46mondego><newline46mondego>AffineTransform rotation = new AffineTransform();      <newline46mondego>double angle = Math.toRadians(90);<newline46mondego>rotation.rotate(angle, 200, 200); <newline46mondego><newline46mondego>Path2D path = new Path2D.Double();<newline46mondego>path.moveTo(startX, startY);<newline46mondego>path.lineTo(endX, endY);<newline46mondego><newline46mondego>path.transform(rotation);<newline46mondego><newline46mondego>double [] values = new double[6];<newline46mondego>for(PathIterator it = path.getPathIterator(null); !it.isDone();) {<newline46mondego>    it.currentSegment(values);<newline46mondego>    System.out.println(<doubleQuotes46>[<doubleQuotes46>+values[0] + <doubleQuotes46>, <doubleQuotes46> + values[1] + <doubleQuotes46>]<doubleQuotes46>);<newline46mondego>    it.next();<newline46mondego>}<newline46mondego>"
"692splitHere46","19174985splitHere46","Number2"
"693splitHere46","19174985splitHere46","main()"
"694splitHere46","19174985splitHere46","Number1"
"695splitHere46","19174985splitHere46","main()"
"696splitHere46","19175059splitHere46","INSERT INTO a.dbo.t_export\n<doubleQuotes46> +<newline46mondego> <doubleQuotes46>SELECT * FROM b.dbo.export b WHERE b.sk_batch IN \n<doubleQuotes46> +<newline46mondego>  <doubleQuotes46>(SELECT sk_batch from batch_hdr WHERE bln_proses=<doubleQuotes46>+bln+<newline46mondego>    <doubleQuotes46>AND thn_proses=<doubleQuotes46>+thn; <newline46mondego>"
"697splitHere46","19175059splitHere46",")"
"698splitHere46","19175059splitHere46","INSERT INTO a.dbo.t_export<doubleQuotes46> +<newline46mondego> <doubleQuotes46>SELECT * FROM b.dbo.export b WHERE b.sk_batch IN <doubleQuotes46> +<newline46mondego>  <doubleQuotes46>(SELECT sk_batch from batch_hdr WHERE bln_proses='<doubleQuotes46>+bln+<newline46mondego>    <doubleQuotes46>' AND thn_proses='<doubleQuotes46>+thn + <doubleQuotes46>')<doubleQuotes46>; <newline46mondego>"
"699splitHere46","19175298splitHere46","import javax.activation.MimetypesFileTypeMap;<newline46mondego>import java.io.File;<newline46mondego><newline46mondego>class GetMimeType {<newline46mondego>  public static void main(String args[]) {<newline46mondego>    File f = new File(filePath);<newline46mondego>    System.out.println(<doubleQuotes46>Mime Type of <doubleQuotes46> + f.getName() + <doubleQuotes46> is <doubleQuotes46> +<newline46mondego>                         new MimetypesFileTypeMap().getContentType(f));<newline46mondego><newline46mondego>}<newline46mondego>"
"700splitHere46","19175298splitHere46","public String getContentType(File file) throws IOException {<newline46mondego>        return Files.probeContentType(file.getAbsolutePath());<newline46mondego>}<newline46mondego>"
"701splitHere46","19175399splitHere46","if (rs.next()) {<newline46mondego>             request.setAttribute(<doubleQuotes46>fname<doubleQuotes46>,rs.getString(<doubleQuotes46>Firstname<doubleQuotes46>);<newline46mondego>             request.setAttribute(<doubleQuotes46>lname<doubleQuotes46>,rs.getString(<doubleQuotes46>Latname<doubleQuotes46>);            <newline46mondego>             RequestDispatcher rd = request.getRequestDispatcher(<doubleQuotes46>Welcome.jsp<doubleQuotes46>);<newline46mondego>             rd.include(request, response);<newline46mondego> } <newline46mondego>"
"702splitHere46","19175399splitHere46","<% <newline46mondego>   <%= request.getAttribute(<doubleQuotes46>fname<doubleQuotes46>) %><newline46mondego>   <%= request.getAttribute(<doubleQuotes46>lname<doubleQuotes46>) %><newline46mondego> %><newline46mondego>"
"703splitHere46","19175551splitHere46","Calendar"
"704splitHere46","19175551splitHere46","public Date calculateLastDayOfLastQuarter(Date date) {<newline46mondego>    Calendar calendar = Calendar.getInstance();<newline46mondego>    calendar.setTime(date);<newline46mondego><newline46mondego>    SimpleDateFormat sdf = new SimpleDateFormat(<doubleQuotes46>dd.MM.yyyy<doubleQuotes46>);<newline46mondego>    int year = calendar.get(Calendar.YEAR);<newline46mondego><newline46mondego>    try {<newline46mondego>        switch (calendar.get(Calendar.MONTH)) {<newline46mondego>        case Calendar.JANUARY:<newline46mondego>        case Calendar.FEBRUARY:<newline46mondego>        case Calendar.MARCH:<newline46mondego>            return sdf.parse(<doubleQuotes46>31.12.<doubleQuotes46> + (year - 1));<newline46mondego>        case Calendar.APRIL:<newline46mondego>        case Calendar.MAY:<newline46mondego>        case Calendar.JUNE:<newline46mondego>            return sdf.parse(<doubleQuotes46>31.03.<doubleQuotes46> + year);<newline46mondego>        case Calendar.JULY:<newline46mondego>        case Calendar.AUGUST:<newline46mondego>        case Calendar.SEPTEMBER:<newline46mondego>            return sdf.parse(<doubleQuotes46>30.06.<doubleQuotes46> + year);<newline46mondego>        case Calendar.OCTOBER:<newline46mondego>        case Calendar.NOVEMBER:<newline46mondego>        case Calendar.DECEMBER:<newline46mondego>            return sdf.parse(<doubleQuotes46>30.09.<doubleQuotes46> + year);<newline46mondego>        default:<newline46mondego>            return null;<newline46mondego>        }<newline46mondego>    } catch (ParseException e) {<newline46mondego>        e.printStackTrace();<newline46mondego>        return null;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"705splitHere46","19175569splitHere46","Accordion accordion = new Accordion();<newline46mondego>        TitledPane titledPane = new TitledPane();<newline46mondego>        titledPane.setText(<doubleQuotes46>Title<doubleQuotes46>);<newline46mondego>        GridPane gridPane = new GridPane();<newline46mondego>        gridPane.setStyle(<doubleQuotes46>-fx-background-color:red<doubleQuotes46>);<newline46mondego><newline46mondego>        gridPane.add(new TextArea(<doubleQuotes46>Hello<doubleQuotes46>), 0, 0);<newline46mondego>        gridPane.add(new TextArea(<doubleQuotes46>World<doubleQuotes46>), 0, 1);<newline46mondego><newline46mondego>        titledPane.setContent(gridPane);<newline46mondego>        accordion.getPanes().add(titledPane);<newline46mondego>"
"706splitHere46","19175569splitHere46","ColumnConstraints columnConstraints = new ColumnConstraints();<newline46mondego>        columnConstraints.setFillWidth(true);<newline46mondego>        columnConstraints.setHgrow(Priority.ALWAYS);<newline46mondego>        gridPane.getColumnConstraints().add(columnConstraints);<newline46mondego>"
"707splitHere46","19175636splitHere46","SQLException.getErrorCode()"
"708splitHere46","19175636splitHere46","SQLCODE"
"709splitHere46","19175636splitHere46","SQLCODE"
"710splitHere46","19175636splitHere46","942"
"711splitHere46","19175636splitHere46","ORA-00942"
"712splitHere46","19175636splitHere46","getErrorCode()"
"713splitHere46","19175636splitHere46","int"
"714splitHere46","19175657splitHere46","public class Data {<newline46mondego><newline46mondego>    private Object header;<newline46mondego>    private Object subHeader;<newline46mondego>    private List<Object> rowData;<newline46mondego>    private List<Data> children;<newline46mondego>    //Constructors, getters setters, equal, hash, toString<newline46mondego>}<newline46mondego>"
"715splitHere46","19175657splitHere46","List<Data>"
"716splitHere46","19175689splitHere46","http://myserver:8080/RemediPRMS/WritePingData<newline46mondego>"
"717splitHere46","19175850splitHere46","@CompileStatic"
"718splitHere46","19175860splitHere46","JTextField"
"719splitHere46","19175860splitHere46","String"
"720splitHere46","19175860splitHere46","String s = jTextField1.getText();<newline46mondego>if (s.isEmpty()) {...}<newline46mondego>"
"721splitHere46","19175860splitHere46","JTextField"
"722splitHere46","19175860splitHere46","String s = jTextField1.getText();<newline46mondego>if (s.trim().isEmpty()) {...}<newline46mondego>"
"723splitHere46","19175877splitHere46","URL obj = new URL(<doubleQuotes46>http://mkyong.com<doubleQuotes46>);<newline46mondego>    URLConnection conn = obj.openConnection();<newline46mondego><newline46mondego>    //get all headers<newline46mondego>    Map<String, List<String>> map = conn.getHeaderFields();<newline46mondego>    for (Map.Entry<String, List<String>> entry : map.entrySet()) {<newline46mondego>        System.out.println(<doubleQuotes46>Key : <doubleQuotes46> + entry.getKey() + <newline46mondego>                 <doubleQuotes46> ,Value : <doubleQuotes46> + entry.getValue());<newline46mondego>    }<newline46mondego><newline46mondego>    //get header by 'key'<newline46mondego>    String server = conn.getHeaderField(<doubleQuotes46>Server<doubleQuotes46>);<newline46mondego>"
"724splitHere46","19176112splitHere46","UserVO"
"725splitHere46","19176112splitHere46","Array"
"726splitHere46","19176112splitHere46","var usr:Array = user  as UserVO;<newline46mondego>"
"727splitHere46","19176112splitHere46","var usr:UserVO = user[0] as UserVO;// or similar in a for loop<newline46mondego>"
"728splitHere46","19176112splitHere46","package abc;<newline46mondego>public class UserVO implements Serializable { .. }<newline46mondego>"
"729splitHere46","19176112splitHere46","[Bindable]<newline46mondego>    [RemoteClass(alias=<doubleQuotes46>abc.UserVO<doubleQuotes46>)]<newline46mondego>    public class UserVO <newline46mondego>    { .. }<newline46mondego>"
"730splitHere46","19176126splitHere46","DefaultTableCellRenderer header = new DefaultTableCellRenderer();<newline46mondego>header.setFont(header.getFont().deriveFont(Font.BOLD));<newline46mondego>JTable table = new JTable();<newline46mondego>TableColumnModel model = table.getColumnModel();<newline46mondego>model.getColumn(0).setHeaderRenderer(header);<newline46mondego>"
"731splitHere46","19176126splitHere46","DefaultTableModel model = new DefaultTableModel(new Object[]{<doubleQuotes46><html><b>Happy</b></html><doubleQuotes46>, <doubleQuotes46>Sad<doubleQuotes46>}, 0);<newline46mondego>JTable table = new JTable(model);<newline46mondego>"
"732splitHere46","19176131splitHere46","\'"
"733splitHere46","19176131splitHere46","\b  Backspace (ascii code 08)<newline46mondego>\f  Form feed (ascii code 0C)<newline46mondego>\n  New line<newline46mondego>\r  Carriage return<newline46mondego>\t  Tab<newline46mondego>\v  Vertical tab<newline46mondego>\'  Apostrophe or single quote<newline46mondego>\<doubleQuotes46>  Double quote<newline46mondego>\\  Backslash caracter<newline46mondego>"
"734splitHere46","19176170splitHere46","for (GHP ghp : w.getList()) { // Avoid using get(index) without a forloop, as such<newline46mondego>    if (ghp instanceof GBox) { // Using the instanceof operator, you can differentiate the 2 class types<newline46mondego>        System.out.println(<doubleQuotes46>Box: HP: <doubleQuotes46> + ghp.getHP() + <doubleQuotes46>Volume: <doubleQuotes46><newline46mondego>                + ((GBox) ghp).getVolume()); // Cast it to GBox to be able to call getVolume<newline46mondego>    }<newline46mondego><newline46mondego>    if (ghp instanceof GCircle) {<newline46mondego>        System.out.println(<doubleQuotes46>Circle: HP: <doubleQuotes46> + ghp.getHP() + <doubleQuotes46>Radius: <doubleQuotes46><newline46mondego>                + ((GCircle) ghp).getRadius());// Cast it to GCircle to be able to call getRadius <newline46mondego>    }<newline46mondego>}<newline46mondego>"
"735splitHere46","19176239splitHere46","double cms = 5;<newline46mondego>pixels = (cms * 0.393700787d) * 72<newline46mondego>// 0.393700787d is the number of cms per inch ;)<newline46mondego>"
"736splitHere46","19176241splitHere46","int [][] test = {<newline46mondego>        {1,2,3},<newline46mondego>        {1,3,2},<newline46mondego>        {2,3,1},<newline46mondego>        {2,1,3},<newline46mondego>        {3,2,1},<newline46mondego>        {3,1,2}};<newline46mondego>"
"737splitHere46","19176464splitHere46","for(;k<x.length; k++){         <newline46mondego>    x[k] = sc1.nextInt();}<newline46mondego>"
"738splitHere46","19176464splitHere46","for(;k<x.length; k++){         <newline46mondego>    x[k] = sc1.nextInt();<newline46mondego>"
"739splitHere46","19176464splitHere46","}"
"740splitHere46","19176511splitHere46","String cssSelector = //add your selector. from the example you include i cant get a proper selector.<newline46mondego>Document doc = Jsoup.parse(<doubleQuotes46>html<doubleQuotes46>)<newline46mondego>Elements elms = doc.select(cssSelector)<newline46mondego>for(Element elm:elms){<newline46mondego>     System.out.println(<doubleQuotes46>~<doubleQuotes46> + elm.text() + <doubleQuotes46>~<doubleQuotes46>)<newline46mondego>}<newline46mondego>"
"741splitHere46","19176511splitHere46","html = html.replaceAll(<doubleQuotes46><[^>]*><doubleQuotes46>,<doubleQuotes46>~<doubleQuotes46>)<newline46mondego>"
"742splitHere46","19176750splitHere46","-javaagent:[Path to your jar]/jrebel.jar"
"743splitHere46","19176772splitHere46","Double.MIN_VALUE"
"744splitHere46","19176772splitHere46","Double.MAX_VALUE"
"745splitHere46","19176772splitHere46","-"
"746splitHere46","19176772splitHere46","double minMean = -Double.MAX_VALUE;<newline46mondego>"
"747splitHere46","19176823splitHere46","LinkedList"
"748splitHere46","19176832splitHere46","ArrayList<Map<String, String>> spinnerArray = new ArrayList<Map<String, String>>();<newline46mondego><newline46mondego>    for(int i = 0; i<jArray.length();i++){<newline46mondego>         JSONObject json_data = jArray.getJSONObject(i);            <newline46mondego><newline46mondego>         Map<String, String> data = new HashMap<String, String>(2);<newline46mondego>         data.put(<doubleQuotes46>SessionId<doubleQuotes46>, json_data.getString(<doubleQuotes46>SessionId<doubleQuotes46>));<newline46mondego>         data.put(<doubleQuotes46>Title<doubleQuotes46>, json_data.getString(<doubleQuotes46>Title<doubleQuotes46>));<newline46mondego>         spinnerArray.add(data);<newline46mondego>         //map.put(json_data.getString(<doubleQuotes46>SessionId<doubleQuotes46>), json_data.getString(<doubleQuotes46>Title<doubleQuotes46>));<newline46mondego>         Button button1 = (Button)findViewById(R.id.Submit);<newline46mondego>         button1.setEnabled(true);<newline46mondego><newline46mondego>    }<newline46mondego>      SimpleAdapter adapter = new SimpleAdapter(this, spinnerArray, android.R.layout.two_line_list_item,<newline46mondego><newline46mondego>               new String[] {<doubleQuotes46>SessionId<doubleQuotes46>, <doubleQuotes46>Title<doubleQuotes46>},<newline46mondego>               new int[] {android.R.id.text1,<newline46mondego>                          android.R.id.text2});<newline46mondego><newline46mondego>      spinner.setAdapter(adapter);<newline46mondego>"
"749splitHere46","19176893splitHere46","User"
"750splitHere46","19176893splitHere46","HttpSession"
"751splitHere46","19176893splitHere46","User"
