"1splitHere46","21514988splitHere46","List<Point> points = new ArrayList<Point>();<newline46mondego><newline46mondego>Point pointOne = new Point(x,y);<newline46mondego>Point pointTwo = new Point(x+25,y);<newline46mondego>Point pointThree = new Point(x+25,y+5);<newline46mondego>Point pointFour = new Point(x,y+5);<newline46mondego>points.add(pointOne );<newline46mondego>points.add(pointTwo );<newline46mondego>points.add(pointThree );<newline46mondego>points.add(pointFour);<newline46mondego><newline46mondego><newline46mondego><newline46mondego>Path path = new Path();<newline46mondego>path.moveTo(pointOne.x, pointOne.y);<newline46mondego>path.lineTo(pointTwo.x, pointTwo.y);<newline46mondego>//and so on<newline46mondego>path.close();<newline46mondego><newline46mondego>//and then<newline46mondego>pList.add(points); <newline46mondego>"
"2853splitHere46","21579585splitHere46","<div class=<doubleQuotes46>yom-mod yom-art-content <doubleQuotes46> id=<doubleQuotes46>mediaarticlebody<doubleQuotes46> itemprop=<doubleQuotes46>articleBody<doubleQuotes46>><newline46mondego> <div class=<doubleQuotes46>bd<doubleQuotes46>><newline46mondego>  <!-- google_ad_section_start --><newline46mondego>  <p class=<doubleQuotes46>first<doubleQuotes46>><strong>MONDE - A deux jours de la c&eacute;r&eacute;monie d'ouverture, des rassemblements sont pr&eacute;vus dans le monde entier contre cette loi pass&eacute;e 2012...</strong></p> <newline46mondego>  <p>Les Jeux olympiques de Sotchi ouvrent une fen&ecirc;tre de tir sans pr&eacute;c&eacute;dent pour d&eacute;noncer de nouveau la loi &laquo;anti-gay&raquo; adopt&eacute;e en juin 2012 en Russie, selon les d&eacute;fenseurs des droits de l'Homme et les organisations LGBT (lesbiennes, gays, bisexuels, transsexuels). A deux jours de la c&eacute;r&eacute;monie d'ouverture, des rassemblements sont pr&eacute;vus dans le monde entier contre cette loi, qui punit d'une amende pouvant atteindre 500.000 roubles (10.600 euros environ) & et de prison la &laquo;propagande&raquo; homosexuelle devant mineurs.</p> <newline46mondego>  <p>&laquo;C'est le moment de pousser les sponsors [des JO] &agrave; utiliser leur pouvoir &eacute;conomique, afin d'appeler &agrave; l'abrogation de ces lois discriminatoires&raquo;, &eacute;crit l'ONG de d&eacute;fense LGBT All Out sur son site, les appelant &agrave; &laquo;sortir de leur silence sur les lois anti-gay russes&raquo;. Elle organise des manifestations dans 19 villes du monde, de New York &agrave; Melbourne en passant par Paris et Saint-P&eacute;tersbourg pour la Russie - mais pas Sotchi.</p> <newline46mondego>  <p><b>Agressions homophobes</b></p> <newline46mondego>  <p>Vladimir Poutine avait promulgu&eacute; cette loi controvers&eacute;e en juin 2012, ouvrant la voie &agrave; une vague d'agressions homophobes en Russie. Le texte avait suscit&eacute; des appels au boycott des jeux Olympiques de Sotchi. En janvier 2013, Amnesty International avait d&eacute;nonc&eacute; une loi &laquo;&eacute;tabli[ssant] une discrimination &agrave; l'&eacute;gard des personnes LGBT&raquo;, &laquo;aliment[ant] les discours homophobes&raquo; et &laquo;encourag[eant] la stigmatisation en entretenant l'id&eacute;e que les enfants doivent &ecirc;tre prot&eacute;g&eacute;s contre l'homosexualit&eacute;&raquo;. L'ONG rappelait aussi que &laquo;certains d&eacute;fenseurs des droits des personnes LGBT [avaient] d&eacute;j&agrave; &eacute;t&eacute; harcel&eacute;s et agress&eacute;s&raquo;.</p> <newline46mondego>  <p>De son c&ocirc;t&eacute;, le pr&eacute;sident am&eacute;ricain Barack Obama a indiqu&eacute; en septembre dernier qu'il n'avait &laquo;aucune patience pour les pays qui cherchaient &agrave; intimider ou nuire aux gays, lesbiennes ou les transsexuels&raquo;. La d&eacute;l&eacute;gation (...) <a rel=<doubleQuotes46>nofollow<doubleQuotes46> href=<doubleQuotes46>http://www.20minutes.fr/article/1290686/ynews1290686?xtor=RSS-176<doubleQuotes46>><strong>Lire la suite sur 20minutes.fr</strong><br /><br /></a><a href=<doubleQuotes46>http://www.20minutes.fr/monde/libye/1290674-20140205-libye-six-enfants-blesses-engin-explosif-ecole?xtor=RSS-176<doubleQuotes46> rel=<doubleQuotes46>nofollow<doubleQuotes46>>Libye: attentat &agrave; la bombe dans une &eacute;cole &agrave; Benghazi, 12 enfants bless&eacute;s</a><br /><a href=<doubleQuotes46>http://www.20minutes.fr/monde/1290678-20140205-onu-presse-vatican-deferer-pedophiles-a-justice?xtor=RSS-176<doubleQuotes46> rel=<doubleQuotes46>nofollow<doubleQuotes46>>L'ONU presse le Vatican de d&eacute;f&eacute;rer les p&eacute;dophiles &agrave; la justice</a><br /><a href=<doubleQuotes46>http://www.20minutes.fr/monde/irak/1290374-20140205-irak-sept-morts-attentats-a-bagdad?xtor=RSS-176<doubleQuotes46> rel=<doubleQuotes46>nofollow<doubleQuotes46>>Irak: 24 morts dans de nouveaux attentats &agrave; Bagdad</a><br /><a href=<doubleQuotes46>http://www.20minutes.fr/monde/russie/1290610-20140205-jo-2014-flamme-a-sotchi-manifestations-monde?xtor=RSS-176<doubleQuotes46> rel=<doubleQuotes46>nofollow<doubleQuotes46>>JO-2014: la flamme &agrave; Sotchi, des manifestations dans le monde</a><br /><a href=<doubleQuotes46>https://play.google.com/store/apps/details?id=com.backelite.vingtminutes&amp;hl=fr<doubleQuotes46> rel=<doubleQuotes46>nofollow<doubleQuotes46>>T&eacute;l&eacute;chargez gratuitement l'application Android 20 Minutes</a><br /></p> <newline46mondego>  <!-- google_ad_section_end --><newline46mondego> </div><newline46mondego></div><newline46mondego>"
"2854splitHere46","21579843splitHere46","ViewHolder.toString()"
"2855splitHere46","21579843splitHere46","@Override<newline46mondego>    public String toString() {<newline46mondego>        JSONObject obj = new JSONObject();<newline46mondego>        try {<newline46mondego>            obj.put(<doubleQuotes46>id<doubleQuotes46>, idField);<newline46mondego>            obj.put(<doubleQuotes46>name<doubleQuotes46>, name);<newline46mondego>            obj.put(<doubleQuotes46>price<doubleQuotes46>, price);<newline46mondego>        } catch (JSONException e) {<newline46mondego>            Log.e(getClass().getSimpleName(), e.toString());<newline46mondego>        }<newline46mondego>        return obj.toString();<newline46mondego>    }<newline46mondego>"
"2856splitHere46","21579934splitHere46","Question"
"2857splitHere46","21579934splitHere46","MultipleChoiceQuestion"
"2858splitHere46","21579934splitHere46","ShortAnswerQuestion"
"2859splitHere46","21579934splitHere46","EssayQuestion"
"2860splitHere46","21579934splitHere46","ORDER BY RANDOM() LIMIT N"
"2861splitHere46","21579934splitHere46","table with all questions, this will work quite easily for you. If not, you may need to do something similar where you poll for"
"2862splitHere46","21579934splitHere46","multiple choice questions,"
"2863splitHere46","21579934splitHere46","short answer questions, etc. where"
"2864splitHere46","21580025splitHere46","public static RealtimeClockListener clockListenerTest = new RealtimeClockListener() {<newline46mondego>    int _4Minutes = 60 * 4;<newline46mondego>    int _5Minutes = 60 * 5;<newline46mondego>    Dialog dialog4Minutes = null;<newline46mondego>    Dialog dialog5Minutes = null;<newline46mondego>    public void clockUpdated() {<newline46mondego>        synchronized (UiApplication.getEventLock()) {<newline46mondego>            UiEngine ui = Ui.getUiEngine();<newline46mondego>            if ( DeviceInfo.getIdleTime() < _4Minutes ){<newline46mondego>                // Shouldn't be needed - this is just for safety<newline46mondego>                if ( dialog4Minutes != null ) {<newline46mondego>                    dialog4Minutes.close();<newline46mondego>                    dialog4Minutes = null;<newline46mondego>                }<newline46mondego>            }<newline46mondego>            if ( DeviceInfo.getIdleTime() < _5Minutes ){<newline46mondego>                // Shouldn't be needed - this is just for safety<newline46mondego>                if ( dialog5Minutes != null ) {<newline46mondego>                    dialog5Minutes.close();<newline46mondego>                    dialog5Minutes = null;<newline46mondego>                }<newline46mondego>            }<newline46mondego>            if ( DeviceInfo.getIdleTime() >= _4Minutes && DeviceInfo.getIdleTime() < _5Minutes ) {<newline46mondego>                if ( dialog4Minutes == null ) {<newline46mondego>                    // 4 minute Dialog has not been pushed yet<newline46mondego>                    dialog4Minutes = new Dialog(<doubleQuotes46>Stay Logged In?<doubleQuotes46>, new String[] {<doubleQuotes46>SI<doubleQuotes46>, <doubleQuotes46>NO<doubleQuotes46>}, new int[]{1,2}, 2, null);<newline46mondego>                    ui.pushGlobalScreen(dialog4Minutes, 1,UiEngine.GLOBAL_QUEUE);<newline46mondego>                }<newline46mondego>            } else if ( DeviceInfo.getIdleTime()>=_5Minutes ) {<newline46mondego>                if ( dialog5Minutes == null ) {<newline46mondego>                    // 5 minute Dialog has not been pushed yet<newline46mondego>                    dialog5Minutes = new Dialog(<doubleQuotes46>You will be disconnected<doubleQuotes46>, new String[] {<doubleQuotes46>OK<doubleQuotes46>}, new int[]{1}, 1, null);<newline46mondego>                    ui.pushGlobalScreen(dialog5Minutes, 1,UiEngine.GLOBAL_QUEUE);<newline46mondego>                    if ( dialog4Minutes != null ) {<newline46mondego>                        dialog4Minutes.close();<newline46mondego>                        dialog4Minutes = null;<newline46mondego>                    }<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>};<newline46mondego>"
"2865splitHere46","21580067splitHere46","setText"
"2866splitHere46","21580067splitHere46","JLabel"
"2867splitHere46","21580067splitHere46","JLabel"
"2868splitHere46","21580067splitHere46","window()"
"2869splitHere46","21580067splitHere46","JPanel"
"2870splitHere46","21580067splitHere46","TestConsumption.printVan()"
"2871splitHere46","21580067splitHere46","JLabel accel"
"2872splitHere46","21580067splitHere46","JLabel fuel"
"2873splitHere46","21580067splitHere46","TestConsumption"
"2874splitHere46","21580067splitHere46","sportCar.addActionListener(new ActionListener(){<newline46mondego>    public void actionPerformed(ActionEvent e) {<newline46mondego>        userHorsepower = JOptionPane.showInputDialog(<doubleQuotes46>Enter Horsepower<doubleQuotes46>);<newline46mondego>        horsepower = Double.parseDouble(userHorsepower);<newline46mondego><newline46mondego>        userWeight = JOptionPane.showInputDialog(<doubleQuotes46>Enter Weight<doubleQuotes46>);<newline46mondego>        weight = Double.parseDouble(userWeight);<newline46mondego><newline46mondego>        userTopspeed = JOptionPane.showInputDialog(<doubleQuotes46>Enter Topspeed<doubleQuotes46>);<newline46mondego>        topspeed = Double.parseDouble(userTopspeed);<newline46mondego><newline46mondego>        aerodynamics = 0.5;<newline46mondego>        userInput = <doubleQuotes46>Sports Car<doubleQuotes46>;<newline46mondego><newline46mondego>        // These static methods would be added to your TestConsumption class<newline46mondego>        acceleration = TestConsumption.calculateAcceleration(...whatever params required for this calculation...);<newline46mondego>        fuelConsumption = TestConsumption.calculateFuelConsumption(...whatever params required for this calculation...);<newline46mondego><newline46mondego>        accel.setText(<doubleQuotes46>Acceleration: <doubleQuotes46> + acceleration);<newline46mondego>        fuel.setText(<doubleQuotes46>Fuel Consumption: <doubleQuotes46> + fuelConsumption);<newline46mondego><newline46mondego>        panel.repaint();<newline46mondego>}});<newline46mondego>"
"2875splitHere46","21580067splitHere46","accel"
"2876splitHere46","21580067splitHere46","fuel"
"2877splitHere46","21580067splitHere46","window()"
"2878splitHere46","21580067splitHere46","ActionListener"
"2879splitHere46","21580067splitHere46","actionPerformed"
"2880splitHere46","21580067splitHere46","Van"
"2881splitHere46","21580067splitHere46","SportCar"
"2882splitHere46","21580067splitHere46","van"
"2883splitHere46","21580067splitHere46","sportCar"
"2884splitHere46","21580067splitHere46","TestConsumption"
"2885splitHere46","21580067splitHere46","Vehicle"
"2886splitHere46","21580067splitHere46","JFrame"
"2887splitHere46","21580067splitHere46","acceleration"
"2888splitHere46","21580067splitHere46","topspeed"
"2889splitHere46","21580067splitHere46","Vehicle"
"2890splitHere46","21580067splitHere46","SportCar"
"2891splitHere46","21580067splitHere46","Van"
"2892splitHere46","21580067splitHere46","TestConsumption"
"2893splitHere46","21580067splitHere46","JFrame"
"2894splitHere46","21580067splitHere46","MainWindow"
"2895splitHere46","21580067splitHere46","accel"
"2896splitHere46","21580067splitHere46","fuel"
"2897splitHere46","21580369splitHere46","<?myxml .... ?>"
"2898splitHere46","21580369splitHere46","<?  ?>"
"2899splitHere46","21580369splitHere46","<?xml"
"2900splitHere46","21580369splitHere46","<?"
"2901splitHere46","21580369splitHere46","?>"
"2902splitHere46","21580369splitHere46","document.createProcessingInstruction"
"2903splitHere46","21580369splitHere46","ProcessingInstruction newPI = document.createProcessingInstruction(<newline46mondego>                                             <doubleQuotes46>myxml<doubleQuotes46>, <doubleQuotes46>version=\<doubleQuotes46>10.0\<doubleQuotes46><doubleQuotes46>);<newline46mondego>document.insertBefore(newPI, document.getDocumentElement());<newline46mondego>"
"2904splitHere46","21580369splitHere46","<?xml ...?>"
"2905splitHere46","21580369splitHere46","ProcessingInstruction"
"2906splitHere46","21580487splitHere46","singleton"
"2907splitHere46","21580487splitHere46","Datastore"
"2908splitHere46","21580487splitHere46","public enum MongoDBHelper { // the best way to implement singletons, due to the author of Effective Java  <newline46mondego>INSTANCE;<newline46mondego><newline46mondego>private DB db;<newline46mondego>private Datastore datastore;<newline46mondego><newline46mondego>private final String SERVER_URL = <doubleQuotes46>...<doubleQuotes46>;<newline46mondego>private final int SERVER_PORT = ...;<newline46mondego>private final String USERNAME= <doubleQuotes46>...<doubleQuotes46>;<newline46mondego>private final String PASSWORD = <doubleQuotes46>...<doubleQuotes46>;<newline46mondego>private final String DATABASE_NAME = <doubleQuotes46>...<doubleQuotes46>;<newline46mondego><newline46mondego>private MongoDBHelper() {<newline46mondego><newline46mondego>    try {<newline46mondego><newline46mondego>        MongoClient mongoClient = new MongoClient(SERVER_URL, SERVER_PORT);<newline46mondego><newline46mondego>        this.db = mongoClient.getDB(DATABASE_NAME);<newline46mondego>        this.db.authenticate(USERNAME,PASSWORD.toCharArray());<newline46mondego><newline46mondego>        Morphia morphia = new Morphia();<newline46mondego><newline46mondego>        this.datastore = morphia.createDatastore(mongoClient, DATABASE_NAME);<newline46mondego><newline46mondego>        morphia.mapPackage(<doubleQuotes46>package<doubleQuotes46>);<newline46mondego>    } catch (UnknownHostException e) {<newline46mondego>        e.printStackTrace();<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>public DB getDB() {<newline46mondego>    return this.db;<newline46mondego>}<newline46mondego><newline46mondego>public Datastore getDatastore() {<newline46mondego>    return this.datastore;<newline46mondego>}<newline46mondego>}<newline46mondego>"
"2909splitHere46","21580487splitHere46","Datastore"
"2910splitHere46","21580487splitHere46","Datastore datastore = MongoDBHelper.INSTANCE.getDatastore()<newline46mondego>"
"2911splitHere46","21580641splitHere46","txtLatitude = (EditText) findViewById(R.id.latitude_edit);<newline46mondego>"
"2912splitHere46","21580641splitHere46","txtLatitude = (EditText) findViewById(R.id.latitude_edit);<newline46mondego>System.err.println(<doubleQuotes46>txtLatitude exists: <doubleQuotes46>+(txtLatitude!=null));<newline46mondego>"
"2913splitHere46","21580641splitHere46","System.err.println(<doubleQuotes46>latitude_edit is EditText: <doubleQuotes46>+(findViewById(R.id.latitude_edit) instanceof EditText);<newline46mondego>"
"2914splitHere46","21580641splitHere46","startActivityForResult(intent, requestCode); //requestCode is any unique number>0 you want.<newline46mondego>"
"2915splitHere46","21580641splitHere46","protected void onActivityResult(int requestCode, int resultCode, Intent data) {<newline46mondego>  if (requestCode == x) { //x is the requestCode you chose above<newline46mondego>     if(resultCode == RESULT_OK){<newline46mondego>         String latitude=data.getStringExtra(<doubleQuotes46>latitude<doubleQuotes46>);<newline46mondego>         String longitude=data.getStringExtra(<doubleQuotes46>longitude<doubleQuotes46>);<newline46mondego>     } else if (resultCode == RESULT_CANCELED) {    <newline46mondego>         //ActivityB was closed before you put any results<newline46mondego>     }<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"2916splitHere46","21580641splitHere46","public void ReturnMapData(LatLng arg) {<newline46mondego>    Intent intent = this.getIntent();<newline46mondego>    intent.putExtra(<doubleQuotes46>latitude<doubleQuotes46>, String.valueOf(arg.latitude));<newline46mondego>    intent.putExtra(<doubleQuotes46>longitude<doubleQuotes46>, String.valueOf(arg.longitude));<newline46mondego>    this.setResult(RESULT_OK, intent);<newline46mondego>}<newline46mondego>"
"2917splitHere46","21580765splitHere46","final Job job = new Job(<doubleQuotes46>Name<doubleQuotes46>)<newline46mondego>{<newline46mondego><newline46mondego>  @Override<newline46mondego>  protected IStatus run( final IProgressMonitor monitor )<newline46mondego>  {<newline46mondego>  // do something<newline46mondego>    schedule( delay ) // schedule again after <doubleQuotes46>delay<doubleQuotes46> mili seconds<newline46mondego>    return status;<newline46mondego>  }<newline46mondego>};<newline46mondego>job.schedule();<newline46mondego>"
"2918splitHere46","21580915splitHere46","package com.stackoverflow;<newline46mondego>public class ActionClass extends Action {<newline46mondego>    public Map act(Redirector redirector, SourceResolver resolver, Map objectModel, String source, Parameters params) {<newline46mondego>        Map<String, String> sitemapParams = new HashMap<String, String>();<newline46mondego>        sitemapParams.put(<doubleQuotes46>myVariable<doubleQuotes46>, <doubleQuotes46>hello world!<doubleQuotes46>);<newline46mondego>        return sitemapParams;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2919splitHere46","21580915splitHere46","<map:components><newline46mondego>    <map:actions><newline46mondego>        <map:action name=<doubleQuotes46>myAction<doubleQuotes46> src=<doubleQuotes46>com.stackoverflow.ActionClass<doubleQuotes46> /><newline46mondego>    </map:actions><newline46mondego></map:components><newline46mondego>...<newline46mondego><map:match ...><newline46mondego>    <map:generate ... /><newline46mondego>    <map:act type=<doubleQuotes46>myAction<doubleQuotes46>><newline46mondego>        <map:transform src=<doubleQuotes46>myTransformation.xsl<doubleQuotes46>><newline46mondego>            <map:parameter name=<doubleQuotes46>something<doubleQuotes46> value=<doubleQuotes46>{myVariable}<doubleQuotes46>/><newline46mondego>        </map:transform><newline46mondego>    </map:act><newline46mondego>    <map:serialize .../><newline46mondego></map:match><newline46mondego>"
"2920splitHere46","21580915splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>ISO-8859-1<doubleQuotes46>?><newline46mondego><xsl:stylesheet version=<doubleQuotes46>1.0<doubleQuotes46> xmlns:xsl=<doubleQuotes46>http://www.w3.org/1999/XSL/Transform<doubleQuotes46>><newline46mondego><newline46mondego>    <xsl:param name=<doubleQuotes46>something<doubleQuotes46> select=<doubleQuotes46>'default value if you wish to specify one'<doubleQuotes46>/><newline46mondego><newline46mondego>    <xsl:template match=<doubleQuotes46>xxx<doubleQuotes46>><newline46mondego>        <html><body>...<newline46mondego>            <xsl:value-of select=<doubleQuotes46>$something<doubleQuotes46> /><newline46mondego>        ...</body></html><newline46mondego>    </xsl:template><newline46mondego></xsl:stylesheet><newline46mondego>"
"2921splitHere46","21580915splitHere46","import org.xml.sax.InputSource;<newline46mondego>import org.xml.sax.XMLReader;<newline46mondego>import org.xml.sax.helpers.XMLReaderFactory;<newline46mondego>...<newline46mondego><newline46mondego>public class GeneratorClass extends AbstractGenerator {<newline46mondego><newline46mondego>    private String foo;<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void setup(SourceResolver resolver, Map objectModel, String src, Parameters params) throws ProcessingException, SAXException, IOException {<newline46mondego>        super.setup(resolver, objectModel, src, params);<newline46mondego>        // you can read input parameters in here:<newline46mondego>        foo = params.getParameter(<doubleQuotes46>someParameter<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    public void generate() throws IOException, SAXException, ProcessingException {<newline46mondego>        ArrayList<ResultBean> beans = xQuery(foo);<newline46mondego><newline46mondego>        // Let's build the XML document. I'll do it by manually appending text strings,<newline46mondego>        // but there is no need, we could just use Xstream or any similar library<newline46mondego>        StringBuilder xml = new StringBuilder();<newline46mondego>        xml.append(<doubleQuotes46><results><doubleQuotes46>);<newline46mondego><newline46mondego>        // Iterate through the array list...<newline46mondego>        for (ResultBean b : beans) {<newline46mondego>            xml.append(<doubleQuotes46><result><doubleQuotes46>);<newline46mondego>            xml.append(<doubleQuotes46><id><doubleQuotes46>).append(b.getId()).append(<doubleQuotes46></id><doubleQuotes46>);<newline46mondego>            xml.append(<doubleQuotes46><title><doubleQuotes46>).append(b.getTitle()).append(<doubleQuotes46></title><doubleQuotes46>);<newline46mondego>            xml.append(<doubleQuotes46></result><doubleQuotes46>);<newline46mondego>        }<newline46mondego><newline46mondego>        // ... and we end the XML string<newline46mondego>        xml.append(<doubleQuotes46></results><doubleQuotes46>);<newline46mondego><newline46mondego>        // Return the XML to Cocoon's pipeline<newline46mondego>        XMLReader xmlreader = XMLReaderFactory.createXMLReader();<newline46mondego>        xmlreader.setContentHandler(super.xmlConsumer);<newline46mondego>        InputSource source = new InputSource(new StringReader(xml.toString()));<newline46mondego>        xmlreader.parse(source);<newline46mondego>        try {<newline46mondego>            this.finalize();<newline46mondego>        } catch (Throwable e) {<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"2922splitHere46","21580915splitHere46","<map:components><newline46mondego>    <map:generators><newline46mondego>        <map:generator type=<doubleQuotes46>myGenerator<doubleQuotes46> src=<doubleQuotes46>com.stackoverflow.GeneratorClass<doubleQuotes46> /><newline46mondego>    </map:generators><newline46mondego>/<map:components><newline46mondego><newline46mondego><map:generate type=<doubleQuotes46>myGenerator<doubleQuotes46>><newline46mondego>    <!-- if you need to pass input data to the generator... --><newline46mondego>    <map:parameter name=<doubleQuotes46>someParameter<doubleQuotes46> select=<doubleQuotes46>{request-param:something}<doubleQuotes46> /><newline46mondego></map:generate><newline46mondego><map:transform src=<doubleQuotes46>myTransformation.xsl<doubleQuotes46> /><newline46mondego><map:serialize type=<doubleQuotes46>html<doubleQuotes46>/><newline46mondego>"
"2923splitHere46","21580915splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><xsl:stylesheet version=<doubleQuotes46>1.0<doubleQuotes46> xmlns:xsl=<doubleQuotes46>http://www.w3.org/1999/XSL/Transform<doubleQuotes46>><newline46mondego><newline46mondego><xsl:template match=<doubleQuotes46>/<doubleQuotes46>><newline46mondego>    <html><newline46mondego>        <head></head><newline46mondego>        <body><newline46mondego>            <table><newline46mondego>                <xsl:for-each select=<doubleQuotes46>results/result<doubleQuotes46>><newline46mondego>                    <tr><newline46mondego>                        <td><xsl:value-of select=<doubleQuotes46>id/text()<doubleQuotes46>/></td><newline46mondego>                        <td><xsl:value-of select=<doubleQuotes46>title/text()<doubleQuotes46>/></td><newline46mondego>                    </tr><newline46mondego>                </xsl:for-each><newline46mondego>            </table><newline46mondego>        </body><newline46mondego>    </html><newline46mondego></xsl:template><newline46mondego>"
"2924splitHere46","21581118splitHere46","setLayout(new GridLayout());<newline46mondego>"
"2925splitHere46","21581118splitHere46","GridLayout"
"2926splitHere46","21581118splitHere46","GridLayout"
"2927splitHere46","21581118splitHere46","LayoutManager"
"2928splitHere46","21581168splitHere46",";"
"2929splitHere46","21581168splitHere46","writer.println(<doubleQuotes46>    System.out.println(\<doubleQuotes46>Hello from AutoGenerated World\<doubleQuotes46>);<doubleQuotes46>);<newline46mondego>                                                                          ^<newline46mondego>"
"2930splitHere46","21581206splitHere46","log4j.rootLogger=INFO, stdout<newline46mondego><newline46mondego>log4j.appender.stdout=org.apache.log4j.ConsoleAppender<newline46mondego>log4j.appender.stdout.layout=org.apache.log4j.PatternLayout<newline46mondego>log4j.appender.stdout.layout.ConversionPattern=%d %p %c - %m%n<newline46mondego>"
"2931splitHere46","21581488splitHere46","List"
"2932splitHere46","21581488splitHere46","PdfPTable"
"2933splitHere46","21581488splitHere46","PdfPTable table = new PdfPTable(2);<newline46mondego>    table.setTotalWidth(200);<newline46mondego>    table.setWidths(new int[]{ 1, 10 });<newline46mondego>    table.setHorizontalAlignment(Element.ALIGN_LEFT);<newline46mondego>    PdfPCell cell;<newline46mondego>    cell = new PdfPCell();<newline46mondego>    cell.setBorder(PdfPCell.NO_BORDER);<newline46mondego>    cell.addElement(new Paragraph(<doubleQuotes46>Label<doubleQuotes46>));<newline46mondego>    table.addCell(cell);<newline46mondego>    cell = new PdfPCell();<newline46mondego>    cell.setBorder(PdfPCell.NO_BORDER);<newline46mondego>    List list = new List(List.UNORDERED);<newline46mondego>    list.add(new ListItem(new Chunk(<doubleQuotes46>Value 1<doubleQuotes46>)));<newline46mondego>    list.add(new ListItem(new Chunk(<doubleQuotes46>Value 2<doubleQuotes46>)));<newline46mondego>    list.add(new ListItem(new Chunk(<doubleQuotes46>Value 3<doubleQuotes46>)));<newline46mondego>    cell.addElement(list);<newline46mondego>    table.addCell(cell);<newline46mondego>"
"2934splitHere46","21581495splitHere46","import java.lang.reflect.{Method, InvocationHandler, Proxy}<newline46mondego><newline46mondego>object ProxyTesting {<newline46mondego><newline46mondego>  class ProxyInvocationHandler extends InvocationHandler {<newline46mondego>    def invoke(proxy: scala.AnyRef, method: Method, args: Array[AnyRef]): AnyRef = {<newline46mondego>      println(<doubleQuotes46>Hello Stackoverflow when invoking method with name \<doubleQuotes46>%s\<doubleQuotes46><doubleQuotes46>.format(method.getName))<newline46mondego>      proxy<newline46mondego>    }<newline46mondego>  }<newline46mondego><newline46mondego>  trait Iface {<newline46mondego>    def doNothing()<newline46mondego>  }<newline46mondego><newline46mondego>  def main(args: Array[String]) {<newline46mondego>    val handler = new ProxyInvocationHandler<newline46mondego><newline46mondego>    val impl = Proxy.newProxyInstance(<newline46mondego>      classOf[Iface].getClassLoader,<newline46mondego>      Array(classOf[Iface]),<newline46mondego>      handler<newline46mondego>    ).asInstanceOf[Iface]<newline46mondego><newline46mondego>    impl.doNothing()<newline46mondego>  }<newline46mondego><newline46mondego>}<newline46mondego>"
"2935splitHere46","21581501splitHere46","ResourceBundle.getBundle(baseName, locale, loader);<newline46mondego>"
"2936splitHere46","21581503splitHere46","amount = fileIN.nextInt();<newline46mondego>"
"2937splitHere46","21581503splitHere46","int"
"2938splitHere46","21581503splitHere46","InputMismatchException"
"2939splitHere46","21581602splitHere46","<dependency><newline46mondego>    <groupId>org.springframework</groupId><newline46mondego>    <artifactId>spring-context-support</artifactId><newline46mondego>    <version>...</version><newline46mondego></dependency><newline46mondego><newline46mondego><dependency><newline46mondego>   <groupId>com.sun.mail</groupId><newline46mondego>   <artifactId>mailapi</artifactId><newline46mondego>   <version>1.5.0</version><newline46mondego></dependency><newline46mondego><newline46mondego><dependency><newline46mondego>   <groupId>com.sun.mail</groupId><newline46mondego>   <artifactId>smtp</artifactId><newline46mondego>   <version>1.5.0</version><newline46mondego></dependency><newline46mondego>"
