"1splitHere46","8938876splitHere46","new EventHandler<ActionEvent>() {<newline46mondego>        @Override // <- notice the annotation, it overrides from the interface.<newline46mondego>        public void handle(ActionEvent event) {<newline46mondego>                System.out.print(<doubleQuotes46>Hello World !!<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"1677splitHere46","8984326splitHere46","Ancestor"
"1678splitHere46","8984326splitHere46","Connector"
"1679splitHere46","8984326splitHere46",">=1"
"1680splitHere46","8984326splitHere46",">1"
"1681splitHere46","8984326splitHere46","BasicShapes"
"1682splitHere46","8984326splitHere46","roomColor = display.getSystemColor(SWT.COLOR_DARK_GREEN);<newline46mondego>wallColor = display.getSystemColor(SWT.COLOR_RED);<newline46mondego>doorColor = display.getSystemColor(SWT.COLOR_BLUE);<newline46mondego>"
"1683splitHere46","8984327splitHere46","GZIPInputStream.close()"
"1684splitHere46","8984327splitHere46","/**<newline46mondego> * Closes this input stream and releases any system resources associated<newline46mondego> * with the stream.<newline46mondego> * @exception IOException if an I/O error has occurred<newline46mondego> */<newline46mondego>public void close() throws IOException {<newline46mondego>    if (!closed) {<newline46mondego>        super.close();  <newline46mondego>        eos = true;<newline46mondego>        closed = true;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1685splitHere46","8984327splitHere46","GZIPInputStream"
"1686splitHere46","8984327splitHere46","/**<newline46mondego> * Creates a new input stream with the specified buffer size.<newline46mondego> * @param in the input stream<newline46mondego> * @param size the input buffer size<newline46mondego> * @exception IOException if an I/O error has occurred<newline46mondego> * @exception IllegalArgumentException if size is <= 0<newline46mondego> */<newline46mondego>public GZIPInputStream(InputStream in, int size) throws IOException {<newline46mondego>super(in, new Inflater(true), size);<newline46mondego>    usesDefaultInflater = true;<newline46mondego>        readHeader(in);<newline46mondego>}<newline46mondego>"
"1687splitHere46","8984327splitHere46","in"
"1688splitHere46","8984327splitHere46","InflaterInputStream"
"1689splitHere46","8984327splitHere46","InflaterInputStream.close()"
"1690splitHere46","8984327splitHere46","/**<newline46mondego> * Closes this input stream and releases any system resources associated<newline46mondego> * with the stream.<newline46mondego> * @exception IOException if an I/O error has occurred<newline46mondego> */<newline46mondego>public void close() throws IOException {<newline46mondego>    if (!closed) {<newline46mondego>        if (usesDefaultInflater)<newline46mondego>            inf.end();<newline46mondego>    in.close();<newline46mondego>        closed = true;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1691splitHere46","8984327splitHere46","in.close()"
"1692splitHere46","8984327splitHere46","FileInputStream"
"1693splitHere46","8984327splitHere46","GZIPInputStream.close()"
"1694splitHere46","8984327splitHere46","fis.close()"
"1695splitHere46","8984354splitHere46","@Test<newline46mondego>public void testSequenceCreation() throws ClassNotFoundException {<newline46mondego>    EnvironmentConfig econf = EnvironmentConfig.DEFAULT.setAllowCreate(true);<newline46mondego>    Environment env = new Environment(envHome, econf);<newline46mondego><newline46mondego>    StoreConfig sconf = StoreConfig.DEFAULT.setAllowCreate(true);<newline46mondego>    EntityStore store = new EntityStore(env, <doubleQuotes46>TestStore<doubleQuotes46>, sconf);<newline46mondego><newline46mondego>    store.setPrimaryConfig(FakeEntity.class, <newline46mondego>            DatabaseConfig.DEFAULT.setAllowCreate(true));<newline46mondego>    store.setSequenceConfig(<doubleQuotes46>testSequence<doubleQuotes46>, SequenceConfig.DEFAULT.setAllowCreate(true));<newline46mondego><newline46mondego>    Sequence seq = store.getSequence(<doubleQuotes46>testSequence<doubleQuotes46>);<newline46mondego>    Assert.assertEquals(0, seq.get(null, 1));<newline46mondego>    Assert.assertEquals(1, seq.get(null, 1));<newline46mondego>    Assert.assertEquals(2, seq.get(null, 1));<newline46mondego><newline46mondego>    store.sync();<newline46mondego><newline46mondego>    seq.close();<newline46mondego>    store.close();<newline46mondego>    env.close();        <newline46mondego>}<newline46mondego>"
"1696splitHere46","8984437splitHere46","mymapView.getCenter();<newline46mondego>"
"1697splitHere46","8984475splitHere46","@MappedSuperClass<newline46mondego>class BaseEntity {<newline46mondego>  @Id<newline46mondego>  private int id;<newline46mondego>}<newline46mondego><newline46mondego>@Entity<newline46mondego>class UserEnity extends BaseEntity {<newline46mondego>  //user stuff like name<newline46mondego>}<newline46mondego><newline46mondego>class BaseDAO<T extends BaseEntity> {<newline46mondego>  public T findById(int id) { <newline46mondego>    ... <newline46mondego>  }<newline46mondego>  //other generic CRUD methods<newline46mondego>}<newline46mondego><newline46mondego>@Stateless<newline46mondego>class UserDAO extends BaseDAO<UserEntity> {<newline46mondego>  //additional user specific methods<newline46mondego>}<newline46mondego>"
"1698splitHere46","8984475splitHere46","UserDAO userDao; //some injection or lookup<newline46mondego><newline46mondego> //no explicit cast needed here, thanks to generics<newline46mondego> UserEntity user = userDao.findById(userId);<newline46mondego><newline46mondego> //compiler error due to the generic parameter being UserEntity and AnotherEntity doesn't extend that<newline46mondego> AnotherEntity a = userDao.findById(someId);<newline46mondego>"
"1699splitHere46","8984523splitHere46","<doubleQuotes46>Reference Handler<doubleQuotes46> daemon prio=10 tid=0x00a98400 nid=0x1ee8 in Object.wait() [0x00b6f000]<newline46mondego>           java.lang.Thread.State: WAITING (on object monitor)<newline46mondego>                at java.lang.Object.wait(Native Method)<newline46mondego>                at java.lang.Object.wait(Object.java:485)<newline46mondego>                at java.lang.ref.Reference$ReferenceHandler.run(Reference.java:116)<newline46mondego>                - locked <0x19835fa0> (a java.lang.ref.Reference$Lock)<newline46mondego><newline46mondego>    <doubleQuotes46>VM Thread<doubleQuotes46> prio=10 tid=0x00a95800 nid=0x264 runnable<newline46mondego>"
"1700splitHere46","8984627splitHere46","arr[0]"
"1701splitHere46","8984627splitHere46","tmp"
"1702splitHere46","8984627splitHere46","arr[0]"
"1703splitHere46","8984627splitHere46","tmp"
"1704splitHere46","8984627splitHere46","ArrayList"
"1705splitHere46","8984627splitHere46","addArray"
"1706splitHere46","8984627splitHere46","addArray"
"1707splitHere46","8984627splitHere46","addArray"
"1708splitHere46","8984694splitHere46","Action myBackspace = ...<newline46mondego>ActionMap map = ((JComponent) decorateCombo.getEditor().getEditorComponent())<newline46mondego>     .getActionMap();<newline46mondego>map.put(<doubleQuotes46>nonstrict-backspace<doubleQuotes46>, myBackspace);<newline46mondego>"
"1709splitHere46","8984694splitHere46","InputMap map = ((JComponent) decorateCombo.getEditor().getEditorComponent())<newline46mondego>    .getInputMap();<newline46mondego>map.put(KeyStroke.getKeyStroke(java.awt.event.KeyEvent.VK_BACK_SPACE, 0), <newline46mondego>            DefaultEditorKit.deletePrevCharAction);<newline46mondego>"
"1710splitHere46","8984783splitHere46","unmarshal"
"1711splitHere46","8984818splitHere46","587"
"1712splitHere46","8984818splitHere46","465"
"1713splitHere46","8984818splitHere46","Session mailSession = Session.getDefaultInstance(props, <newline46mondego>  new javax.mail.Authenticator() {<newline46mondego>    protected PasswordAuthentication getPasswordAuthentication() {<newline46mondego>      return new PasswordAuthentication(<doubleQuotes46>xxxxxx<doubleQuotes46>, <doubleQuotes46>xxxxxx<doubleQuotes46>);<newline46mondego>    }<newline46mondego>  }<newline46mondego> );<newline46mondego>"
"1714splitHere46","8984899splitHere46","X509EncodedKeySpec"
"1715splitHere46","8984899splitHere46","x509EncodedKeySpecs"
"1716splitHere46","8984899splitHere46","import"
"1717splitHere46","8984976splitHere46","public String escapeXml(String s) {<newline46mondego>    return s.replaceAll(<doubleQuotes46>&<doubleQuotes46>, <doubleQuotes46>&amp;<doubleQuotes46>).replaceAll(<doubleQuotes46>><doubleQuotes46>, <doubleQuotes46>&gt;<doubleQuotes46>).replaceAll(<doubleQuotes46><<doubleQuotes46>, <doubleQuotes46>&lt;<doubleQuotes46>).replaceAll(<doubleQuotes46>\<doubleQuotes46><doubleQuotes46>, <doubleQuotes46>&quot;<doubleQuotes46>).replaceAll(<doubleQuotes46>'<doubleQuotes46>, <doubleQuotes46>&apos;<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"1718splitHere46","8984992splitHere46","<wicket:enclosure>"
"1719splitHere46","8984992splitHere46","<wicket:enclosure><newline46mondego>    <td id=<doubleQuotes46>row1<doubleQuotes46>><span wicket:id=<doubleQuotes46>state<doubleQuotes46>>Servicio de Reprografia</span></td><newline46mondego></wicket:enclosure><newline46mondego><newline46mondego><newline46mondego>state.setVisible(false);<newline46mondego>target.addComponent(state);<newline46mondego>"
"1720splitHere46","8984997splitHere46","httpost.setHeader(<doubleQuotes46>Content-type<doubleQuotes46>, <doubleQuotes46>application/json;charset=utf8<doubleQuotes46>);<newline46mondego>"
"1721splitHere46","8984997splitHere46","httpost.setHeader(<doubleQuotes46>Content-type<doubleQuotes46>, <doubleQuotes46>application/json; charset=utf-8<doubleQuotes46>);<newline46mondego>"
"1722splitHere46","8984997splitHere46","StringEntity se = new StringEntity(JSONRequest,<doubleQuotes46>utf-8<doubleQuotes46>);<newline46mondego>"
"1723splitHere46","8985116splitHere46","CharBuffer charBuf = CharBuffer.allocate(1000);<newline46mondego>for (int i = 0; i < 10; i++) <newline46mondego>{<newline46mondego>    String text = <doubleQuotes46>testing<doubleQuotes46> + i + <doubleQuotes46>\n<doubleQuotes46>;<newline46mondego>    charBuf.put(text);<newline46mondego>}<newline46mondego>charBuf.rewind();<newline46mondego>System.out.println(charBuf);<newline46mondego>"
"1724splitHere46","8985134splitHere46","Class<POP>"
"1725splitHere46","8985134splitHere46","Class<String>"
"1726splitHere46","8985134splitHere46","Class"
"1727splitHere46","8985134splitHere46","Class<?>"
"1728splitHere46","8985134splitHere46","Class.forName(<doubleQuotes46>String<doubleQuotes46>); // Won't work<newline46mondego>Class.forName(<doubleQuotes46>java.lang.String<doubleQuotes46>); // Is what you need.<newline46mondego>"
"1729splitHere46","8985134splitHere46","Class<?> cl2 = ... ;        <newline46mondego><newline46mondego>    // If the class has a no-arg visible constructor<newline46mondego>    Object foo = cl2.newInstance();<newline46mondego><newline46mondego>    // Or using an explicit constructor (here with an integer and a String as arguments)<newline46mondego>    Constructor<Class<?>> cons = cl2.getConstructor(Integer.class, String.class);<newline46mondego>    Object bar = cons.newInstance(1, <doubleQuotes46>baz<doubleQuotes46>);<newline46mondego>"
"1730splitHere46","8985323splitHere46","spring-security-web"
"1731splitHere46","8985323splitHere46","spring-security-config"
"1732splitHere46","8985323splitHere46","pom.xml"
"1733splitHere46","8985323splitHere46","<form-login>"
"1734splitHere46","8985323splitHere46","<http-basic>"
"1735splitHere46","8985323splitHere46","auto-config = <doubleQuotes46>true<doubleQuotes46>"
"1736splitHere46","8985440splitHere46","Uint32 blue = 0x0000FF;<newline46mondego>"
"1737splitHere46","8985440splitHere46","Uint32 blue = 0x880000FF; // ~50% transparent blue<newline46mondego>"
"1738splitHere46","8985476splitHere46","Collections.addAll(myArrayList, '+', '-', '*', '^');<newline46mondego>"
"1739splitHere46","8985476splitHere46","List<Character> myArrayList = new ArrayList<Character>(Arrays.asList('+', '-', '*', '^'));<newline46mondego>"
"1740splitHere46","8985476splitHere46","list = Arrays.asList(...)"
"1741splitHere46","8985501splitHere46","org.eclipse.draw2d.PolygonShape"
"1742splitHere46","8985501splitHere46","org.eclipse.draw2d.Polygon"
"1743splitHere46","8985614splitHere46","y"
"1744splitHere46","8985614splitHere46","n"
"1745splitHere46","8985614splitHere46","public class Test {<newline46mondego>    public static void main(String args[]) {<newline46mondego><newline46mondego>        NewThread ob2 = new NewThread(<doubleQuotes46>One<doubleQuotes46>);<newline46mondego>        Scanner scanner = new Scanner(System.in);<newline46mondego>        while(true) {<newline46mondego>            String username = scanner.nextLine();<newline46mondego>            if (username.equals(<doubleQuotes46>y<doubleQuotes46>)) {<newline46mondego>                Thread.interrupted();<newline46mondego><newline46mondego>                // Thread.sleep(10000);<newline46mondego>                ob2.mysuspend();<newline46mondego>                System.out.println(<doubleQuotes46>Suspending thread One<doubleQuotes46>);                    <newline46mondego><newline46mondego>            }<newline46mondego>            if (username.equals(<doubleQuotes46>n<doubleQuotes46>)) {<newline46mondego>                ob2.myresume();<newline46mondego>                System.out.println(<doubleQuotes46>Resuming thread One<doubleQuotes46>);<newline46mondego>            }<newline46mondego>            if (username.equals(<doubleQuotes46>q<doubleQuotes46>)) {<newline46mondego>                ob2.myresume();<newline46mondego>                break;          <newline46mondego>            }<newline46mondego>        }<newline46mondego>        // wait for threads to finish<newline46mondego>        try {<newline46mondego>            System.out.println(<doubleQuotes46>Waiting for threads to finish.<doubleQuotes46>);<newline46mondego>            ob2.t.join();<newline46mondego><newline46mondego>        } catch (InterruptedException e) {<newline46mondego>            System.out.println(<doubleQuotes46>Main thread Interrupted<doubleQuotes46>);<newline46mondego>        }<newline46mondego>        System.out.println(<doubleQuotes46>Main thread exiting.<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1746splitHere46","8985667splitHere46","for (Entry<String, String> pair : streetno.entrySet()) {<newline46mondego>      if (pair.getValue().equals(<doubleQuotes46>Dravid<doubleQuotes46>)) {<newline46mondego>        System.out.println(<doubleQuotes46>Found Dravid at key: <doubleQuotes46> + pair.getKey());<newline46mondego>      }<newline46mondego>    }<newline46mondego>"
"1747splitHere46","8985694splitHere46","InputStream is = new FileInputStream(filePath);<newline46mondego><newline46mondego>SAXReader reader = new SAXReader();<newline46mondego>org.dom4j.Document doc = reader.read(is);<newline46mondego>is.close();<newline46mondego>Element content = doc.getRootElement();  //this will return the root element in your xml file<newline46mondego>List<Element> methodEls = content.elements(<doubleQuotes46>element<doubleQuotes46>); // this will retun List of all Elements with name <doubleQuotes46>element<doubleQuotes46> <newline46mondego>"
"1748splitHere46","8985959splitHere46","@OneToOne"
"1749splitHere46","8985959splitHere46","optional"
"1750splitHere46","8986223splitHere46","setBackground"
"1751splitHere46","8986223splitHere46","TreeCellRenderer"
"1752splitHere46","8986223splitHere46","Color"
"1753splitHere46","8986223splitHere46","Color clr = UIManager.getColor(<doubleQuotes46>Tree.textForeground<doubleQuotes46>);<newline46mondego>"
"1754splitHere46","8986299splitHere46","public class ConstantCodes<newline46mondego>{<newline46mondego>      public static String PublicVariable = <doubleQuotes46>I am public variable<doubleQuotes46>; <newline46mondego>}<newline46mondego>"
"1755splitHere46","8986299splitHere46","String myStr = ConstantCodes.PublicVariable;<newline46mondego>"
"1756splitHere46","8986419splitHere46","<iframe>"
"1757splitHere46","8986535splitHere46","t.connect(host, user, password)"
"1758splitHere46","8986535splitHere46","t.sendMessage(message, addresses)"
"1759splitHere46","8986535splitHere46","Transport"
"1760splitHere46","8986535splitHere46","Transport t = session.getTransport(<doubleQuotes46>smtp<doubleQuotes46>)"
"1761splitHere46","8986582splitHere46","HashSet"
"1762splitHere46","8986700splitHere46","<form method=<doubleQuotes46>post<doubleQuotes46> action=<doubleQuotes46>http://example.com/somescript<doubleQuotes46>><newline46mondego>    <input type=<doubleQuotes46>text<doubleQuotes46> name=<doubleQuotes46>text1<doubleQuotes46> /><newline46mondego>    <input type=<doubleQuotes46>text<doubleQuotes46> name=<doubleQuotes46>text2<doubleQuotes46> /><newline46mondego>    <input type=<doubleQuotes46>hidden<doubleQuotes46> name=<doubleQuotes46>hidden1<doubleQuotes46> value=<doubleQuotes46>hidden1value<doubleQuotes46> /><newline46mondego>    <input type=<doubleQuotes46>submit<doubleQuotes46> name=<doubleQuotes46>button1<doubleQuotes46> value=<doubleQuotes46>Submit<doubleQuotes46> /><newline46mondego>    <input type=<doubleQuotes46>submit<doubleQuotes46> name=<doubleQuotes46>button2<doubleQuotes46> value=<doubleQuotes46>Other button<doubleQuotes46> /><newline46mondego></form><newline46mondego>"
"1763splitHere46","8986700splitHere46","Document document = Jsoup.connect(<doubleQuotes46>http://example.com/somescript<doubleQuotes46>)<newline46mondego>    .data(<doubleQuotes46>text1<doubleQuotes46>, <doubleQuotes46>yourText1Value<doubleQuotes46>) // Fill the first input field.<newline46mondego>    .data(<doubleQuotes46>text2<doubleQuotes46>, <doubleQuotes46>yourText2Value<doubleQuotes46>) // Fill the second input field.<newline46mondego>    .data(<doubleQuotes46>hidden1<doubleQuotes46>, <doubleQuotes46>hidden1value<doubleQuotes46>) // You need to keep it unmodified!<newline46mondego>    .data(<doubleQuotes46>button1<doubleQuotes46>, <doubleQuotes46>Submit<doubleQuotes46>)       // This way the server knows which button was pressed.<newline46mondego>    .post();<newline46mondego><newline46mondego>// ...<newline46mondego>"
"1764splitHere46","8986700splitHere46","Jsoup#parse()"
"1765splitHere46","8986746splitHere46","BufferedReader"
"1766splitHere46","8986746splitHere46","BufferedReader buf2 = new BufferedReader(new InputStreamReader(<newline46mondego>    new FileInputStream(<doubleQuotes46>D:/info.txt<doubleQuotes46>), <doubleQuotes46>UTF-8<doubleQuotes46>));<newline46mondego>"
"1767splitHere46","8986746splitHere46","FileReader"
"1768splitHere46","8986870splitHere46","<jb:bean>"
"1769splitHere46","8986878splitHere46","<ui:repeat>"
"1770splitHere46","8986878splitHere46","<h:inputText>"
"1771splitHere46","8986878splitHere46","frmMY:myRepeat:txtDatum"
"1772splitHere46","8986878splitHere46","<ui:repeat>"
"1773splitHere46","8986878splitHere46","<c:forEach>"
"1774splitHere46","8986878splitHere46","<h:inputText>"
"1775splitHere46","8986878splitHere46","<c:forEach>"
"1776splitHere46","8986878splitHere46","Validator"
"1777splitHere46","8987105splitHere46","getSingleton()"
"1778splitHere46","8987105splitHere46","Someclass"
"1779splitHere46","8987105splitHere46","public class Foo {<newline46mondego>    private static Foo INSTANCE = new Foo(); // Prints null<newline46mondego>    private static String s = <doubleQuotes46>foo<doubleQuotes46>;<newline46mondego><newline46mondego>    public Foo() {<newline46mondego>        System.out.println(s);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1780splitHere46","8987202splitHere46","double"
"1781splitHere46","8987223splitHere46","public class InvocationHelloWorld {<newline46mondego>    public static void main(String[] args) {<newline46mondego>        System.out.println(<doubleQuotes46>Hello, World!<doubleQuotes46>);<newline46mondego>        System.out.println(<doubleQuotes46>Arguments sent to this program:<doubleQuotes46>);<newline46mondego>        if (args.length == 0) {<newline46mondego>            System.out.println(<doubleQuotes46>(None)<doubleQuotes46>);<newline46mondego>        } else {<newline46mondego>            for (int i=0; i<args.length; i++) {<newline46mondego>                System.out.print(args[i] + <doubleQuotes46> <doubleQuotes46>);<newline46mondego>            }<newline46mondego>            System.out.println();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1782splitHere46","8987223splitHere46","void invoke_class(JNIEnv* env) {<newline46mondego>  jclass helloWorldClass;<newline46mondego>  jmethodID mainMethod;<newline46mondego>  jobjectArray applicationArgs;<newline46mondego>  jstring applicationArg0;<newline46mondego><newline46mondego>  helloWorldClass = (env)->FindClass(<doubleQuotes46>InvocationHelloWorld<doubleQuotes46>);<newline46mondego>  if(! helloWorldClass )<newline46mondego>  {<newline46mondego>    std::cerr<<<doubleQuotes46>Couldn't get \<doubleQuotes46>InvocationHelloWorld\<doubleQuotes46><doubleQuotes46><<std::endl;<newline46mondego>    return;<newline46mondego>  }<newline46mondego><newline46mondego>  mainMethod = (env)->GetStaticMethodID(helloWorldClass, <doubleQuotes46>main<doubleQuotes46>, <doubleQuotes46>([Ljava/lang/String;)V<doubleQuotes46>);<newline46mondego>  if(! mainMethod )<newline46mondego>  {<newline46mondego>    std::cerr<<<doubleQuotes46>Coulnd't get \<doubleQuotes46>InvocationHelloWorld::main\<doubleQuotes46><doubleQuotes46><<std::endl;<newline46mondego>    return;<newline46mondego>  }<newline46mondego><newline46mondego>  applicationArgs = (env)->NewObjectArray(1, (env)->FindClass(<doubleQuotes46>java/lang/String<doubleQuotes46>), NULL);<newline46mondego>  applicationArg0 = (env)->NewStringUTF(<doubleQuotes46>From-C-program<doubleQuotes46>);<newline46mondego>  (env)->SetObjectArrayElement(applicationArgs, 0, applicationArg0);<newline46mondego><newline46mondego>  (env)->CallStaticVoidMethod(helloWorldClass, mainMethod, applicationArgs);<newline46mondego>}<newline46mondego>"
"1783splitHere46","8987265splitHere46","upload"
"1784splitHere46","8987265splitHere46","JFileChooser chooser = new JFileChooser(<doubleQuotes46>./hei/<doubleQuotes46>);<newline46mondego>int returnval = chooser.showOpenDialog(this);<newline46mondego>String ServerDirectory=(<doubleQuotes46>//<doubleQuotes46> + <doubleQuotes46>JOAKIM-PC<doubleQuotes46>+ <doubleQuotes46>/Users/Public/Server/<doubleQuotes46>); <newline46mondego>if(returnval == JFileChooser.APPROVE_OPTION){<newline46mondego>   File file = chooser.getSelectedFile();<newline46mondego><newline46mondego>   try{<newline46mondego>           byte[] filedata = cf.downloadFile2(file.getAbsolutePath());  <newline46mondego>           BufferedOutputStream output = new BufferedOutputStream <newline46mondego>                    (new FileOutputStream(ServerDirectory + file.getName())); <newline46mondego>            output.write(filedata,0,filedata.length);<newline46mondego>            output.flush();<newline46mondego>            output.close();<newline46mondego><newline46mondego>   }<newline46mondego>   catch(Exception e){<newline46mondego>      e.printStackTrace();<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"1785splitHere46","8987274splitHere46","void resolve(GameObject obj) {<newline46mondego>    if (first test) {<newline46mondego>        obj.accept(new FirstTestVisitor());<newline46mondego>    } else if (second test) {<newline46mondego>        obj.accept(new SecondTestVistor());<newline46mondego>    } else {<newline46mondego>        obj.accept(new DefaultVisitor());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1786splitHere46","8987274splitHere46","interface GameObject {<newline46mondego>    public void accept(ResolveVisitor visitor);<newline46mondego>}<newline46mondego>"
"1787splitHere46","8987274splitHere46","interface ResolveVisitor {<newline46mondego>    public void resolve(Rectangle rect);<newline46mondego>    public void resolve(GameObject obj); // default case<newline46mondego>}<newline46mondego>"
"1788splitHere46","8987274splitHere46","class Rectangle implements GameObject {<newline46mondego>    public void accept(Visitor visitor) {<newline46mondego>        visitor.resolve(this);<newline46mondego>        // Rectangle and its subclasses will call resolve(Rectangle)<newline46mondego>        // whereas all other GameObjects will call resolve(GameObject)<newline46mondego>        // though other GameObjects will need their own accept method<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1789splitHere46","8987274splitHere46","class FirstTestVisitor implements ResolveVisitor {<newline46mondego>    public void accept(Rectangle rect) {<newline46mondego>        // logic for first test and if rect goes here<newline46mondego>    }<newline46mondego>    public void accept(GameObject obj) {<newline46mondego>        // logic for first test and not rect goes here<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1790splitHere46","8987280splitHere46","JAVA_TOOL_OPTIONS : -Dfile.encoding=UTF8<newline46mondego>"
"1791splitHere46","8987378splitHere46","DateFormat.format(<doubleQuotes46>EEE, dd MMM yyyy<doubleQuotes46>, new Date((long) date)).toString();<newline46mondego>"
"1792splitHere46","8987503splitHere46","String[] cmd = { <doubleQuotes46>/usr/bin/notify-send<doubleQuotes46>,<newline46mondego>                 <doubleQuotes46>-t<doubleQuotes46>,<newline46mondego>                 <doubleQuotes46>10000<doubleQuotes46>,<newline46mondego>                 <doubleQuotes46>Hello OSD This is my first programmatic OSD notification<doubleQuotes46>};<newline46mondego>"
"1793splitHere46","8987593splitHere46","Collections.sort(<newline46mondego>    myList, new Comparator<String>() {<newline46mondego>      @Override<newline46mondego>      public int compare(String a, String b) {<newline46mondego>        // If a is <doubleQuotes46>11-24-2012<doubleQuotes46>, then aLastDash points<newline46mondego>        // here ---------^.<newline46mondego>        int aLastDash = a.lastIndexOf(<doubleQuotes46>-<doubleQuotes46>);<newline46mondego>        int bLastDash = b.lastIndexOf(<doubleQuotes46>-<doubleQuotes46>);<newline46mondego>        return a.substring(aLastDash+1).compareTo(<newline46mondego>               b.substring(bLastDash+1));<newline46mondego>      }<newline46mondego>    });<newline46mondego>"
"1794splitHere46","8987593splitHere46","Collections.sort"
"1795splitHere46","8987593splitHere46","Comparator"
"1796splitHere46","8987593splitHere46","String"
"1797splitHere46","8987593splitHere46","Collections.sort"
"1798splitHere46","8987618splitHere46","\\"
"1799splitHere46","8987618splitHere46","\"
"1800splitHere46","8987640splitHere46","DatagramSocket"
"1801splitHere46","8987640splitHere46","Server"
"1802splitHere46","8987640splitHere46","DatagramSocket mServerSocket = new DatagramSocket(PORT);<newline46mondego>InetAddress  broadcastAddress=InetAddress.getByName(<doubleQuotes46>255.255.255.255<doubleQuotes46>);<newline46mondego>byte[] data=new byte[1024];<newline46mondego>data=<doubleQuotes46>your_data_string_example<doubleQuotes46>.getBytes();<newline46mondego>DatagramPacket packet=new DatagramPacket(sendData,<newline46mondego>                            sendData.length,broadcastAddress,PORT);<newline46mondego>mServerSocket.setBroadcast(true);<newline46mondego>mServerSocket.send(packet);<newline46mondego>"
"1803splitHere46","8987702splitHere46","HttpServletRequest#getRequestedSessionId()"
"1804splitHere46","8987702splitHere46","HttpServletRequest#isRequestedSessionIdValid()"
"1805splitHere46","8987702splitHere46","if (request.getRequestedSessionId() != null && !request.isRequestedSessionIdValid()) {<newline46mondego>    // The session has been expired (or a hacker supplied a fake cookie).<newline46mondego>}<newline46mondego>"
"1806splitHere46","8987702splitHere46","getSession()"
"1807splitHere46","8987818splitHere46","System.out.println(isLeapYear);<newline46mondego>"
"1808splitHere46","8987818splitHere46","else if ((year % 4 == 0) && (year % 100 == 0))<newline46mondego>    isLeapYear = false;<newline46mondego><newline46mondego>else if ((year % 4 == 0) && (year % 100 == 0) && (year % 400 == 0))<newline46mondego>    isLeapYear = true;<newline46mondego>"
"1809splitHere46","8987818splitHere46","year % 400"
"1810splitHere46","8987818splitHere46","(year % 4 == 0) && (year % 100 == 0) && (year % 400 == 0)"
"1811splitHere46","8987818splitHere46","(year % 4 == 0) && (year % 100 == 0)"
"1812splitHere46","8987818splitHere46","else if ((year % 4 == 0) && (year % 100 == 0))<newline46mondego>    isLeapYear = (year % 400 == 0);<newline46mondego>"
