"1splitHere46","5918714splitHere46","<a href=<doubleQuotes46><c:url value=<doubleQuotes46>/profile<doubleQuotes46> /><doubleQuotes46> >Profile</a><newline46mondego>"
"289splitHere46","5926296splitHere46","Integer"
"290splitHere46","5926296splitHere46","Map<String, Integer>"
"291splitHere46","5926382splitHere46","my-web/WebContent/images<newline46mondego>my-web/WebContent/scripts<newline46mondego>my-web/WebContent/misc<newline46mondego>"
"292splitHere46","5926382splitHere46","/my-web/images/bob.jpg<newline46mondego>/my-web/scripts/bob.js<newline46mondego>/my-web/misc/bob.pdf<newline46mondego>"
"293splitHere46","5926422splitHere46","*"
"294splitHere46","5926422splitHere46","*"
"295splitHere46","5926571splitHere46","DataInputStream"
"296splitHere46","5926571splitHere46","EOFException"
"297splitHere46","5926571splitHere46","while(!isCancel)<newline46mondego>{<newline46mondego>  int n = fileIn.read(b);<newline46mondego>  if (n < 0)<newline46mondego>    break;<newline46mondego>  num += n;<newline46mondego>  Log.info(num + <doubleQuotes46>WRITTEN<doubleQuotes46>);<newline46mondego>  z.write(b, 0, n);<newline46mondego>}<newline46mondego>"
"298splitHere46","5926598splitHere46","JMenuItem transaction = new JMenuItem(<doubleQuotes46>Transaction<doubleQuotes46>);<newline46mondego>JMenuItem summary = new JMenuItem(<doubleQuotes46>Summary<doubleQuotes46>);<newline46mondego>JMenuItem exit = new JMenuItem(<doubleQuotes46>Exit<doubleQuotes46>);<newline46mondego>"
"299splitHere46","5926598splitHere46","private JMenuItem summaryMenuItem;<newline46mondego>private JMenuItem aboutMenuItem;<newline46mondego>private JMenuItem exitMenuItem;<newline46mondego>"
"300splitHere46","5926598splitHere46","private void menuPanel() {<newline46mondego>    menuBar = new JMenuBar();<newline46mondego><newline46mondego>    setJMenuBar(menuBar);<newline46mondego>    setVisible(true);<newline46mondego><newline46mondego>    menuBar.add(file);<newline46mondego>    menuBar.add(edit);<newline46mondego>    menuBar.add(about);<newline46mondego><newline46mondego>    summary.addActionListener(new SummaryMenuListener());<newline46mondego>    //aboutMenuItem.addActionListener(new AboutMenuListener());<newline46mondego><newline46mondego>    file.add(transaction);<newline46mondego>    file.add(summary);<newline46mondego>    file.add(exit);<newline46mondego>}<newline46mondego>"
"301splitHere46","5926730splitHere46","setPreferredSize()"
"302splitHere46","5926730splitHere46","setMinimumSize()"
"303splitHere46","5926730splitHere46","JLabel"
"304splitHere46","5926730splitHere46","LayoutManager"
"305splitHere46","5926798splitHere46","JPanel"
"306splitHere46","5926798splitHere46","JScrollPane"
"307splitHere46","5926798splitHere46","setHorizontalScrollbarPolicy(HORIZONTAL_SCROLLBAR_NEVER)"
"308splitHere46","5926798splitHere46","scrollRectToVisible"
"309splitHere46","5926798splitHere46","Timer"
"310splitHere46","5926913splitHere46","ACTION_SEND"
"311splitHere46","5927082splitHere46","el-*.jar"
"312splitHere46","5927082splitHere46","/WEB-INF/lib"
"313splitHere46","5927082splitHere46","web.xml"
"314splitHere46","5927082splitHere46","web.xml"
"315splitHere46","5927082splitHere46","com.sun.faces.expressionFactory"
"316splitHere46","5927105splitHere46","issueTransfer"
"317splitHere46","5927105splitHere46","performTransfers"
"318splitHere46","5927105splitHere46","issueTransfer"
"319splitHere46","5927105splitHere46","synchronized (lock) {<newline46mondego>   // vulnerable code goes here<newline46mondego>}<newline46mondego>"
"320splitHere46","5927105splitHere46","issueTransfer"
"321splitHere46","5927105splitHere46","performTransfers"
"322splitHere46","5927408splitHere46","public static class MyObject implements Comparable<MyObject> {<newline46mondego><newline46mondego>  private Date dateTime;<newline46mondego><newline46mondego>  public Date getDateTime() {<newline46mondego>    return dateTime;<newline46mondego>  }<newline46mondego><newline46mondego>  public void setDateTime(Date datetime) {<newline46mondego>    this.dateTime = datetime;<newline46mondego>  }<newline46mondego><newline46mondego>  @Override<newline46mondego>  public int compareTo(MyObject o) {<newline46mondego>    return getDateTime().compareTo(o.getDateTime());<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"323splitHere46","5927408splitHere46","Collections.sort(myList);<newline46mondego>"
"324splitHere46","5927408splitHere46","Collections.sort(myList, new Comparator<MyObject>() {<newline46mondego>  public int compare(MyObject o1, MyObject o2) {<newline46mondego>      return o1.getDateTime().compareTo(o2.getDateTime());<newline46mondego>  }<newline46mondego>});<newline46mondego>"
"325splitHere46","5927408splitHere46","public static class MyObject implements Comparable<MyObject> {<newline46mondego><newline46mondego>  private Date dateTime;<newline46mondego><newline46mondego>  public Date getDateTime() {<newline46mondego>    return dateTime;<newline46mondego>  }<newline46mondego><newline46mondego>  public void setDateTime(Date datetime) {<newline46mondego>    this.dateTime = datetime;<newline46mondego>  }<newline46mondego><newline46mondego>  @Override<newline46mondego>  public int compareTo(MyObject o) {<newline46mondego>    if (getDateTime() == null || o.getDateTime() == null)<newline46mondego>      return 0;<newline46mondego>    return getDateTime().compareTo(o.getDateTime());<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"326splitHere46","5927408splitHere46","Collections.sort(myList, new Comparator<MyObject>() {<newline46mondego>  public int compare(MyObject o1, MyObject o2) {<newline46mondego>      if (o1.getDateTime() == null || o2.getDateTime() == null)<newline46mondego>        return 0;<newline46mondego>      return o1.getDateTime().compareTo(o2.getDateTime());<newline46mondego>  }<newline46mondego>});<newline46mondego>"
"327splitHere46","5927438splitHere46","if(answer4val.length() > 0){<newline46mondego>"
"328splitHere46","5927438splitHere46","if (!answer4val.equals(<stuff here>)) {<newline46mondego>"
"329splitHere46","5927438splitHere46","=="
"330splitHere46","5927438splitHere46","if(answer4val == null) { /* bail early */<newline46mondego>"
"331splitHere46","5927494splitHere46","ArrayList grades;"
"332splitHere46","5927494splitHere46","ArrayList grades = new ArrayList();"
"333splitHere46","5927494splitHere46","ArrayList<Float> grades = new ArrayList<Float>(); //or use Double or Number"
"334splitHere46","5927494splitHere46","ArrayList* grades;"
"335splitHere46","5927494splitHere46","Dictionary studentGrades;"
"336splitHere46","5927494splitHere46","public void main(String[] args)"
"337splitHere46","5927494splitHere46","public static void main(String[] args)"
"338splitHere46","5927494splitHere46","this"
"339splitHere46","5927494splitHere46","Dictionary"
"340splitHere46","5927494splitHere46","new Hashtable<String, List<Float>>()"
"341splitHere46","5927494splitHere46","Map<String, List<Float> dictionary = new HashMap<String, List<Float>>();"
"342splitHere46","5927494splitHere46","boolean res;"
"343splitHere46","5927544splitHere46","-Xmx"
"344splitHere46","5927544splitHere46","java"
"345splitHere46","5927544splitHere46","java"
"346splitHere46","5927544splitHere46","java -X"
"347splitHere46","5927634splitHere46","-Dsun.awt.noerasebackground=true"
"348splitHere46","5927756splitHere46","switch"
"349splitHere46","5927756splitHere46","final Intent intent = new Intent(this, DisplaySpecificPage.class);<newline46mondego>switch (view.getId()) {<newline46mondego>    case R.id.first_button:<newline46mondego>        intent.putExtra(<doubleQuotes46>mylayout<doubleQuotes46>, R.layout.one);<newline46mondego>        break;<newline46mondego>    case R.id.second_button:<newline46mondego>        intent.putExtra(<doubleQuotes46>mylayout<doubleQuotes46>, R.layout.two);<newline46mondego>        break;<newline46mondego>    case R.id.third_button:<newline46mondego>        intent.putExtra(<doubleQuotes46>mylayout<doubleQuotes46>, R.layout.three);<newline46mondego>        break;<newline46mondego>    case R.id.random_button:<newline46mondego>        intent.putExtra(<doubleQuotes46>mylayout<doubleQuotes46>, randomNumber);<newline46mondego>        startActivity(intent);<newline46mondego>}<newline46mondego>startActivity(intent);<newline46mondego>"
"350splitHere46","5927756splitHere46","DisplaySpecificPage"
"351splitHere46","5927756splitHere46","onCreate"
"352splitHere46","5927756splitHere46","final int layout = getIntent().getIntExtra(<doubleQuotes46>mylayout<doubleQuotes46>, R.layout.one);<newline46mondego>setContentView(layout);<newline46mondego>"
"353splitHere46","5927756splitHere46","DisplaySpecificPage"
"354splitHere46","5927756splitHere46","DisplaySpecificPage"
"355splitHere46","5927756splitHere46","onCreate"
"356splitHere46","5927756splitHere46","getIntExtra"
"357splitHere46","5927756splitHere46","getIntent()"
"358splitHere46","5927756splitHere46","DisplaySpecificPage"
"359splitHere46","5927756splitHere46","setContentView(layout)"
"360splitHere46","5927756splitHere46","randomNumber"
"361splitHere46","5927756splitHere46","intent.putExtra(<doubleQuotes46>paramName<doubleQuotes46>, paramValue)"
"362splitHere46","5927756splitHere46","paramValue"
"363splitHere46","5927756splitHere46","paramName"
"364splitHere46","5927756splitHere46","DisplaySpecificPage"
"365splitHere46","5927756splitHere46","final Intent intent = new Intent(this, DisplaySpecificPage.class);<newline46mondego>"
"366splitHere46","5927756splitHere46","startActivity(intent)"
"367splitHere46","5927756splitHere46","intent"
"368splitHere46","5927756splitHere46","DisplaySpecificPage"
"369splitHere46","5927756splitHere46","two.xml"
"370splitHere46","5927756splitHere46","res/layout"
"371splitHere46","5927756splitHere46","R.layout.two"
"372splitHere46","5927756splitHere46","static int"
"373splitHere46","5927756splitHere46","intent.putExtra(<doubleQuotes46>mylayout<doubleQuotes46>, R.layout.two);<newline46mondego>"
"374splitHere46","5927756splitHere46","intent"
"375splitHere46","5927756splitHere46","DisplaySpecificPage"
"376splitHere46","5927756splitHere46","final int layout = getIntent().getIntExtra(<doubleQuotes46>mylayout<doubleQuotes46>, R.layout.one);<newline46mondego>"
"377splitHere46","5927756splitHere46","getIntExtra"
"378splitHere46","5927756splitHere46","intent"
"379splitHere46","5927756splitHere46","mylayout"
"380splitHere46","5927756splitHere46","final int layout = getIntent().getIntExtra(<doubleQuotes46>mylayout<doubleQuotes46>, -1);<newline46mondego>if (layout < 0) <newline46mondego>{<newline46mondego>    //TODO: no layout reference was passed<newline46mondego>}<newline46mondego>"
"381splitHere46","5927786splitHere46","@AroundInvoke<newline46mondego>public Object defaultInterceptor(InvocationContext ctx) throws Exception<newline46mondego>{<newline46mondego>   Object[] parameters = ctx.getParameters();<newline46mondego><newline46mondego>   /* parameters will have values that will be <newline46mondego>      passed to the method of the target class */<newline46mondego><newline46mondego>   return ctx.proceed();<newline46mondego>}<newline46mondego>"
"382splitHere46","5927786splitHere46","<interceptor-binding><newline46mondego>      <ejb-name>*</ejb-name><newline46mondego>      <interceptor-class>com.interceptor.DefaultInterceptor</interceptor-class><newline46mondego>   </interceptor-binding><newline46mondego>"
"383splitHere46","5927813splitHere46","0"
"384splitHere46","5927813splitHere46","int"
"385splitHere46","5927813splitHere46","int"
"386splitHere46","5927813splitHere46","1"
"387splitHere46","5927813splitHere46","long"
"388splitHere46","5927813splitHere46","long"
"389splitHere46","5927813splitHere46","readInt"
"390splitHere46","5927813splitHere46","readLong"
"391splitHere46","5927813splitHere46","ObjectInput"
"392splitHere46","5927813splitHere46","ObjectOutput"
"393splitHere46","5927813splitHere46","DataInputStream"
"394splitHere46","5927813splitHere46","writeObject()"
"395splitHere46","5927813splitHere46","readObject()"
"396splitHere46","5927835splitHere46","setText()"
"397splitHere46","5927835splitHere46","ta.setText(ta.getText() + <doubleQuotes46>\nStep is done.<doubleQuotes46>);<newline46mondego>"
"398splitHere46","5927835splitHere46","append()"
"399splitHere46","5927840splitHere46","@WebFilter(servletNames={<doubleQuotes46>facesServlet<doubleQuotes46>})"
"400splitHere46","5927840splitHere46","facesServlet"
"401splitHere46","5927840splitHere46","<servlet-name>"
"402splitHere46","5927840splitHere46","FacesServlet"
"403splitHere46","5927840splitHere46","web.xml"
"404splitHere46","5927840splitHere46","doFilter()"
"405splitHere46","5927840splitHere46","HttpServletResponse hsr = (HttpServletResponse) response;<newline46mondego>hsr.setHeader(<doubleQuotes46>Cache-Control<doubleQuotes46>, <doubleQuotes46>no-cache, no-store, must-revalidate<doubleQuotes46>); // HTTP 1.1.<newline46mondego>hsr.setHeader(<doubleQuotes46>Pragma<doubleQuotes46>, <doubleQuotes46>no-cache<doubleQuotes46>); // HTTP 1.0.<newline46mondego>hsr.setDateHeader(<doubleQuotes46>Expires<doubleQuotes46>, 0); // Proxies.<newline46mondego>chain.doFilter(request, response);<newline46mondego>"
"406splitHere46","5927854splitHere46","public class AddOp extends ArithmeticOp{<newline46mondego><newline46mondego>    ArithmeticOp op = new ArithmeticOp(); // this is OK, it's a field declaration<newline46mondego>    op.printMessage();                    // this is not OK, it's a statement<newline46mondego>}<newline46mondego>"
"407splitHere46","5927854splitHere46","op.printMessage();"
"408splitHere46","5927854splitHere46","ArithmeticOp"
"409splitHere46","5927858splitHere46","ConnectException: Connection refused"
"410splitHere46","5927871splitHere46","t"
"411splitHere46","5927871splitHere46","null"
"412splitHere46","5927889splitHere46","javax.swing.Timer"
"413splitHere46","5928134splitHere46","saaj-*.jar"
"414splitHere46","5928134splitHere46","/WEB-INF/lib"
"415splitHere46","5928179splitHere46","android:id=<doubleQuotes46>@+id/text1<doubleQuotes46>"
"416splitHere46","5928179splitHere46","if (position == 0) {<newline46mondego>    convertView = li.inflate(R.layout.episode_row, parent, false);<newline46mondego>    //fetch the text view and other things and set their value<newline46mondego>    return convertView;<newline46mondego>} else if (position == 1) {<newline46mondego>    //similarly do here also and return convertview<newline46mondego>}<newline46mondego>"
"417splitHere46","5928305splitHere46","public void outputDetails() {<newline46mondego>    //Calculate the used price before outputting the value<newline46mondego>    getPriceAfterUse()<newline46mondego>    System.out.println(<doubleQuotes46>The car brand name is : <doubleQuotes46> + brandName);<newline46mondego>    System.out.println(<doubleQuotes46>The car new price: <doubleQuotes46> + priceNew);<newline46mondego>    System.out.println(<doubleQuotes46>The car used price: <doubleQuotes46> + priceUsed);<newline46mondego>    System.out.println(<doubleQuotes46>The car color: <doubleQuotes46> + color);<newline46mondego>    System.out.println(<doubleQuotes46>The car Odemeter: <doubleQuotes46> + odometer );<newline46mondego>}<newline46mondego>"
"418splitHere46","5928305splitHere46","Scanner keyboard = new Scanner (System.in);<newline46mondego><newline46mondego>Car a = new Car();<newline46mondego>System.out.println(<doubleQuotes46>Enter you car Brand Name: <doubleQuotes46>);<newline46mondego>a.brandName = keyboard.next();<newline46mondego>System.out.println(<doubleQuotes46>Enter your car color: <doubleQuotes46>);<newline46mondego>a.color = keyboard.next();<newline46mondego>System.out.println(<doubleQuotes46>Enter your new price: <doubleQuotes46>);<newline46mondego>a.priceNew = keyboard.nextDouble();<newline46mondego>System.out.println(<doubleQuotes46>Enter your Odometer:<doubleQuotes46>);<newline46mondego>a.updateMilage();<newline46mondego>System.out.println();<newline46mondego>//UPDATE THE USED PRICE <newline46mondego>a.getPriceAfterUse();<newline46mondego><newline46mondego>a.outputDetails();<newline46mondego>System.out.println();<newline46mondego>"
"419splitHere46","5928305splitHere46","a.brandName = <doubleQuotes46>something<doubleQuotes46><newline46mondego>a.color = <doubleQuotes46>some color<doubleQuotes46><newline46mondego>a.priceNew = <doubleQuotes46>some value<doubleQuotes46><newline46mondego>"
"420splitHere46","5928305splitHere46","a.updateMilage();<newline46mondego>"
"421splitHere46","5928305splitHere46","a.outputDetails(); <newline46mondego>"
"422splitHere46","5928305splitHere46","priceUsed = priceNew*(1-(odometer/6000000));<newline46mondego>"
"423splitHere46","5928316splitHere46","String[] cmd = {<newline46mondego><doubleQuotes46>/bin/sh<doubleQuotes46>,<newline46mondego><doubleQuotes46>-c<doubleQuotes46>,<newline46mondego><doubleQuotes46>ls /etc | grep release<doubleQuotes46><newline46mondego>};<newline46mondego><newline46mondego>Process p = Runtime.getRuntime().exec(cmd);<newline46mondego>"
"424splitHere46","5928470splitHere46","preparedStatement = connection.prepareStatement(SQL_INSERT);<newline46mondego>SqlUtil.setValues(preparedStatement, user.getName(), user.getPassword(), user.getAge());<newline46mondego>"
"425splitHere46","5928470splitHere46","public static void setValues(PreparedStatement preparedStatement, Object... values) throws SQLException {<newline46mondego>    for (int i = 0; i < values.length; i++) {<newline46mondego>        preparedStatement.setObject(i + 1, values[i]);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"426splitHere46","5928477splitHere46","try {<newline46mondego>    Thread.sleep(60);<newline46mondego>} catch (InterruptedException e) {<newline46mondego>    e.printStackTrace();<newline46mondego>}<newline46mondego>"
"427splitHere46","5928477splitHere46","try {<newline46mondego>    for(Thread thr:threads)thr.join();<newline46mondego>} catch (InterruptedException e) {<newline46mondego>    e.printStackTrace();<newline46mondego>}<newline46mondego>"
"428splitHere46","5928524splitHere46","long startTime = System.currentTimeMillis();<newline46mondego>"
"429splitHere46","5928524splitHere46","long duration = System.currentTimeMillis() - startTime;<newline46mondego>System.out.println(<doubleQuotes46>Program executed for <doubleQuotes46> + duration + <doubleQuotes46> milliseconds<doubleQuotes46>);<newline46mondego>"
"430splitHere46","5928530splitHere46","class ExpandableURLPool implements URLPool {<newline46mondego>List<String> urlList = new ArrayList<String>();<newline46mondego>int cursor = 0;<newline46mondego><newline46mondego>int outstandingQueryies = 0;<newline46mondego><newline46mondego>public ExpandableURLPool(Collection<String> seedURLS) {<newline46mondego>    urlList.addAll(seedURLS);<newline46mondego>}<newline46mondego><newline46mondego>@Override<newline46mondego>public boolean hasNextQuery() {<newline46mondego>   return  cursor < urlList.size() || outstandingQueryies > 0;<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>@Override<newline46mondego>public Query getNextQuery() throws URLPoolException {<newline46mondego>    try {<newline46mondego>        if (cursor >= urlList.size()) {<newline46mondego>            return null;<newline46mondego>        } else {<newline46mondego>            outstandingQueryies++;<newline46mondego>            return new Query( urlList.get(cursor++) ) ;<newline46mondego>        }<newline46mondego>    } catch (MalformedURLException e) {<newline46mondego>        throw new URLPoolException( <doubleQuotes46>invalid url<doubleQuotes46>, e ) ;<newline46mondego>    }    <newline46mondego>}<newline46mondego><newline46mondego>@Override<newline46mondego>public void setProcessed(Query query) {<newline46mondego>    outstandingQueryies--;<newline46mondego><newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>public void addURL(String url) {<newline46mondego>    urlList.add(url);<newline46mondego>}<newline46mondego><newline46mondego>}<newline46mondego>"
"431splitHere46","5928530splitHere46","class MyWorker extends org.niocchi.gc.DiskSaveWorker {<newline46mondego><newline46mondego>    Crawler mCrawler = null;<newline46mondego>    ExpandableURLPool pool = null;<newline46mondego><newline46mondego>    int maxepansion = 10;<newline46mondego><newline46mondego>    public MyWorker(Crawler crawler, String savePath, ExpandableURLPool aPool) {<newline46mondego>        super(crawler, savePath);<newline46mondego>        mCrawler = crawler;<newline46mondego>        pool = aPool;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void processResource(Query query) {<newline46mondego>        super.processResource(query);<newline46mondego>        // The following is a test<newline46mondego>        if (--maxepansion >= 0  ) {<newline46mondego>            pool.addURL(<doubleQuotes46>http://www.somewhere.com<doubleQuotes46>);<newline46mondego>        }       <newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>}<newline46mondego>"
"432splitHere46","5928547splitHere46","JPanel container = new JPanel();<newline46mondego>container.add(panel1);<newline46mondego>container.add(Panel2);<newline46mondego>JScrollPane jsp = new JScrollPane(container);<newline46mondego>frame.add(jsp);<newline46mondego>"
"433splitHere46","5928632splitHere46","InputStream"
"434splitHere46","5928632splitHere46","InputStream"
"435splitHere46","5928632splitHere46","OutputStream"
"436splitHere46","5928632splitHere46","System.out"
"437splitHere46","5928632splitHere46","InputStream"
"438splitHere46","5928632splitHere46","String"
"439splitHere46","5928668splitHere46","import java.sql.Timestamp;<newline46mondego><newline46mondego>public class Main {<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        long inputLong = 1234567890l * 1000l;  // Constructor expects a milliseconds value<newline46mondego><newline46mondego>        Timestamp outputTimestamp = new Timestamp(inputLong);<newline46mondego><newline46mondego>        System.out.println (outputTimestamp);<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"440splitHere46","5928957splitHere46","TeeInputStream"
"441splitHere46","5928957splitHere46","ByteArrayOutputStream.toString(String encoding)"
"442splitHere46","5928957splitHere46","ByteArrayOutputStream bytes = new ByteArrayOutputStream();<newline46mondego>TeeInputStream is = new TeeInputStream(getDataUrl(...), bytes);<newline46mondego>try {<newline46mondego>  // Pass is to parser here.<newline46mondego>  parser.setInput(new InputStreamReader(is, <doubleQuotes46>UTF-8<doubleQuotes46>));<newline46mondego>  // Note: please specify an encoding with InputStreamReader, maybe based on<newline46mondego>  // the headers from getDataUrl.  <newline46mondego>  ...<newline46mondego>} finally {<newline46mondego>  is.close();<newline46mondego>}<newline46mondego><newline46mondego>// After parsing finishes, convert the bytes to a String.<newline46mondego>String parsed = bytes.toString(<doubleQuotes46>UTF-8<doubleQuotes46>);<newline46mondego>// If UTF-8 is not appropriate, use the encoding specified in headers from URL.<newline46mondego>"
"443splitHere46","5928957splitHere46","StringReader"
"444splitHere46","5928957splitHere46","parser.setInput"
"445splitHere46","5928957splitHere46","InputStream"
"446splitHere46","5928990splitHere46","list"
"447splitHere46","5928990splitHere46","value"
"448splitHere46","5928990splitHere46","unit"
"449splitHere46","5928990splitHere46","list"
"450splitHere46","5928990splitHere46","value"
"451splitHere46","5928990splitHere46","unit"
"452splitHere46","5929207splitHere46","Timestamp ts = new Timestamp(millis)<newline46mondego>"
"453splitHere46","5929225splitHere46","jTextField1.setForeground(Color.BLUE);"
"454splitHere46","5929374splitHere46","for"
"455splitHere46","5929374splitHere46","int sum = 0;<newline46mondego>for(int i=1; i<10000; i++)<newline46mondego>{<newline46mondego>    if (i % 3 == 0 || i % 5 == 0 || i % 7 == 0)<newline46mondego>        sum += i;<newline46mondego>}<newline46mondego>"
"456splitHere46","5929379splitHere46","singleTask"
"457splitHere46","5929379splitHere46","startActivity()"
"458splitHere46","5929379splitHere46","FLAG_ACTIVITY_CLEAR_TOP|FLAG_ACTIVITY_SINGLE_TOP"
"459splitHere46","5929379splitHere46","Intent"
"460splitHere46","5929557splitHere46","String reminderTitle = cursor.getString(cursor.getColumnIndex(RemindersDbAdapter.KEY_TITLE));<newline46mondego>"
"461splitHere46","5929599splitHere46","<column/><newline46mondego>"
"462splitHere46","5929599splitHere46","NodeList lstNm = lstNmElmnt.getChildNodes();<newline46mondego> if (lstNm.getLength() > 0) {<newline46mondego>    System.out.println(<doubleQuotes46>Last Tag : <doubleQuotes46> + ((Node)lstNm.item(0)).getNodeValue());<newline46mondego> } else {<newline46mondego>     System.out.println(<doubleQuotes46>No content<doubleQuotes46>);<newline46mondego> }<newline46mondego>"
"463splitHere46","5929599splitHere46","<foo><newline46mondego>   a<newline46mondego>   b<newline46mondego>   c<newline46mondego> </foo><newline46mondego>"
"464splitHere46","5929599splitHere46","getTextContent()"
"465splitHere46","5929652splitHere46","ObjectOutputStream.reset()"
"466splitHere46","5929780splitHere46","public abstract class Presenter<V extends View<? extends Presenter<?>>><newline46mondego>"
"467splitHere46","5929780splitHere46","public abstract class View<P extends Presenter<? extends View<?>>><newline46mondego>"
"468splitHere46","5930039splitHere46","ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz.<newline46mondego>"
"469splitHere46","5930079splitHere46","text.setText(Integer.toString(nextvalue));"
"470splitHere46","5930198splitHere46","public final class PackedUnsigned1616 {<newline46mondego>    public final int field;<newline46mondego><newline46mondego>    private static final int RIGHT = 0xFFFF;<newline46mondego><newline46mondego>    public PackedUnsigned1616(int left, int right) {<newline46mondego>        field = (left << 16) | (right & RIGHT);<newline46mondego>    }<newline46mondego><newline46mondego>    public int getLeft() {<newline46mondego>        return field >>> 16; // >>> operator 0-fills from left<newline46mondego>    }<newline46mondego><newline46mondego>    public int getRight() {<newline46mondego>        return field & RIGHT;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"471splitHere46","5930198splitHere46","public int getLeft() {<newline46mondego>        return field >> 16; // sign bit is significant<newline46mondego>    }<newline46mondego><newline46mondego>    public int getRight() {<newline46mondego>        return (short) (field & RIGHT); gets cast back to signed int<newline46mondego>    }<newline46mondego>"
"472splitHere46","5930247splitHere46","//To Measure FPS<newline46mondego>private long now;<newline46mondego>private int framesCount = 0;<newline46mondego>private int framesCountAvg=0; <newline46mondego>private long framesTimer=0;<newline46mondego><newline46mondego>//Main Game Loop<newline46mondego>    while (isRunning)<newline46mondego>    {<newline46mondego>        //Record the time before update and draw<newline46mondego>        long beforeTime = System.nanoTime();<newline46mondego>        //... Update program & draw program...<newline46mondego>        // DRAW FPS: <newline46mondego>        now=System.currentTimeMillis(); <newline46mondego>        gEngine.drawFPS(c, framesCountAvg);<newline46mondego>        framesCount++; <newline46mondego>        if(now-framesTimer>1000)<newline46mondego>        { <newline46mondego>              framesTimer=now; <newline46mondego>              framesCountAvg=framesCount; <newline46mondego>              framesCount=0; <newline46mondego>        }}<newline46mondego>"
"473splitHere46","5930290splitHere46","1"
"474splitHere46","5930290splitHere46","this == o"
"475splitHere46","5930290splitHere46","public int compareTo(Object other) {<newline46mondego>    AttackingUnit o = (AttackingUnit) other;<newline46mondego>    int amount = position - o.position;<newline46mondego>    return amount;<newline46mondego>}<newline46mondego>"
"476splitHere46","5930311splitHere46","<com.testing.MyCustomView<newline46mondego>  id=<doubleQuotes46>@+id/my_view<doubleQuotes46><newline46mondego>  ... /><newline46mondego>"
"477splitHere46","5930448splitHere46","import java.io.*;<newline46mondego>import javax.swing.*;<newline46mondego>import java.util.Vector;<newline46mondego><newline46mondego>class ReadFile {<newline46mondego><newline46mondego>    public static void main(String [] args) {<newline46mondego>        File archivo = null;<newline46mondego>        FileReader fr = null;<newline46mondego>        BufferedReader br = null;<newline46mondego><newline46mondego>        try {<newline46mondego>            archivo = new File (<doubleQuotes46>ReadFile.java<doubleQuotes46>);<newline46mondego>            fr = new FileReader (archivo);<newline46mondego>            br = new BufferedReader(fr);<newline46mondego>            // normally I would prefer to use an ArrayList, but JList<newline46mondego>            // has a constructor that takes a Vector directly.<newline46mondego>            Vector<String> lines = new Vector<String>();<newline46mondego><newline46mondego>            String line;<newline46mondego>            while((line=br.readLine())!=null) {<newline46mondego>                System.out.println(line);<newline46mondego>                lines.add(line);<newline46mondego>            }<newline46mondego><newline46mondego>            JOptionPane.showMessageDialog(null, new JScrollPane(new JList(lines)));<newline46mondego>        } catch(Exception e) {<newline46mondego>            e.printStackTrace();<newline46mondego>        } finally {<newline46mondego>            try{<newline46mondego>                if( null != fr ) {<newline46mondego>                    fr.close();<newline46mondego>                }<newline46mondego>            } catch (Exception e2) {<newline46mondego>                e2.printStackTrace();<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"478splitHere46","5930646splitHere46","java.util.Map"
"479splitHere46","5930646splitHere46","String[]"
"480splitHere46","5930646splitHere46","String str2 = map.get(<doubleQuotes46>foo<doubleQuotes46>)"
"481splitHere46","5930646splitHere46","str2 != null"
"482splitHere46","5930646splitHere46","String"
"483splitHere46","5930646splitHere46","Collection"
"484splitHere46","5930646splitHere46","String"
"485splitHere46","5930646splitHere46","Collection"
"486splitHere46","5930646splitHere46","LinkedList"
"487splitHere46","5931184splitHere46","group()"
"488splitHere46","5931184splitHere46","group(0)"
"489splitHere46","5931184splitHere46","1"
"490splitHere46","5931184splitHere46","([0-9]+)"
"491splitHere46","5931184splitHere46","number = Integer.parseInt(matcher.group(1));<newline46mondego>"
"492splitHere46","5931230splitHere46","Update"
"493splitHere46","5931230splitHere46","public abstract class GameEntity<newline46mondego>{<newline46mondego>    public abstract void Update(TimeSpan timeElapsedSinceLastUpdate, World theWorld);<newline46mondego>}<newline46mondego>"
"494splitHere46","5931230splitHere46","Update"
"495splitHere46","5931230splitHere46","Update"
"496splitHere46","5931230splitHere46","counting-down"
"497splitHere46","5931230splitHere46","exploding"
"498splitHere46","5931230splitHere46","Update"
"499splitHere46","5931230splitHere46","int updateNumber"
"500splitHere46","5931230splitHere46","int currentTurn"
"501splitHere46","5931240splitHere46","il.co.anykey.games.yaniv.lite.Hand$1"
"502splitHere46","5931240splitHere46","Hand"
