"1splitHere46","788873splitHere46","// somewhere out there<newline46mondego>public enum Events {<newline46mondego>  TERMINATE, DO_SOMETHING, BAKE_SOMETHING<newline46mondego>}<newline46mondego><newline46mondego>// inside consumer<newline46mondego>Events e;<newline46mondego>while( (e = queue.take()) != TERMINATE ) {<newline46mondego>  switch(e) {<newline46mondego>    case DO_SOMETHING:<newline46mondego>      // blah blah<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>// somewhere else in another thread<newline46mondego>Events e = BAKE_SOMETHING;<newline46mondego>if( queue.offer(e) )<newline46mondego>   // the queue gladly accepted our BAKE_SOMETHING event!<newline46mondego>else<newline46mondego>   // oops! we could block with put() if we want...<newline46mondego>"
"248splitHere46","807421splitHere46","execute()"
"249splitHere46","807421splitHere46","ExecutorService"
"250splitHere46","807421splitHere46","ThreadPoolExecutor"
"251splitHere46","807421splitHere46","Comparator"
"252splitHere46","808270splitHere46","@Around(value=<doubleQuotes46>@target(myannotation)<doubleQuotes46>)<newline46mondego>"
"253splitHere46","808274splitHere46","String"
"254splitHere46","808274splitHere46","int"
"255splitHere46","808274splitHere46","int"
"256splitHere46","808274splitHere46","int"
"257splitHere46","808367splitHere46","public static int executeCommandLine(final String commandLine,<newline46mondego>                                     final boolean printOutput,<newline46mondego>                                     final boolean printError,<newline46mondego>                                     final long timeout)<newline46mondego>  throws IOException, InterruptedException, TimeoutException<newline46mondego>{<newline46mondego>  Runtime runtime = Runtime.getRuntime();<newline46mondego>  Process process = runtime.exec(commandLine);<newline46mondego>  /* Set up process I/O. */<newline46mondego>  ... <newline46mondego>  Worker worker = new Worker(process);<newline46mondego>  worker.start();<newline46mondego>  try {<newline46mondego>    worker.join(timeout);<newline46mondego>    if (worker.exit != null)<newline46mondego>      return worker.exit;<newline46mondego>    else<newline46mondego>      throw new TimeoutException();<newline46mondego>  } catch(InterruptedException ex) {<newline46mondego>    worker.interrupt();<newline46mondego>    Thread.currentThread().interrupt();<newline46mondego>    throw ex;<newline46mondego>  } finally {<newline46mondego>    process.destroy();<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>private static class Worker extends Thread {<newline46mondego>  private final Process process;<newline46mondego>  private Integer exit;<newline46mondego>  private Worker(Process process) {<newline46mondego>    this.process = process;<newline46mondego>  }<newline46mondego>  public void run() {<newline46mondego>    try { <newline46mondego>      exit = process.waitFor();<newline46mondego>    } catch (InterruptedException ignore) {<newline46mondego>      return;<newline46mondego>    }<newline46mondego>  }  <newline46mondego>}<newline46mondego>"
"258splitHere46","808414splitHere46","boolean isSubset = listA.containsAll(listB);<newline46mondego>"
"259splitHere46","809104splitHere46","Font.deriveFont(float size)"
"260splitHere46","809104splitHere46","AffineTransform.getScaleInstance(double sx, double sy)"
"261splitHere46","809104splitHere46","Graphics2D"
"262splitHere46","809440splitHere46","X:\scala\bin<newline46mondego>X:\scala\build.bat<newline46mondego>X:\scala\MANIFEST.MF<newline46mondego>X:\scala\src<newline46mondego>X:\scala\src\foo<newline46mondego>X:\scala\src\foo\HelloWorld.scala<newline46mondego>"
"263splitHere46","809440splitHere46","//file: foo/HelloWorld.scala<newline46mondego>package foo {<newline46mondego>  object HelloWorld {<newline46mondego>    def main(args: Array[String]) {<newline46mondego>      println(<doubleQuotes46>Hello, world!<doubleQuotes46>)<newline46mondego>    }<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"264splitHere46","809440splitHere46","Main-Class: foo.HelloWorld<newline46mondego>Class-Path: scala-library.jar<newline46mondego>"
"265splitHere46","809440splitHere46","@ECHO OFF<newline46mondego><newline46mondego>IF EXIST hellow.jar DEL hellow.jar<newline46mondego>IF NOT EXIST scala-library.jar COPY %SCALA_HOME%\lib\scala-library.jar .<newline46mondego><newline46mondego>CALL scalac -sourcepath src -d bin src\foo\HelloWorld.scala<newline46mondego><newline46mondego>CD bin<newline46mondego>jar -cfm ..\hellow.jar ..\MANIFEST.MF *.*<newline46mondego>CD ..<newline46mondego><newline46mondego>java -jar hellow.jar<newline46mondego>"
"266splitHere46","809440splitHere46","#!/bin/bash<newline46mondego><newline46mondego>if [ ! $SCALA_HOME ]<newline46mondego>then<newline46mondego>    echo ERROR: set a SCALA_HOME environment variable<newline46mondego>    exit<newline46mondego>fi<newline46mondego><newline46mondego>if [ ! -f scala-library.jar ]<newline46mondego>then<newline46mondego>    cp $SCALA_HOME/lib/scala-library.jar .<newline46mondego>fi<newline46mondego><newline46mondego>scalac -sourcepath src -d bin src/foo/HelloWorld.scala<newline46mondego><newline46mondego>cd bin<newline46mondego>jar -cfm ../hellow.jar ../MANIFEST.MF *<newline46mondego>cd ..<newline46mondego><newline46mondego>java -jar hellow.jar<newline46mondego>"
"267splitHere46","809484splitHere46","run"
"268splitHere46","809484splitHere46","TimerTask"
"269splitHere46","809484splitHere46","this"
"270splitHere46","809484splitHere46","Class"
"271splitHere46","809484splitHere46","foo"
"272splitHere46","809484splitHere46","this"
"273splitHere46","809484splitHere46","foo()"
"274splitHere46","809484splitHere46","Bar"
"275splitHere46","809484splitHere46","run()"
"276splitHere46","809484splitHere46","TimerTask"
"277splitHere46","809484splitHere46","public void run() {<newline46mondego>  synchronized(Bar.this) {<newline46mondego>    ...<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"278splitHere46","809597splitHere46","Composite labelCell = new Composite(shell, SWT.BORDER);<newline46mondego>GridData gridData = new GridData();<newline46mondego>gridData.heightHint = 250;<newline46mondego>gridData.widthHint = 250;<newline46mondego>labelCell.setLayoutData(gridData);<newline46mondego>labelCell.setLayout(new GridLayout());<newline46mondego>Label l = new Label(labelCell , SWT.NONE);<newline46mondego>l.setText(<doubleQuotes46>some text<doubleQuotes46>);<newline46mondego>l.setLayoutData(new GridData(SWT.CENTER, SWT.CENTER, true, true));<newline46mondego>"
"279splitHere46","809657splitHere46","Pattern myPattern = Pattern.compile(<doubleQuotes46><a.*href=[\\\<doubleQuotes46>'](.*?)[\\\<doubleQuotes46>'].*>(.*?)</a><doubleQuotes46>, Pattern.CASE_INSENSITIVE);<newline46mondego>"
"280splitHere46","809657splitHere46",".*"
"281splitHere46","809657splitHere46",".*?"
"282splitHere46","809657splitHere46","."
"283splitHere46","809657splitHere46","[\W\w]"
"284splitHere46","809657splitHere46","."
"285splitHere46","809657splitHere46","Pattern myPattern = Pattern.compile(<doubleQuotes46><a[\\W\\w]*?href=[\<doubleQuotes46>'](.*?)[\<doubleQuotes46>'][\\W\\w]*?>([\\W\\w]*?)</a><doubleQuotes46>, Pattern.CASE_INSENSITIVE);<newline46mondego>"
"286splitHere46","809657splitHere46","[\W\w]"
"287splitHere46","809963splitHere46","public static void main(String args[])<newline46mondego>    {<newline46mondego>    	 String	s	= <doubleQuotes46>(PART0(PART1(PART2)(PART3)))<doubleQuotes46>;<newline46mondego>    	Stack<StringBuilder> stack = new Stack<StringBuilder>();<newline46mondego>    	StringBuilder curr = null;<newline46mondego>    	for (int i = 0; i < s.length(); i++)<newline46mondego>    	{<newline46mondego>    		char c = s.charAt(i);<newline46mondego>    		if (c == '(')<newline46mondego>    		{<newline46mondego>    			curr = new StringBuilder();<newline46mondego>    			stack.push(curr);<newline46mondego>    		}<newline46mondego>    		else if (c == ')')<newline46mondego>    		{<newline46mondego>    			System.out.println(stack.pop());<newline46mondego>    		}<newline46mondego>    		else<newline46mondego>    		{<newline46mondego>    			curr.append(c);<newline46mondego>    		}<newline46mondego>    	}<newline46mondego>    }<newline46mondego>"
"288splitHere46","810427splitHere46","0 30  627: SEQUENCE {<newline46mondego>       4 02    1:   INTEGER 0<newline46mondego>       7 30   13:   SEQUENCE {<newline46mondego>       9 06    9:     OBJECT IDENTIFIER rsaEncryption (1 2 840 113549 1 1 1)<newline46mondego>      20 05    0:     NULL<newline46mondego>                :     }<newline46mondego>      22 30  605:   SEQUENCE {<newline46mondego>      26 02    1:     INTEGER 0<newline46mondego>      29 02  129:     INTEGER<newline46mondego>                :       00 CA 72 B8 D1 B8 8E B9 39 C0 92 C1 4C 53 B4 F4<newline46mondego>                :       38 48 3F C3 1C DC 6B BC BE 26 A3 B2 F7 7C 60 A8<newline46mondego>                :       2C 0D 86 ED FC 2D D2 5C 99 B6 B6 71 A8 6D 2F 51<newline46mondego>                :       25 FA 9C 42 FE 10 C1 2F 39 EA E8 FF 1A 78 BA 6B<newline46mondego>                :       64 B8 39 34 3B F4 1C 45 06 C3 B9 98 DC 01 FF 41<newline46mondego>                :       56 36 4F DD 35 69 A4 27 BB 5F FD DD 5C 73 BA 9A<newline46mondego>                :       94 5A 4F 37 A9 48 3D 5B 89 EA EE BA 8D 02 6E D7<newline46mondego>                :       6E D4 6F BC 7D 7A A4 41 4C 4D CA 08 05 20 66 A3<newline46mondego>                :               [ Another 1 bytes skipped ]<newline46mondego>     161 02    3:     INTEGER 65537<newline46mondego>     166 02  128:     INTEGER<newline46mondego>                :       21 6A E2 7B 2B DD D3 51 67 2A 52 62 09 07 3B B0<newline46mondego>                :       F6 AC 1F C6 E9 D3 96 EA 44 72 8D 1E 31 17 BB 6A<newline46mondego>                :       DA 28 C5 AB F4 DC 5E 90 B9 0A 50 A4 9E B1 4A D1<newline46mondego>                :       DC 16 63 30 91 0F 72 7E 3A FA 8E F1 8D B0 27 FD<newline46mondego>                :       C2 BA B5 F8 FC 7C 46 C0 FD AD A7 39 7C 36 71 7A<newline46mondego>                :       33 8B AD 0D 0C DA 50 B7 0E BF D8 64 7D 44 BD 64<newline46mondego>                :       6F E2 51 B7 5E 2D 7B BA 02 DB A6 2F 20 88 66 98<newline46mondego>                :       85 34 2E EF D4 29 61 23 79 87 27 27 55 15 8D 21<newline46mondego>     297 02   65:     INTEGER<newline46mondego>                :       00 F9 62 BD 22 4A C8 56 7A C3 17 EB CE CC 5F 42<newline46mondego>                :       E1 40 F5 A5 66 60 32 54 86 67 26 AD 7C 34 C2 FE<newline46mondego>                :       FE 8A F7 7F BE 79 53 5F C9 73 D9 47 8B 0F 89 A1<newline46mondego>                :       09 F1 27 16 FC F1 4B C3 A9 27 59 29 0D DA 9C AE<newline46mondego>                :       53<newline46mondego>     364 02   65:     INTEGER<newline46mondego>                :       00 CF D1 4A 31 50 9A B4 BA 90 42 25 49 54 7C 20<newline46mondego>                :       54 2E CF E8 F1 35 DA 92 C2 A3 94 9D B7 B1 85 3F<newline46mondego>                :       13 D0 CA BC 77 D9 8A F3 32 83 59 93 E1 F0 11 1B<newline46mondego>                :       4C E5 A2 30 50 FE 1F B6 8D A5 B1 44 DA 4D 4B 11<newline46mondego>                :       09<newline46mondego>     431 02   64:     INTEGER<newline46mondego>                :       46 53 3A C4 9D D4 0A D7 09 87 08 5F 43 B0 A5 5A<newline46mondego>                :       82 08 03 81 70 25 21 42 D9 79 C5 B8 5D E4 93 25<newline46mondego>                :       D2 A8 62 A4 A2 F0 08 F5 F5 2E 53 87 7A 75 34 2D<newline46mondego>                :       6A 8C BC 65 CD E1 B0 A6 55 CB 45 D1 7B 51 6D B3<newline46mondego>     497 02   65:     INTEGER<newline46mondego>                :       00 81 CC 61 7F 9D AD 92 F5 F7 86 28 CD BD 43 ED<newline46mondego>                :       D9 46 87 BB 21 75 16 78 95 B3 1F EE C6 3D CD 50<newline46mondego>                :       91 6A D6 45 92 C1 C0 24 97 C7 2C 5A CE 42 68 1C<newline46mondego>                :       DA 11 8F 14 88 71 C0 92 FF B3 9E 9D B7 8F 91 34<newline46mondego>                :       29<newline46mondego>     564 02   65:     INTEGER<newline46mondego>                :       00 88 7A 99 AC AA A9 D5 2B 6E E1 87 0A E8 D2 4C<newline46mondego>                :       04 8E A2 EA 00 3F 8D AF 9F 76 61 86 B0 1D 18 69<newline46mondego>                :       C8 64 22 D4 6B A3 A4 BB 52 B1 AC 38 DB 6B 5C 28<newline46mondego>                :       F0 78 73 3E 37 FD C8 54 72 C7 FD A9 EB C9 F2 45<newline46mondego>                :       96<newline46mondego>                :     }<newline46mondego>                :   }<newline46mondego>"
"289splitHere46","810427splitHere46","0 30  631: SEQUENCE {<newline46mondego>   4 02    1:   INTEGER 0<newline46mondego>   7 30   13:   SEQUENCE {<newline46mondego>   9 06    9:     OBJECT IDENTIFIER rsaEncryption (1 2 840 113549 1 1 1)<newline46mondego>  20 05    0:     NULL<newline46mondego>            :     }<newline46mondego>  22 04  609:   OCTET STRING, encapsulates {<newline46mondego>  26 30  605:       SEQUENCE {<newline46mondego>  30 02    1:         INTEGER 0<newline46mondego>  33 02  129:         INTEGER<newline46mondego>            :           00 CA 72 B8 D1 B8 8E B9 39 C0 92 C1 4C 53 B4 F4<newline46mondego>            :           38 48 3F C3 1C DC 6B BC BE 26 A3 B2 F7 7C 60 A8<newline46mondego>            :           2C 0D 86 ED FC 2D D2 5C 99 B6 B6 71 A8 6D 2F 51<newline46mondego>            :           25 FA 9C 42 FE 10 C1 2F 39 EA E8 FF 1A 78 BA 6B<newline46mondego>            :           64 B8 39 34 3B F4 1C 45 06 C3 B9 98 DC 01 FF 41<newline46mondego>            :           56 36 4F DD 35 69 A4 27 BB 5F FD DD 5C 73 BA 9A<newline46mondego>            :           94 5A 4F 37 A9 48 3D 5B 89 EA EE BA 8D 02 6E D7<newline46mondego>            :           6E D4 6F BC 7D 7A A4 41 4C 4D CA 08 05 20 66 A3<newline46mondego>            :                   [ Another 1 bytes skipped ]<newline46mondego> 165 02    3:         INTEGER 65537<newline46mondego> 170 02  128:         INTEGER<newline46mondego>            :           21 6A E2 7B 2B DD D3 51 67 2A 52 62 09 07 3B B0<newline46mondego>            :           F6 AC 1F C6 E9 D3 96 EA 44 72 8D 1E 31 17 BB 6A<newline46mondego>            :           DA 28 C5 AB F4 DC 5E 90 B9 0A 50 A4 9E B1 4A D1<newline46mondego>            :           DC 16 63 30 91 0F 72 7E 3A FA 8E F1 8D B0 27 FD<newline46mondego>            :           C2 BA B5 F8 FC 7C 46 C0 FD AD A7 39 7C 36 71 7A<newline46mondego>            :           33 8B AD 0D 0C DA 50 B7 0E BF D8 64 7D 44 BD 64<newline46mondego>            :           6F E2 51 B7 5E 2D 7B BA 02 DB A6 2F 20 88 66 98<newline46mondego>            :           85 34 2E EF D4 29 61 23 79 87 27 27 55 15 8D 21<newline46mondego> 301 02   65:         INTEGER<newline46mondego>            :           00 F9 62 BD 22 4A C8 56 7A C3 17 EB CE CC 5F 42<newline46mondego>            :           E1 40 F5 A5 66 60 32 54 86 67 26 AD 7C 34 C2 FE<newline46mondego>            :           FE 8A F7 7F BE 79 53 5F C9 73 D9 47 8B 0F 89 A1<newline46mondego>            :           09 F1 27 16 FC F1 4B C3 A9 27 59 29 0D DA 9C AE<newline46mondego>            :           53<newline46mondego> 368 02   65:         INTEGER<newline46mondego>            :           00 CF D1 4A 31 50 9A B4 BA 90 42 25 49 54 7C 20<newline46mondego>            :           54 2E CF E8 F1 35 DA 92 C2 A3 94 9D B7 B1 85 3F<newline46mondego>            :           13 D0 CA BC 77 D9 8A F3 32 83 59 93 E1 F0 11 1B<newline46mondego>            :           4C E5 A2 30 50 FE 1F B6 8D A5 B1 44 DA 4D 4B 11<newline46mondego>            :           09<newline46mondego> 435 02   64:         INTEGER<newline46mondego>            :           46 53 3A C4 9D D4 0A D7 09 87 08 5F 43 B0 A5 5A<newline46mondego>            :           82 08 03 81 70 25 21 42 D9 79 C5 B8 5D E4 93 25<newline46mondego>            :           D2 A8 62 A4 A2 F0 08 F5 F5 2E 53 87 7A 75 34 2D<newline46mondego>            :           6A 8C BC 65 CD E1 B0 A6 55 CB 45 D1 7B 51 6D B3<newline46mondego> 501 02   65:         INTEGER<newline46mondego>            :           00 81 CC 61 7F 9D AD 92 F5 F7 86 28 CD BD 43 ED<newline46mondego>            :           D9 46 87 BB 21 75 16 78 95 B3 1F EE C6 3D CD 50<newline46mondego>            :           91 6A D6 45 92 C1 C0 24 97 C7 2C 5A CE 42 68 1C<newline46mondego>            :           DA 11 8F 14 88 71 C0 92 FF B3 9E 9D B7 8F 91 34<newline46mondego>            :           29<newline46mondego> 568 02   65:         INTEGER<newline46mondego>            :           00 88 7A 99 AC AA A9 D5 2B 6E E1 87 0A E8 D2 4C<newline46mondego>            :           04 8E A2 EA 00 3F 8D AF 9F 76 61 86 B0 1D 18 69<newline46mondego>            :           C8 64 22 D4 6B A3 A4 BB 52 B1 AC 38 DB 6B 5C 28<newline46mondego>            :           F0 78 73 3E 37 FD C8 54 72 C7 FD A9 EB C9 F2 45<newline46mondego>            :           96<newline46mondego>            :         }<newline46mondego>            :       }<newline46mondego>            :   }<newline46mondego>"
"290splitHere46","810427splitHere46","30(*1)020100300D06092A864886F70D010101050030(*2)"
"291splitHere46","810427splitHere46","(*1)"
"292splitHere46","810427splitHere46","(*2)"
"293splitHere46","810427splitHere46","XX"
"294splitHere46","810427splitHere46","81XX"
"295splitHere46","810427splitHere46","82XXXX"
"296splitHere46","810427splitHere46","83XXXXXX"
"297splitHere46","810427splitHere46","82XXXX"
"298splitHere46","810427splitHere46","(*2)"
"299splitHere46","810427splitHere46","30(*2)"
"300splitHere46","810427splitHere46","82XXXX"
"301splitHere46","810427splitHere46","(*3)"
"302splitHere46","810427splitHere46","04(*3)"
"303splitHere46","810427splitHere46","30(*2)"
"304splitHere46","810427splitHere46","04(*3)"
"305splitHere46","810427splitHere46","(*1)"
"306splitHere46","810427splitHere46","82XXXX"
"307splitHere46","810427splitHere46","(*1)"
"308splitHere46","810576splitHere46","frame.getGraphicsConfiguration().getDevice().getIDString()<newline46mondego>"
"309splitHere46","810576splitHere46","GraphicsEnvironment.getLocalGraphicsEnvironment().getDevices()<newline46mondego>"
"310splitHere46","810576splitHere46","JFrame"
"311splitHere46","810591splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46> ?><newline46mondego><!DOCTYPE log4j:configuration SYSTEM <doubleQuotes46>log4j.dtd<doubleQuotes46>><newline46mondego><log4j:configuration xmlns:log4j=<doubleQuotes46>http://jakarta.apache.org/log4j/<doubleQuotes46>><newline46mondego>  <appender name=<doubleQuotes46>CustomAppender<doubleQuotes46> class=<doubleQuotes46>org.apache.log4j.RollingFileAppender<doubleQuotes46>><newline46mondego>    <param name=<doubleQuotes46>File<doubleQuotes46> value=<doubleQuotes46>custom.log<doubleQuotes46>/><newline46mondego>    <param name=<doubleQuotes46>Append<doubleQuotes46> value=<doubleQuotes46>true<doubleQuotes46>/><newline46mondego>    <param name=<doubleQuotes46>MaxFileSize<doubleQuotes46> value=<doubleQuotes46>5000KB<doubleQuotes46>/><newline46mondego>    <param name=<doubleQuotes46>maxBackupIndex<doubleQuotes46> value=<doubleQuotes46>5<doubleQuotes46>/> <newline46mondego>          <layout class=<doubleQuotes46>org.apache.log4j.PatternLayout<doubleQuotes46>><newline46mondego>                  <param name=<doubleQuotes46>ConversionPattern<doubleQuotes46> value=<doubleQuotes46>%d{yyyy-MM-dd HH:mm:ss} [%t] %-5p - %m%n<doubleQuotes46> /><newline46mondego>          </layout><newline46mondego><newline46mondego>          <filter class=<doubleQuotes46>org.apache.log4j.varia.StringMatchFilter<doubleQuotes46>><newline46mondego>                  <param name=<doubleQuotes46>StringToMatch<doubleQuotes46> value=<doubleQuotes46>Here is DEBUG<doubleQuotes46> /><newline46mondego>                  <param name=<doubleQuotes46>AcceptOnMatch<doubleQuotes46> value=<doubleQuotes46>true<doubleQuotes46> /><newline46mondego>          </filter><newline46mondego><newline46mondego>          <filter class=<doubleQuotes46>org.apache.log4j.varia.DenyAllFilter<doubleQuotes46>/><newline46mondego>  </appender><newline46mondego><newline46mondego>  <root><newline46mondego>    <appender-ref ref=<doubleQuotes46>CustomAppender<doubleQuotes46>/><newline46mondego>  </root><newline46mondego></log4j:configuration><newline46mondego>"
"312splitHere46","810609splitHere46","public class Job {<newline46mondego>    public int prio;<newline46mondego>    public int timeElapsed;<newline46mondego>}<newline46mondego>"
"313splitHere46","810609splitHere46","public void sortByTime() {<newline46mondego>	AbstractList<Job> list = new ArrayList<Job>();<newline46mondego>	//add some items<newline46mondego>	Collections.sort(list, new Comparator<Job>() {<newline46mondego>		public int compare(Job j1, Job j2) {<newline46mondego>			return j1.timeElapsed - j2.timeElapsed;<newline46mondego>		}<newline46mondego>	});<newline46mondego>}<newline46mondego>"
"314splitHere46","810984splitHere46","Character"
"315splitHere46","810984splitHere46","isLetter"
"316splitHere46","810984splitHere46","Character.UnicodeBlock"
"317splitHere46","810984splitHere46","Character.UnicodeBlock.of"
"318splitHere46","810984splitHere46","boolean isKatakana = <newline46mondego>    Character.UnicodeBlock.of(c) == Character.UnicodeBlock.KATAKANA;<newline46mondego>"
"319splitHere46","810984splitHere46","String"
"320splitHere46","810984splitHere46","charAt(int)"
"321splitHere46","810984splitHere46","codePointAt(int)"
"322splitHere46","811307splitHere46","List<File> dropppedFiles = (List<File>)transferable.getTransferData(DataFlavor.javaFileListFlavor)<newline46mondego>"
"323splitHere46","811307splitHere46","nixFileDataFlavor = new DataFlavor(<doubleQuotes46>text/uri-list;class=java.lang.String<doubleQuotes46>);<newline46mondego>String data = (String)transferable.getTransferData(nixFileDataFlavor);<newline46mondego>for(StringTokenizer st = new StringTokenizer(data, <doubleQuotes46>\r\n<doubleQuotes46>); st.hasMoreTokens();)<newline46mondego>{<newline46mondego>    String token = st.nextToken().trim();<newline46mondego>    if(token.startsWith(<doubleQuotes46>#<doubleQuotes46>) || token.isEmpty())<newline46mondego>    {<newline46mondego>         // comment line, by RFC 2483<newline46mondego>         continue;<newline46mondego>    }<newline46mondego>    try<newline46mondego>    {<newline46mondego>         File file = new File(new URI(token))<newline46mondego>         // store this somewhere<newline46mondego>    }<newline46mondego>    catch(...)<newline46mondego>    {<newline46mondego>       // do something good<newline46mondego>       ....<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"324splitHere46","811352splitHere46","public int deleteByGuid(final String guid){<newline46mondego>    Organization org = entityManager.find(Organization.class, guid);<newline46mondego>    entityManager.remove(org);<newline46mondego>}<newline46mondego>"
"325splitHere46","811463splitHere46","collection of nodes, each node has a unique ID<newline46mondego>collection of edges, each edge has two node IDs (or however many nodes an edge connects to)<newline46mondego>"
"326splitHere46","811479splitHere46","<bag name=<doubleQuotes46>Tutorials<doubleQuotes46> cascade=<doubleQuotes46>all-delete-orphan<doubleQuotes46>><newline46mondego>   <key column=<doubleQuotes46>someId<doubleQuotes46> /><newline46mondego>   <one-to-many class=<doubleQuotes46>Tutorial<doubleQuotes46> not-found=<doubleQuotes46>ignore<doubleQuotes46> /><newline46mondego>"
"327splitHere46","811574splitHere46","<context-param><newline46mondego>    <param-name>my.context.param</param-name><newline46mondego>    <param-value>Hello World</param-value><newline46mondego>  </context-param><newline46mondego>"
"328splitHere46","811574splitHere46","// => <doubleQuotes46>Hello World<doubleQuotes46><newline46mondego>String result = <newline46mondego>  getApplication().getContext().getParameters().getFirstValue(<doubleQuotes46>my.context.param<doubleQuotes46>);<newline46mondego>"
"329splitHere46","811846splitHere46","src/main/java/com/foo/bar.java<newline46mondego>src/test/java/com/foo/barTest.java<newline46mondego>"
"330splitHere46","811860splitHere46","public class CharacterHandler {<newline46mondego>    //Java 7 source level<newline46mondego>    public static void main(String[] args) throws IOException {<newline46mondego>        // replace this with a known encoding if possible<newline46mondego>        Charset encoding = Charset.defaultCharset();<newline46mondego>        for (String filename : args) {<newline46mondego>            File file = new File(filename);<newline46mondego>            handleFile(file, encoding);<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    private static void handleFile(File file, Charset encoding)<newline46mondego>            throws IOException {<newline46mondego>        try (InputStream in = new FileInputStream(file);<newline46mondego>             Reader reader = new InputStreamReader(in, encoding);<newline46mondego>             // buffer for efficiency<newline46mondego>             Reader buffer = new BufferedReader(reader)) {<newline46mondego>            handleCharacters(buffer);<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    private static void handleCharacters(Reader reader)<newline46mondego>            throws IOException {<newline46mondego>        int r;<newline46mondego>        while ((r = reader.read()) != -1) {<newline46mondego>            char ch = (char) r;<newline46mondego>            System.out.println(<doubleQuotes46>Do something with <doubleQuotes46> + ch);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"331splitHere46","812117splitHere46","<dependency><newline46mondego>    <groupId>org.openfoo</groupId><newline46mondego>    <artifactId>jfoo</artifactId><newline46mondego>    <version>[1.0.0,2.0.0)</version><newline46mondego></dependency><newline46mondego>"
"332splitHere46","812117splitHere46","cd the-path-to-the-project; mvn -q -B -U package<newline46mondego>"
"333splitHere46","812271splitHere46","<servlet><newline46mondego>    <servlet-name>jsp</servlet-name><newline46mondego>    <servlet-class>org.apache.jasper.servlet.JspServlet</servlet-class><newline46mondego>    <init-param><newline46mondego>        <param-name>compilerSourceVM</param-name><newline46mondego>        <param-value>1.5</param-value><newline46mondego>    </init-param><newline46mondego>    <init-param><newline46mondego>        <param-name>compilerTargetVM</param-name><newline46mondego>        <param-value>1.5</param-value><newline46mondego>    </init-param><newline46mondego>    <load-on-startup>3</load-on-startup><newline46mondego></servlet><newline46mondego>"
"334splitHere46","812291splitHere46","class MyContextHolder{<newline46mondego>    ApplicationContext appContext;<newline46mondego>    ......<newline46mondego>    @SuppressWarnings(<doubleQuotes46>unchecked<doubleQuotes46>)<newline46mondego>    public static <T> T getBean(String beanName)<newline46mondego>    {<newline46mondego>        return (T)appContext.getBean(beanName);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"335splitHere46","812291splitHere46","MyClass mc = MyContextHolder.getBean(<doubleQuotes46>myClassBean<doubleQuotes46>);<newline46mondego>"
"336splitHere46","812322splitHere46","SSLEngine"
"337splitHere46","812540splitHere46","ApplicationContext.getBean()"
"338splitHere46","812540splitHere46","MyClass myClass = applicationContext.getBean(<doubleQuotes46>myClass<doubleQuotes46>);<newline46mondego>"
"339splitHere46","812540splitHere46","public void setMyClass(MyClass myClass) {<newline46mondego>   this.myClass = myClass;<newline46mondego>}<newline46mondego>"
"340splitHere46","812540splitHere46","<bean id=<doubleQuotes46>myClass<doubleQuotes46> class=<doubleQuotes46>MyClass<doubleQuotes46>>...</bean><newline46mondego><newline46mondego><bean id=<doubleQuotes46>myOtherClass<doubleQuotes46> class=<doubleQuotes46>MyOtherClass<doubleQuotes46>><newline46mondego>   <property name=<doubleQuotes46>myClass<doubleQuotes46> ref=<doubleQuotes46>myClass<doubleQuotes46>/><newline46mondego></bean><newline46mondego>"
"341splitHere46","812540splitHere46","myClass"
"342splitHere46","812540splitHere46","myOtherClass"
"343splitHere46","812540splitHere46","<bean id=<doubleQuotes46>myApplication<doubleQuotes46> class=<doubleQuotes46>MyApplication<doubleQuotes46>><newline46mondego>   <property name=<doubleQuotes46>myCentralClass<doubleQuotes46> ref=<doubleQuotes46>myCentralClass<doubleQuotes46>/><newline46mondego>   <property name=<doubleQuotes46>myOtherCentralClass<doubleQuotes46> ref=<doubleQuotes46>myOtherCentralClass<doubleQuotes46>/><newline46mondego></bean><newline46mondego>"
"344splitHere46","812540splitHere46","MyApplication"
"345splitHere46","812540splitHere46","main"
"346splitHere46","812540splitHere46","applicationContext.getBean(<doubleQuotes46>myApplication<doubleQuotes46>)"
"347splitHere46","812540splitHere46","getBean()"
"348splitHere46","812742splitHere46","@Basic(optional = false)<newline46mondego>@Column(name = <doubleQuotes46>LastTouched<doubleQuotes46>, insertable = false, updatable = false)<newline46mondego>@Temporal(TemporalType.TIMESTAMP)<newline46mondego>private Date lastTouched;<newline46mondego>"
"349splitHere46","812892splitHere46","pause"
"350splitHere46","813089splitHere46","JDialog"
"351splitHere46","813089splitHere46","setUndecorated(true)"
"352splitHere46","813089splitHere46","JWindow"
"353splitHere46","813089splitHere46","JFrame"
"354splitHere46","813089splitHere46","null"
