"1splitHere46","12471528splitHere46","private float readUsage() {<newline46mondego>try {<newline46mondego>    RandomAccessFile reader = new RandomAccessFile(<doubleQuotes46>/proc/stat<doubleQuotes46>, <doubleQuotes46>r<doubleQuotes46>);<newline46mondego>    String load = reader.readLine();<newline46mondego><newline46mondego>    String[] toks = load.split(<doubleQuotes46> <doubleQuotes46>);<newline46mondego><newline46mondego>    long idle1 = Long.parseLong(toks[5]);<newline46mondego>    long cpu1 = Long.parseLong(toks[2]) + Long.parseLong(toks[3]) + Long.parseLong(toks[4])<newline46mondego>          + Long.parseLong(toks[6]) + Long.parseLong(toks[7]) + Long.parseLong(toks[8]);<newline46mondego><newline46mondego>    try {<newline46mondego>        Thread.sleep(360);<newline46mondego>    } catch (Exception e) {}<newline46mondego><newline46mondego>    reader.seek(0);<newline46mondego>    load = reader.readLine();<newline46mondego>    reader.close();<newline46mondego><newline46mondego>    toks = load.split(<doubleQuotes46> <doubleQuotes46>);<newline46mondego><newline46mondego>    long idle2 = Long.parseLong(toks[5]);<newline46mondego>    long cpu2 = Long.parseLong(toks[2]) + Long.parseLong(toks[3]) + Long.parseLong(toks[4])<newline46mondego>        + Long.parseLong(toks[6]) + Long.parseLong(toks[7]) + Long.parseLong(toks[8]);<newline46mondego><newline46mondego>    return (float)(cpu2 - cpu1) / ((cpu2 + idle2) - (cpu1 + idle1));<newline46mondego><newline46mondego>} catch (IOException ex) {<newline46mondego>    ex.printStackTrace();<newline46mondego>   }<newline46mondego><newline46mondego>    return 0;<newline46mondego>} <newline46mondego>"
"2423splitHere46","12539207splitHere46","instanceof"
"2424splitHere46","12539282splitHere46","new Random()"
"2425splitHere46","12539282splitHere46","public void onClickRandomColor(View v) {<newline46mondego>    Random rnd = new Random();<newline46mondego>    int min = 0, max = 255;<newline46mondego>    int randomRed = rnd.nextInt(max - min + 1) + min;<newline46mondego>    int randomGreen = rnd.nextInt(max - min + 1) + min;<newline46mondego>    int randomBlue = rnd.nextInt(max - min + 1) + min;<newline46mondego>    Rset = randomRed;<newline46mondego>    Gset = randomGreen;<newline46mondego>    Bset = randomBlue;<newline46mondego>}<newline46mondego>"
"2426splitHere46","12539513splitHere46","<spring.version>3.1.2.RELEASE</spring.version><newline46mondego>    <spring-data.jpa.version>1.2.0.BUILD-SNAPSHOT</spring-data.jpa.version><newline46mondego>    <spring-data.mongodb.version>1.1.0.BUILD-SNAPSHOT</spring-data.mongodb.version><newline46mondego>"
"2427splitHere46","12539571splitHere46","JSONObject"
"2428splitHere46","12539571splitHere46","ObjectMapper"
"2429splitHere46","12539571splitHere46","ObjectNode"
"2430splitHere46","12539571splitHere46","ObjectMapper mapper = new ObjectMapper();<newline46mondego>ObjectNode node = mapper.createObjectNode();<newline46mondego>node.put(<doubleQuotes46>message<doubleQuotes46>, <doubleQuotes46>text<doubleQuotes46>);<newline46mondego>"
"2431splitHere46","12539571splitHere46","org.json"
"2432splitHere46","12539571splitHere46","org.json"
"2433splitHere46","12539645splitHere46","org.apache.zookeeper.data.Stat"
"2434splitHere46","12539645splitHere46","stat()"
"2435splitHere46","12539645splitHere46","checkExists().forPath()"
"2436splitHere46","12539645splitHere46","Stat"
"2437splitHere46","12539645splitHere46","null"
"2438splitHere46","12539683splitHere46","select"
"2439splitHere46","12539683splitHere46","SWT.Modify"
"2440splitHere46","12539683splitHere46","ModifyListener"
"2441splitHere46","12539683splitHere46","SelectionListener"
"2442splitHere46","12539683splitHere46","ModifyListener"
"2443splitHere46","12539683splitHere46","ModifyListener"
"2444splitHere46","12539933splitHere46","ProgressBar"
"2445splitHere46","12539965splitHere46","bootcpasspath"
"2446splitHere46","12539965splitHere46","rt.jar"
"2447splitHere46","12539965splitHere46","rt.jar"
"2448splitHere46","12539996splitHere46","javac -classpath . MyClass.java<newline46mondego>"
"2449splitHere46","12539996splitHere46","java -classpath . MyClass<newline46mondego>"
"2450splitHere46","12539996splitHere46","-classpath .:/path/to/my.jar:/some/other/directory"
"2451splitHere46","12540109splitHere46","FXMLLoader"
"2452splitHere46","12540109splitHere46","WebView"
"2453splitHere46","12540109splitHere46","dialog.show()"
"2454splitHere46","12540112splitHere46","count = 0;<newline46mondego>        System.out.println(++count + <doubleQuotes46>.<doubleQuotes46> + <doubleQuotes46> <doubleQuotes46> + <doubleQuotes46>Street:<doubleQuotes46>+ <doubleQuotes46> <doubleQuotes46> + streetName + <doubleQuotes46> <doubleQuotes46> +  <doubleQuotes46>#<doubleQuotes46> + streetNumber);<newline46mondego>"
"2455splitHere46","12540194splitHere46","java -classpath ../java_libraries/objectdraw.jar:$BUILD_DIR TouchyWindow<newline46mondego>"
"2456splitHere46","12540194splitHere46","public static void main(String[] args) { <newline46mondego>   new MyClassName().startController(400,400); <newline46mondego>} <newline46mondego>"
"2457splitHere46","12540205splitHere46","<property name=<doubleQuotes46>datanucleus.persistenceByReachabilityAtCommit<doubleQuotes46> value=<doubleQuotes46>false<doubleQuotes46>/><newline46mondego>"
"2458splitHere46","12540342splitHere46","volatile"
"2459splitHere46","12540342splitHere46","volatile"
"2460splitHere46","12540342splitHere46","volatile"
"2461splitHere46","12540342splitHere46","class VolatileTest implements Runnable<newline46mondego>{<newline46mondego>        // try with and without volatile<newline46mondego>        private volatile boolean stopRunning = false;<newline46mondego><newline46mondego>        public void triggerStop(){<newline46mondego>             stopRunning = true;<newline46mondego>        }<newline46mondego><newline46mondego>        @Override<newline46mondego>        public void run(){<newline46mondego>             while(!stopRunning);<newline46mondego>             System.out.println(<doubleQuotes46>Finished.<doubleQuotes46>);<newline46mondego>        }<newline46mondego><newline46mondego>        public static void main (String[] args) throws java.lang.Exception<newline46mondego>        {<newline46mondego>            final VolatileTest test = new VolatileTest();<newline46mondego>            new Thread(test).start();<newline46mondego>            Thread.sleep(1000);<newline46mondego>            test.triggerStop() = false;<newline46mondego>        }<newline46mondego>}<newline46mondego>"
"2462splitHere46","12540342splitHere46","stopRunning"
"2463splitHere46","12540342splitHere46","volatile"
"2464splitHere46","12540342splitHere46","while"
"2465splitHere46","12540342splitHere46","stopRunning"
"2466splitHere46","12540342splitHere46","volatile"
"2467splitHere46","12540357splitHere46","INSERT"
"2468splitHere46","12540357splitHere46","String query = <doubleQuotes46>insert into Product (product_id,product_name,product_description,product_price) VALUES (?,?,?,?)<doubleQuotes46>;<newline46mondego>ps=connection.prepareStatement(query);<newline46mondego>ps.setInt(1,product_id);<newline46mondego>...<newline46mondego>ps.executeUpdate();<newline46mondego><newline46mondego>query=<doubleQuotes46>insert into PC(product_id,component_id) VALUES (?,?)<doubleQuotes46>;<newline46mondego>ps=connection.prepareStatement(query);<newline46mondego>String []component_ids=request.getParameterValues(<doubleQuotes46>component_id<doubleQuotes46>);<newline46mondego>for(String componentID: components_ids){<newline46mondego>   ps.setString(1,product_id);<newline46mondego>   ps.setString(2,componentID);<newline46mondego>   ps.executeUpdate();<newline46mondego>}<newline46mondego>"
"2469splitHere46","12540511splitHere46","int"
"2470splitHere46","12540690splitHere46","int"
"2471splitHere46","12540690splitHere46","Integer"
"2472splitHere46","12540690splitHere46","Short"
"2473splitHere46","12540889splitHere46","public class LabelJarSample {<newline46mondego><newline46mondego>  public static void main(String args[]) {<newline46mondego>    String title = <doubleQuotes46>JLabel Sample<doubleQuotes46>;<newline46mondego>    JFrame frame = new JFrame(title);<newline46mondego>    frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego><newline46mondego>    Container content = frame.getContentPane();<newline46mondego>    content.setLayout(new GridLayout(2, 2));<newline46mondego><newline46mondego>    JLabel label1 = new JLabel(<doubleQuotes46>Text Label<doubleQuotes46>);<newline46mondego>    content.add(label1);<newline46mondego><newline46mondego>    Image warnImage = ImageLoader.getImage(LabelJarSample.class, <doubleQuotes46>Warn.gif<doubleQuotes46>);<newline46mondego>    Icon warnIcon = new ImageIcon(warnImage);<newline46mondego>    JLabel label2 = new JLabel(warnIcon);<newline46mondego>    content.add(label2);<newline46mondego><newline46mondego>    JLabel label3 = new JLabel(<doubleQuotes46>Warning<doubleQuotes46>, warnIcon, JLabel.CENTER);<newline46mondego>    content.add(label3);<newline46mondego><newline46mondego>    String htmlLabel = <doubleQuotes46><html><sup>HTML</sup> <sub><em>Label</em></sub><newline46mondego><doubleQuotes46><newline46mondego>        + <doubleQuotes46><font color=\<doubleQuotes46>#FF0080\<doubleQuotes46>><u>Multi-line</u></font><doubleQuotes46>;<newline46mondego>    JLabel label4 = new JLabel(htmlLabel);<newline46mondego>    content.add(label4);<newline46mondego><newline46mondego>    frame.setSize(300, 200);<newline46mondego>    frame.setVisible(true);<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego><newline46mondego><newline46mondego><newline46mondego>final class ImageLoader {<newline46mondego><newline46mondego>  private ImageLoader() {<newline46mondego>  }<newline46mondego><newline46mondego>  public static Image getImage(Class relativeClass, String filename) {<newline46mondego>    Image returnValue = null;<newline46mondego>    InputStream is = relativeClass.getResourceAsStream(filename);<newline46mondego>    if (is != null) {<newline46mondego>      BufferedInputStream bis = new BufferedInputStream(is);<newline46mondego>      ByteArrayOutputStream baos = new ByteArrayOutputStream();<newline46mondego>      try {<newline46mondego>        int ch;<newline46mondego>        while ((ch = bis.read()) != -1) {<newline46mondego>          baos.write(ch);<newline46mondego>        }<newline46mondego>        returnValue = Toolkit.getDefaultToolkit().createImage(<newline46mondego>            baos.toByteArray());<newline46mondego>      } catch (IOException exception) {<newline46mondego>        System.err.println(<doubleQuotes46>Error loading: <doubleQuotes46> + filename);<newline46mondego>      }<newline46mondego>    }<newline46mondego>    return returnValue;<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"2474splitHere46","12541015splitHere46","/galaxies/ --> You can deal with list of galxies here<newline46mondego>/galaxies/{oneGalaxyId}  --> One galaxy<newline46mondego>/galaxies/{oneGalaxyId}/planets --> Planets of a galaxy<newline46mondego>/galaxies/{oneGalaxyId}/planets/{planetId} --> One planet among the planets of a galaxy.<newline46mondego>"
"2475splitHere46","12541015splitHere46","List"
"2476splitHere46","12541015splitHere46","public void setPlanets ( List<Planet> planets ) {...}"
"2477splitHere46","12541117splitHere46","result"
"2478splitHere46","12541117splitHere46","int [][] result = new int[2][];<newline46mondego>"
"2479splitHere46","12541164splitHere46","public class Java2DExample extends JFrame {<newline46mondego>  private JMenu filterMenu = new JMenu(<doubleQuotes46>Image Filters<doubleQuotes46>);<newline46mondego><newline46mondego>  private ImagePanel imagePanel;<newline46mondego><newline46mondego>  private MyFilter invertFilter = new InvertFilter();<newline46mondego><newline46mondego>  private MyFilter sharpenFilter = new SharpenFilter();<newline46mondego><newline46mondego>  private MyFilter blurFilter = new BlurFilter();<newline46mondego><newline46mondego>  private MyFilter colorFilter = new ColorFilter();<newline46mondego><newline46mondego>  public Java2DExample() {<newline46mondego>    super(<doubleQuotes46>Java 2D Image Processing Demo<doubleQuotes46>);<newline46mondego>    imagePanel = new ImagePanel(Java2DExample.class.getResource(<doubleQuotes46>yourImage.png<doubleQuotes46>));<newline46mondego><newline46mondego>    JMenuBar menuBar = new JMenuBar();<newline46mondego>    setJMenuBar(menuBar);<newline46mondego>    filterMenu.setMnemonic('I');<newline46mondego><newline46mondego>    JMenuItem originalMenuItem = new JMenuItem(<doubleQuotes46>Display Original<doubleQuotes46>);<newline46mondego>    originalMenuItem.setMnemonic('O');<newline46mondego><newline46mondego>    originalMenuItem.addActionListener(new ActionListener() {<newline46mondego>      public void actionPerformed(ActionEvent action) {<newline46mondego>        imagePanel.displayOriginalImage();<newline46mondego>      }<newline46mondego><newline46mondego>    });<newline46mondego><newline46mondego>    JMenuItem invertMenuItem = createMenuItem(<doubleQuotes46>Invert<doubleQuotes46>, 'I', invertFilter);<newline46mondego>    JMenuItem sharpenMenuItem = createMenuItem(<doubleQuotes46>Sharpen<doubleQuotes46>, 'S', sharpenFilter);<newline46mondego>    JMenuItem blurMenuItem = createMenuItem(<doubleQuotes46>Blur<doubleQuotes46>, 'B', blurFilter);<newline46mondego>    JMenuItem changeColorsMenuItem = createMenuItem(<doubleQuotes46>Change Colors<doubleQuotes46>, 'C', colorFilter);<newline46mondego><newline46mondego>    filterMenu.add(originalMenuItem);<newline46mondego>    filterMenu.add(invertMenuItem);<newline46mondego>    filterMenu.add(sharpenMenuItem);<newline46mondego>    filterMenu.add(blurMenuItem);<newline46mondego>    filterMenu.add(changeColorsMenuItem);<newline46mondego><newline46mondego>    menuBar.add(filterMenu);<newline46mondego><newline46mondego>    getContentPane().add(imagePanel, BorderLayout.CENTER);<newline46mondego><newline46mondego>  }<newline46mondego><newline46mondego>  public JMenuItem createMenuItem(String menuItemName, char mnemonic, final MyFilter filter) {<newline46mondego>    JMenuItem menuItem = new JMenuItem(menuItemName);<newline46mondego>    menuItem.setMnemonic(mnemonic);<newline46mondego>    menuItem.addActionListener(new ActionListener() {<newline46mondego>      public void actionPerformed(ActionEvent action) {<newline46mondego>        imagePanel.applyFilter(filter);<newline46mondego>      }<newline46mondego><newline46mondego>    });<newline46mondego>    return menuItem;<newline46mondego>  }<newline46mondego><newline46mondego>  public static void main(String args[]) {<newline46mondego>    Java2DExample application = new Java2DExample();<newline46mondego>    application.setDefaultCloseOperation(EXIT_ON_CLOSE);<newline46mondego>    application.pack();<newline46mondego>    application.setVisible(true);<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>interface MyFilter {<newline46mondego>  public abstract BufferedImage processImage(BufferedImage image);<newline46mondego>}<newline46mondego><newline46mondego>class BlurFilter implements MyFilter {<newline46mondego>  public BufferedImage processImage(BufferedImage image) {<newline46mondego>    float[] blurMatrix = { 1.0f / 9.0f, 1.0f / 9.0f, 1.0f / 9.0f, 1.0f / 9.0f, 1.0f / 9.0f,<newline46mondego>        1.0f / 9.0f, 1.0f / 9.0f, 1.0f / 9.0f, 1.0f / 9.0f };<newline46mondego>    BufferedImageOp blurFilter = new ConvolveOp(new Kernel(3, 3, blurMatrix),<newline46mondego>        ConvolveOp.EDGE_NO_OP, null);<newline46mondego>    return blurFilter.filter(image, null);<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>class ImagePanel extends JPanel {<newline46mondego><newline46mondego>  private BufferedImage displayImage;<newline46mondego><newline46mondego>  private BufferedImage originalImage;<newline46mondego><newline46mondego>  private Image image;<newline46mondego><newline46mondego>  public ImagePanel(URL imageURL) {<newline46mondego>    image = Toolkit.getDefaultToolkit().createImage(imageURL);<newline46mondego>    MediaTracker mediaTracker = new MediaTracker(this);<newline46mondego>    mediaTracker.addImage(image, 0);<newline46mondego><newline46mondego>    try {<newline46mondego>      mediaTracker.waitForAll();<newline46mondego>    } catch (InterruptedException e) {<newline46mondego>      e.printStackTrace();<newline46mondego>    }<newline46mondego>    originalImage = new BufferedImage(image.getWidth(null), image.getHeight(null),<newline46mondego>        BufferedImage.TYPE_INT_RGB);<newline46mondego>    displayImage = originalImage;<newline46mondego>    Graphics2D graphics = displayImage.createGraphics();<newline46mondego>    graphics.drawImage(image, null, null);<newline46mondego><newline46mondego>  }<newline46mondego><newline46mondego>  public void applyFilter(MyFilter filter) {<newline46mondego>    displayImage = filter.processImage(displayImage);<newline46mondego>    repaint();<newline46mondego>  }<newline46mondego><newline46mondego>  public void displayOriginalImage() {<newline46mondego>    displayImage = new BufferedImage(image.getWidth(null), image.getHeight(null),<newline46mondego>        BufferedImage.TYPE_INT_RGB);<newline46mondego><newline46mondego>    Graphics2D graphics = displayImage.createGraphics();<newline46mondego>    graphics.drawImage(originalImage, null, null);<newline46mondego>    repaint();<newline46mondego>  }<newline46mondego>  public void paintComponent(Graphics g) {<newline46mondego>    super.paintComponent(g);<newline46mondego>    Graphics2D graphics = (Graphics2D) g;<newline46mondego>    graphics.drawImage(displayImage, 0, 0, null);<newline46mondego>  }<newline46mondego>  public Dimension getPreferredSize() {<newline46mondego>    return new Dimension(displayImage.getWidth(), displayImage.getHeight());<newline46mondego>  }<newline46mondego>  public Dimension getMinimumSize() {<newline46mondego>    return getPreferredSize();<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>class SharpenFilter implements MyFilter {<newline46mondego>  public BufferedImage processImage(BufferedImage image) {<newline46mondego>    float[] sharpenMatrix = { 0.0f, -1.0f, 0.0f, -1.0f, 5.0f, -1.0f, 0.0f, -1.0f, 0.0f };<newline46mondego>    BufferedImageOp sharpenFilter = new ConvolveOp(new Kernel(3, 3, sharpenMatrix),<newline46mondego>        ConvolveOp.EDGE_NO_OP, null);<newline46mondego>    return sharpenFilter.filter(image, null);<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>class InvertFilter implements MyFilter {<newline46mondego>  public BufferedImage processImage(BufferedImage image) {<newline46mondego>    byte[] invertArray = new byte[256];<newline46mondego><newline46mondego>    for (int counter = 0; counter < 256; counter++)<newline46mondego>      invertArray[counter] = (byte) (255 - counter);<newline46mondego><newline46mondego>    BufferedImageOp invertFilter = new LookupOp(new ByteLookupTable(0, invertArray), null);<newline46mondego>    return invertFilter.filter(image, null);<newline46mondego><newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>class ColorFilter implements MyFilter {<newline46mondego>  public BufferedImage processImage(BufferedImage image) {<newline46mondego>    float[][] colorMatrix = { { 1f, 0f, 0f }, { 0.5f, 1.0f, 0.5f }, { 0.2f, 0.4f, 0.6f } };<newline46mondego>    BandCombineOp changeColors = new BandCombineOp(colorMatrix, null);<newline46mondego>    Raster sourceRaster = image.getRaster();<newline46mondego>    WritableRaster displayRaster = sourceRaster.createCompatibleWritableRaster();<newline46mondego>    changeColors.filter(sourceRaster, displayRaster);<newline46mondego>    return new BufferedImage(image.getColorModel(), displayRaster, true, null);<newline46mondego><newline46mondego>  }<newline46mondego>}<newline46mondego>"
"2480splitHere46","12541211splitHere46","String s=<doubleQuotes46>ABCD<doubleQuotes46>;<newline46mondego>String z=<doubleQuotes46>ABCD<doubleQuotes46>;<newline46mondego>"
"2481splitHere46","12541211splitHere46","String s=new String(<doubleQuotes46>ABCD<doubleQuotes46>);<newline46mondego>String z=new String(<doubleQuotes46>ABCD<doubleQuotes46>);<newline46mondego>"
"2482splitHere46","12541258splitHere46","Image image = Image.getInstance(path+<doubleQuotes46>/<doubleQuotes46>+<doubleQuotes46>images/abi.png<doubleQuotes46>);<newline46mondego>                image.setAbsolutePosition(40f, 770f);<newline46mondego>                image.scaleAbsolute(70f, 50f);<newline46mondego>                document.add(image);<newline46mondego>                response.flushBuffer();<newline46mondego>"
"2483splitHere46","12541284splitHere46","int x = a;<newline46mondego>int z = b;<newline46mondego>"
"2484splitHere46","12541396splitHere46","public class UserFetcher {<newline46mondego>   private final DbConnection conn = <newline46mondego>      new DbConnection(<doubleQuotes46>10.167.1.25<doubleQuotes46>, <doubleQuotes46>username<doubleQuotes46>, <doubleQuotes46>password<doubleQuotes46>);<newline46mondego><newline46mondego>   public List<User> getUsers() {<newline46mondego>      return conn.fetch(...);<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"2485splitHere46","12541396splitHere46","public class UserFetcher {<newline46mondego>   private final DbConnection conn;<newline46mondego><newline46mondego>   public UserFetcher(DbConnection conn) { <newline46mondego>      this.conn = conn;<newline46mondego>   }<newline46mondego><newline46mondego>   public List<User> getUsers() {<newline46mondego>      return conn.fetch(...);<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"2486splitHere46","12541396splitHere46","UserFetcher"
"2487splitHere46","12541396splitHere46","UserFetcher"
"2488splitHere46","12541396splitHere46","10.167.1.25"
"2489splitHere46","12541396splitHere46","DbConnection"
"2490splitHere46","12541396splitHere46","DbConnection"
"2491splitHere46","12541396splitHere46","UserFetcher"
"2492splitHere46","12541396splitHere46","AccountManager"
"2493splitHere46","12541396splitHere46","AdminConsole"
"2494splitHere46","12541396splitHere46","AdminConsole"
"2495splitHere46","12541396splitHere46","DbConnection"
"2496splitHere46","12541396splitHere46","AccountManager"
"2497splitHere46","12541396splitHere46","AccountManager"
"2498splitHere46","12541396splitHere46","UserFetcher"
"2499splitHere46","12541396splitHere46","AdminConsole"
"2500splitHere46","12541396splitHere46","AccountManager"
"2501splitHere46","12541396splitHere46","DbConnection"
"2502splitHere46","12541396splitHere46","public class UserFetcher {<newline46mondego>   private final DbConnection conn;<newline46mondego><newline46mondego>   @Inject //or @Autowired for Spring<newline46mondego>   public UserFetcher(DbConnection conn) { <newline46mondego>      this.conn = conn;<newline46mondego>   }<newline46mondego><newline46mondego>   public List<User> getUsers() {<newline46mondego>      return conn.fetch(...);<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"2503splitHere46","12541396splitHere46","Module"
"2504splitHere46","12541396splitHere46","public class MyGuiceModule extends AbstractModule {    <newline46mondego>    @Override<newline46mondego>    public void configure() {<newline46mondego>       bind(DbConnection.class).toInstance(<newline46mondego>           new DbConnection(<doubleQuotes46>localhost<doubleQuotes46>, <doubleQuotes46>username<doubleQuotes46>, <doubleQuotes46>password<doubleQuotes46>));<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2505splitHere46","12541396splitHere46","UserFetcher"
"2506splitHere46","12541396splitHere46","DbConnection"
"2507splitHere46","12541396splitHere46","public Currency computeTotal(List<Product> products) {<newline46mondego>   Currency beforeTax = computeBeforeTax(products);<newline46mondego>   Currency afterTax = beforeTax.times(1.10);<newline46mondego>}<newline46mondego>"
"2508splitHere46","12541396splitHere46","public interface TaxScheme {<newline46mondego>    public Currency applyTax(Currency beforeTax);<newline46mondego>}<newline46mondego><newline46mondego>public class TenPercentTax implements TaxScheme {<newline46mondego>    public Currency applyTax(Currency beforeTax) {<newline46mondego>        return beforeTax.times(1.10);<newline46mondego>    }<newline46mondego>} <newline46mondego><newline46mondego>public Currency computeTotal(List<Product> products, TaxScheme taxScheme) {<newline46mondego>    Currency beforeTax = computeBeforeTax(products);<newline46mondego>    Currency afterTax = taxScheme.applyTax(beforeTax);<newline46mondego>    return afterTax;<newline46mondego>}<newline46mondego>"
"2509splitHere46","12541455splitHere46","b"
"2510splitHere46","12541455splitHere46","Math.pow()"
"2511splitHere46","12541455splitHere46","Math.pow()"
"2512splitHere46","12541455splitHere46","public static double pow(double a, int b) {<newline46mondego>    double result = 1;<newline46mondego>    while(b > 0) {<newline46mondego>        if (b % 2 != 0) {<newline46mondego>            result *= a;<newline46mondego>            b--;<newline46mondego>        } <newline46mondego>        a *= a;<newline46mondego>        b /= 2;<newline46mondego>    }<newline46mondego><newline46mondego>    return result;<newline46mondego><newline46mondego>}<newline46mondego>"
"2513splitHere46","12541455splitHere46","public static double intPow(double base,int pow){<newline46mondego>    int c = Integer.numberOfLeadingZeros(pow);<newline46mondego><newline46mondego>    pow <<= c;<newline46mondego><newline46mondego>    double value = 1;<newline46mondego>    for (; c < 32; c++){<newline46mondego>        value *= value;<newline46mondego>        if (pow < 0)<newline46mondego>            value *= base;<newline46mondego>        pow <<= 1;<newline46mondego>    }<newline46mondego><newline46mondego>    return value;<newline46mondego>}<newline46mondego>"
"2514splitHere46","12541455splitHere46","pow"
"2515splitHere46","12541455splitHere46","Math.pow()"
"2516splitHere46","12541487splitHere46","! ( FILTERS.matcher(href).matches() ) [...]<newline46mondego>"
"2517splitHere46","12541562splitHere46","Intent intent = new Intent(this, MusicPlayerService.class);<newline46mondego>bindService(intent, mPlaybackConnection, Context.BIND_AUTO_CREATE);<newline46mondego>startService(intent);<newline46mondego>"
"2518splitHere46","12541562splitHere46","Intent"
"2519splitHere46","12541614splitHere46","resultset.next()"
"2520splitHere46","12541614splitHere46","Exception"
"2521splitHere46","12541614splitHere46","resultset.next()"
"2522splitHere46","12541646splitHere46","public interface Clock {<newline46mondego>    LocalDate today();<newline46mondego>    LocalTime time();<newline46mondego>    LocalDateTime now();<newline46mondego>    long timestamp();<newline46mondego>}<newline46mondego>"
"2523splitHere46","12541646splitHere46","FakeClock"
"2524splitHere46","12541752splitHere46","File htmlFile = new File(<doubleQuotes46>c:/web.html<doubleQuotes46>);<newline46mondego>htmlPane.setPage(htmlFile.toURI().toURL());<newline46mondego>"
"2525splitHere46","12541753splitHere46","play japid:gen"
"2526splitHere46","12541753splitHere46","play new myApp"
"2527splitHere46","12541753splitHere46","conf/dependencies.yml"
"2528splitHere46","12541753splitHere46","play japid:gen"
"2529splitHere46","12541781splitHere46","JOptionPane.showMessageDialog(frame,<doubleQuotes46>Message Content<doubleQuotes46>);<newline46mondego>"
"2530splitHere46","12541787splitHere46","EditText registerName;<newline46mondego>    EditText registerRollno;<newline46mondego><newline46mondego>// [...]<newline46mondego> public void onCreate(Bundle savedInstanceState) {<newline46mondego><newline46mondego> [...]<newline46mondego>        EditText registerName = (EditText) findViewById(R.id.registerName);<newline46mondego>        EditText registerRollno = (EditText) findViewById(R.id.registerRollno);<newline46mondego>"
"2531splitHere46","12541787splitHere46","null"
"2532splitHere46","12541802splitHere46","public"
"2533splitHere46","12541802splitHere46","class A implements Cloneable{<newline46mondego>    .....<newline46mondego>    @Override<newline46mondego>    public Object clone() throws CloneNotSupportedException{<newline46mondego>      return super.clone();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2534splitHere46","12541827splitHere46","call"
"2535splitHere46","12541827splitHere46","execution"
"2536splitHere46","12541827splitHere46","pointcut publicMethod(): execution(public * *(..));<newline46mondego><newline46mondego>after() throwing (AssertionError e): publicMethod() {<newline46mondego>    System.out.println(thisJoinPointStaticPart.getSignature());<newline46mondego>}<newline46mondego>"
"2537splitHere46","12541827splitHere46","@Test"
"2538splitHere46","12541827splitHere46","import org.testng.annotations;<newline46mondego><newline46mondego>public aspect TestExceptionInterceptor {<newline46mondego>    pointcut testMethod(): execution(@Test * *(..));<newline46mondego><newline46mondego>    after() throwing (AssertionError e): testMethod() {<newline46mondego>        System.out.println(thisJoinPointStaticPart.getSignature());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2539splitHere46","12541839splitHere46","isForeground()"
"2540splitHere46","12541839splitHere46","isExposed"
"2541splitHere46","12541839splitHere46","Screen.onExposed()"
"2542splitHere46","12541839splitHere46","Screen.onObscured()"
"2543splitHere46","12541839splitHere46","Screen"
"2544splitHere46","12541839splitHere46","isExposed"
"2545splitHere46","12541839splitHere46","Screen"
"2546splitHere46","12541839splitHere46","batteryStatusChange()"
"2547splitHere46","12541839splitHere46","batteryStatusField.setText(getBatteryLevel());<newline46mondego>    bitGauge6.setValue(DeviceInfo.getBatteryLevel());<newline46mondego>"
"2548splitHere46","12542046splitHere46","DataSource"
"2549splitHere46","12542046splitHere46","DriverManager"
"2550splitHere46","12542046splitHere46","DataSource"
"2551splitHere46","12542046splitHere46","ConnectionPoolDataSource"
"2552splitHere46","12542046splitHere46","PooledConnection"
"2553splitHere46","12542046splitHere46","Connection"
