"1splitHere46","22907583splitHere46","myClass.var = var;<newline46mondego>var = v;<newline46mondego>"
"3267splitHere46","22978076splitHere46","Process pcs = Runtime.getRuntime().exec(<newline46mondego> <doubleQuotes46>cmd /c start cacls E:\\PJ\\testing2.txt /e /p %username% : f<doubleQuotes46>);<newline46mondego><newline46mondego> //Logic that manipulates the file here<newline46mondego><newline46mondego> Process pcs = Runtime.getRuntime().exec(<newline46mondego> <doubleQuotes46>cmd /c start cacls E:\\PJ\\testing2.txt /e /d %username%<doubleQuotes46>);<newline46mondego>"
"3268splitHere46","22978105splitHere46","public void actionPerformed (ActionEvent e)<newline46mondego>{<newline46mondego>    if (clickm == 11)<newline46mondego>    {<newline46mondego>        clicky = clicky + 1;<newline46mondego>        clickm = 0;<newline46mondego>        System.out.println(clickm);<newline46mondego>        System.out.println(clicky);<newline46mondego>        Main m = new Main();   // ********* here **************<newline46mondego>        m.makeCenter(clicky, clickm);<newline46mondego>        m.makeNorth();<newline46mondego>        m.makeEast();<newline46mondego>    }<newline46mondego>"
"3269splitHere46","22978105splitHere46","public class MyListener implements ActionListener {<newline46mondego>  private Main main;<newline46mondego><newline46mondego>  public MyListener(Main main) {<newline46mondego>    this.main = main;<newline46mondego>  }<newline46mondego><newline46mondego>  public void actionPerformed(ActionEvent e) {<newline46mondego>     // now in here we can call methods on the main variable<newline46mondego>     // and it will be called on the actual displayed main<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"3270splitHere46","22978127splitHere46","&"
"3271splitHere46","22978127splitHere46","0x0F"
"3272splitHere46","22978127splitHere46","1111"
"3273splitHere46","22978130splitHere46","private static Gerbil[] gerbils;<newline46mondego><newline46mondego>public static void main(String[] args) {<newline46mondego>    // initializing the Food class into the Gerbil Class<newline46mondego>    gerbils =  = new Gerbil[gerbil_no];<newline46mondego><newline46mondego>    for (int x = 0; x < gerbils.length; x++) {<newline46mondego>        gerbils[x] = new Gerbil(types);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3274splitHere46","22978228splitHere46","String"
"3275splitHere46","22978228splitHere46","String"
"3276splitHere46","22978228splitHere46","forward"
"3277splitHere46","22978228splitHere46","RequestDispatcher"
"3278splitHere46","22978228splitHere46","Model"
"3279splitHere46","22978228splitHere46","ModelAndView"
"3280splitHere46","22978228splitHere46","HttpServletRequest"
"3281splitHere46","22978228splitHere46","RequestDispatcher#forward(..)"
"3282splitHere46","22978228splitHere46","DispatcherServlet"
"3283splitHere46","22978228splitHere46","DispatcherServlet"
"3284splitHere46","22978228splitHere46","ModelAndView"
"3285splitHere46","22978228splitHere46","Model"
"3286splitHere46","22978228splitHere46","Model"
"3287splitHere46","22978228splitHere46","HttpServletRequest"
"3288splitHere46","22978228splitHere46","modelMap.put(WEBPAGE_MODEL_KEY, prepareModel(webpage));<newline46mondego>"
"3289splitHere46","22978228splitHere46","HttpServletRequest request = ...;<newline46mondego>request.getAttribute(WEBPAGE_MODEL_KEY);<newline46mondego>"
"3290splitHere46","22978248splitHere46","7 second message!<newline46mondego>561<newline46mondego>562<newline46mondego>563<newline46mondego>564<newline46mondego>565<newline46mondego>5 second message!<newline46mondego>566<newline46mondego>567<newline46mondego>568<newline46mondego>569<newline46mondego>570<newline46mondego>571<newline46mondego>572<newline46mondego>573<newline46mondego>574<newline46mondego>7 second message!<newline46mondego>575<newline46mondego>5 second message!<newline46mondego>"
"3291splitHere46","22978254splitHere46","strength.txt"
"3292splitHere46","22978254splitHere46","absolute"
"3293splitHere46","22978254splitHere46","C:/dev/myproject/strength.txt"
"3294splitHere46","22978254splitHere46","/Users/username/dev/strength.txt"
"3295splitHere46","22978270splitHere46","double[][] mark = new double[assignmentLimit][studentLimit];<newline46mondego>    for (index = 0; index < assignmentLimit; index++)<newline46mondego>    {<newline46mondego>        System.out.println(<doubleQuotes46>\nAssigment <doubleQuotes46> + (index + 1) + <doubleQuotes46> marks:<doubleQuotes46>);<newline46mondego>        for (int studentMark = 0; studentMark < studentLimit; studentMark++)<newline46mondego>        {<newline46mondego>            System.out.print(<doubleQuotes46>\nStudent <doubleQuotes46> + (studentMark + 1) + <doubleQuotes46>: <doubleQuotes46>);<newline46mondego>            mark[index][studentMark] = Integer.parseInt(console.readLine());<newline46mondego>        } // end of for(int index = 0; index < ARRAY_LIMIT; index++)<newline46mondego>    }<newline46mondego><newline46mondego>    for (index = 0; index < studentLimit; index++)<newline46mondego>    {  <newline46mondego>        System.out.println(<doubleQuotes46>\nStudent <doubleQuotes46> + (index + 1) + <doubleQuotes46> marks<doubleQuotes46>);<newline46mondego>        for (int studentMark = 0; studentMark < assignmentLimit; studentMark++)<newline46mondego>        {<newline46mondego>            System.out.println(<doubleQuotes46>\t<doubleQuotes46> + mark[studentMark][index]); // mark[studentMark][index] but not mark[index][studentMark]<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"3296splitHere46","22978328splitHere46","// here HelloInterface definition is required by Hello Class only for compilation<newline46mondego>"
"3297splitHere46","22978328splitHere46","HelloServer"
"3298splitHere46","22978328splitHere46","HelloClient"
"3299splitHere46","22978328splitHere46","rmic"
"3300splitHere46","22978328splitHere46","-v1.1"
"3301splitHere46","22978328splitHere46","-vcompat,"
"3302splitHere46","22978328splitHere46","rmic"
"3303splitHere46","22978328splitHere46","super(0)"
"3304splitHere46","22978328splitHere46","Hello"
"3305splitHere46","22978328splitHere46","Hello_stub.class"
"3306splitHere46","22978328splitHere46","HelloInterface.class"
"3307splitHere46","22978328splitHere46","rmic -v1.1,"
"3308splitHere46","22978328splitHere46","Hello"
"3309splitHere46","22978328splitHere46","HelloServer"
"3310splitHere46","22978328splitHere46","Naming.lookup(),"
"3311splitHere46","22978328splitHere46","accept(),"
"3312splitHere46","22978328splitHere46","SecurityManager"
"3313splitHere46","22978328splitHere46","-Djava.security.policy"
"3314splitHere46","22978328splitHere46","msg"
"3315splitHere46","22978328splitHere46","Hello."
"3316splitHere46","22978328splitHere46","HelloServer."
"3317splitHere46","22978328splitHere46","main()"
"3318splitHere46","22978328splitHere46","Hello."
"3319splitHere46","22978378splitHere46","set"
"3320splitHere46","22978378splitHere46","set"
"3321splitHere46","22978378splitHere46","oldArray"
"3322splitHere46","22978378splitHere46","set"
"3323splitHere46","22978378splitHere46","int l = oldArray.length; // Cache length (some compilers might do this for you)<newline46mondego>for (int i=0, j=0, k=0; i<l; i++) {<newline46mondego>    if (set[k]==i) {<newline46mondego>        k++;<newline46mondego>    } else {<newline46mondego>        newArr[j++] = oldArray[i];<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3324splitHere46","22978378splitHere46","set"
"3325splitHere46","22978378splitHere46","set"
"3326splitHere46","22978378splitHere46","int o1=0;<newline46mondego>int o2=0;<newline46mondego>for (int p:set) {<newline46mondego>    System.arraycopy(oldArray, o1, newArr, o2, p-o1);<newline46mondego>    o1+=p+1;<newline46mondego>    o2+=p;<newline46mondego>}<newline46mondego>System.arraycopy(oldArray, o1, newArray, o2, oldArray.length-o1);<newline46mondego>"
"3327splitHere46","22978378splitHere46","System.arraycopy(...)"
"3328splitHere46","22978378splitHere46","Iterable"
"3329splitHere46","22978378splitHere46","set"
"3330splitHere46","22978378splitHere46","set"
"3331splitHere46","22978457splitHere46","Camera"
"3332splitHere46","22978457splitHere46","GameWorld"
"3333splitHere46","22978459splitHere46","if(bullet.intersects(rec));<newline46mondego>"
"3334splitHere46","22978459splitHere46","if(bullet != null && bullet.intersects(rec));<newline46mondego>"
"3335splitHere46","22978469splitHere46","++counter;"
"3336splitHere46","22978469splitHere46","if"
"3337splitHere46","22978588splitHere46","CreandoFunciones()"
"3338splitHere46","22978588splitHere46","link.CreandoFunciones();"
"3339splitHere46","22978746splitHere46","TreeMap"
"3340splitHere46","22978746splitHere46","TreeMap"
"3341splitHere46","22978746splitHere46","HashMap"
"3342splitHere46","22978791splitHere46","<doubleQuotes46>\\name\\params\\etc<doubleQuotes46>"
"3343splitHere46","22978791splitHere46","String id = <doubleQuotes46>name\\params\\etc<doubleQuotes46><newline46mondego>driver.findElement(By.xpath(<doubleQuotes46>//a[@id='<doubleQuotes46> + id + <doubleQuotes46>']<doubleQuotes46>));<newline46mondego>"
"3344splitHere46","22979073splitHere46","Location theRealBlock = event.getEntity().getLocation().substract(0.0D, 1.0D, 0.0D);<newline46mondego>"
"3345splitHere46","22979073splitHere46","event.getEntity().getLocation();<newline46mondego>"
"3346splitHere46","22979138splitHere46","Callback"
"3347splitHere46","22979138splitHere46","public abstract class DataProcessor<T> {<newline46mondego><newline46mondego>    protected interface CallBack<T> {<newline46mondego>        List<T> parse(String response) throws ServerException, JSONException;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3348splitHere46","22979143splitHere46","dispose()"
"3349splitHere46","22979143splitHere46","setUndecorated(boolean bool)"
"3350splitHere46","22979192splitHere46","<s:iterator begin=<doubleQuotes46>0<doubleQuotes46> end=<doubleQuotes46>23<doubleQuotes46> status=<doubleQuotes46>stat<doubleQuotes46>><newline46mondego>   <option ><s:property value=<doubleQuotes46>%{#stat.index}<doubleQuotes46> ></s:property>:00</option><newline46mondego></s:iterator><newline46mondego>"
"3351splitHere46","22979192splitHere46","s:property"
"3352splitHere46","22979198splitHere46","Hash.MD5()"
"3353splitHere46","22979198splitHere46","Hash.MD5R()"
"3354splitHere46","22979198splitHere46","MD5()"
"3355splitHere46","22979198splitHere46","String,"
"3356splitHere46","22979198splitHere46","MD5R()"
"3357splitHere46","22979198splitHere46","MD5()"
"3358splitHere46","22979198splitHere46","byte[]"
"3359splitHere46","22979198splitHere46","MessageDigest.digest()"
"3360splitHere46","22979198splitHere46",".toByteArray(<doubleQuotes46>UTF-8<doubleQuotes46>)"
"3361splitHere46","22979198splitHere46","MD5R()"
"3362splitHere46","22979198splitHere46","flush()"
"3363splitHere46","22979198splitHere46","close()"
"3364splitHere46","22979198splitHere46","File"
"3365splitHere46","22979198splitHere46","file"
"3366splitHere46","22979198splitHere46","File.getAbsolutePath()"
"3367splitHere46","22979198splitHere46","getPath()"
"3368splitHere46","22979198splitHere46","File"
"3369splitHere46","22979252splitHere46","char val= ((OracleCallableStatement)cs).getCHAR(3)"
"3370splitHere46","22979252splitHere46","CallableStatement, OraclePreparedStatement"
"3371splitHere46","22979470splitHere46","String text = new String(Files.readAllBytes(Paths.get(path)));<newline46mondego>"
"3372splitHere46","22979470splitHere46","FileChannel fc = FileChannel.open(path);<newline46mondego>    ByteBuffer buf = ByteBuffer.allocateDirect((int)fc.size());<newline46mondego>    fc.read(buf);<newline46mondego>"
"3373splitHere46","22979475splitHere46","int cheat = 0; //keeps track of how many were pressed in order<newline46mondego><newline46mondego>if (cheat == 0 && upButtonPressed)<newline46mondego>    cheat++;<newline46mondego>elseif (cheat == 1 && upButtonPressed)<newline46mondego>    cheat++;<newline46mondego>elseif(cheat == 2 &&  downButtonPressed)<newline46mondego>    cheat++;<newline46mondego>//rest of the order<newline46mondego>else<newline46mondego>    cheat = 0;<newline46mondego><newline46mondego>if (cheat == 8) //or however many buttons need to be pressed<newline46mondego>    //do whatever you want to happen when the cheat is activated<newline46mondego>"
"3374splitHere46","22979571splitHere46","Timer"
"3375splitHere46","22979571splitHere46","setVisible"
"3376splitHere46","22979571splitHere46","public class AutoClose02 {<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        new AutoClose02();<newline46mondego>    }<newline46mondego><newline46mondego>    private Timer timer;<newline46mondego>    private JLabel label;<newline46mondego>    private JFrame frame;<newline46mondego><newline46mondego>    public AutoClose02() {<newline46mondego>        EventQueue.invokeLater(new Runnable() {<newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                try {<newline46mondego>                    UIManager.setLookAndFeel(UIManager.getSystemLookAndFeelClassName());<newline46mondego>                } catch (ClassNotFoundException | InstantiationException | IllegalAccessException | UnsupportedLookAndFeelException ex) {<newline46mondego>                }<newline46mondego><newline46mondego>                JOptionPane op = new JOptionPane(<doubleQuotes46>Breaktime<doubleQuotes46>, JOptionPane.WARNING_MESSAGE);<newline46mondego>                final JDialog dialog = op.createDialog(<doubleQuotes46>Break<doubleQuotes46>);<newline46mondego>                dialog.setAlwaysOnTop(true);<newline46mondego>                dialog.setModal(true);<newline46mondego>                dialog.setDefaultCloseOperation(JDialog.DISPOSE_ON_CLOSE);<newline46mondego><newline46mondego>                // Wait for 1 minute...<newline46mondego>                timer = new Timer(60 * 1000, new ActionListener() {<newline46mondego>                    @Override<newline46mondego>                    public void actionPerformed(ActionEvent e) {<newline46mondego>                        dialog.dispose();<newline46mondego>                    }<newline46mondego>                });<newline46mondego>                timer.setRepeats(false);<newline46mondego>                // You could use a WindowListener to start this<newline46mondego>                timer.start();<newline46mondego><newline46mondego>                dialog.setVisible(true);<newline46mondego>            }<newline46mondego>        }<newline46mondego>        );<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"3377splitHere46","22979739splitHere46","TextView"
"3378splitHere46","22979739splitHere46","asyntask"
"3379splitHere46","22979739splitHere46","try {<newline46mondego>    loading = (TextView) findViewById(R.id.textView2);<newline46mondego>    a = (Atom) new Atom().execute(null,null,null);<newline46mondego>} catch (Exception e) {<newline46mondego>    // TODO Auto-generated catch block<newline46mondego>    e.printStackTrace();<newline46mondego>    finish();<newline46mondego><newline46mondego>}<newline46mondego>"
"3380splitHere46","22979758splitHere46","addB(B b)"
"3381splitHere46","22979758splitHere46","b"
"3382splitHere46","22979758splitHere46","this"
"3383splitHere46","22979758splitHere46","addA(A a)"
"3384splitHere46","22979760splitHere46","<bean id=<doubleQuotes46>dataSource<doubleQuotes46> class=<doubleQuotes46>org.springframework.jdbc.datasource.SimpleDriverDataSource><newline46mondego></bean><newline46mondego>"
"3385splitHere46","22979760splitHere46","@RunWith(SpringJUnit4ClassRunner.class)<newline46mondego>@ContextConfiguration(locations = {<doubleQuotes46>classpath:WEB-INF/applicationContext.xml<doubleQuotes46>, <doubleQuotes46>applicationContext-test.xml<doubleQuotes46>})<newline46mondego>"
"3386splitHere46","22979952splitHere46","if (bullet.intersects(rec));<newline46mondego>    g.drawString(<doubleQuotes46>collision!<doubleQuotes46>, 50, 20);<newline46mondego>"
"3387splitHere46","22979952splitHere46","if"
"3388splitHere46","22979952splitHere46",";"
"3389splitHere46","22979952splitHere46","if (bullet.intersects(rec));<newline46mondego>                           ^---<newline46mondego>"
"3390splitHere46","22979952splitHere46","if (bullet.intersects(rec)) {<newline46mondego>}<newline46mondego>g.drawString(<doubleQuotes46>collision!<doubleQuotes46>, 50, 20);<newline46mondego>"
"3391splitHere46","22979952splitHere46","if (bullet.intersects(rec)) {<newline46mondego>    g.drawString(<doubleQuotes46>collision!<doubleQuotes46>, 50, 20);<newline46mondego>}<newline46mondego>"
"3392splitHere46","22979952splitHere46","repaint"
"3393splitHere46","22979952splitHere46","repaint"
"3394splitHere46","22979952splitHere46","setBackground"
"3395splitHere46","22979952splitHere46","paint"
"3396splitHere46","22979952splitHere46","Thread.sleep"
"3397splitHere46","22979952splitHere46","KeyListener"
"3398splitHere46","22979952splitHere46","Timer"
"3399splitHere46","22979952splitHere46","bx"
"3400splitHere46","22979952splitHere46","by"
"3401splitHere46","22979952splitHere46","x"
"3402splitHere46","22979952splitHere46","y"
"3403splitHere46","22979952splitHere46","bullet"
"3404splitHere46","22979952splitHere46","paintComponent"
"3405splitHere46","22979952splitHere46","keyReleased"
"3406splitHere46","22979952splitHere46","VK_SPACE"
"3407splitHere46","22979952splitHere46","shot"
"3408splitHere46","22979952splitHere46","false"
"3409splitHere46","22979952splitHere46","bullet"
"3410splitHere46","22979952splitHere46","null"
"3411splitHere46","22979952splitHere46","readyToFire"
"3412splitHere46","22979952splitHere46","true"
"3413splitHere46","22979952splitHere46","true"
"3414splitHere46","22979952splitHere46","VK_SPACE"
"3415splitHere46","22979952splitHere46","keyPressed"
"3416splitHere46","22979952splitHere46","bullet"
"3417splitHere46","22979952splitHere46","null"
"3418splitHere46","22979952splitHere46","bullet"
"3419splitHere46","22979952splitHere46","List"
"3420splitHere46","22979952splitHere46","Rectangle"
"3421splitHere46","22979952splitHere46","bullet"
"3422splitHere46","22979952splitHere46","if (code == KeyEvent.VK_SPACE) {<newline46mondego>    readyTofire = true;<newline46mondego>    if (readyTofire) {<newline46mondego>        int bx = x + 26;<newline46mondego>        int by = y - 15;<newline46mondego>        bullet = new Rectangle(bx, by, 5, 3);<newline46mondego>        shot = true;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"3423splitHere46","22979952splitHere46","shoot"
"3424splitHere46","22979952splitHere46","public void shoot() {<newline46mondego><newline46mondego>    if (shot) {<newline46mondego>        bullet.y--;<newline46mondego>        // Have we past the edge of the screen<newline46mondego>        if (bullet.y < 0) {<newline46mondego>            shot = false;<newline46mondego>            bullet = null;<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"3425splitHere46","22979952splitHere46","public void paintComponent(Graphics g) {<newline46mondego><newline46mondego>    super.paintComponent(g);<newline46mondego>    Graphics2D g2d = (Graphics2D) g.create();<newline46mondego>    Rectangle rec = new Rectangle(50, 20, 50, 50);<newline46mondego>    g.setColor(Color.BLUE);<newline46mondego>    g.fillOval(x, y, 55, 55);<newline46mondego>    g.fillRect(x + 23, y - 15, 10, 20);<newline46mondego>    g.setColor(Color.RED);<newline46mondego>    g.fillRect(rec.x, rec.y, rec.width, rec.height);<newline46mondego><newline46mondego>    if (shot && bullet != null) {<newline46mondego>        g2d.setColor(Color.BLACK);<newline46mondego>        g2d.fill(bullet);<newline46mondego><newline46mondego>        if (bullet.intersects(rec)) {<newline46mondego>            g2d.drawString(<doubleQuotes46>collision!<doubleQuotes46>, 50, 20);<newline46mondego>        }<newline46mondego>    }<newline46mondego>    g2d.dispose();<newline46mondego><newline46mondego>}<newline46mondego>"
"3426splitHere46","22979952splitHere46","import java.awt.Color;<newline46mondego>import java.awt.Dimension;<newline46mondego>import java.awt.EventQueue;<newline46mondego>import java.awt.Graphics;<newline46mondego>import java.awt.Graphics2D;<newline46mondego>import java.awt.Rectangle;<newline46mondego>import java.awt.event.KeyEvent;<newline46mondego>import java.awt.event.KeyListener;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JPanel;<newline46mondego>import javax.swing.UIManager;<newline46mondego>import javax.swing.UnsupportedLookAndFeelException;<newline46mondego><newline46mondego>public class JavaGame2 extends JPanel implements KeyListener, Runnable {<newline46mondego><newline46mondego>//variables<newline46mondego>    int x, y, xDir, yDir;<newline46mondego>    Rectangle bullet;<newline46mondego>    boolean readyTofire, shot = false;<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        EventQueue.invokeLater(new Runnable() {<newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                try {<newline46mondego>                    UIManager.setLookAndFeel(UIManager.getSystemLookAndFeelClassName());<newline46mondego>                } catch (ClassNotFoundException | InstantiationException | IllegalAccessException | UnsupportedLookAndFeelException ex) {<newline46mondego>                }<newline46mondego>                JFrame frame = new JFrame(<doubleQuotes46>Testing<doubleQuotes46>);<newline46mondego>                frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>                frame.add(new JavaGame2());<newline46mondego>                frame.pack();<newline46mondego>                frame.setLocationRelativeTo(null);<newline46mondego>                frame.setVisible(true);<newline46mondego><newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego><newline46mondego>//constructor for game<newline46mondego>    public JavaGame2() {<newline46mondego><newline46mondego>        int x = 150;<newline46mondego>        int y = 150;<newline46mondego>        this.setBackground(Color.WHITE);<newline46mondego><newline46mondego>        setFocusable(true);<newline46mondego>        addKeyListener(this);<newline46mondego>        requestFocusInWindow();<newline46mondego><newline46mondego>        Thread t = new Thread(this);<newline46mondego>        t.start();<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public Dimension getPreferredSize() {<newline46mondego>        return new Dimension(200, 200);<newline46mondego>    }<newline46mondego><newline46mondego>//drawings<newline46mondego>    @Override<newline46mondego>    public void paintComponent(Graphics g) {<newline46mondego><newline46mondego>        super.paintComponent(g);<newline46mondego>        Graphics2D g2d = (Graphics2D) g.create();<newline46mondego>        Rectangle rec = new Rectangle(50, 20, 50, 50);<newline46mondego>        g.setColor(Color.BLUE);<newline46mondego>        g.fillOval(x, y, 55, 55);<newline46mondego>        g.fillRect(x + 23, y - 15, 10, 20);<newline46mondego>        g.setColor(Color.RED);<newline46mondego>        g.fillRect(rec.x, rec.y, rec.width, rec.height);<newline46mondego><newline46mondego>        if (shot && bullet != null) {<newline46mondego>            g2d.setColor(Color.BLACK);<newline46mondego>            g2d.fill(bullet);<newline46mondego><newline46mondego>            if (bullet.intersects(rec)) {<newline46mondego>                g2d.drawString(<doubleQuotes46>collision!<doubleQuotes46>, 50, 20);<newline46mondego>            }<newline46mondego>        }<newline46mondego>        g2d.dispose();<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    public void setxDir(int xdir) {<newline46mondego>        xDir = xdir;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setyDir(int ydir) {<newline46mondego>        yDir = ydir;<newline46mondego>    }<newline46mondego><newline46mondego>//key event listener keypressed<newline46mondego>    public void keyPressed(KeyEvent e) {<newline46mondego>        int code = e.getKeyCode();<newline46mondego>        if (code == KeyEvent.VK_UP) {<newline46mondego>            setyDir(-1);<newline46mondego>        }<newline46mondego>        if (code == KeyEvent.VK_DOWN) {<newline46mondego>            setyDir(+1);<newline46mondego>        }<newline46mondego>        if (code == KeyEvent.VK_LEFT) {<newline46mondego>            setxDir(-1);<newline46mondego>        }<newline46mondego>        if (code == KeyEvent.VK_RIGHT) {<newline46mondego>            setxDir(+1);<newline46mondego><newline46mondego>        }<newline46mondego>        if (code == KeyEvent.VK_SPACE) {<newline46mondego>            readyTofire = true;<newline46mondego>            if (readyTofire) {<newline46mondego>                int bx = x + 26;<newline46mondego>                int by = y - 15;<newline46mondego>                bullet = new Rectangle(bx, by, 5, 3);<newline46mondego>                shot = true;<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>//key event listener for key released<newline46mondego>    public void keyReleased(KeyEvent e) {<newline46mondego>        int code = e.getKeyCode();<newline46mondego>        if (code == KeyEvent.VK_UP) {<newline46mondego>            setyDir(0);<newline46mondego>        }<newline46mondego>        if (code == KeyEvent.VK_DOWN) {<newline46mondego>            setyDir(0);<newline46mondego>        }<newline46mondego>        if (code == KeyEvent.VK_LEFT) {<newline46mondego>            setxDir(0);<newline46mondego>        }<newline46mondego>        if (code == KeyEvent.VK_RIGHT) {<newline46mondego>            setxDir(0);<newline46mondego><newline46mondego>        }<newline46mondego>//        if (code == KeyEvent.VK_SPACE) {<newline46mondego>//            readyTofire = false;<newline46mondego>//            if (bullet.y <= -5) {<newline46mondego>//                bullet = new Rectangle(0, 0, 0, 0);<newline46mondego>//                shot = false;<newline46mondego>//                readyTofire = true;<newline46mondego>//<newline46mondego>//            }<newline46mondego>//        }<newline46mondego>    }<newline46mondego><newline46mondego>    public void keyTyped(KeyEvent e) {<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>//shot of bullet<newline46mondego>    public void shoot() {<newline46mondego><newline46mondego>        if (shot) {<newline46mondego>            bullet.y--;<newline46mondego>            if (bullet.y < 0) {<newline46mondego>                shot = false;<newline46mondego>                bullet = null;<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>//movement of the oval<newline46mondego>    public void move() {<newline46mondego>        x += xDir;<newline46mondego>        y += yDir;<newline46mondego>        if (x <= 0) {<newline46mondego>            x = 0;<newline46mondego>        } else if (x >= 500) {<newline46mondego>            x = 500;<newline46mondego>        } else if (y <= 0) {<newline46mondego>            y = 0;<newline46mondego>        } else if (y >= 500) {<newline46mondego>            y = 500;<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>//thread<newline46mondego>    public void run() {<newline46mondego><newline46mondego>        try {<newline46mondego>            while (true) {<newline46mondego>                shoot();<newline46mondego>                move();<newline46mondego>                repaint();<newline46mondego><newline46mondego>                Thread.sleep(40);<newline46mondego>            }<newline46mondego><newline46mondego>        } catch (Exception e) {<newline46mondego>            System.out.println(<doubleQuotes46>error!<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"3427splitHere46","22980017splitHere46","assertArrayEquals"
"3428splitHere46","22980017splitHere46","=="
"3429splitHere46","22980017splitHere46",".equals"
"3430splitHere46","22980017splitHere46","=="
"3431splitHere46","22980017splitHere46",".equals"
"3432splitHere46","22980017splitHere46","[0, 1]"
"3433splitHere46","22980017splitHere46","[0, 1]"
"3434splitHere46","22980017splitHere46","[csc8001, csc8002]"
"3435splitHere46","22980017splitHere46","[csc8001, csc8002]"
"3436splitHere46","22980017splitHere46","equals"
"3437splitHere46","22980017splitHere46","x[n].equals(y[n])"
"3438splitHere46","22980017splitHere46","n"
"3439splitHere46","22980017splitHere46","equals"
"3440splitHere46","22980017splitHere46","equals"
"3441splitHere46","22980017splitHere46","equals"
"3442splitHere46","22980017splitHere46","=="
"3443splitHere46","22980017splitHere46","Assert.assertArrayEquals"
"3444splitHere46","22980017splitHere46","Assert.internalArrayEquals"
"3445splitHere46","22980017splitHere46",".equals"
"3446splitHere46","22980017splitHere46","assertArrayEquals"
"3447splitHere46","22980017splitHere46","assertArrayEquals"
"3448splitHere46","22980017splitHere46","Module.equals"
"3449splitHere46","22980017splitHere46","equals"
"3450splitHere46","22980017splitHere46","assertEquals(2, resultArray.length);<newline46mondego>Module addedModule = resultArray[1];<newline46mondego>assertEquals(<doubleQuotes46>CSC8002<doubleQuotes46>, addedModule.code); /* ... */<newline46mondego>"
"3451splitHere46","22980017splitHere46","equals"
"3452splitHere46","22980017splitHere46","hashCode"
"3453splitHere46","22980042splitHere46","startActivityForRestult"
"3454splitHere46","22980042splitHere46","android:noHistory=<doubleQuotes46>true<doubleQuotes46>"
"3455splitHere46","22980042splitHere46","Activity"
"3456splitHere46","22980042splitHere46","finish"
"3457splitHere46","22980116splitHere46","Map<String, EnumType>"
"3458splitHere46","22980116splitHere46","IllegalArgumentException"
"3459splitHere46","22980116splitHere46","EnumType.valueOf(String)"
"3460splitHere46","22980137splitHere46","Ball"
"3461splitHere46","22980137splitHere46","Ball"
"3462splitHere46","22980137splitHere46","count = 0"
"3463splitHere46","22980178splitHere46","getContent()"
"3464splitHere46","22980178splitHere46","HttpEntity"
"3465splitHere46","22980178splitHere46","InputStream"
"3466splitHere46","22980178splitHere46","BufferedInputStream"
"3467splitHere46","22980178splitHere46","ByteArrayOutputStream"
"3468splitHere46","22980178splitHere46","byte[] buffer = new byte[5 * 1024];<newline46mondego>        int numRead = -1;<newline46mondego>        while( (numRead = bufferedInputStream.read(buffer))!= -1)<newline46mondego>        {<newline46mondego>            byteArrayOutputStream.write(buffer, 0, numRead);<newline46mondego>        }<newline46mondego>        byteArrayOutputStream.flush();<newline46mondego>        byteArrayOutputStream.close();<newline46mondego>        byte[] result = byteArrayOutputStream.toByteArray();<newline46mondego>"
"3469splitHere46","22980178splitHere46","BufferedOutputStream"
"3470splitHere46","22980198splitHere46","d.getCollar().getCollarSize();"
"3471splitHere46","22980198splitHere46","gettCollar()"
"3472splitHere46","22980198splitHere46","d"
"3473splitHere46","22980198splitHere46","Color"
"3474splitHere46","22980198splitHere46","getCollarSize()"
"3475splitHere46","22980198splitHere46","Collar"
"3476splitHere46","22980198splitHere46","d.getColor()"
"3477splitHere46","22980198splitHere46","Collar collar = d.getCollar();<newline46mondego>int collarSize = co.getCollarSize();<newline46mondego>"
