"1splitHere46","5227861splitHere46","for (SearchResult result : docSearch)  {<newline46mondego>  if (iter2 >= 50) break;<newline46mondego><newline46mondego>  //do stuff<newline46mondego>  iter2 += 1;<newline46mondego>}<newline46mondego>"
"1501splitHere46","5276115splitHere46","T"
"1502splitHere46","5276143splitHere46","public boolean is<PropertyName>();"
"1503splitHere46","5276147splitHere46","int totalCount;<newline46mondego>            int wordCount;<newline46mondego>            for ( ... ) {                <newline46mondego>              totalCount = 0;<newline46mondego>              wordCount = 0;<newline46mondego>              ...<newline46mondego>            }<newline46mondego>            // some code which uses totalCount and wordCount<newline46mondego>"
"1504splitHere46","5276152splitHere46","<newline46mondego>package Components.FlashPlayer;<newline46mondego><newline46mondego>import Components.BCFrame;<newline46mondego>import GUI.BCApp.DataTypeEnum;<newline46mondego>import Logging.LogRunner;<newline46mondego>import Properties.Basic.FlashPlayer_Prop;<newline46mondego>import XMLProcessing.Helpers.XMLActionInfoHolder;<newline46mondego>import XMLProcessing.XMLUtilities;<newline46mondego>import java.awt.*;<newline46mondego>import java.awt.event.*;<newline46mondego>import java.util.ArrayList;<newline46mondego>import java.util.HashMap;<newline46mondego>import javax.swing.*;<newline46mondego>import javax.swing.filechooser.FileFilter;<newline46mondego>import java.io.*;<newline46mondego><newline46mondego>// import the JFlashPlayer package<newline46mondego>import com.jpackages.jflashplayer.*;<newline46mondego>import java.net.URL;<newline46mondego>import org.w3c.dom.Document;<newline46mondego>import org.w3c.dom.Element;<newline46mondego><newline46mondego>/**<newline46mondego> * This class plays a flash video.<newline46mondego> * Create with help from: http://www.jpackages.com/jflashplayer , see the website<newline46mondego> * for a larger example of how to do more things with this code. I kind of modified<newline46mondego> * this to fit the current needs of the project. This works in conjunction with<newline46mondego> * dlls that need to go in the win32 folder. For linux/mac, look into the Apple<newline46mondego> * Java Quicktime API<newline46mondego> * @author dvargo<newline46mondego> */<newline46mondego>public class FlashPlayer extends BCFrame implements FlashPanelListener {<newline46mondego><newline46mondego>    /**<newline46mondego>     * handle to a FlashPanel instance<newline46mondego>     */<newline46mondego>    FlashPanel flashPanel;<newline46mondego>    final Label currentFrameLabel = new Label(<doubleQuotes46>Frame: N/A<doubleQuotes46>);<newline46mondego>    final JProgressBar progressBar = new JProgressBar();<newline46mondego>    JButton playButton,stopButton,forwardButton,rewindButton,backButton;<newline46mondego>    JCheckBox loopCheckBox;<newline46mondego>    private boolean isMovieSet = false;<newline46mondego>    FrameMonitorThread fmt;<newline46mondego>    boolean loop = false;<newline46mondego>    boolean playOnStart = true;<newline46mondego><newline46mondego><newline46mondego><newline46mondego><newline46mondego>    public enum Actions<newline46mondego>    {<newline46mondego>        Loop,<newline46mondego>        Stop,<newline46mondego>        Play<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Defualt constructor<newline46mondego>     */<newline46mondego>    public FlashPlayer()<newline46mondego>    {<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Sets FlashPlayer to defualt size<newline46mondego>     * @param x X position for the player<newline46mondego>     * @param y Y position for the player<newline46mondego>     * @param mainWindow Reference to the main window<newline46mondego>     */<newline46mondego>    public FlashPlayer(int x, int y, GUI.Window mainWindow) {<newline46mondego>        this(x, y, 600, 400, mainWindow);<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Full consturtor<newline46mondego>     * @param x X position for this player<newline46mondego>     * @param y Y position for this player<newline46mondego>     * @param w Width of the player<newline46mondego>     * @param h Height of the player<newline46mondego>     * @param mainWindow reference to the main window<newline46mondego>     */<newline46mondego>    public FlashPlayer(int x, int y, int w, int h, GUI.Window mainWindow) {<newline46mondego>        super(x, y, w, h, mainWindow);<newline46mondego>        initComponents();<newline46mondego>        this.getContentPane().setLayout(new BorderLayout());<newline46mondego>        createButtons();<newline46mondego>        addCurrCompSetter(flashPanel,progressBar,currentFrameLabel,playButton,stopButton,forwardButton,rewindButton,loopCheckBox,backButton);<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    @SuppressWarnings(<doubleQuotes46>unchecked<doubleQuotes46>)<newline46mondego>    //                           <newline46mondego>    private void initComponents() {<newline46mondego><newline46mondego>        videoPanel = new javax.swing.JPanel();<newline46mondego><newline46mondego>        setDefaultCloseOperation(javax.swing.WindowConstants.EXIT_ON_CLOSE);<newline46mondego><newline46mondego>        videoPanel.setBorder(javax.swing.BorderFactory.createTitledBorder(<doubleQuotes46><doubleQuotes46>));<newline46mondego><newline46mondego>        javax.swing.GroupLayout videoPanelLayout = new javax.swing.GroupLayout(videoPanel);<newline46mondego>        videoPanel.setLayout(videoPanelLayout);<newline46mondego>        videoPanelLayout.setHorizontalGroup(<newline46mondego>            videoPanelLayout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING)<newline46mondego>            .addGap(0, 381, Short.MAX_VALUE)<newline46mondego>        );<newline46mondego>        videoPanelLayout.setVerticalGroup(<newline46mondego>            videoPanelLayout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING)<newline46mondego>            .addGap(0, 247, Short.MAX_VALUE)<newline46mondego>        );<newline46mondego><newline46mondego>        javax.swing.GroupLayout layout = new javax.swing.GroupLayout(getContentPane());<newline46mondego>        getContentPane().setLayout(layout);<newline46mondego>        layout.setHorizontalGroup(<newline46mondego>            layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING)<newline46mondego>            .addComponent(videoPanel, javax.swing.GroupLayout.DEFAULT_SIZE, javax.swing.GroupLayout.DEFAULT_SIZE, Short.MAX_VALUE)<newline46mondego>        );<newline46mondego>        layout.setVerticalGroup(<newline46mondego>            layout.createParallelGroup(javax.swing.GroupLayout.Alignment.LEADING)<newline46mondego>            .addComponent(videoPanel, javax.swing.GroupLayout.DEFAULT_SIZE, javax.swing.GroupLayout.DEFAULT_SIZE, Short.MAX_VALUE)<newline46mondego>        );<newline46mondego><newline46mondego>        pack();<newline46mondego>    }//                         <newline46mondego><newline46mondego>    // Variables declaration - do not modify                     <newline46mondego>    private javax.swing.JPanel videoPanel;<newline46mondego>    // End of variables declaration                   <newline46mondego><newline46mondego><newline46mondego><newline46mondego><newline46mondego>    /**<newline46mondego>     * FlashPanelListener event method which receives FSCommand Flash events.<newline46mondego>     *<newline46mondego>     * You should use ExternalInterface.call instead of FSCommand<newline46mondego>     * with the latest ActionScript version.  Older ActionScript versions<newline46mondego>     * will only have access to FSCommand.<newline46mondego>     */<newline46mondego>    public void FSCommand(String command, String arg) {<newline46mondego>        System.out.println(<doubleQuotes46>FlashPlayer (ignoring): FSCommand event received: <doubleQuotes46> + command + <doubleQuotes46> <doubleQuotes46> + arg);<newline46mondego>    }<newline46mondego><newline46mondego>    private void creatFlashPlayerWorker()<newline46mondego>    {<newline46mondego>         // add the FlashPanel to the frame<newline46mondego>        this.getContentPane().add(flashPanel, BorderLayout.CENTER);<newline46mondego><newline46mondego><newline46mondego>        // specify the object for Flash ExternalInterface.call events to search for the called method on<newline46mondego>        flashPanel.setFlashCallObject(this);<newline46mondego><newline46mondego>        // specify the FlashPanelListener in case a movie is using the older FSCommand event<newline46mondego>        flashPanel.addFlashPanelListener(this);<newline46mondego><newline46mondego>        // specify variables for a flash movie which are available from the start of the<newline46mondego>        // movie as long as this is called before the FlashPanel is visible<newline46mondego>        flashPanel.setVariables(<doubleQuotes46>myGreeting=hi&myNumber=1&myVar=good%20job<doubleQuotes46>);<newline46mondego><newline46mondego>        isMovieSet = true;<newline46mondego>        centerAndDisplay();<newline46mondego>        fmt = new FrameMonitorThread(flashPanel);<newline46mondego>        fmt.start();<newline46mondego>        revalidate();<newline46mondego>        if(!playOnStart)<newline46mondego>        {<newline46mondego>            stop();<newline46mondego>        }<newline46mondego>        setLoop(loop);<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Create a FlashPanel instance and add it to the frame<newline46mondego>     */<newline46mondego>    public void createFlashPanel(String url) {<newline46mondego>        // install Flash 10 if Flash 6 or greater is not present<newline46mondego>        //FlashPanel.installFlash(<doubleQuotes46>6<doubleQuotes46>);<newline46mondego><newline46mondego>        dataSource = dataSource.url;<newline46mondego>        setData(<doubleQuotes46>Path<doubleQuotes46>,url.toString());<newline46mondego>        String flashVersionRequired = <doubleQuotes46>9<doubleQuotes46>;<newline46mondego>        try<newline46mondego>        { <newline46mondego>            FlashPanel.setRequiredFlashVersion(flashVersionRequired);<newline46mondego>            flashPanel = new FlashPanel(new URL(url));//new File(flashFilePath));<newline46mondego>        } <newline46mondego>        catch (JFlashLibraryLoadFailedException e)<newline46mondego>        {<newline46mondego>            exitError(<doubleQuotes46>A required library (DLL) is missing or damaged.<doubleQuotes46>);<newline46mondego>        } <newline46mondego>        catch(JFlashInvalidFlashException e)<newline46mondego>        {<newline46mondego>            exitError(<doubleQuotes46>Required version <doubleQuotes46> + flashVersionRequired + <doubleQuotes46> of Flash is not installed. <doubleQuotes46>);<newline46mondego>        } <newline46mondego>        catch (Exception e)<newline46mondego>        {<newline46mondego>            exitError(<doubleQuotes46>Something went wrong!\n<doubleQuotes46> + e.toString());<newline46mondego>        }<newline46mondego><newline46mondego>        creatFlashPlayerWorker();<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>     /**<newline46mondego>     * Create a FlashPanel instance and add it to the frame<newline46mondego>     */<newline46mondego>    public void createFlashPanel(File file) {<newline46mondego>        // install Flash 10 if Flash 6 or greater is not present<newline46mondego>        //FlashPanel.installFlash(<doubleQuotes46>6<doubleQuotes46>);<newline46mondego><newline46mondego>        //http://samples.mplayerhq.hu/SWF/flash_adpcm_testfiles/stereo_22.swf<newline46mondego><newline46mondego>        dataSource = dataSource.file;<newline46mondego>        setData(<doubleQuotes46>Path<doubleQuotes46>,file.getAbsolutePath());<newline46mondego>        String flashVersionRequired = <doubleQuotes46>9<doubleQuotes46>;<newline46mondego>        try<newline46mondego>        {<newline46mondego>            FlashPanel.setRequiredFlashVersion(flashVersionRequired);<newline46mondego>            flashPanel = new FlashPanel(file);//new File(flashFilePath));<newline46mondego>        }<newline46mondego>        catch (JFlashLibraryLoadFailedException e)<newline46mondego>        {<newline46mondego>            exitError(<doubleQuotes46>A required library (DLL) is missing or damaged.<doubleQuotes46>);<newline46mondego>        }<newline46mondego>        catch(JFlashInvalidFlashException e)<newline46mondego>        {<newline46mondego>            exitError(<doubleQuotes46>Required version <doubleQuotes46> + flashVersionRequired + <doubleQuotes46> of Flash is not installed. <doubleQuotes46>);<newline46mondego>        }<newline46mondego>        catch (Exception e)<newline46mondego>        {<newline46mondego>            exitError(<doubleQuotes46>Something went wrong!\n<doubleQuotes46> + e.toString());<newline46mondego>        }<newline46mondego><newline46mondego>        creatFlashPlayerWorker();<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    public boolean isMovieSet()<newline46mondego>    {<newline46mondego>        return isMovieSet;<newline46mondego>    }<newline46mondego><newline46mondego>    public boolean isPlayOnStart()<newline46mondego>    {<newline46mondego>        return playOnStart;<newline46mondego>    }<newline46mondego><newline46mondego>    public boolean isLoop()<newline46mondego>    {<newline46mondego>        return loop;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setPlayOnStart(boolean dis)<newline46mondego>    {<newline46mondego>        playOnStart = dis;<newline46mondego>    }<newline46mondego>    public void setIsLoop(boolean dis)<newline46mondego>    {<newline46mondego>        loop = dis;<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego><newline46mondego>    /**<newline46mondego>     * Select a different SWF file at remote url<newline46mondego>     */<newline46mondego>    public void setMovie(URL url)<newline46mondego>    {<newline46mondego>        if(!isMovieSet)<newline46mondego>        {<newline46mondego>            createFlashPanel(url.toString());<newline46mondego>            return;<newline46mondego>        }<newline46mondego>        setData(<doubleQuotes46>Path<doubleQuotes46>,url.toString());<newline46mondego>        dataSource = dataSource.url;<newline46mondego>        flashPanel.setMovie(url);<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Select a different SWF file at remote url<newline46mondego>     */<newline46mondego>    public void setMovie(String url)<newline46mondego>    {<newline46mondego>        if(!isMovieSet)<newline46mondego>        {<newline46mondego>            createFlashPanel(url);<newline46mondego>            return;<newline46mondego>        }<newline46mondego>        setData(<doubleQuotes46>Path<doubleQuotes46>,url);<newline46mondego>        dataSource = dataSource.url;<newline46mondego>        try<newline46mondego>        {<newline46mondego>            flashPanel.setMovie(new URL(url));<newline46mondego>            revalidate();<newline46mondego>        }<newline46mondego>        catch(Exception e)<newline46mondego>        {<newline46mondego>            LogRunner.dialogMessage(this.getClass(),<doubleQuotes46>Could not play Flash Movie at <doubleQuotes46> + url);<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Select a different SWF file on local machine<newline46mondego>     */<newline46mondego>    public void setMovie(File file)<newline46mondego>    {<newline46mondego><newline46mondego>        setData(<doubleQuotes46>Path<doubleQuotes46>,file.getAbsolutePath()); //setting this to absolute path might cause a problem<newline46mondego>        dataSource = dataSource.file;<newline46mondego>        try<newline46mondego>        {<newline46mondego>            if(isMovieSet)<newline46mondego>            {<newline46mondego>                flashPanel.setMovie(file);<newline46mondego>            }<newline46mondego>            else<newline46mondego>            {<newline46mondego>                createFlashPanel(file);<newline46mondego>            }<newline46mondego>        }<newline46mondego>        catch(Exception e)<newline46mondego>        {<newline46mondego>           LogRunner.dialogMessage(this.getClass(),<doubleQuotes46>Could not play Flash Movie at <doubleQuotes46> + file);<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    /**<newline46mondego>     * Instruct the flash movie to play.<newline46mondego>     */<newline46mondego>    public void play()<newline46mondego>    {<newline46mondego>        flashPanel.play();<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Instruct the flash movie to stop playing.<newline46mondego>     */<newline46mondego>    public void stop()<newline46mondego>    {<newline46mondego>        flashPanel.stop();<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Instruct the flash movie to go back one frame.<newline46mondego>     * This will also stop the movie if it was playing.<newline46mondego>     */<newline46mondego>    public void rewind()<newline46mondego>    {<newline46mondego>        rewind(1);<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Instruct the flash movie to go back x number of frames.<newline46mondego>     * This will also stop the movie if it was playing.<newline46mondego>     * @param numberOfFrames The number of frames to rewind<newline46mondego>     */<newline46mondego>    public void rewind(int numberOfFrames)<newline46mondego>    {<newline46mondego>        for(int i = 0; i &lt numberOfFrames; i++)<newline46mondego>        {<newline46mondego>            flashPanel.back();<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    /**<newline46mondego>     * Instruct the flash movie to go forward 1 frame.<newline46mondego>     * This will also stop the movie if it was playing.<newline46mondego>     */<newline46mondego>    public void forward()<newline46mondego>    {<newline46mondego>        forward(1);<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Instruct the flash movie to go forward x number of frame.<newline46mondego>     * This will also stop the movie if it was playing.<newline46mondego>     */<newline46mondego>    public void forward(int numberOfFrames)<newline46mondego>    {<newline46mondego>        for(int i = 0; i &lt numberOfFrames; i++)<newline46mondego>        {<newline46mondego>            flashPanel.forward();<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Instruct the flash movie to rewind to the first frame.<newline46mondego>     * This will also stop the movie if it was playing.<newline46mondego>     */<newline46mondego>    public void goBackToBegining()<newline46mondego>    {<newline46mondego>        flashPanel.rewind();<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Select and set the flash movie background color.<newline46mondego>     */<newline46mondego>    public void backgroundAction(Color c)<newline46mondego>    {<newline46mondego>        flashPanel.setBackground(c);<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Instruct the flash movie to loop or not.<newline46mondego>     */<newline46mondego>    void setLoop(boolean loop) {<newline46mondego>        flashPanel.setLoop(loop);<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    /**<newline46mondego>     * Define some buttons to demonstrate JFlashPlayer functionality<newline46mondego>     */<newline46mondego>    void createButtons() {<newline46mondego>        JPanel buttonPanel = new JPanel();<newline46mondego>        buttonPanel.setAlignmentX(Component.CENTER_ALIGNMENT);<newline46mondego>        buttonPanel.setLayout(new BoxLayout(buttonPanel, BoxLayout.X_AXIS));<newline46mondego><newline46mondego>        playButton = new JButton(<doubleQuotes46>Play<doubleQuotes46>);<newline46mondego>        playButton.addActionListener(new ActionListener() {<newline46mondego><newline46mondego>            public void actionPerformed(ActionEvent arg0) {<newline46mondego>                play();<newline46mondego>            }<newline46mondego>        });<newline46mondego>        buttonPanel.add(playButton);<newline46mondego>        JButton stopButton = new JButton(<doubleQuotes46>Pause<doubleQuotes46>);<newline46mondego>        stopButton.addActionListener(new ActionListener() {<newline46mondego><newline46mondego>            public void actionPerformed(ActionEvent arg0) {<newline46mondego>                stop();<newline46mondego>            }<newline46mondego>        });<newline46mondego>        buttonPanel.add(stopButton);<newline46mondego>        backButton = new JButton(<doubleQuotes46>Back<doubleQuotes46>);<newline46mondego>        backButton.addActionListener(new ActionListener() {<newline46mondego><newline46mondego>            public void actionPerformed(ActionEvent arg0) {<newline46mondego>                goBackToBegining();<newline46mondego>            }<newline46mondego>        });<newline46mondego>        buttonPanel.add(backButton);<newline46mondego>        forwardButton = new JButton(<doubleQuotes46>Forward<doubleQuotes46>);<newline46mondego>        forwardButton.addActionListener(new ActionListener() {<newline46mondego><newline46mondego>            public void actionPerformed(ActionEvent arg0) {<newline46mondego>                forward();<newline46mondego>            }<newline46mondego>        });<newline46mondego>        //buttonPanel.add(forwardButton);<newline46mondego>        rewindButton = new JButton(<doubleQuotes46>Rewind<doubleQuotes46>);<newline46mondego>        rewindButton.addActionListener(new ActionListener() {<newline46mondego><newline46mondego>            public void actionPerformed(ActionEvent arg0) {<newline46mondego>                rewind();<newline46mondego>            }<newline46mondego>        });<newline46mondego>        buttonPanel.add(rewindButton);<newline46mondego><newline46mondego>        loopCheckBox = new JCheckBox(<doubleQuotes46>Loop<doubleQuotes46>);<newline46mondego>        loopCheckBox.setSelected(true);<newline46mondego>        loopCheckBox.addActionListener(new ActionListener() {<newline46mondego><newline46mondego>            public void actionPerformed(ActionEvent arg0) {<newline46mondego>                setLoop(loopCheckBox.isSelected());<newline46mondego>            }<newline46mondego>        });<newline46mondego><newline46mondego>        progressBar.setVisible(true);<newline46mondego><newline46mondego>        buttonPanel.add(progressBar);<newline46mondego><newline46mondego>        for (int i = 0; i  screenSize.height) {<newline46mondego>            frameSize.height = screenSize.height;<newline46mondego>        }<newline46mondego>        if (frameSize.width > screenSize.width) {<newline46mondego>            frameSize.width = screenSize.width;<newline46mondego>        }<newline46mondego>        //this.setLocation((screenSize.width - frameSize.width) / 2,<newline46mondego>        //      (screenSize.height - frameSize.height) / 2);<newline46mondego>        this.setVisible(true);<newline46mondego>        //this.toFront();<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego><newline46mondego>    @Override<newline46mondego>    protected void createProperties()<newline46mondego>    {<newline46mondego>        properties = new FlashPlayer_Prop(this);<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void action(Enum a)<newline46mondego>    {<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public Enum convertStringToActionEnumValue(String in) {<newline46mondego>        return null;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void build(HashMap theDictionary, String filePath, String DataSource, ArrayList actions)<newline46mondego>    {<newline46mondego>        if(DataSource.equals(DataTypeEnum.url.toString()))<newline46mondego>            {<newline46mondego>                createFlashPanel((String) theDictionary.get(<doubleQuotes46>Path<doubleQuotes46>));<newline46mondego>                setDataSource(DataTypeEnum.url);<newline46mondego>            }<newline46mondego>            else<newline46mondego>            {<newline46mondego>                String theFile = XMLUtilities.parseFilePath(filePath) + File.separator + (String) theDictionary.get(<doubleQuotes46>Path<doubleQuotes46>);<newline46mondego>                createFlashPanel(new File(theFile));<newline46mondego>                setDataSource(DataTypeEnum.file);<newline46mondego>            }<newline46mondego>        playOnStart = Boolean.parseBoolean(theDictionary.get(<doubleQuotes46>PlayOnStart<doubleQuotes46>));<newline46mondego>        loop = Boolean.parseBoolean(theDictionary.get(<doubleQuotes46>Loop<doubleQuotes46>));<newline46mondego>        //add actions to the component<newline46mondego>        setActions(XMLUtilities.getActions(this, actions));<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public Element extractData(Document dom)<newline46mondego>    {<newline46mondego>        setData(<doubleQuotes46>PlayOnStart<doubleQuotes46>,Boolean.toString(playOnStart));<newline46mondego>        setData(<doubleQuotes46>Loop<doubleQuotes46>, Boolean.toString(loop));<newline46mondego>        return super.extractData(dom);<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public File[] extractFiles(String filePath)<newline46mondego>    {<newline46mondego>        File retVal = new File(getData(<doubleQuotes46>Path<doubleQuotes46>));<newline46mondego>        if(retVal == null)<newline46mondego>        {<newline46mondego>            return null;<newline46mondego>        }<newline46mondego>        setData(<doubleQuotes46>Path<doubleQuotes46>,<doubleQuotes46>files<doubleQuotes46> + File.separator + retVal.getName());<newline46mondego>        return new File[]{retVal};<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void drag(File[] theFiles)<newline46mondego>    {<newline46mondego>     //if they dragged a one file in<newline46mondego>        if(theFiles.length == 1)<newline46mondego>        {<newline46mondego>            //try and set it as the image of this component<newline46mondego>            setMovie(new File(theFiles[0].getAbsolutePath()));<newline46mondego>        }<newline46mondego>        //they dragged multiple files in<newline46mondego>        else<newline46mondego>        {<newline46mondego>            for(int i = 0; i &lt theFiles.length; i++)<newline46mondego>            {<newline46mondego>                int location = (i * 5) % mainWindow.getComponentContentPane().getHeight();<newline46mondego><newline46mondego>                FlashPlayer temp = new FlashPlayer(location,location , mainWindow);<newline46mondego>                temp.createFlashPanel(new File(theFiles[i].getAbsolutePath()));<newline46mondego>                mainWindow.getCurrPage().addComponent(temp);<newline46mondego>                mainWindow.getCurrPage().loadPage();<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public BCFrame copy(int x, int y) {<newline46mondego>        try<newline46mondego>        {<newline46mondego>            FlashPlayer clone = new FlashPlayer(x,y,this.getWidth(),this.getHeight(),mainWindow);<newline46mondego>            clone.setTitleBarVisible(this.isTitleBarRemoved());<newline46mondego>            clone.setActions(this.getActions());<newline46mondego>            if(dataSource == dataSource.file)<newline46mondego>            {<newline46mondego>                clone.setMovie(new File(this.getData(<doubleQuotes46>Path<doubleQuotes46>)));<newline46mondego>            }<newline46mondego>            else<newline46mondego>            {<newline46mondego>                clone.setMovie(this.getData(<doubleQuotes46>Path<doubleQuotes46>));<newline46mondego>            }<newline46mondego>            clone.setPlayOnStart(isPlayOnStart());<newline46mondego>            clone.setIsLoop(isLoop());<newline46mondego>            return clone;<newline46mondego>        }<newline46mondego>        catch(Exception e)<newline46mondego>        {<newline46mondego>            LogRunner.dialogMessage(this.getClass(),<doubleQuotes46>Cant clone this compoenent<doubleQuotes46>);<newline46mondego><newline46mondego>        }<newline46mondego>        return null;<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Thread to poll the current frame of the flash movie to be displayed<newline46mondego>     */<newline46mondego>    class FrameMonitorThread extends Thread {<newline46mondego><newline46mondego>        FlashPanel flashPanel;<newline46mondego><newline46mondego>        FrameMonitorThread(FlashPanel fp) {<newline46mondego>            flashPanel = fp;<newline46mondego>        }<newline46mondego><newline46mondego>        public void run() {<newline46mondego>            while (true) {<newline46mondego>                if (flashPanel != null) {<newline46mondego>                    final long currentFrame = flashPanel.getCurrentFrame();<newline46mondego>                    final long totalFrames = flashPanel.getTotalFrames();<newline46mondego>                    SwingUtilities.invokeLater(new Runnable() {<newline46mondego><newline46mondego>                        public void run() {<newline46mondego>                            double cf = currentFrame;<newline46mondego>                            double tf = totalFrames;<newline46mondego>                            double result = cf/tf;<newline46mondego>                            int percent = (int)(100 * result);<newline46mondego>                            try{progressBar.setValue(percent);}catch(Exception e){}<newline46mondego>                            currentFrameLabel.setText(<doubleQuotes46>Frame: <doubleQuotes46> + currentFrame + <doubleQuotes46>/<doubleQuotes46> + totalFrames);<newline46mondego><newline46mondego>                        }<newline46mondego>                    });<newline46mondego>                }<newline46mondego>                try {<newline46mondego>                    Thread.sleep(100);<newline46mondego>                } catch (Exception e) {<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Checks whterer the dlls that flash player needs are in their correct spot<newline46mondego>     * @return True if all the dlls could be found, false otherwise<newline46mondego>     */<newline46mondego>    public static boolean checkDlls()<newline46mondego>    {<newline46mondego>        String systemFolder = <doubleQuotes46>C:\\WINDOWS\\system32\\<doubleQuotes46>;<newline46mondego>        String [] dlls = new String[]{<doubleQuotes46>atl2k.dll<doubleQuotes46>,<doubleQuotes46>atl98.dll<doubleQuotes46>,<doubleQuotes46>jflash.dll<doubleQuotes46>};<newline46mondego>        for(String x : dlls)<newline46mondego>        {<newline46mondego>            if(!new File(systemFolder + x).exists())<newline46mondego>            {<newline46mondego>                return false;<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>        return true;<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>"
"1505splitHere46","5276177splitHere46","selectAll()"
"1506splitHere46","5276177splitHere46","Scheduler.get().scheduleDeferred()"
"1507splitHere46","5276207splitHere46","Document"
"1508splitHere46","5276207splitHere46","ModelObserver"
"1509splitHere46","5276207splitHere46","update()"
"1510splitHere46","5276207splitHere46","repaint()"
"1511splitHere46","5276207splitHere46","ButtonHandler"
"1512splitHere46","5276207splitHere46","View"
"1513splitHere46","5276207splitHere46","private class ButtonHandler implements ActionListener {<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void actionPerformed(ActionEvent e) {<newline46mondego>        PieceButton pb = (PieceButton) e.getSource();<newline46mondego>        icon.color = pb.piece.color;<newline46mondego>        label.repaint();<newline46mondego>        model.check(pb.piece);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1514splitHere46","5276252splitHere46","LoadHandler"
"1515splitHere46","5276252splitHere46","new LoadHandler() {<newline46mondego>  HandlerRegistration reg = image.addLoadHandler(this);<newline46mondego><newline46mondego>  @Override<newline46mondego>  public void onLoad(LoadEvent evt) {<newline46mondego>    reg.removeHandler();<newline46mondego>    // Reset style<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"1516splitHere46","5276286splitHere46","(position, radius*2, radius*2); <newline46mondego>"
"1517splitHere46","5276286splitHere46","MyEllipse"
"1518splitHere46","5276286splitHere46","super(position, radius*2, radius*2);<newline46mondego>"
"1519splitHere46","5276483splitHere46","<form-bean name=<doubleQuotes46>territoryAddForm<doubleQuotes46><newline46mondego>         type=<doubleQuotes46>com.teig.territorymaint.web.forms.TerritoryForm<doubleQuotes46>><newline46mondego>         <!-- package path was incorrect --><newline46mondego></form-bean><newline46mondego>"
"1520splitHere46","5276592splitHere46","maxCap"
"1521splitHere46","5276592splitHere46","timeSlot"
"1522splitHere46","5276592splitHere46","0"
"1523splitHere46","5276592splitHere46","readInput()"
"1524splitHere46","5276592splitHere46","maxCap"
"1525splitHere46","5276592splitHere46","timeSlot"
