"1splitHere46","11522953splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><faces-config<newline46mondego>        xmlns=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<doubleQuotes46><newline46mondego>        xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46><newline46mondego>        xsi:schemaLocation=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<newline46mondego>            http://java.sun.com/xml/ns/javaee/web-facesconfig_2_0.xsd<doubleQuotes46><newline46mondego>        version=<doubleQuotes46>2.0<doubleQuotes46>><newline46mondego><newline46mondego>    <!-- JSF and Spring are integrated --><newline46mondego>    <application><newline46mondego>        <el-resolver><newline46mondego>            org.springframework.web.jsf.el.SpringBeanFacesELResolver<newline46mondego>        </el-resolver><newline46mondego>    </application><newline46mondego><newline46mondego>    <!-- configuration of navigation rules --><newline46mondego>    <navigation-rule><newline46mondego>        <from-view-id>pages/index.xhtml</from-view-id><newline46mondego>        <navigation-case><newline46mondego>            <from-outcome>success</from-outcome><newline46mondego>            <to-view-id>pages/success.xhtml</to-view-id><newline46mondego>        </navigation-case><newline46mondego>        <navigation-case><newline46mondego>            <from-outcome>error</from-outcome><newline46mondego>            <to-view-id>pages/error.xhtml</to-view-id><newline46mondego>        </navigation-case><newline46mondego>    </navigation-rule><newline46mondego><newline46mondego></faces-config><newline46mondego>"
"631splitHere46","11541679splitHere46","isAlive"
"632splitHere46","11541679splitHere46","native"
"633splitHere46","11541679splitHere46","yield -> public static native void<newline46mondego>start -> public synchronized void start<newline46mondego>join  -> public final synchronized void<newline46mondego>wait  -> In object class<newline46mondego>"
"634splitHere46","11541726splitHere46","Osname.appendChild(doc.createTextNode(nameOS));<newline46mondego>"
"635splitHere46","11541982splitHere46","public TreeNode constructActualModel(TreeAutocompleteMatcherIface matcher) {<newline46mondego>    if (prunedModel == null) {<newline46mondego>        eraseHierarchyStructure();<newline46mondego>        prunedModel = copyHierarchy((TreeNode) completeModel, getVisibleNodes(matcher));<newline46mondego>    }<newline46mondego>    return prunedModel;<newline46mondego>}<newline46mondego><newline46mondego>/**<newline46mondego> * Recursively copy the hierarchy and prune not visible branches<newline46mondego> * @param originalNode node of the original hierarchy to be copied<newline46mondego> * @param visibleNodes set of nodes, which should be included in the new hierarchy<newline46mondego> * @param model model of the TreeAutompleteComponent<newline46mondego> * @return copy of the oroginal node in the new hierarchy<newline46mondego> */<newline46mondego>private TreeNode copyHierarchy(TreeNode originalNode, Set<TreeNode> visibleNodes) {<newline46mondego>    if (!visibleNodes.contains(originalNode)) {<newline46mondego>        return null;<newline46mondego>    }<newline46mondego><newline46mondego>    TreeNode newNode = this.getCompleteModelNodes().get(((NodeWrapper) originalNode.getData()).getIri());//new DefaultTreeNode(originalNode.getData(), parent);<newline46mondego>    List<TreeNode> children = new ArrayList<TreeNode>();<newline46mondego>    for (int i = 0; i < originalNode.getChildCount(); i++) {<newline46mondego>        TreeNode child = copyHierarchy((TreeNode) originalNode.getChildren().get(i), visibleNodes);<newline46mondego>        if(child != null){<newline46mondego>            children.add(child);<newline46mondego>        }<newline46mondego>    }<newline46mondego>    ((DefaultTreeNode) newNode).setChildren(children);<newline46mondego>    return newNode;<newline46mondego>}<newline46mondego><newline46mondego>private void eraseHierarchyStructure() {<newline46mondego>    for (TreeNode node : duplicateCompleteModelNodes.values()) {<newline46mondego>        node.setParent(null);<newline46mondego>    }       <newline46mondego>}<newline46mondego>"
"636splitHere46","11542146splitHere46","Calendar calendarDate=Calendar.getInstance();<newline46mondego>calendarDate.clear();<newline46mondego>calendarDate.set(2012, 6, 1,0,0,0);<newline46mondego>"
"637splitHere46","11542146splitHere46","import java.util.Calendar;<newline46mondego>import java.util.Date;<newline46mondego><newline46mondego>import org.junit.Assert;<newline46mondego><newline46mondego>public class DateTest {<newline46mondego><newline46mondego>    @org.junit.Test<newline46mondego>    public void test() {<newline46mondego>        Calendar calendarDate=Calendar.getInstance();<newline46mondego>        calendarDate.clear();<newline46mondego>        calendarDate.set(2012, 6, 1,0,0,0);<newline46mondego>        Assert.assertEquals(0, calendarDate.getTime().compareTo(new Date(2012 - 1900,7-1, 01)));<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"638splitHere46","11542173splitHere46","public static void main(String[] args) throws JSONException {<newline46mondego>    String result = <doubleQuotes46>{'header': '[{\<doubleQuotes46>doc_no\<doubleQuotes46>: \<doubleQuotes46>DN00001\<doubleQuotes46>,\<doubleQuotes46>stage\<doubleQuotes46>:\<doubleQuotes46>P\<doubleQuotes46>}]','section':'[{\<doubleQuotes46>upper\<doubleQuotes46>:100,\<doubleQuotes46>lower\<doubleQuotes46>:1]'}<doubleQuotes46>;<newline46mondego>    JSONObject json = new JSONObject(result);<newline46mondego>    // json now looks like this :-<newline46mondego>    //<newline46mondego>    if (json != null) {<newline46mondego>        String header = json.getString(<doubleQuotes46>header<doubleQuotes46>);<newline46mondego>        System.out.println(header);<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"639splitHere46","11542173splitHere46","{<newline46mondego>  <doubleQuotes46>header<doubleQuotes46>: [{<doubleQuotes46>doc_no<doubleQuotes46>: <doubleQuotes46>DN00001<doubleQuotes46>,<doubleQuotes46>stage<doubleQuotes46>:<doubleQuotes46>P<doubleQuotes46>}],<newline46mondego>  <doubleQuotes46>section<doubleQuotes46>:[{<doubleQuotes46>upper<doubleQuotes46>:100,<doubleQuotes46>lower<doubleQuotes46>:1]<newline46mondego>}<newline46mondego>"
"640splitHere46","11542173splitHere46","JSONObject"
"641splitHere46","11542173splitHere46","JSONArray"
"642splitHere46","11542173splitHere46","JSONObject"
"643splitHere46","11542173splitHere46","new JSONObject(<doubleQuotes46>header<doubleQuotes46>)"
"644splitHere46","11542173splitHere46","get"
"645splitHere46","11542173splitHere46","set"
"646splitHere46","11542173splitHere46","json.getXXX(<doubleQuotes46>header<doubleQuotes46>)"
"647splitHere46","11542173splitHere46","String"
"648splitHere46","11542173splitHere46","JSONObject"
"649splitHere46","11542173splitHere46","JSONArray"
"650splitHere46","11542230splitHere46","for (int i = 0; i < 3; i++) System.out.println(<doubleQuotes46>  @@@<doubleQuotes46>.substring(i, i+3));<newline46mondego>"
"651splitHere46","11542239splitHere46","Enum.valueOf"
"652splitHere46","11542239splitHere46","WhateverEnum.valueOf(someString);<newline46mondego>"
"653splitHere46","11542319splitHere46","final"
"654splitHere46","11542509splitHere46","synchronized"
"655splitHere46","11542509splitHere46","synchronized"
"656splitHere46","11542509splitHere46","synchronized"
"657splitHere46","11542509splitHere46","synchronized"
"658splitHere46","11542509splitHere46","synchronized"
"659splitHere46","11542509splitHere46","public class Bar<newline46mondego>{<newline46mondego>    public static void foo()<newline46mondego>    {<newline46mondego>        synchronized (Bar.class)<newline46mondego>        {<newline46mondego>            // your code<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"660splitHere46","11542509splitHere46","synchronized"
"661splitHere46","11542509splitHere46","public class Bar<newline46mondego>{<newline46mondego>    public void foo()<newline46mondego>    {<newline46mondego>        synchronized (this)<newline46mondego>        {<newline46mondego>            // your code<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"662splitHere46","11542509splitHere46","ReentrantReadWriteLock"
"663splitHere46","11542509splitHere46","ReentrantReadWriteLock"
"664splitHere46","11542509splitHere46","public class CacheHelper<newline46mondego>{<newline46mondego>    private static HashMap foos, bars;<newline46mondego>    private static java.util.concurrent.locks.ReadWriteLock lock = new java.util.concurrent.locks.ReentrantReadWriteLock();<newline46mondego><newline46mondego>    public static Foo getFoo(int fooId)<newline46mondego>    {<newline46mondego>        lock.readLock().lock();<newline46mondego>        try {<newline46mondego>            /* etc etc */<newline46mondego>        } finally {<newline46mondego>            lock.readLock().unlock();<newline46mondego>        }<newline46mondego>    }<newline46mondego>    public static Bar getBar(int barId)<newline46mondego>    {<newline46mondego>        lock.readLock().lock();<newline46mondego>        try {<newline46mondego>            /* etc etc */<newline46mondego>        } finally {<newline46mondego>            lock.readLock().unlock();<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    public static void reloadAllCaches()<newline46mondego>    {<newline46mondego>        lock.writeLock().lock();<newline46mondego>        try {<newline46mondego>            //This is where I need it to lock access to all the other static methods<newline46mondego>        } finally {<newline46mondego>            lock.writeLock().unlock();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"665splitHere46","11542574splitHere46","public class TestClass6 {<newline46mondego>        public static void main(String[] args)<newline46mondego>    {<newline46mondego>        String path = <doubleQuotes46>c:/folder1/folder2<doubleQuotes46>;    // path of the folder you want to create<newline46mondego>        File folder=new File(path);<newline46mondego>        boolean exist=folder.exists();<newline46mondego>        if(!exist){<newline46mondego>            folder.mkdirs();<newline46mondego>        }else{<newline46mondego>            System.out.println(<doubleQuotes46>folder already exist<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"666splitHere46","11543125splitHere46","=="
"667splitHere46","11543125splitHere46","ClassLoader"
"668splitHere46","11543125splitHere46","Class"
"669splitHere46","11543125splitHere46","instanceof"
"670splitHere46","11543137splitHere46","BasicHttpBinding"
"671splitHere46","11543137splitHere46","Text"
"672splitHere46","11543138splitHere46","&acirc;"
"673splitHere46","11543170splitHere46","char"
"674splitHere46","11543170splitHere46","long -> long<newline46mondego>short -> short<newline46mondego>char -> char<newline46mondego>unsigned long -> N/A<newline46mondego>unsigned short -> N/A<newline46mondego>unsigned char -> N/A<newline46mondego>byte -> byte<newline46mondego>Int8 -> byte<newline46mondego>Int16 -> short<newline46mondego>Int32 -> int<newline46mondego>UInt8 -> N/A<newline46mondego>UInt16 -> N/A<newline46mondego>UInt32 -> N/A<newline46mondego>"
"675splitHere46","11543170splitHere46","byte"
"676splitHere46","11543170splitHere46","int"
"677splitHere46","11543170splitHere46","short"
"678splitHere46","11543170splitHere46","long"
"679splitHere46","11543263splitHere46","driver.manage().timeouts().implicitlyWait(5, TimeUnit.SECONDS);<newline46mondego>"
"680splitHere46","11543263splitHere46","id"
"681splitHere46","11543263splitHere46","driver.findElement(By.id(<doubleQuotes46>elemId<doubleQuotes46>));<newline46mondego>"
"682splitHere46","11543263splitHere46","driver.findElement(By.cssSelector(<doubleQuotes46>#elemId<doubleQuotes46>));<newline46mondego>driver.findElement(By.xpath(<doubleQuotes46>id('elemId')<doubleQuotes46>));<newline46mondego>"
"683splitHere46","11543263splitHere46","driver.findElement(By.xpath(<doubleQuotes46>//*[@id='elemId']<doubleQuotes46>));<newline46mondego>"
"684splitHere46","11543263splitHere46","String text = driver.findElement(By.id(<doubleQuotes46>center-2<doubleQuotes46>)).getText();<newline46mondego>System.out.println(text);<newline46mondego>"
"685splitHere46","11543263splitHere46","String headline = driver.findElement(By.cssSelector(<doubleQuotes46>#center-2 .headline<doubleQuotes46>)).getText();<newline46mondego>System.out.println(headline);<newline46mondego><newline46mondego>String link = driver.findElement(By.cssSelector(<doubleQuotes46>#center-2 .link<doubleQuotes46>)).getText();<newline46mondego>System.out.println(link);<newline46mondego><newline46mondego>String body = driver.findElement(By.cssSelector(<doubleQuotes46>#center-2 .body<doubleQuotes46>)).getText();<newline46mondego>System.out.println(body);<newline46mondego>"
"686splitHere46","11543346splitHere46","set names <doubleQuotes46>utf8<doubleQuotes46>; <newline46mondego>"
"687splitHere46","11543346splitHere46","[client]<newline46mondego>default-character-set=utf8<newline46mondego><newline46mondego><newline46mondego> [mysql]<newline46mondego> default-character-set=utf8<newline46mondego><newline46mondego><newline46mondego> [mysqld]<newline46mondego> default-character-set=utf8<newline46mondego> character-set-server=utf8<newline46mondego>"
"688splitHere46","11543432splitHere46","String"
"689splitHere46","11543432splitHere46","byte[]"
"690splitHere46","11543432splitHere46","String"
"691splitHere46","11543432splitHere46","byte[]"
"692splitHere46","11543432splitHere46","byte[]"
"693splitHere46","11543432splitHere46","<doubleQuotes46>012345678901234567890123456789012<doubleQuotes46>"
"694splitHere46","11543432splitHere46","KeyGenerator"
"695splitHere46","11543432splitHere46","KeyGenerator keyGen = KeyGenerator.getInstance(<doubleQuotes46>AES<doubleQuotes46>);<newline46mondego>    keyGen.init(128); // or 256<newline46mondego><newline46mondego>    // Generate the secret key specs<newline46mondego>    SecretKey secretKey = keyGen.generateKey();<newline46mondego>    byte[] byteArray = secretKey.getEncoded();<newline46mondego>"
"696splitHere46","11543445splitHere46","BufferedWriter writer = new BufferedWriter(new FileWriter(file, true));<newline46mondego>//calls to write will now append<newline46mondego>"
"697splitHere46","11543452splitHere46","public void doGet(HttpServletRequest req, HttpServletResponse res)<newline46mondego>    throws IOException {<newline46mondego>        BlobKey blobKey = new BlobKey(req.getParameter(<doubleQuotes46>blob-key<doubleQuotes46>)); //example<newline46mondego>        String filename = <doubleQuotes46>someName.docx<doubleQuotes46>;<newline46mondego>        res.setHeader(<doubleQuotes46>Content-Disposition<doubleQuotes46>, <doubleQuotes46>attachment; filename=\<doubleQuotes46><doubleQuotes46> +fileName +\<doubleQuotes46><doubleQuotes46>);<newline46mondego><newline46mondego>        blobstoreService.serve(blobKey, res);<newline46mondego>    }<newline46mondego>"
"698splitHere46","11543479splitHere46","// package whatever.your.package.happens.to.be;<newline46mondego><newline46mondego>import java.lang.reflect.Method;<newline46mondego>import java.lang.reflect.ParameterizedType;<newline46mondego>import java.lang.reflect.WildcardType;<newline46mondego>import java.util.List;<newline46mondego><newline46mondego>public class ReflectionTest {<newline46mondego>  public static void main(String[] args) throws NoSuchMethodException, SecurityException {<newline46mondego>    Method method = ReflectionTest.class.getMethod(<doubleQuotes46>method<doubleQuotes46>, List.class);<newline46mondego>    ParameterizedType listType = (ParameterizedType)method.getGenericParameterTypes()[0];<newline46mondego>    ParameterizedType classType = (ParameterizedType)listType.getActualTypeArguments()[0];<newline46mondego>    WildcardType genericType = (WildcardType)classType.getActualTypeArguments()[0];<newline46mondego>    Class<?> genericClass = (Class<?>)genericType.getUpperBounds()[0];<newline46mondego><newline46mondego>    boolean isException = Exception.class.isAssignableFrom(genericClass);<newline46mondego>    // vvv Prints out <doubleQuotes46>Is Class<? extends Exception>: true<doubleQuotes46><newline46mondego>    System.out.println(<doubleQuotes46>Is Class<? extends Exception>: <doubleQuotes46> + isException);<newline46mondego><newline46mondego>    boolean isRuntimeException = RuntimeException.class.isAssignableFrom(genericClass);<newline46mondego>    // vvv Prints out <doubleQuotes46>Is Class<? extends RuntimeException>: false<doubleQuotes46><newline46mondego>    System.out.println(<doubleQuotes46>Is Class<? extends RuntimeException>: <doubleQuotes46> + isRuntimeException);<newline46mondego>  }<newline46mondego><newline46mondego>  public void method(List<Class<? extends Exception>> exceptionClasses) {<newline46mondego>    // Do something with <doubleQuotes46>exceptionClasses,<doubleQuotes46> I would imagine...<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"699splitHere46","11543479splitHere46","List<Class<? extends Exception>>"
"700splitHere46","11543479splitHere46","List<? extends Exception>"
"701splitHere46","11543516splitHere46","ImageIcon"
"702splitHere46","11543516splitHere46","ImageIcon"
"703splitHere46","11543516splitHere46","setBackground()"
"704splitHere46","11543516splitHere46","paintComponent()"
"705splitHere46","11543664splitHere46","Restrictions.in()"
"706splitHere46","11543664splitHere46","InExpression"
"707splitHere46","11543664splitHere46","lower(prop) in (...)<newline46mondego>"
"708splitHere46","11543980splitHere46","final List<String> strList = Arrays.asList(<doubleQuotes46>1,2,3,4,5<doubleQuotes46>.split(<doubleQuotes46>,<doubleQuotes46>));<newline46mondego>final List<Long> l = Lists.transform(strList, new Function<String, Long>() {<newline46mondego>    @Override<newline46mondego>    public Long apply(final String input) {<newline46mondego>        return Long.parseLong(input);<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"709splitHere46","11544021splitHere46","path_name"
"710splitHere46","11544021splitHere46","number"
"711splitHere46","11544021splitHere46","0"
"712splitHere46","11544021splitHere46","path_name"
"713splitHere46","11544021splitHere46","p"
"714splitHere46","11544021splitHere46","System.arraycopy"
"715splitHere46","11544021splitHere46","Arrays.copyOf"
"716splitHere46","11544021splitHere46","new Path(6, new String[] {<doubleQuotes46>one<doubleQuotes46>, <doubleQuotes46>two<doubleQuotes46>, ...});<newline46mondego>"
"717splitHere46","11544021splitHere46","number"
"718splitHere46","11544021splitHere46","path_name.length"
"719splitHere46","11544021splitHere46","Path(int n, String p...){<newline46mondego>     number=n; <newline46mondego>     path_name = p<newline46mondego>}<newline46mondego>"
"720splitHere46","11544021splitHere46","p"
"721splitHere46","11544021splitHere46","new Path(6, <doubleQuotes46>one<doubleQuotes46>, <doubleQuotes46>two<doubleQuotes46>, ...);<newline46mondego>"
"722splitHere46","11544023splitHere46","protected void changeContent(Container parent) {<newline46mondego>    for (Component comp : parent.getComponents()) {<newline46mondego>        adjustFont(comp);<newline46mondego>        if (comp instanceof Container) {<newline46mondego>            changeContent((Container)comp);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>protected void changeFont(Component comp) {<newline46mondego>    AffineTransformation at = AffineTransformation.getScaleInstance(2, 2);<newline46mondego>    Font font = comp.getFont().deriveFont(at);<newline46mondego>    comp.setFont(font);<newline46mondego>}<newline46mondego><newline46mondego>public MyDialog() {<newline46mondego>    changeContent(getConentPane());<newline46mondego>}<newline46mondego>"
"723splitHere46","11544023splitHere46","AffineTransformation"
"724splitHere46","11544023splitHere46","AffineTransform"
"725splitHere46","11544023splitHere46","/*<newline46mondego> * To change this template, choose Tools | Templates<newline46mondego> * and open the template in the editor.<newline46mondego> */<newline46mondego>package test;<newline46mondego><newline46mondego>import java.awt.Component;<newline46mondego>import java.awt.Container;<newline46mondego>import java.awt.Font;<newline46mondego>import java.awt.geom.AffineTransform;<newline46mondego><newline46mondego>/**<newline46mondego> *<newline46mondego> * @author swhitehead<newline46mondego> * /<newline46mondego>public class TestFrame extends javax.swing.JFrame {<newline46mondego><newline46mondego>    private float scale = 1f;<newline46mondego><newline46mondego>    /**<newline46mondego>     * Creates new form TestFrame    <newline46mondego>     */<newline46mondego>public TestFrame() {<newline46mondego>    initComponents();<newline46mondego>}<newline46mondego><newline46mondego>/**<newline46mondego> * This method is called from within the constructor to initialize the form.<newline46mondego> * WARNING: Do NOT modify this code. The content of this method is always<newline46mondego> * regenerated by the Form Editor.<newline46mondego> */<newline46mondego>@SuppressWarnings(<doubleQuotes46>unchecked<doubleQuotes46>)<newline46mondego>// <editor-fold defaultstate=<doubleQuotes46>collapsed<doubleQuotes46> desc=<doubleQuotes46>Generated Code<doubleQuotes46>><newline46mondego>private void initComponents() {<newline46mondego>    java.awt.GridBagConstraints gridBagConstraints;<newline46mondego><newline46mondego>    jLabel1 = new javax.swing.JLabel();<newline46mondego>    jTextField1 = new javax.swing.JTextField();<newline46mondego>    jScrollPane1 = new javax.swing.JScrollPane();<newline46mondego>    jList1 = new javax.swing.JList();<newline46mondego>    jPanel1 = new javax.swing.JPanel();<newline46mondego>    btnUp = new javax.swing.JButton();<newline46mondego>    btnDown = new javax.swing.JButton();<newline46mondego><newline46mondego>    setDefaultCloseOperation(javax.swing.WindowConstants.EXIT_ON_CLOSE);<newline46mondego>    getContentPane().setLayout(new java.awt.GridBagLayout());<newline46mondego><newline46mondego>    jLabel1.setText(<doubleQuotes46>Hello world!<doubleQuotes46>);<newline46mondego>    getContentPane().add(jLabel1, new java.awt.GridBagConstraints());<newline46mondego><newline46mondego>    jTextField1.setColumns(12);<newline46mondego>    jTextField1.setText(<doubleQuotes46>Say something<doubleQuotes46>);<newline46mondego>    gridBagConstraints = new java.awt.GridBagConstraints();<newline46mondego>    gridBagConstraints.gridx = 0;<newline46mondego>    gridBagConstraints.gridy = 1;<newline46mondego>    gridBagConstraints.anchor = java.awt.GridBagConstraints.PAGE_START;<newline46mondego>    getContentPane().add(jTextField1, gridBagConstraints);<newline46mondego><newline46mondego>    jList1.setModel(new javax.swing.AbstractListModel() {<newline46mondego>        String[] strings = { <doubleQuotes46>Item 1<doubleQuotes46>, <doubleQuotes46>Item 2<doubleQuotes46>, <doubleQuotes46>Item 3<doubleQuotes46>, <doubleQuotes46>Item 4<doubleQuotes46>, <doubleQuotes46>Item 5<doubleQuotes46> };<newline46mondego>        public int getSize() { return strings.length; }<newline46mondego>        public Object getElementAt(int i) { return strings[i]; }<newline46mondego>    });<newline46mondego>    jScrollPane1.setViewportView(jList1);<newline46mondego><newline46mondego>    gridBagConstraints = new java.awt.GridBagConstraints();<newline46mondego>    gridBagConstraints.gridx = 1;<newline46mondego>    gridBagConstraints.gridy = 0;<newline46mondego>    gridBagConstraints.gridheight = 2;<newline46mondego>    gridBagConstraints.fill = java.awt.GridBagConstraints.BOTH;<newline46mondego>    getContentPane().add(jScrollPane1, gridBagConstraints);<newline46mondego><newline46mondego>    jPanel1.setLayout(new java.awt.GridBagLayout());<newline46mondego><newline46mondego>    btnUp.setText(<doubleQuotes46>Up<doubleQuotes46>);<newline46mondego>    btnUp.addActionListener(new java.awt.event.ActionListener() {<newline46mondego>        public void actionPerformed(java.awt.event.ActionEvent evt) {<newline46mondego>            btnUpActionPerformed(evt);<newline46mondego>        }<newline46mondego>    });<newline46mondego>    gridBagConstraints = new java.awt.GridBagConstraints();<newline46mondego>    gridBagConstraints.gridx = 0;<newline46mondego>    gridBagConstraints.gridy = 3;<newline46mondego>    jPanel1.add(btnUp, gridBagConstraints);<newline46mondego><newline46mondego>    btnDown.setText(<doubleQuotes46>Down<doubleQuotes46>);<newline46mondego>    btnDown.addActionListener(new java.awt.event.ActionListener() {<newline46mondego>        public void actionPerformed(java.awt.event.ActionEvent evt) {<newline46mondego>            btnDownActionPerformed(evt);<newline46mondego>        }<newline46mondego>    });<newline46mondego>    gridBagConstraints = new java.awt.GridBagConstraints();<newline46mondego>    gridBagConstraints.gridx = 1;<newline46mondego>    gridBagConstraints.gridy = 3;<newline46mondego>    jPanel1.add(btnDown, gridBagConstraints);<newline46mondego><newline46mondego>    gridBagConstraints = new java.awt.GridBagConstraints();<newline46mondego>    gridBagConstraints.gridx = 0;<newline46mondego>    gridBagConstraints.gridy = 2;<newline46mondego>    gridBagConstraints.gridwidth = 2;<newline46mondego>    getContentPane().add(jPanel1, gridBagConstraints);<newline46mondego><newline46mondego>    pack();<newline46mondego>}// </editor-fold><newline46mondego><newline46mondego>private void btnUpActionPerformed(java.awt.event.ActionEvent evt) {<newline46mondego><newline46mondego>    scale += 0.1;<newline46mondego>    changeContent(getContentPane());<newline46mondego><newline46mondego>    invalidate();<newline46mondego>    repaint();<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>private void btnDownActionPerformed(java.awt.event.ActionEvent evt) {<newline46mondego><newline46mondego>    scale -= 0.1;<newline46mondego>    if(scale <= 0) scale = 0.1f;<newline46mondego><newline46mondego>    changeContent(getContentPane());<newline46mondego><newline46mondego>    invalidate();<newline46mondego>    repaint();<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>/**<newline46mondego> * @param args the command line arguments<newline46mondego> */<newline46mondego>public static void main(String args[]) {<newline46mondego>    /*<newline46mondego>     * Set the Nimbus look and feel<newline46mondego>     */<newline46mondego>    //<editor-fold defaultstate=<doubleQuotes46>collapsed<doubleQuotes46> desc=<doubleQuotes46> Look and feel setting code (optional) <doubleQuotes46>><newline46mondego>    /*<newline46mondego>     * If Nimbus (introduced in Java SE 6) is not available, stay with the<newline46mondego>     * default look and feel. For details see<newline46mondego>     * http://download.oracle.com/javase/tutorial/uiswing/lookandfeel/plaf.html<newline46mondego>     */<newline46mondego>    try {<newline46mondego>        for (javax.swing.UIManager.LookAndFeelInfo info : javax.swing.UIManager.getInstalledLookAndFeels()) {<newline46mondego>            if (<doubleQuotes46>Nimbus<doubleQuotes46>.equals(info.getName())) {<newline46mondego>                javax.swing.UIManager.setLookAndFeel(info.getClassName());<newline46mondego>                break;<newline46mondego>            }<newline46mondego>        }<newline46mondego>    } catch (ClassNotFoundException ex) {<newline46mondego>        java.util.logging.Logger.getLogger(TestFrame.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);<newline46mondego>    } catch (InstantiationException ex) {<newline46mondego>        java.util.logging.Logger.getLogger(TestFrame.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);<newline46mondego>    } catch (IllegalAccessException ex) {<newline46mondego>        java.util.logging.Logger.getLogger(TestFrame.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);<newline46mondego>    } catch (javax.swing.UnsupportedLookAndFeelException ex) {<newline46mondego>        java.util.logging.Logger.getLogger(TestFrame.class.getName()).log(java.util.logging.Level.SEVERE, null, ex);<newline46mondego>    }<newline46mondego>    //</editor-fold><newline46mondego><newline46mondego>    /*<newline46mondego>     * Create and display the form<newline46mondego>     */<newline46mondego>    java.awt.EventQueue.invokeLater(new Runnable() {<newline46mondego><newline46mondego>        public void run() {<newline46mondego>            new TestFrame().setVisible(true);<newline46mondego>        }<newline46mondego>    });<newline46mondego>}<newline46mondego>// Variables declaration - do not modify<newline46mondego>private javax.swing.JButton btnDown;<newline46mondego>private javax.swing.JButton btnUp;<newline46mondego>private javax.swing.JLabel jLabel1;<newline46mondego>private javax.swing.JList jList1;<newline46mondego>private javax.swing.JPanel jPanel1;<newline46mondego>private javax.swing.JScrollPane jScrollPane1;<newline46mondego>private javax.swing.JTextField jTextField1;<newline46mondego>// End of variables declaration<newline46mondego><newline46mondego>protected void changeContent(Container parent) {<newline46mondego>    for (Component comp : parent.getComponents()) {<newline46mondego>        adjustFont(comp);<newline46mondego>        if (comp instanceof Container) {<newline46mondego>            changeContent((Container) comp);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>protected void adjustFont(Component comp) {<newline46mondego>    AffineTransform at = AffineTransform.getScaleInstance(scale, scale);<newline46mondego>    Font font = comp.getFont();<newline46mondego>    System.out.println(<doubleQuotes46>Font.orignal = <doubleQuotes46> + font.getSize());<newline46mondego>    font = font.deriveFont(at);<newline46mondego>    System.out.println(<doubleQuotes46>Font.scaled = <doubleQuotes46> + font.getSize());<newline46mondego>    comp.setFont(font);<newline46mondego>}<newline46mondego>}<newline46mondego>"
"726splitHere46","11544028splitHere46","public class City"
"727splitHere46","11544028splitHere46","public class Graphs"
"728splitHere46","11544028splitHere46","public class Graphs {<newline46mondego><newline46mondego>    public class City {<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"729splitHere46","11544028splitHere46","City"
"730splitHere46","11544028splitHere46","Graphs"
"731splitHere46","11544028splitHere46","City"
"732splitHere46","11544028splitHere46","cityGraph[j] = new Graphs().new City();<newline46mondego>// or<newline46mondego>cityGraph[j] = existingGraphsInstance.new City();<newline46mondego>"
"733splitHere46","11544028splitHere46","City"
"734splitHere46","11544028splitHere46","public class Graphs {<newline46mondego><newline46mondego>}<newline46mondego>"
"735splitHere46","11544028splitHere46","public class City {<newline46mondego><newline46mondego>}<newline46mondego>"
"736splitHere46","11544028splitHere46","static"
"737splitHere46","11544028splitHere46","public class Graphs {<newline46mondego><newline46mondego>    public static class City {<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"738splitHere46","11544028splitHere46","City"
"739splitHere46","11544028splitHere46","new City()"
"740splitHere46","11544034splitHere46","try/catch"
"741splitHere46","11544034splitHere46","throws SomeException"
"742splitHere46","11544034splitHere46","onCreate()"
"743splitHere46","11544034splitHere46","throws"
"744splitHere46","11544034splitHere46","RuntimeException"
