"1splitHere46","17981343splitHere46","curl -v -X PUT -H <doubleQuotes46>Content-Type: text/uri-list<doubleQuotes46> \<newline46mondego>-d <doubleQuotes46>http://localhost:7070/study-spring-data/teacher/1<doubleQuotes46> http://localhost:7070/study-spring-data/course/123/teacher<newline46mondego>"
"2273splitHere46","18042051splitHere46","View"
"2274splitHere46","18042051splitHere46","View"
"2275splitHere46","18042054splitHere46","1 / 4"
"2276splitHere46","18042054splitHere46","4^2"
"2277splitHere46","18042054splitHere46","private static double angle(Point p1, Point p2, Point p0 ) {<newline46mondego>        double dx1 = p1.x - p0.x;<newline46mondego>        double dy1 = p1.y - p0.y;<newline46mondego>        double dx2 = p2.x - p0.x;<newline46mondego>        double dy2 = p2.y - p0.y;<newline46mondego>        return (dx1 * dx2 + dy1 * dy2) / Math.sqrt((dx1 * dx1 + dy1 * dy1) * (dx2 * dx2 + dy2 * dy2) + 1e-10);<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego><newline46mondego>    private static MatOfPoint find(Mat src) throws Exception {<newline46mondego>        Mat blurred = src.clone();<newline46mondego>        Imgproc.medianBlur(src, blurred, 9);<newline46mondego><newline46mondego>        Mat gray0 = new Mat(blurred.size(), CvType.CV_8U), gray = new Mat();<newline46mondego><newline46mondego>        List<MatOfPoint> contours = new ArrayList<>();<newline46mondego><newline46mondego>        List<Mat> blurredChannel = new ArrayList<>();<newline46mondego>        blurredChannel.add(blurred);<newline46mondego>        List<Mat> gray0Channel = new ArrayList<>();<newline46mondego>        gray0Channel.add(gray0);<newline46mondego><newline46mondego>        MatOfPoint2f approxCurve;<newline46mondego><newline46mondego>        double maxArea = 0;<newline46mondego>        int maxId = -1;<newline46mondego><newline46mondego>        for (int c = 0; c < 3; c++) {<newline46mondego>            int ch[] = {c, 0};<newline46mondego>            Core.mixChannels(blurredChannel, gray0Channel, new MatOfInt(ch));<newline46mondego><newline46mondego>            int thresholdLevel = 1;<newline46mondego>            for (int t = 0; t < thresholdLevel; t++) {<newline46mondego>                if (t == 0) {<newline46mondego>                    Imgproc.Canny(gray0, gray, 10, 20, 3, true); // true ?<newline46mondego>                    Imgproc.dilate(gray, gray, new Mat(), new Point(-1, -1), 1); // 1 ?<newline46mondego>                } else {<newline46mondego>                    Imgproc.adaptiveThreshold(gray0, gray, thresholdLevel, Imgproc.ADAPTIVE_THRESH_GAUSSIAN_C, Imgproc.THRESH_BINARY, (src.width() + src.height()) / 200, t);<newline46mondego>                }<newline46mondego><newline46mondego>                Imgproc.findContours(gray, contours, new Mat(), Imgproc.RETR_LIST, Imgproc.CHAIN_APPROX_SIMPLE);<newline46mondego><newline46mondego>                for (MatOfPoint contour : contours) {<newline46mondego>                    MatOfPoint2f temp = new MatOfPoint2f(contour.toArray());<newline46mondego><newline46mondego>                    double area = Imgproc.contourArea(contour);<newline46mondego>                    approxCurve = new MatOfPoint2f();<newline46mondego>                    Imgproc.approxPolyDP(temp, approxCurve, Imgproc.arcLength(temp, true) * 0.02, true);<newline46mondego><newline46mondego>                    if (approxCurve.total() == 4 && area >= maxArea) {<newline46mondego>                        double maxCosine = 0;<newline46mondego><newline46mondego>                        List<Point> curves = approxCurve.toList();<newline46mondego>                        for (int j = 2; j < 5; j++)<newline46mondego>                        {<newline46mondego><newline46mondego>                            double cosine = Math.abs(angle(curves.get(j % 4), curves.get(j - 2), curves.get(j - 1)));<newline46mondego>                            maxCosine = Math.max(maxCosine, cosine);<newline46mondego>                        }<newline46mondego><newline46mondego>                        if (maxCosine < 0.3) {<newline46mondego>                            maxArea = area;<newline46mondego>                            maxId = contours.indexOf(contour);<newline46mondego>                            //contours.set(maxId, getHull(contour));<newline46mondego>                        }<newline46mondego>                    }<newline46mondego>                }<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>        if (maxId >= 0) {<newline46mondego>            return contours.get(maxId);<newline46mondego>            //Imgproc.drawContours(src, contours, maxId, new Scalar(255, 0, 0, .8), 8);<newline46mondego>        }<newline46mondego>        return null;<newline46mondego>    }<newline46mondego>"
"2278splitHere46","18042054splitHere46","MathOfPoint contour = find(src);<newline46mondego>"
"2279splitHere46","18042055splitHere46","String output"
"2280splitHere46","18042055splitHere46","system.out.println(h + three + one + ten + <doubleQuotes46> <doubleQuotes46> + <doubleQuotes46>w<doubleQuotes46> + zero + <doubleQuotes46>r<doubleQuotes46> + won + <doubleQuotes46>d <doubleQuotes46> + two + <doubleQuotes46> <doubleQuotes46> + t);<newline46mondego>"
"2281splitHere46","18042055splitHere46","system.out.println(<doubleQuotes46><doubleQuotes46> + youNumberVariable)"
"2282splitHere46","18042055splitHere46","output = <doubleQuotes46><doubleQuotes46> + theRest;"
"2283splitHere46","18042111splitHere46","java.library.path"
"2284splitHere46","18042270splitHere46","Foo"
"2285splitHere46","18042270splitHere46","bar"
"2286splitHere46","18042270splitHere46","int"
"2287splitHere46","18042270splitHere46","public class Foo {<newline46mondego>}<newline46mondego>"
"2288splitHere46","18042270splitHere46","public class Foo {<newline46mondego>    public Foo() {<newline46mondego>        // TODO Auto-generated constructor stub<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2289splitHere46","18042270splitHere46","bar"
"2290splitHere46","18042270splitHere46","public class Foo {<newline46mondego>    public Foo(int bar) {<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2291splitHere46","18042270splitHere46","bar"
"2292splitHere46","18042270splitHere46","public class Foo {<newline46mondego>    private final int bar;<newline46mondego><newline46mondego>    public Foo(int bar) {<newline46mondego>        this.bar = bar;<newline46mondego><newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2293splitHere46","18042428splitHere46","protected void doGet(HttpServletRequest req, HttpServletResponse resp) <newline46mondego>throws ServletException, IOException {<newline46mondego>    // Create the BufferedImage, using any parameters and<newline46mondego>    // possibly the exact request URI:<newline46mondego>    String requestURI = req.getRequestURI();<newline46mondego>    String imageParam1 = req.getParameter(<doubleQuotes46>imageParam1<doubleQuotes46>);<newline46mondego>    BufferedImage bi = new BufferedImage(300, 300, BufferedImage.TYPE_INT_RGB);<newline46mondego>    GetBI fetchBI = new GetBI();<newline46mondego>    bi = fetchBI.get_bi(req.getParameter(imageParam1));<newline46mondego><newline46mondego>    resp.setContentType(<doubleQuotes46>image/gif<doubleQuotes46>);//256 colors<newline46mondego>    ImageIO.write(bi,<doubleQuotes46>gif<doubleQuotes46>,resp.getOutputStream());<newline46mondego>}<newline46mondego>"
"2294splitHere46","18042428splitHere46","<td width=350><newline46mondego>    <img src=<doubleQuotes46><%=<doubleQuotes46>/get-graph.gif?imageParam1=<doubleQuotes46>%><doubleQuotes46>><newline46mondego></td><newline46mondego>"
"2295splitHere46","18042428splitHere46","public class SecondServlet extends HttpServlet {<newline46mondego>    public void doGet(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {<newline46mondego>        String imageParam1 = request.getParameter(<doubleQuotes46>imageParam1<doubleQuotes46>);<newline46mondego><newline46mondego>        BufferedImage bi = new BufferedImage(300, 300, BufferedImage.TYPE_INT_RGB);<newline46mondego><newline46mondego>        // Try replacing with:<newline46mondego>        //GetBI fetchBI = new GetBI();<newline46mondego>        //BufferedImage bi = fetchBI.get_bi(req.getParameter(<doubleQuotes46>imageParam1<doubleQuotes46>));<newline46mondego><newline46mondego>        Graphics2D g = bi.createGraphics();<newline46mondego>        g.setColor(new Color(255, 255, 255));<newline46mondego>        g.drawString(imageParam1, 0, 150);<newline46mondego>        g.dispose();<newline46mondego><newline46mondego>        response.setContentType(<doubleQuotes46>image/gif<doubleQuotes46>);<newline46mondego>        ImageIO.write(bi, <doubleQuotes46>gif<doubleQuotes46>, response.getOutputStream());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2296splitHere46","18042428splitHere46","http://127.0.0.1:8080/myapp/get-graph?imageParam1=Testing<newline46mondego>"
"2297splitHere46","18042462splitHere46","abc"
"2298splitHere46","18042462splitHere46","abc"
"2299splitHere46","18042462splitHere46","Thread"
"2300splitHere46","18042462splitHere46","volatile"
"2301splitHere46","18042462splitHere46","Spring"
"2302splitHere46","18042462splitHere46","volatile"
"2303splitHere46","18042462splitHere46","String"
"2304splitHere46","18042462splitHere46","abc"
"2305splitHere46","18042462splitHere46","abc"
"2306splitHere46","18042462splitHere46","abc"
"2307splitHere46","18042462splitHere46","abc"
"2308splitHere46","18042462splitHere46","abc"
"2309splitHere46","18042462splitHere46","abc=<doubleQuotes46>Hello.<doubleQuotes46>"
"2310splitHere46","18042462splitHere46","abc"
"2311splitHere46","18042462splitHere46","abc"
"2312splitHere46","18042462splitHere46","ThreadLocal"
"2313splitHere46","18042462splitHere46","ThreadLocal"
"2314splitHere46","18042462splitHere46","ThreadLocal"
"2315splitHere46","18042462splitHere46","ThreadLocal"
"2316splitHere46","18042462splitHere46","ThreadLocal"
"2317splitHere46","18042462splitHere46","ThreadLocal"
"2318splitHere46","18042462splitHere46","abc"
"2319splitHere46","18042462splitHere46","ThreadLocal"
"2320splitHere46","18042462splitHere46","abc"
"2321splitHere46","18042462splitHere46","volatile"
"2322splitHere46","18042526splitHere46","List"
"2323splitHere46","18042526splitHere46","List<String> string = new ...<newline46mondego>"
"2324splitHere46","18042526splitHere46","List<String> string = new ArrayList<String>();<newline46mondego>"
"2325splitHere46","18042526splitHere46","List"
"2326splitHere46","18042526splitHere46","ArrayList"
"2327splitHere46","18042526splitHere46","List<String> string2 = new ...<newline46mondego>"
"2328splitHere46","18042526splitHere46","List"
"2329splitHere46","18042526splitHere46","List<String> string2 = new A...<newline46mondego>"
"2330splitHere46","18042526splitHere46","ArrayList"
"2331splitHere46","18042526splitHere46","List<String> string2 = new ...<newline46mondego>"
"2332splitHere46","18042526splitHere46","List<String> string2 = new A...<newline46mondego>"
"2333splitHere46","18042526splitHere46","ArrayList"
"2334splitHere46","18042544splitHere46","int check(){<newline46mondego>int row=0;<newline46mondego>int col=0;<newline46mondego>int i;<newline46mondego>if(Unsigned(&row, &col)==0) //Move Unsigned() method code here and that's it<newline46mondego>    return 1;<newline46mondego>"
"2335splitHere46","18042544splitHere46","intObj row = new intObj();<newline46mondego>    intObj col = new intObj();<newline46mondego>"
"2336splitHere46","18042579splitHere46","OOPoint.getX();<newline46mondego>"
"2337splitHere46","18042579splitHere46","getX();<newline46mondego>"
"2338splitHere46","18042579splitHere46","getX"
"2339splitHere46","18042579splitHere46","OOPoint point = new OOPoint(2, 3); //create a new point object<newline46mondego>double x = point.getX(); //x = 2<newline46mondego>"
"2340splitHere46","18042598splitHere46","opacity"
"2341splitHere46","18042598splitHere46","private float opacity;<newline46mondego>//......<newline46mondego>public setOpacity(float opacity) {<newline46mondego>    this.opacity = opacity;<newline46mondego>}<newline46mondego><newline46mondego>public void getOpacity(){<newline46mondego>    return this.opacity<newline46mondego>}<newline46mondego>"
"2342splitHere46","18042598splitHere46","MyJButton myJbtn = new MyJButton();<newline46mondego>myJbtn.setOpacity(0.5);<newline46mondego>myJbtn.repaint();<newline46mondego>"
"2343splitHere46","18042613splitHere46","public List<Notification> getNotifications(Long id){<newline46mondego><newline46mondego>//Start the transaction<newline46mondego><newline46mondego>//do some error handling and transaction rollback<newline46mondego>User user = session.createQuery(<doubleQuotes46>from User where id = :id<doubleQuotes46>).setParameter(<doubleQuotes46>id<doubleQuotes46>, id).uniqueParameter();<newline46mondego><newline46mondego>List<Notification> notifications = new ArrayList<Notification>();<newline46mondego>for (Notification notification : user.getNotifications()){<newline46mondego>   if (notification.getDate.before(calendar.getTime()){<newline46mondego>       notifications.add(notification);<newline46mondego>   }<newline46mondego>}<newline46mondego>//commit the transaction<newline46mondego>//close the session<newline46mondego>return notifications;<newline46mondego>"
"2344splitHere46","18042681splitHere46","git merge --abort"
"2345splitHere46","18042957splitHere46","null"
"2346splitHere46","18042957splitHere46","int count=0;<newline46mondego>for(final String s : str) {<newline46mondego>   if(s != null) ++count;<newline46mondego>}<newline46mondego>"
"2347splitHere46","18042966splitHere46","return"
"2348splitHere46","18042966splitHere46","try"
"2349splitHere46","18042966splitHere46","finally"
"2350splitHere46","18042966splitHere46","null"
"2351splitHere46","18042966splitHere46","return"
"2352splitHere46","18042966splitHere46","builder"
"2353splitHere46","18042966splitHere46","builder == null"
"2354splitHere46","18042966splitHere46","builder"
"2355splitHere46","18042966splitHere46","StringBuilder builder = new StringBuilder();<newline46mondego><newline46mondego>try {<newline46mondego>    builder.append(<doubleQuotes46>John<doubleQuotes46>);<newline46mondego>    builder.append(<doubleQuotes46>Ibrahim<doubleQuotes46>);<newline46mondego>} finally {<newline46mondego>    System.out.println(<doubleQuotes46>In finaly<doubleQuotes46>);  // builder.append(<doubleQuotes46>-DarElBeida<doubleQuotes46>);<newline46mondego>    builder = null;<newline46mondego>}<newline46mondego><newline46mondego>return builder;<newline46mondego>"
"2356splitHere46","18043164splitHere46","String first = <doubleQuotes46>Hello world<doubleQuotes46>;<newline46mondego>"
"2357splitHere46","18043164splitHere46","String second = first;<newline46mondego>"
"2358splitHere46","18043164splitHere46","first = <doubleQuotes46>Something else<doubleQuotes46>;<newline46mondego>"
"2359splitHere46","18043183splitHere46","catch (FileNotFoundException e) {<newline46mondego>            System.out.println(<doubleQuotes46>Error: Could not find database/storage.<doubleQuotes46>);<newline46mondego>            System.out.println(e.getMessage()); <newline46mondego>            throw e;<newline46mondego>            }<newline46mondego>"
"2360splitHere46","18043184splitHere46","controllers.Application.displayAllBusinesses(Type: String ?= <doubleQuotes46>all<doubleQuotes46>)<newline46mondego>"
"2361splitHere46","18043184splitHere46","@form(action=routes.Application.displayAllBusinesses(<doubleQuotes46><doubleQuotes46>)){<newline46mondego> @select(formSearch(<doubleQuotes46>Type<doubleQuotes46>),options(Seq(<doubleQuotes46>Dining<doubleQuotes46>,<doubleQuotes46>Accomodation<doubleQuotes46>,<doubleQuotes46>Manufacturing<doubleQuotes46>,<doubleQuotes46>Retail<doubleQuotes46>, <doubleQuotes46>Services<doubleQuotes46>)),'_label -><doubleQuotes46>Business Type<doubleQuotes46>,'_default-><doubleQuotes46>--Select a business type--<doubleQuotes46>)<newline46mondego>"
"2362splitHere46","18043224splitHere46","final String[]  file_ext = new String[] {<doubleQuotes46>ext1<doubleQuotes46>, <doubleQuotes46>ext2<doubleQuotes46>, <doubleQuotes46>ext3<doubleQuotes46>};<newline46mondego><newline46mondego>FilenameFilter filter = new FilenameFilter() {<newline46mondego><newline46mondego>    @Override<newline46mondego>    public boolean accept(File dir, String name) {<newline46mondego>            for(int i=file_ext.length-1;i>=0;i--)<newline46mondego>                if( name.endsWith( <doubleQuotes46>.<doubleQuotes46> + file_ext[i]) )<newline46mondego>                    return true;<newline46mondego>            return false;<newline46mondego>        }<newline46mondego>    };<newline46mondego><newline46mondego>File file = new File(directoryPath);<newline46mondego>List<File> filesList = new LinkedList<File>(Arrays.asList(file.listFiles(filter)));<newline46mondego>"
"2363splitHere46","18043224splitHere46","files.notext1"
"2364splitHere46","18043224splitHere46","."
"2365splitHere46","18043291splitHere46","libs"
"2366splitHere46","18043380splitHere46","NullPointerException"
"2367splitHere46","18043380splitHere46","sendSMS(String.valueOf(selectedContax.getPhone()), <doubleQuotes46>Hi<doubleQuotes46>);<newline46mondego>"
"2368splitHere46","18043380splitHere46","selectedContax"
"2369splitHere46","18043380splitHere46","null"
"2370splitHere46","18043380splitHere46","phone"
"2371splitHere46","18043380splitHere46","null"
"2372splitHere46","18043380splitHere46","Contacts selectedContax = (Contacts) listView.getSelectedItem();<newline46mondego>"
"2373splitHere46","18043380splitHere46","null"
"2374splitHere46","18043380splitHere46","selectedContax"
"2375splitHere46","18043380splitHere46","null"
"2376splitHere46","18043380splitHere46","Contacts selectedContax = (Contacts) listView.getSelectedItem();<newline46mondego>"
"2377splitHere46","18043380splitHere46","Contacts selectedContax = (Contacts) listView.getItemAtPosition(position);<newline46mondego>"
"2378splitHere46","18043541splitHere46","enter code here`timeDiff = System.currentTimeMillis();<newline46mondego>// refresh, which takes some time I guess<newline46mondego>timeDiff = timePerFrame - (timeDiff - System.currentTimeMillis());<newline46mondego>"
"2379splitHere46","18043682splitHere46","Collections.sort(inputNodes)"
"2380splitHere46","18043682splitHere46","Arrays.sort"
"2381splitHere46","18043682splitHere46","compareTo"
"2382splitHere46","18043682splitHere46","Integer.compare"
"2383splitHere46","18043682splitHere46","public int compareTo(Node node) {<newline46mondego>   return Integer.compare(borderingNodes.length, node.borderingNodes.length);<newline46mondego>}<newline46mondego>"
"2384splitHere46","18043704splitHere46","android:layout_marginTop=<doubleQuotes46>@dimen/shortcut_height<doubleQuotes46><newline46mondego>"
"2385splitHere46","18043726splitHere46","Unidade"
"2386splitHere46","18043726splitHere46","public class UnidadeWrapper {<newline46mondego>    public Unidade[] unidade;<newline46mondego>}<newline46mondego>"
"2387splitHere46","18043777splitHere46","BoxLayout"
"2388splitHere46","18043777splitHere46","BoxLayout"
"2389splitHere46","18043777splitHere46","Component"
"2390splitHere46","18043777splitHere46","JPanel"
"2391splitHere46","18043777splitHere46","textLayout.add(lblTest_1);<newline46mondego>"
"2392splitHere46","18043777splitHere46","add(textLayout);<newline46mondego>"
"2393splitHere46","18043777splitHere46","BoxLayout"
"2394splitHere46","18043777splitHere46","null"
"2395splitHere46","18043785splitHere46","@JsonUnwrapped"
"2396splitHere46","18043785splitHere46","@JsonAnyGetter"
"2397splitHere46","18043785splitHere46","@JsonAnySetter"
"2398splitHere46","18043785splitHere46","@JsonAnySetter <newline46mondego>    public void add(String key, String value) {<newline46mondego>      map.put(key, value);<newline46mondego>    }<newline46mondego><newline46mondego>    @JsonAnyGetter<newline46mondego>    public Map<String,String> getMap() {<newline46mondego>      return map;<newline46mondego>    }<newline46mondego>"
"2399splitHere46","18043785splitHere46","add('abc','xyz')"
"2400splitHere46","18043785splitHere46","abc"
"2401splitHere46","18043785splitHere46","xyz"
"2402splitHere46","18043830splitHere46","public interface FileNameProvider {<newline46mondego>    public onNewFileName(String filename);<newline46mondego>}<newline46mondego>"
"2403splitHere46","18043830splitHere46","if (getParent() instanceof FileNameProvider)<newline46mondego>    ((FileNameProvider) getParent()).onNewFileName(filename);<newline46mondego>"
"2404splitHere46","18043830splitHere46","public interface FileNameProvider {<newline46mondego>    public void onNewFileName(String filename);<newline46mondego>}<newline46mondego><newline46mondego>@Override<newline46mondego>protected void onCreate(Bundle savedInstanceState) {<newline46mondego>    super.onCreate(savedInstanceState);<newline46mondego>    setContentView(R.layout.mylayout1);<newline46mondego>    findViewById(R.id.btn1).setOnClickListener(new View.OnClickListener() {<newline46mondego>        @Override<newline46mondego>        public void onClick(View view) {<newline46mondego>            if (getParent() instanceof FileNameProvider) {<newline46mondego>                ((FileNameProvider) getParent()).onNewFileName(<doubleQuotes46>some file name<doubleQuotes46>);<newline46mondego>            }<newline46mondego>        }<newline46mondego>    });<newline46mondego>}<newline46mondego>"
"2405splitHere46","18043830splitHere46","public void setFileName(String filename) {<newline46mondego>    Log.d(<doubleQuotes46>2<doubleQuotes46>, <doubleQuotes46>Set filename from first activity <doubleQuotes46> + filename);<newline46mondego>}<newline46mondego>"
"2406splitHere46","18043830splitHere46","public class MainActivity extends TabActivity<newline46mondego>    implements ActivityOne.FileNameProvider {<newline46mondego><newline46mondego>    @Override<newline46mondego>    protected void onCreate(Bundle savedInstanceState) {<newline46mondego>        super.onCreate(savedInstanceState);<newline46mondego>        setContentView(R.layout.activity_main);<newline46mondego>        getTabHost().addTab(getTabHost().newTabSpec(<doubleQuotes46>tab1<doubleQuotes46>)<newline46mondego>                .setContent(new Intent(this, ActivityOne.class)));<newline46mondego>        getTabHost().addTab(getTabHost().newTabSpec(<doubleQuotes46>tab2<doubleQuotes46>)<newline46mondego>                .setContent(new Intent(this, ActivityTwo.class)));<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    @Override<newline46mondego>    public void onNewFileName(String filename) {<newline46mondego>        LocalActivityManager activityManager = getLocalActivityManager();<newline46mondego>        getTabHost().setCurrentTabByTag(<doubleQuotes46>tab2<doubleQuotes46>);<newline46mondego>        ActivityTwo two = (ActivityTwo) activityManager.getActivity(<doubleQuotes46>tab2<doubleQuotes46>);<newline46mondego>        two.setFileName(filename);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2407splitHere46","18043917splitHere46","URLEncoder.encode()"
"2408splitHere46","18043917splitHere46","http://my.site/some/where?word={word}<newline46mondego>"
"2409splitHere46","18043917splitHere46","final URITemplate tmpl = new URITemplate(<doubleQuotes46>http://my.site/some/where?word={word}<doubleQuotes46>);<newline46mondego>final VariableMapBuilder builder = VariableMap.newBuilder();<newline46mondego>builder.addScalarValue(<doubleQuotes46>word<doubleQuotes46>, <doubleQuotes46>Conformément<doubleQuotes46>);<newline46mondego>tmpl.toString(builder.freeze()); // returns the correct result<newline46mondego>// Or:<newline46mondego>tmpl.toURI(builder.freeze());<newline46mondego>tmpl.toURL(builder.freeze());<newline46mondego>"
"2410splitHere46","18043969splitHere46","f(1,2);"
"2411splitHere46","18043969splitHere46","f((float)1,2);<newline46mondego>"
"2412splitHere46","18044038splitHere46","vote"
"2413splitHere46","18044038splitHere46","HttpClient"
"2414splitHere46","18044038splitHere46","HttpClient"
"2415splitHere46","18044038splitHere46","httpclient.getConnectionManager().shutdown();"
"2416splitHere46","18044114splitHere46","N"
"2417splitHere46","18044114splitHere46","N*(N-1)/2"
"2418splitHere46","18044114splitHere46","65,000"
"2419splitHere46","18044114splitHere46","int"
"2420splitHere46","18044114splitHere46","long"
"2421splitHere46","18044114splitHere46","public static long splitMerge(int[]A,int start,int mid,int finish) {<newline46mondego>    long count = 0;<newline46mondego>    ...<newline46mondego>}<newline46mondego>public static long countMerge(int []A,int start, int finish) {<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"2422splitHere46","18044227splitHere46","if((String.valueOf(guess)).indexOf(word.toUpperCase())>=0)<newline46mondego>"
"2423splitHere46","18044227splitHere46","if(word.toUpperCase().indexOf(String.valueOf(guess).toUpperCase) >=0)<newline46mondego>"
"2424splitHere46","18044227splitHere46","if(word.toUpperCase().contains(String.valueOf(guess).toUpperCase))<newline46mondego>"
"2425splitHere46","18044300splitHere46","JPanel"
"2426splitHere46","18044300splitHere46","FlowLayout"
"2427splitHere46","18044300splitHere46","vgap"
"2428splitHere46","18044300splitHere46","JPanel eastPanel = new JPanel(new FlowLayout(FlowLayout.CENTER, 5, 0));<newline46mondego>"
"2429splitHere46","18044334splitHere46","println"
"2430splitHere46","18044334splitHere46","print"
"2431splitHere46","18044334splitHere46","println"
"2432splitHere46","18044334splitHere46","\r\n"
"2433splitHere46","18044334splitHere46","PrintWriter"
"2434splitHere46","18044366splitHere46","xmlOutput.output(doc, openFileOutput(yourFilename, Context.MODE_PRIVATE));<newline46mondego>"
"2435splitHere46","18044453splitHere46","package com.me.mygdxgame.Screens;<newline46mondego><newline46mondego>import com.badlogic.gdx.Gdx;<newline46mondego>import com.badlogic.gdx.Screen;<newline46mondego>import com.badlogic.gdx.graphics.GL10;<newline46mondego>import com.badlogic.gdx.graphics.OrthographicCamera;<newline46mondego>import com.badlogic.gdx.graphics.Texture;<newline46mondego>import com.badlogic.gdx.graphics.g2d.SpriteBatch;<newline46mondego>import com.badlogic.gdx.graphics.g2d.TextureRegion;<newline46mondego>import com.badlogic.gdx.math.Vector3;<newline46mondego><newline46mondego>public class HandScreen implements Screen{<newline46mondego>    SpriteBatch batch = new SpriteBatch();<newline46mondego>    OrthographicCamera camera;<newline46mondego>    TextureRegion handRegion;<newline46mondego>    Texture handTexture;<newline46mondego>    Vector3 touchPoint = new Vector3(0,0,0);<newline46mondego>    double rotation = 0;<newline46mondego>    float width,height;<newline46mondego>    @Override<newline46mondego>    public void render(float delta) {<newline46mondego><newline46mondego>        Gdx.gl.glClear(GL10.GL_COLOR_BUFFER_BIT); <newline46mondego>        if (Gdx.input.isTouched()) {<newline46mondego>             camera.unproject(touchPoint.set(Gdx.input.getX(), Gdx.input.getY(),0));<newline46mondego><newline46mondego>             // the center of your hand<newline46mondego>             Vector3 center = new Vector3(width/2,height/2,0);<newline46mondego>             // you need a vector from the center to your touchpoint<newline46mondego>             touchPoint.sub(center); <newline46mondego>             // now convert into polar angle                             <newline46mondego>             rotation = Math.atan2(touchPoint.y, touchPoint.x);<newline46mondego>             // rotation should now be between -PI and PI<newline46mondego>             // so scale to 0..1<newline46mondego>             rotation = (rotation + Math.PI)/(Math.PI * 2); <newline46mondego>             // SpriteBatch.draw needs degrees<newline46mondego>             rotation *= 360;<newline46mondego>             // add Offset because of reasons<newline46mondego>             rotation += 90;<newline46mondego>        }<newline46mondego><newline46mondego><newline46mondego>        batch.begin();<newline46mondego>        batch.draw(handRegion, <newline46mondego>                width/2, // x, center of rotation<newline46mondego>                height/2, //y, center of rotation<newline46mondego>                0, // origin x in the texture region<newline46mondego>                0,// origin y in the texture region<newline46mondego>                10, // width<newline46mondego>                100, // height<newline46mondego>                1, // scale x<newline46mondego>                1,// scale y<newline46mondego>                (float)rotation); // rotation !          <newline46mondego>        batch.end();<newline46mondego>     } <newline46mondego><newline46mondego><newline46mondego>    @Override<newline46mondego>    public void show() {<newline46mondego>        handTexture = new Texture(Gdx.files.internal(<doubleQuotes46>img/coin.png<doubleQuotes46>));<newline46mondego>        handRegion = new TextureRegion(handTexture);<newline46mondego>        width = Gdx.graphics.getWidth();<newline46mondego>        height = Gdx.graphics.getHeight();<newline46mondego>        camera = new OrthographicCamera();       <newline46mondego>        camera.viewportHeight = height;<newline46mondego>        camera.viewportWidth = width;<newline46mondego>        camera.position.set(camera.viewportWidth * .5f, camera.viewportHeight * .5f, 0f);  <newline46mondego>        camera.update(); <newline46mondego><newline46mondego>    }<newline46mondego>    // rest of screen interface<newline46mondego>    @Override<newline46mondego>    public void hide() {<newline46mondego><newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void pause() {<newline46mondego><newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void resume() {<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void dispose() {<newline46mondego><newline46mondego><newline46mondego>    }<newline46mondego>    @Override<newline46mondego>    public void resize(int width, int height) {<newline46mondego><newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"2436splitHere46","18044489splitHere46","valueEqualsCancel =  valueEqualsCancel && value.equals(cancelWord) = TRUE && TRUE = TRUE;<newline46mondego>"
"2437splitHere46","18044489splitHere46","valueEqualsCancel =  valueEqualsCancel && value.equals(cancelWord) = TRUE && FALSE = FALSE;      <newline46mondego>"
"2438splitHere46","18044489splitHere46","String[] cancelWords = {<doubleQuotes46>cancel<doubleQuotes46>, <doubleQuotes46>nevermind<doubleQuotes46>, <doubleQuotes46>scratch that<doubleQuotes46>};<newline46mondego>boolean found = false;<newline46mondego>for(String cancelWord : cancelWords) {<newline46mondego>  found = value.equals(cancelWord);<newline46mondego>  if (found) break;<newline46mondego>}<newline46mondego>"
"2439splitHere46","18044595splitHere46","RangeValidator.range(10000000, 99999999);<newline46mondego>"
