"1splitHere46","4769825splitHere46","java -classpath . ServerMain<newline46mondego>"
"593splitHere46","4794345splitHere46","public abstract class A {<newline46mondego>  public A() {}<newline46mondego>}<newline46mondego><newline46mondego>public class B extends A {}<newline46mondego>"
"594splitHere46","4794345splitHere46","B"
"595splitHere46","4794345splitHere46","new B()"
"596splitHere46","4794345splitHere46","B"
"597splitHere46","4794345splitHere46","A"
"598splitHere46","4794345splitHere46","A"
"599splitHere46","4794345splitHere46","B"
"600splitHere46","4794345splitHere46","super()"
"601splitHere46","4794354splitHere46","HTTP POST"
"602splitHere46","4794393splitHere46","<f:ajax event=<doubleQuotes46>valueChange<doubleQuotes46> render=<doubleQuotes46>@form<doubleQuotes46> execute=<doubleQuotes46>@form<doubleQuotes46> listener=<doubleQuotes46>#{bean.updateVisibility}<doubleQuotes46>><newline46mondego>    <f:param value=<doubleQuotes46>#{id}<doubleQuotes46> name=<doubleQuotes46>myId<doubleQuotes46>><newline46mondego></f:ajax><newline46mondego>"
"603splitHere46","4794455splitHere46","<xsl:template match=<doubleQuotes46>*[name()=concat('a', 'nd')<doubleQuotes46>><newline46mondego>"
"604splitHere46","4794455splitHere46","<xsl:template match=<doubleQuotes46>*[name()=substring('land',2)<doubleQuotes46>><newline46mondego>"
"605splitHere46","4794549splitHere46","Error creating bean with name 'acceptanceChain' defined in class path resource <newline46mondego>"
"606splitHere46","4794549splitHere46","Failed to convert value of type [java.util.LinkedHashMap] to required type [boolean]<newline46mondego>"
"607splitHere46","4794709splitHere46","public interface A { void m(); }<newline46mondego><newline46mondego>public class AImpl implements A { public void m() {} }<newline46mondego><newline46mondego>public class EnqueueProxy implements java.lang.reflect.InvocationHandler {<newline46mondego><newline46mondego>    private Object obj;<newline46mondego><newline46mondego>    public static Object newInstance(Object obj) {<newline46mondego>        return java.lang.reflect.Proxy.newProxyInstance(<newline46mondego>            obj.getClass().getClassLoader(),<newline46mondego>            obj.getClass().getInterfaces(),<newline46mondego>            new EnqueueProxy(obj));<newline46mondego>    }<newline46mondego><newline46mondego>    private EnqueueProxy(Object obj) {<newline46mondego>        this.obj = obj;<newline46mondego>    }<newline46mondego><newline46mondego>    public Object invoke(Object proxy, Method m, Object[] args) throws Throwable {<newline46mondego>        try {<newline46mondego>            MethodQueue mq = ... // get the queue from where you want<newline46mondego>            mq.add(new MethodInvocation(obj, m, args)<newline46mondego>        } catch (InvocationTargetException e) {<newline46mondego>            throw e.getTargetException();<newline46mondego>        } catch (Exception e) {<newline46mondego>            throw new RuntimeException(<doubleQuotes46>unexpected invocation exception: <doubleQuotes46> + e.getMessage());<newline46mondego>        }<newline46mondego>            return null;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"608splitHere46","4794709splitHere46","A a = (A) EnqueueProxy.newInstance(new AImpl());<newline46mondego>a.m();<newline46mondego>"
"609splitHere46","4794971splitHere46","c:set"
"610splitHere46","4794971splitHere46","c:choose"
"611splitHere46","4794971splitHere46","<newline46mondego>    <c:set var=<doubleQuotes46>registered<doubleQuotes46> value=<doubleQuotes46>${not empty userEmail}<doubleQuotes46>/><newline46mondego>    <c:choose><newline46mondego>    <c:when test=<doubleQuotes46>${registered}<doubleQuotes46>><newline46mondego>    <tr class=<doubleQuotes46>1<doubleQuotes46>> This is first line for registered user</tr><newline46mondego>    </c:when><newline46mondego>    <c:otherwise><newline46mondego>    <tr class=<doubleQuotes46>1<doubleQuotes46>> This is first line</tr><newline46mondego>    </c:otherwise><newline46mondego>    </c:choose><newline46mondego>"
"612splitHere46","4794971splitHere46","c:choose"
"613splitHere46","4794971splitHere46","<newline46mondego>    <table><newline46mondego>    <tr id=<doubleQuotes46>firstRow<doubleQuotes46>></tr><newline46mondego>    ...<newline46mondego>    <tr id=<doubleQuotes46>lastRow<doubleQuotes46>></tr><newline46mondego>    </table><newline46mondego><newline46mondego>    <c:choose><newline46mondego>    <c:when test=<doubleQuotes46>${not empty userEmail}<doubleQuotes46>><newline46mondego>    <script><newline46mondego>    document.getElementById('firstRow').innerHTML = 'This is first line for registered user';<newline46mondego>    document.getElementById('lastRow').innerHTML = 'This is Fifth line for registered user';<newline46mondego>    </script><newline46mondego>    </c:when><newline46mondego>    <c:otherwise><newline46mondego>    <script><newline46mondego>    document.getElementById('firstRow').innerHTML = 'This is first line';<newline46mondego>    document.getElementById('lastRow').innerHTML = 'This is Fifth line';<newline46mondego>    </script><newline46mondego>    </c:otherwise><newline46mondego>    </c:choose><newline46mondego></pre><newline46mondego><newline46mondego><p>"
"614splitHere46","4794977splitHere46","hashCode()"
"615splitHere46","4794977splitHere46","equals(Object)"
"616splitHere46","4794977splitHere46","equals(UnorderedTuple)"
"617splitHere46","4794977splitHere46","Integer"
"618splitHere46","4794977splitHere46","equals"
"619splitHere46","4795056splitHere46","public void setWebView() {<newline46mondego>//WebViewClient is used if you want to capture stuff from the webview, like if a link was pressed<newline46mondego>                WebViewClient yourWebClient = new WebViewClient() {<newline46mondego>                    @Override<newline46mondego>                    public boolean shouldOverrideUrlLoading(WebView view, String url) {<newline46mondego>                        open_web = true;<newline46mondego>                        if (!url.startsWith(<doubleQuotes46>http://<doubleQuotes46>) && !url.startsWith(<doubleQuotes46>https://<doubleQuotes46>)) {<newline46mondego>                                url = <doubleQuotes46>http://<doubleQuotes46> + url;<newline46mondego>                        }<newline46mondego>                        Intent browserIntent = new Intent(<doubleQuotes46>android.intent.action.VIEW<doubleQuotes46>,<newline46mondego>                                Uri.parse(url));<newline46mondego>                        startActivity(browserIntent);<newline46mondego>                        return true;<newline46mondego>                    }<newline46mondego>                };<newline46mondego>                WebView wv = (WebView) findViewById(R.id.webview);<newline46mondego>                wv.setWebViewClient(yourWebClient);<newline46mondego>                String str = getHtml();<newline46mondego>                wv.loadData(str, <doubleQuotes46>text/html<doubleQuotes46>, <doubleQuotes46>utf-8<doubleQuotes46>);<newline46mondego>                wv.setBackgroundColor(0);<newline46mondego>    }<newline46mondego><newline46mondego>    boolean isAsset = false;<newline46mondego><newline46mondego>    private String getHtml(){<newline46mondego>        InputStream source = null;<newline46mondego>        if (isAsset){<newline46mondego>            source = getAssets().open(<doubleQuotes46>motd.html<doubleQuotes46>);<newline46mondego>        } else {<newline46mondego>            source = new FileInputStream(Environment.getExternalStorageDirectory() + <doubleQuotes46>motd.html<doubleQuotes46>);<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
"620splitHere46","4795147splitHere46","mvn eclipse:eclipse"
"621splitHere46","4795162splitHere46","public class Scroller extends JPanel implements Runnable{<newline46mondego>  JLabel label;<newline46mondego>  String str = <doubleQuotes46>The Message to Scroll <doubleQuotes46>;<newline46mondego><newline46mondego>  public Scroller(){<newline46mondego>    super();<newline46mondego>    label = new JLabel(str);<newline46mondego>    add(label);<newline46mondego>    Thread t = new Thread(this);<newline46mondego>    t.start();<newline46mondego>  }<newline46mondego><newline46mondego>  public void run(){<newline46mondego>    while(true){<newline46mondego>        char c = str.charAt(0);<newline46mondego>        String rest = str.substring(1);<newline46mondego>        str = rest + c;<newline46mondego>        label.setText(str);<newline46mondego>        try{<newline46mondego>            Thread.sleep(200);<newline46mondego>        }catch(InterruptedException e){}<newline46mondego>    }<newline46mondego>  }<newline46mondego> }<newline46mondego>"
"622splitHere46","4795296splitHere46","selenium.click(<doubleQuotes46>//a[@href=\<doubleQuotes46>javascript:del('FileName')\<doubleQuotes46><doubleQuotes46>)<newline46mondego>"
"623splitHere46","4795326splitHere46","Map map1;<newline46mondego>Map map2;<newline46mondego>List list2;<newline46mondego>// iterate through all of the possible keys in order<newline46mondego>for(Object possibleKey: List1) {<newline46mondego>    // If the possible ke is a key in one of the maps,<newline46mondego>    // add it to your new list.  This will preserve order.<newline46mondego>    if(map1.containsKey(possibleKey))<newline46mondego>        list2.add(map1.get(possibleKey));<newline46mondego>    else if (map2.containsKey(possibleKey))<newline46mondego>        list2.add(map2.get(possibleKey));<newline46mondego>}<newline46mondego>"
"624splitHere46","4795363splitHere46","if (myThread != null ) {<newline46mondego><newline46mondego>    Thread dummy = myThread;<newline46mondego><newline46mondego>    myThread = null;<newline46mondego><newline46mondego>    dummy.interrupt();<newline46mondego><newline46mondego>}<newline46mondego>"
"625splitHere46","4795381splitHere46","public void timerDelayRemoveView(float time, final ImageView v) {<newline46mondego>    Handler handler = new Handler(); <newline46mondego>    handler.postDelayed(new Runnable() {           <newline46mondego>        public void run() {                <newline46mondego>            v.setVisibility(View.GONE);      <newline46mondego>        }<newline46mondego>    }, time); <newline46mondego>}<newline46mondego>"
"626splitHere46","4795541splitHere46","ActionListeners"
"627splitHere46","4795541splitHere46","ActionListener[60]"
"628splitHere46","4795541splitHere46","actionListeners"
"629splitHere46","4795541splitHere46","buttonCount"
"630splitHere46","4795541splitHere46","JButton square = new JButton();<newline46mondego>square.setFont(new Font(<doubleQuotes46>Verdana<doubleQuotes46>, Font.PLAIN, 20));<newline46mondego>ActionListener bh = new button_handler();<newline46mondego>actionListeners[buttonCount++] = bh; // store the handler in an array for later<newline46mondego>square.addActionListener(bh);<newline46mondego>grid.add(square);<newline46mondego>"
"631splitHere46","4795541splitHere46","ActionListeners"
"632splitHere46","4795569splitHere46","static int extractLittleEndian4(byte[] buf, int index)<newline46mondego>{<newline46mondego>    int a = buf[index+0]&0xff, b = buf[index+1]&0xff, c = buf[index+2]&0xff, d = buf[index+3]&0xff;<newline46mondego>    return a | (b << 8) | (c << 16) | (d << 24);<newline46mondego>}<newline46mondego>"
"633splitHere46","4795673splitHere46","import java.util.ArrayList;<newline46mondego>import java.util.List;<newline46mondego><newline46mondego>import javax.xml.bind.annotation.XmlRootElement;<newline46mondego>import javax.xml.bind.annotation.adapters.XmlJavaTypeAdapter;<newline46mondego><newline46mondego>@XmlRootElement<newline46mondego>@XmlJavaTypeAdapter(MyAdapter.class)<newline46mondego>public class A {<newline46mondego><newline46mondego>    private B b;<newline46mondego>    private List<C> c;<newline46mondego><newline46mondego>    public A() {<newline46mondego>        c = new ArrayList<C>();<newline46mondego>    }<newline46mondego><newline46mondego>    public B getB() {<newline46mondego>        return b;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setB(B b) {<newline46mondego>        this.b = b;<newline46mondego>    }<newline46mondego><newline46mondego>    public List<C> getC() {<newline46mondego>        return c;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setC(List<C> c) {<newline46mondego>        this.c = c;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"634splitHere46","4795673splitHere46","import javax.xml.bind.annotation.XmlRootElement;<newline46mondego>import javax.xml.bind.annotation.adapters.XmlJavaTypeAdapter;<newline46mondego><newline46mondego>@XmlRootElement<newline46mondego>@XmlJavaTypeAdapter(MyAdapter.class)<newline46mondego>public class B {<newline46mondego><newline46mondego>}<newline46mondego>"
"635splitHere46","4795673splitHere46","import javax.xml.bind.annotation.XmlRootElement;<newline46mondego>import javax.xml.bind.annotation.adapters.XmlJavaTypeAdapter;<newline46mondego><newline46mondego>@XmlRootElement<newline46mondego>@XmlJavaTypeAdapter(MyAdapter.class)<newline46mondego>public class C {<newline46mondego><newline46mondego>}<newline46mondego>"
"636splitHere46","4795673splitHere46","import java.io.File;<newline46mondego><newline46mondego>import javax.xml.bind.JAXBContext;<newline46mondego>import javax.xml.bind.JAXBException;<newline46mondego>import javax.xml.bind.Marshaller;<newline46mondego>import javax.xml.bind.annotation.adapters.XmlAdapter;<newline46mondego><newline46mondego>public class MyAdapter extends XmlAdapter<String, Object> {<newline46mondego><newline46mondego>    private static int counter = 1; <newline46mondego><newline46mondego>    private static JAXBContext jaxbContext;<newline46mondego>    static {<newline46mondego>        try {<newline46mondego>            jaxbContext = JAXBContext.newInstance(A.class, B.class, C.class);<newline46mondego>        } catch(JAXBException e) {<newline46mondego>            throw new RuntimeException(e);<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public Object unmarshal(String v) throws Exception {<newline46mondego>        File xml = new File(v);<newline46mondego>        return jaxbContext.createUnmarshaller().unmarshal(xml);<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public String marshal(Object v) throws Exception {<newline46mondego>        String filename = counter++ + <doubleQuotes46>.xml<doubleQuotes46>;<newline46mondego>        File xml = new File(filename);<newline46mondego>        Marshaller marshaller = jaxbContext.createMarshaller();<newline46mondego>        marshaller.setProperty(Marshaller.JAXB_FORMATTED_OUTPUT, true);<newline46mondego>        marshaller.marshal(v, xml);<newline46mondego>        return filename;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"637splitHere46","4795673splitHere46","import javax.xml.bind.JAXBContext;<newline46mondego>import javax.xml.bind.Marshaller;<newline46mondego><newline46mondego>public class Demo {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        JAXBContext jc = JAXBContext.newInstance(A.class, B.class, C.class);<newline46mondego><newline46mondego>        A a = new A();<newline46mondego>        a.setB(new B());<newline46mondego>        a.getC().add(new C());<newline46mondego>        a.getC().add(new C());<newline46mondego><newline46mondego>        Marshaller marshaller = jc.createMarshaller();<newline46mondego>        marshaller.setProperty(Marshaller.JAXB_FORMATTED_OUTPUT, true);<newline46mondego>        marshaller.marshal(a, System.out);<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"638splitHere46","4795704splitHere46","public static void sortChildren(Node parent, Comparator<Node> comparator){<newline46mondego>    NodeList children = parent.getChildNodes();<newline46mondego>    if(children.getLength() == 0){<newline46mondego>        return;<newline46mondego>    }<newline46mondego>    List<Node> nodes = new ArrayList<Node>();<newline46mondego>    for(int i = 0 ; i < children.getLength() ; i++){<newline46mondego>        Node n = children.item(i);<newline46mondego>        sortChildren(n, comparator);<newline46mondego>        nodes.add(n);<newline46mondego>    }<newline46mondego>    Collections.sort(nodes, Collections.reverseOrder(comparator));<newline46mondego>    for(Node n : nodes){<newline46mondego>        parent.appendChild(n);<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public static void main(String[] args) throws Exception {<newline46mondego><newline46mondego>    Document doc = DocumentBuilderFactory.newInstance().newDocumentBuilder().parse(new File(<doubleQuotes46>file.xml<doubleQuotes46>));<newline46mondego>    Element root = doc.getDocumentElement();<newline46mondego><newline46mondego>    //sort it recursively<newline46mondego>    sortChildren(root, new DefaultNodeNameComparator());<newline46mondego><newline46mondego>    //print it out (for debugging)<newline46mondego>    OutputFormat format = new OutputFormat(doc);<newline46mondego>    format.setLineWidth(65);<newline46mondego>    format.setIndenting(true);<newline46mondego>    format.setIndent(2);<newline46mondego>    Writer out = new StringWriter();<newline46mondego>    XMLSerializer serializer = new XMLSerializer(out, format);<newline46mondego>    serializer.serialize(doc);<newline46mondego>    System.out.println(out.toString());<newline46mondego>}<newline46mondego><newline46mondego>class DefaultNodeNameComparator implements Comparator<Node> {<newline46mondego>    public int compare(Node arg0, Node arg1) {<newline46mondego>        return arg0.getNodeName().compareTo(arg1.getNodeName());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"639splitHere46","4795847splitHere46","extends TestCase"
"640splitHere46","4795847splitHere46","Window > Preferences > Java > JUnit"
"641splitHere46","4795847splitHere46","junit4"
"642splitHere46","4795847splitHere46","junit3"
"643splitHere46","4795847splitHere46","Right Click on project > Properties > Java Build Path > Libraries"
"644splitHere46","4795847splitHere46","Remove"
"645splitHere46","4795847splitHere46","Add Library..."
"646splitHere46","4795847splitHere46","mvn install"
"647splitHere46","4795936splitHere46","arg.getClass();"
"648splitHere46","4795936splitHere46","arg.getClass()"
"649splitHere46","4795936splitHere46","arg.getClass(); // null check<newline46mondego>"
"650splitHere46","4795936splitHere46","assert"
"651splitHere46","4795936splitHere46","assert param > 0;"
"652splitHere46","4795936splitHere46","IllegalArgumentException"
"653splitHere46","4795936splitHere46","if (param == null)   throw new IllegalArgumentException(<doubleQuotes46>param cannot be null<doubleQuotes46>);"
"654splitHere46","4795936splitHere46","if (getChild() == null)   throw new NullPointerException(<doubleQuotes46>node must have children<doubleQuotes46>);"
"655splitHere46","4795936splitHere46","null"
"656splitHere46","4795936splitHere46","null"
"657splitHere46","4795936splitHere46","@NonNull"
"658splitHere46","4795936splitHere46","@Nullable"
"659splitHere46","4796235splitHere46","id"
"660splitHere46","4796235splitHere46","$ id -u jigar"
"661splitHere46","4796235splitHere46","try {<newline46mondego>    String userName = System.getProperty(<doubleQuotes46>user.name<doubleQuotes46>);<newline46mondego>    String command = <doubleQuotes46>id -u <doubleQuotes46>+userName;<newline46mondego>    Process child = Runtime.getRuntime().exec(command);<newline46mondego><newline46mondego>    // Get the input stream and read from it<newline46mondego>    InputStream in = child.getInputStream();<newline46mondego>    int c;<newline46mondego>    while ((c = in.read()) != -1) {<newline46mondego>        process((char)c);<newline46mondego>    }<newline46mondego>    in.close();<newline46mondego>} catch (IOException e) {<newline46mondego>}<newline46mondego>"
"662splitHere46","4796366splitHere46","1 + monthlyRate"
"663splitHere46","4796366splitHere46","1.0583..."
"664splitHere46","4796366splitHere46","1.00583"
"665splitHere46","4796742splitHere46","@ParentPackage(<doubleQuotes46>json-default<doubleQuotes46>)<newline46mondego>@Result(type = <doubleQuotes46>json<doubleQuotes46>, params = {<newline46mondego>        <doubleQuotes46>excludeProperties<doubleQuotes46>,<newline46mondego>        <doubleQuotes46>^inventoryHistory\\[\\d+\\]\\.intrnmst, selectedTransactionNames, transactionNames<doubleQuotes46><newline46mondego>    })<newline46mondego>public class InventoryHistoryAction extends ActionSupport {<newline46mondego>...<newline46mondego>"
"666splitHere46","4796742splitHere46","\\ <newline46mondego>"
"667splitHere46","4796874splitHere46","DecimalFormat"
"668splitHere46","4796874splitHere46","Double.parseDouble()"
"669splitHere46","4796874splitHere46","DecimalFormat"
"670splitHere46","4796874splitHere46","DecimalFormat df=new DecimalFormat(<doubleQuotes46>0.00<doubleQuotes46>);<newline46mondego>String formate = df.format(value); <newline46mondego>double finalValue = (Double)df.parse(formate) ;<newline46mondego>"
"671splitHere46","4796874splitHere46","double finalValue = Math.round( value * 100.0 ) / 100.0;<newline46mondego>"
"672splitHere46","4797104splitHere46","HEADER='--header Content-Type:application/json'<newline46mondego>URL='http://localhost:<port>/methodName'<newline46mondego>curl --data-binary request.json ${HEADER} ${URL} -D response.txt<newline46mondego>"
"673splitHere46","4797104splitHere46","{<doubleQuotes46>userName<doubleQuotes46>:<doubleQuotes46>test<doubleQuotes46>,<doubleQuotes46>timestamp<doubleQuotes46>:<doubleQuotes46>2010-08-05T11:35:32.982-0800<doubleQuotes46>,<doubleQuotes46>userId<doubleQuotes46>:<doubleQuotes46>0982<doubleQuotes46>}<newline46mondego>"
"674splitHere46","4797104splitHere46","return Response.status(Status.OK).entity(responseString).build();<newline46mondego>"
"675splitHere46","4797104splitHere46","import javax.ws.rs.core.Response;<newline46mondego>import javax.ws.rs.core.Response.Status;<newline46mondego>"
"676splitHere46","4797161splitHere46","Set"
"677splitHere46","4797161splitHere46","contains()"
"678splitHere46","4797161splitHere46","Scanner scan = new Scanner(System.in);<newline46mondego>language = scan.next();<newline46mondego>while(!set.contains(language)) {<newline46mondego>    System.out.print(<doubleQuotes46>error!<doubleQuotes46>);<newline46mondego>    language = scan.next();<newline46mondego>}<newline46mondego>"
"679splitHere46","4797161splitHere46","Set"
"680splitHere46","4797161splitHere46","Set<String> set = new HashSet<String>();<newline46mondego>// will not add another entry if set contains language already<newline46mondego>set.add(language);<newline46mondego>"
"681splitHere46","4797208splitHere46","tools.jar"
"682splitHere46","4797208splitHere46","tools.jar"
"683splitHere46","4797245splitHere46","<bean id=<doubleQuotes46>contextSource1<doubleQuotes46> class=<doubleQuotes46>xxx.LdapContextSource<doubleQuotes46> lazy-init=<doubleQuotes46>true<doubleQuotes46>/><newline46mondego>"
"684splitHere46","4797375splitHere46","producer/consumer"
"685splitHere46","4797375splitHere46","SwingWorker"
"686splitHere46","4797375splitHere46","java.concurrency"
"687splitHere46","4797421splitHere46","List<Pair<String, Integer>> list = new ArrayList<Pair<String, Integer>><newline46mondego>"
"688splitHere46","4797421splitHere46","Pair"
"689splitHere46","4797421splitHere46","class Pair<E, F> {<newline46mondego>    public E one;<newline46mondego>    public F two;<newline46mondego>}<newline46mondego>"
"690splitHere46","4797723splitHere46","uc = url.openConnection();<newline46mondego>        uc.addRequestProperty(<doubleQuotes46>User-Agent<doubleQuotes46>, <newline46mondego>        <doubleQuotes46>Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)<doubleQuotes46>);<newline46mondego><newline46mondego>        uc.connect();<newline46mondego>        //uc.getInputStream();<newline46mondego>"
"691splitHere46","4797959splitHere46","HTTP GET"
"692splitHere46","4797989splitHere46","#{include}"
"693splitHere46","4797989splitHere46","#{extends}"
"694splitHere46","4797989splitHere46","@Before<newline46mondego>private static void commonData() {<newline46mondego>    // do your logic here<newline46mondego>    renderArgs.put(<doubleQuotes46>menu<doubleQuotes46>, menu);<newline46mondego>    renderArgs.put(<doubleQuotes46>selected<doubleQuotes46>, selectedMenuItem);<newline46mondego>}<newline46mondego>"
"695splitHere46","4798209splitHere46","<context>/service/master"
"696splitHere46","4798209splitHere46","master"
"697splitHere46","4798734splitHere46","public class MyClass1 implements Interface1 {<newline46mondego>   public void call1() {}<newline46mondego>   public call call2() {}<newline46mondego>}<newline46mondego><newline46mondego>public class MyClass2 implements Interface2 {<newline46mondego>   public void call3() {}<newline46mondego>   public void call4() {}<newline46mondego>}<newline46mondego><newline46mondego>public class MyClass {<newline46mondego>   private MyClass1 a;<newline46mondego>   private MyCLass2 b;<newline46mondego>   //calling methods call1 call2 call3 and call4 in other methods of this class<newline46mondego>   ...<newline46mondego>   ...<newline46mondego>}<newline46mondego>"
"698splitHere46","4798758splitHere46","setScale(int scale, int roundingMode)"
"699splitHere46","4798758splitHere46","setScale(int scale)"
"700splitHere46","4798758splitHere46","setScale(int newScale, RoundingMode roundingMode)"
"701splitHere46","4798758splitHere46","setScale(int newScale, RoundingMode roundingMode)"
"702splitHere46","4798758splitHere46","setScale(int scale, int roundingMode)"
"703splitHere46","4798758splitHere46","roundingMode"
"704splitHere46","4798758splitHere46","BigDecimal"
"705splitHere46","4798758splitHere46","RoundingMode"
"706splitHere46","4798758splitHere46","RoundingMode.CEILING"
"707splitHere46","4798758splitHere46","BigDecimal.ROUND_CEILING"
"708splitHere46","4798810splitHere46","Dim bi As New System.Numerics.BigInteger(12345)<newline46mondego>    Dim c As Char<newline46mondego>    Dim s As Long<newline46mondego><newline46mondego>    s = 0<newline46mondego><newline46mondego>    For Each c In bi.ToString()<newline46mondego>        s = s + Integer.Parse(c.ToString())<newline46mondego>    Next<newline46mondego>"
"709splitHere46","4798810splitHere46","Dim bi As New System.Numerics.BigInteger(12345)<newline46mondego>    Dim s As Long<newline46mondego>    Dim r As Integer<newline46mondego><newline46mondego>    s = 0<newline46mondego><newline46mondego>    While bi <> 0<newline46mondego>        r = bi Mod 10<newline46mondego>        s = s + r<newline46mondego>        bi = bi / 10<newline46mondego>    End While<newline46mondego>"
"710splitHere46","4798970splitHere46","threadCounter.incrementAndGet()"
"711splitHere46","4798970splitHere46","for (int i = 0; i < THREAD_COUNT; i++) {<newline46mondego>    final int threadCount = i;<newline46mondego>"
"712splitHere46","4799162splitHere46","${sessionScope['scopedTarget.userSession'].firstName}<newline46mondego>"
"713splitHere46","4799190splitHere46","findInLine()"
"714splitHere46","4799190splitHere46","findWithinHorizon()"
"715splitHere46","4799190splitHere46","findWithinHorizion()"
"716splitHere46","4799190splitHere46","Scanner s = new Scanner(<doubleQuotes46>-123456abcd9876az45678<doubleQuotes46>);<newline46mondego>Pattern num = Pattern.compile(<doubleQuotes46>[+-]?\\d+<doubleQuotes46>);<newline46mondego>Pattern letters = Pattern.compile(<doubleQuotes46>[A-Za-z]+<doubleQuotes46>);<newline46mondego>System.out.println(s.findWithinHorizon(num, 0));<newline46mondego>String str;<newline46mondego>while ((str = s.findWithinHorizon(letters, 0)) != null) {<newline46mondego>    System.out.println(str);<newline46mondego>    System.out.println(s.findWithinHorizon(num, 0));<newline46mondego>}<newline46mondego>"
"717splitHere46","4799242splitHere46","InputSource"
"718splitHere46","4799242splitHere46","xmlns=<doubleQuotes46>http://www.w3.org/1999/xhtml<doubleQuotes46>"
"719splitHere46","4799242splitHere46","EntityResolver"
"720splitHere46","4799242splitHere46","DocumentBuilder"
"721splitHere46","4799242splitHere46","setEntityResolver"
"722splitHere46","4799242splitHere46","try {<newline46mondego>    DocumentBuilderFactory dbFactory = DocumentBuilderFactory.newInstance();<newline46mondego>    DocumentBuilder db = dbFactory.newDocumentBuilder();<newline46mondego>    db.setEntityResolver(new EntityResolver() {<newline46mondego><newline46mondego>        @Override<newline46mondego>        public InputSource resolveEntity(String publicId, String systemId) throws SAXException, IOException {<newline46mondego>            return null; // Never resolve any IDs<newline46mondego>        }<newline46mondego>    });<newline46mondego><newline46mondego>    System.out.println(<doubleQuotes46>BUILDING DOM<doubleQuotes46>);<newline46mondego><newline46mondego>    Document doc = db.parse(new FileInputStream(<doubleQuotes46>/home/pd/XSLT/wordpress.xml<doubleQuotes46>));<newline46mondego><newline46mondego>    ByteArrayOutputStream outputStream = new ByteArrayOutputStream();<newline46mondego><newline46mondego>    TransformerFactory tFactory = TransformerFactory.newInstance();<newline46mondego>    Transformer transformer = tFactory.newTransformer(<newline46mondego>        new StreamSource(<doubleQuotes46>/home/pd/XSLT/transf.xslt<doubleQuotes46>));<newline46mondego><newline46mondego>    System.out.println(<doubleQuotes46>RUNNING TRANSFORM<doubleQuotes46>);<newline46mondego><newline46mondego>    transformer.transform(<newline46mondego>            new DOMSource(doc.getDocumentElement()),<newline46mondego>            new StreamResult(outputStream));<newline46mondego><newline46mondego>    System.out.println(<doubleQuotes46>TRANSFORMED CONTENTS BELOW<doubleQuotes46>);<newline46mondego>    System.out.println(outputStream.toString());<newline46mondego>} catch (Exception e) {<newline46mondego>    e.printStackTrace();<newline46mondego>}<newline46mondego>"
"723splitHere46","4799242splitHere46","SAXSource"
"724splitHere46","4799242splitHere46","XMLReader"
"725splitHere46","4799248splitHere46","HttpClient"
"726splitHere46","4799248splitHere46","URLConnection"
"727splitHere46","4799248splitHere46","HttpUrlConnection"
"728splitHere46","4799248splitHere46","HttpClient"
"729splitHere46","4799248splitHere46","HttpClient"
"730splitHere46","4799248splitHere46","HttpClient"
"731splitHere46","4799277splitHere46","@Controller"
"732splitHere46","4799277splitHere46","@RequestMapping"
"733splitHere46","4799277splitHere46","@NotNull"
"734splitHere46","4799277splitHere46","@Target"
"735splitHere46","4799467splitHere46","DatagramSocket"
"736splitHere46","4799467splitHere46","SRV"
