"1splitHere46","4308085splitHere46","msg.setRecipients()"
"1698splitHere46","4361727splitHere46","int n = p.length-1;<newline46mondego>"
"1699splitHere46","4361727splitHere46","while (f < n) {<newline46mondego>"
"1700splitHere46","4361929splitHere46","char[ ] baz = (char[ ])bar.get(new StringBuilder( ));<newline46mondego>"
"1701splitHere46","4361929splitHere46","foo"
"1702splitHere46","4361939splitHere46","//SubActivity onCreate<newline46mondego>@Override<newline46mondego>protected void onCreate(Bundle savedInstanceState) {<newline46mondego>    super.onCreate(savedInstanceState);<newline46mondego>    setContentView(R.layout.main);<newline46mondego>    Button btn = (Button) findViewById(R.id.Button01);<newline46mondego>    btn.setOnClickListener(new OnClickListener() {<newline46mondego><newline46mondego>        @Override<newline46mondego>        public void onClick(View v) {<newline46mondego>            SharedPreferences prefs = getSharedPreferences(TestPreferenceActivity.PREFS_FILE, MODE_WORLD_READABLE);<newline46mondego>            prefs.edit().putString(<doubleQuotes46>mykey<doubleQuotes46>, <doubleQuotes46>someValue<doubleQuotes46>).commit();<newline46mondego>            finish();<newline46mondego>        }});<newline46mondego>}<newline46mondego><newline46mondego>//PreferenceActivity onResume<newline46mondego>@Override<newline46mondego>protected void onResume() {<newline46mondego>    Log.d(TAG, <doubleQuotes46>Preferences Resumed<doubleQuotes46>);<newline46mondego>    //Check for new Preference Values<newline46mondego>    SharedPreferences prefs = getSharedPreferences(PREFS_FILE, MODE_WORLD_READABLE);<newline46mondego>    String value = prefs.getString(<doubleQuotes46>mykey<doubleQuotes46>, <doubleQuotes46>defValue<doubleQuotes46>);<newline46mondego>    Log.d(TAG, <doubleQuotes46>Current value is: <doubleQuotes46> + value);<newline46mondego>    super.onResume();<newline46mondego>}<newline46mondego>"
"1703splitHere46","4361992splitHere46","FileWriter(file, true)"
"1704splitHere46","4361992splitHere46","Writer"
"1705splitHere46","4361992splitHere46","CharacterFile = new PrintWriter(new FileWriter(new File(CurrentLine[3])));<newline46mondego>"
"1706splitHere46","4362163splitHere46","@JsonAutoDetect"
"1707splitHere46","4362163splitHere46","@JsonProperty"
"1708splitHere46","4362312splitHere46","i"
"1709splitHere46","4362312splitHere46","Alien alien[i]"
"1710splitHere46","4362312splitHere46","setInfo()"
"1711splitHere46","4362312splitHere46","type1"
"1712splitHere46","4362312splitHere46","type"
"1713splitHere46","4362314splitHere46","<% java.util.Enumeration names = request.getParameterNames();<newline46mondego>    while(names.hasMoreElements()){<newline46mondego>        out.println(names.nextElement() + <doubleQuotes46><newline46mondego><doubleQuotes46>);<newline46mondego>    }<newline46mondego>    %><newline46mondego>"
"1714splitHere46","4362323splitHere46","public ContainerRequest filter(ContainerRequest req);<newline46mondego>"
"1715splitHere46","4362323splitHere46","<init-param><newline46mondego>  <param-name>com.sun.jersey.spi.container.ContainerRequestFilters</param-name><newline46mondego>  <param-value>path.to.filtering.class</param-value><newline46mondego></init-param><newline46mondego>"
"1716splitHere46","4362490splitHere46","jar tvf ..."
"1717splitHere46","4362516splitHere46","SimpleDateFormat#setLenient()"
"1718splitHere46","4362516splitHere46","false"
"1719splitHere46","4362516splitHere46","SimpleDateFormat df = new SimpleDateFormat(<doubleQuotes46>dd:MM:yyyy<doubleQuotes46>); <newline46mondego>df.setLenient(false);<newline46mondego>Date date = df.parse(dateRelease);<newline46mondego>"
"1720splitHere46","4362516splitHere46","ParseException"
"1721splitHere46","4362539splitHere46","import java.io.FileWriter;<newline46mondego>  import java.io.IOException;  <newline46mondego>  public class TestClass {<newline46mondego>      public static String newLine = System.getProperty(<doubleQuotes46>line.separator<doubleQuotes46>);<newline46mondego>      public static void main(String[] a) {<newline46mondego>        FileWriter writer;<newline46mondego>        try {<newline46mondego>          writer = new FileWriter(<doubleQuotes46>test.txt<doubleQuotes46>);<newline46mondego>          for(int i=0;i<3;i++){<newline46mondego>            writer.write(row+i+newLine);<newline46mondego>          }<newline46mondego>          writer.close();<newline46mondego>        } catch (IOException e) {<newline46mondego>          e.printStackTrace();<newline46mondego>        }<newline46mondego><newline46mondego>      }<newline46mondego>    }<newline46mondego>"
"1722splitHere46","4362617splitHere46","B.a.foo()"
"1723splitHere46","4362617splitHere46","A a = b.a;<newline46mondego>a.foo();<newline46mondego>"
"1724splitHere46","4362617splitHere46","public void fooA(A aToFoo) { aToFoo.foo(); }<newline46mondego><newline46mondego>public void whatever(B someB) { fooA(someB.a); }<newline46mondego>"
"1725splitHere46","4362669splitHere46","<t:saveState>"
"1726splitHere46","4362669splitHere46","<t:saveState value=<doubleQuotes46>#{bean}<doubleQuotes46> /><newline46mondego>"
"1727splitHere46","4362907splitHere46","new File(<doubleQuotes46>/path/to/folder<doubleQuotes46>).listFiles().length<newline46mondego>"
"1728splitHere46","4363063splitHere46","NullPointerException"
"1729splitHere46","4363063splitHere46","integers"
"1730splitHere46","4363063splitHere46","integers.clear()"
"1731splitHere46","4363063splitHere46","NullPointerException"
"1732splitHere46","4363063splitHere46","integers = new ArrayList<Integer>();<newline46mondego>"
"1733splitHere46","4363063splitHere46","integers.clear();"
"1734splitHere46","4363140splitHere46","//declare a map to hold your characters and their counters<newline46mondego> Map<String,Integer> charCounter = new HashMap<String,Integer>();<newline46mondego> //the following if else logic goes when you are looping through your tokens<newline46mondego>    if(charCounter.containsKey(<your character>)){<newline46mondego>           charCounter.put(<your character>,charCounter.get(<your character>)+1);<newline46mondego>    }else{<newline46mondego>          charCounter.put(<your character>,1);<newline46mondego>    }<newline46mondego>"
"1735splitHere46","4363140splitHere46","for(String key : charCounter.keySet()) {<newline46mondego>            System.out.println(key+<doubleQuotes46> <doubleQuotes46>+charCounter.get(key));<newline46mondego>}<newline46mondego>"
"1736splitHere46","4363200splitHere46","new File(<doubleQuotes46>/path/to/file<doubleQuotes46>).length()"
"1737splitHere46","4363212splitHere46","new File(<doubleQuotes46>/path/to/file<doubleQuotes46>).lastModified()"
"1738splitHere46","4363254splitHere46","public class Config {<newline46mondego><newline46mondego>    private static final Properties PROPERTIES = new Properties();<newline46mondego><newline46mondego>    static {<newline46mondego>        try {<newline46mondego>            PROPERTIES.load(Thread.currentThread().getContextClassLoader().getResourceAsStream(<doubleQuotes46>config.properties<doubleQuotes46>));<newline46mondego>        } catch (IOException e) {<newline46mondego>            throw new ExceptionInInitializerError(<doubleQuotes46>Loading config file failed.<doubleQuotes46>, e);<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    public static String getProperty(String key) {<newline46mondego>        return PROPERTIES.getProperty(key);<newline46mondego>    }<newline46mondego><newline46mondego>    // ...<newline46mondego>}<newline46mondego>"
"1739splitHere46","4363284splitHere46","FileSystemView.getSystemIcon( File );<newline46mondego>"
"1740splitHere46","4363296splitHere46","<shared-cache-mode>NONE</shared-cache-mode>"
"1741splitHere46","4363389splitHere46","foreach (Phone phone : student.getStudentPhoneNumbers()) {<newline46mondego>    phone.setStudent(student);<newline46mondego>}<newline46mondego>"
"1742splitHere46","4363389splitHere46","public void addPhoneNumber(Phone phone) {<newline46mondego>    phone.setStudent(this);<newline46mondego>    getStudentPhoneNumbers().add(phone);<newline46mondego>}<newline46mondego>public void addPhoneNumber(String type, String number) {<newline46mondego>    addPhoneNumber(new Phone(type, number));<newline46mondego>}<newline46mondego>"
"1743splitHere46","4363389splitHere46","student.addPhoneNumber(<doubleQuotes46>home<doubleQuotes46>, <doubleQuotes46>12354<doubleQuotes46>)"
"1744splitHere46","4363724splitHere46","ch = char_array[i]; <newline46mondego>if(charCounter.containsKey(ch)){<newline46mondego>     charCounter.put(ch, charCounter.get(ch)+1);<newline46mondego>}<newline46mondego>else<newline46mondego>{<newline46mondego>    charCounter.put(ch, 1);<newline46mondego>}<newline46mondego>"
"1745splitHere46","4363779splitHere46","ListView myList = (ListView)findViewById(R.id.myListView)<newline46mondego>"
"1746splitHere46","4363779splitHere46","Class myListActivity extends Activity{<newline46mondego>... some code here...<newline46mondego>public void onCreate(Bundle savedInstanceState){<newline46mondego>.....<newline46mondego>myList.setAdapter(new myCustomAdapter());<newline46mondego>.....<newline46mondego>}<newline46mondego><newline46mondego>/**<newline46mondego>*Custom Adapter class for the ListView containing data<newline46mondego>*/<newline46mondego>class myCustomAdapter extends BaseAdapter{<newline46mondego><newline46mondego>TextView userName;<newline46mondego>/**<newline46mondego> * returns the count of elements in the Array that is used to draw the text in rows <newline46mondego>   * @see android.widget.Adapter#getCount()<newline46mondego> */<newline46mondego>@Override<newline46mondego>public int getCount() {<newline46mondego>    //return the length of the data array, so that the List View knows how much rows it has to draw   <newline46mondego>return DataArr.length;<newline46mondego>}<newline46mondego><newline46mondego>/**<newline46mondego> * @param position The position of the row that was clicked (0-n)<newline46mondego> * @see android.widget.Adapter#getItem(int)<newline46mondego>                     */<newline46mondego>@Override<newline46mondego>public String getItem(int position) {<newline46mondego>    return null;<newline46mondego>}<newline46mondego><newline46mondego>/**<newline46mondego> * @param position The position of the row that was clicked (0-n)<newline46mondego> * @see android.widget.Adapter#getItemId(int)<newline46mondego> */<newline46mondego>@Override<newline46mondego>public long getItemId(int position) {<newline46mondego>    return position;<newline46mondego>}<newline46mondego><newline46mondego>/**<newline46mondego> * Returns the complete row that the System draws.<newline46mondego> * It is called every time the System needs to draw a new row;<newline46mondego> * You can control the appearance of each row inside this function.<newline46mondego> * @param position The position of the row that was clicked (0-n)<newline46mondego> * @param convertView The View object of the row that was last created. null if its the first row<newline46mondego> * @param parent The ViewGroup object of the parent view<newline46mondego> * @see android.widget.Adapter#getView(int, android.view.View, android.view.ViewGroup)<newline46mondego> */<newline46mondego>@Override<newline46mondego>public View getView(int position, View convertView, ViewGroup parent) {<newline46mondego>    View row = convertView;<newline46mondego>    final int pos = position;<newline46mondego>    if(row == null){<newline46mondego>                    //getting custom layout to the row<newline46mondego>        LayoutInflater inflater=getLayoutInflater();<newline46mondego>        row=inflater.inflate(R.layout.list_row, parent, false);<newline46mondego>    }<newline46mondego>            //get the reference to the textview of your row. find the item with row.findViewById()<newline46mondego>    userName= (TextView)row.findViewById(R.id.user_name);<newline46mondego>    userName.setText(DataArr[position]);<newline46mondego>return row; //the row that ListView draws<newline46mondego>}<newline46mondego>}<newline46mondego>}<newline46mondego>"
"1747splitHere46","4363903splitHere46","List list = list.getAList();<newline46mondego>list.add(whatever);<newline46mondego>"
"1748splitHere46","4363903splitHere46","getAList()"
"1749splitHere46","4363903splitHere46","List"
"1750splitHere46","4363903splitHere46","add()"
"1751splitHere46","4363903splitHere46","if"
"1752splitHere46","4363903splitHere46","else"
"1753splitHere46","4363903splitHere46","divide-by-zero"
"1754splitHere46","4363903splitHere46","n/m"
"1755splitHere46","4363903splitHere46","m"
"1756splitHere46","4363903splitHere46","0"
"1757splitHere46","4363903splitHere46","ArithmeticException"
"1758splitHere46","4363903splitHere46","m"
"1759splitHere46","4363987splitHere46","class School {<newline46mondego>   private List<Student> students;<newline46mondego>}<newline46mondego>"
"1760splitHere46","4363987splitHere46","public boolean hasStudents() {<newline46mondego>    return students.size() > 0;<newline46mondego>}<newline46mondego>"
"1761splitHere46","4364308splitHere46","abstract class Command {<newline46mondego>    final public void execute(){<newline46mondego>          run();<newline46mondego>          onComplete();<newline46mondego>    }<newline46mondego>    protected abstract void run();<newline46mondego>    protected abstract void onComplete();<newline46mondego>}<newline46mondego>//usage<newline46mondego>abstract class HiCommand extends Command {<newline46mondego>    protected void run(){<newline46mondego>        System.out.println(<doubleQuotes46>Hi, <doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>    protected abstract void onComplete();<newline46mondego>}<newline46mondego><newline46mondego>new HiCommand(){<newline46mondego>    @Override<newline46mondego>    protected void onComplete() {<newline46mondego>        System.out.println(<doubleQuotes46>world<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}.execute();<newline46mondego>"
"1762splitHere46","4364308splitHere46","interface WhenDone{<newline46mondego>    void onComplete();<newline46mondego>}<newline46mondego><newline46mondego>abstract class Command {<newline46mondego>    private final WhenDone callback;<newline46mondego>    protected Command(WhenDone callback){<newline46mondego>        this.callback = callback;<newline46mondego>    }<newline46mondego>    final public void execute(){<newline46mondego>          run();<newline46mondego>          callback.onComplete();<newline46mondego>    }<newline46mondego>    protected abstract void run();<newline46mondego>}<newline46mondego>//usage<newline46mondego>class PrintHi extends Command {<newline46mondego>    protected PrintHi(WhenDone callback){<newline46mondego>        super(callback);<newline46mondego>    }<newline46mondego><newline46mondego>    protected void run(){<newline46mondego>        System.out.println(<doubleQuotes46>Hi, <doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class PrintWorld implements WhenDone {<newline46mondego>    public void onComplete(){<newline46mondego>        System.out.println(<doubleQuotes46>world!<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego>//somewhere<newline46mondego>new PrintHi(new PrintWorld()).execute();<newline46mondego>"
"1763splitHere46","4364308splitHere46","CommandManager"
"1764splitHere46","4364400splitHere46","return (2*zweiHochPositiv(exponent--));<newline46mondego>"
"1765splitHere46","4364400splitHere46","return (2*zweiHochPositiv(exponent - 1));<newline46mondego>"
"1766splitHere46","4364400splitHere46","exponent--"
"1767splitHere46","4364400splitHere46","exponent"
"1768splitHere46","4364400splitHere46","zweiHochPositiv(1)"
"1769splitHere46","4364400splitHere46","zweiHochPositiv(1)"
"1770splitHere46","4364473splitHere46","EventList list = (EventList)PIM.getInstance().openPIMList(PIM.EVENT_LIST, PIM.READ_WRITE);<newline46mondego>"
"1771splitHere46","4364473splitHere46","items(int searchType, long startDate, long endDate, boolean initialEventOnly)"
"1772splitHere46","4364473splitHere46","for(Enumeration e = list.items(EventList.STARTING, startDate, endDate, false); e.hasMoreElements; ) {<newline46mondego>    Event event = (Event)e.nextElement();<newline46mondego>    if (sholdBeChanged()) {<newline46mondego>        Event event2 = list.createEvent();<newline46mondego>        // initialize fields of event2. Probably copy them from event<newline46mondego>        list.removeEvent(event);<newline46mondego>        break;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1773splitHere46","4364683splitHere46","<mvc:annotation-driven/><newline46mondego><mvc:interceptors><newline46mondego>    <bean id=<doubleQuotes46>webContentInterceptor<doubleQuotes46> <newline46mondego>          class=<doubleQuotes46>org.springframework.web.servlet.mvc.WebContentInterceptor<doubleQuotes46>><newline46mondego>        <property name=<doubleQuotes46>cacheSeconds<doubleQuotes46> value=<doubleQuotes46>0<doubleQuotes46>/><newline46mondego>        <property name=<doubleQuotes46>useExpiresHeader<doubleQuotes46> value=<doubleQuotes46>true<doubleQuotes46>/><newline46mondego>        <property name=<doubleQuotes46>useCacheControlHeader<doubleQuotes46> value=<doubleQuotes46>true<doubleQuotes46>/><newline46mondego>        <property name=<doubleQuotes46>useCacheControlNoStore<doubleQuotes46> value=<doubleQuotes46>true<doubleQuotes46>/><newline46mondego>    </bean><newline46mondego></mvc:interceptors><newline46mondego>"
"1774splitHere46","4364683splitHere46","@ResponseBody"
"1775splitHere46","4364683splitHere46","@ResponseStatus"
"1776splitHere46","4364684splitHere46","}else if(exponent < 0){<newline46mondego>         return ((1/(basis*hoch(basis, exponent+1))))<newline46mondego>"
"1777splitHere46","4364684splitHere46","}else if(exponent < 0){<newline46mondego>        return (1/hoch(basis, -exponent));<newline46mondego>"
"1778splitHere46","4364797splitHere46","//@ ensures size_ == null ==> \result == true;<newline46mondego>"
"1779splitHere46","4364797splitHere46","//@ ensures size_ == null ==> \result == true;<newline46mondego>public boolean sizeUndefined() {<newline46mondego>    if (size_ == null)<newline46mondego>        return true;<newline46mondego><newline46mondego>    return size_.length() > 0;<newline46mondego>}<newline46mondego>"
"1780splitHere46","4364797splitHere46","//@ ensures size_ == null ==> \result;<newline46mondego>"
"1781splitHere46","4364797splitHere46","\result"
"1782splitHere46","4364797splitHere46","\result"
"1783splitHere46","4364837splitHere46","FileInputStream"
"1784splitHere46","4364837splitHere46","NullPointerException"
"1785splitHere46","4364837splitHere46","File"
"1786splitHere46","4364837splitHere46","null"
"1787splitHere46","4365001splitHere46","public class AnnotationContextFactory implements FactoryBean<ApplicationContext> {<newline46mondego><newline46mondego>private String[] packages;<newline46mondego>private ApplicationContext parent;<newline46mondego><newline46mondego>@Override<newline46mondego>public ApplicationContext getObject() throws Exception {<newline46mondego>    AnnotationConfigApplicationContext context = new AnnotationConfigApplicationContext();<newline46mondego>    context.setParent(parent);<newline46mondego>    context.scan(packages);<newline46mondego>    context.refresh();<newline46mondego>    return context;<newline46mondego>}<newline46mondego><newline46mondego>@Override<newline46mondego>public Class<ApplicationContext> getObjectType() {<newline46mondego>    return ApplicationContext.class;<newline46mondego>}<newline46mondego><newline46mondego>@Override<newline46mondego>public boolean isSingleton() {<newline46mondego>    return true;<newline46mondego>}<newline46mondego><newline46mondego>public void setPackages(String... args) {<newline46mondego>    this.packages = args;<newline46mondego>}<newline46mondego><newline46mondego>public void setParent(ApplicationContext parent) {<newline46mondego>    this.parent = parent;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1788splitHere46","4365001splitHere46","<bean id=<doubleQuotes46>moduleB_ApplicationContext<doubleQuotes46> class=<doubleQuotes46>za.co.test2.AnnotationContextFactory<doubleQuotes46>><newline46mondego>    <property name=<doubleQuotes46>parent<doubleQuotes46> ref=<doubleQuotes46>moduleA_ApplicationContext<doubleQuotes46> /><newline46mondego>    <property name=<doubleQuotes46>packages<doubleQuotes46>><newline46mondego>        <list><newline46mondego>            <value>za.co.test2</value><newline46mondego>        </list><newline46mondego>    </property><newline46mondego></bean><newline46mondego>"
"1789splitHere46","4365006splitHere46","TEXT"
"1790splitHere46","4365006splitHere46","VARCHAR"
"1791splitHere46","4365006splitHere46","TEXT"
"1792splitHere46","4365039splitHere46","[+-]?(?:\d*\.\d+|\d+)<newline46mondego>"
"1793splitHere46","4365039splitHere46","[+-]?     # optional sign<newline46mondego>(?:       # either<newline46mondego> \d*\.\d+ # float with optional integer part<newline46mondego> |        # or<newline46mondego> \d+      # just integer<newline46mondego>)<newline46mondego>"
"1794splitHere46","4365039splitHere46","Pattern regex = Pattern.compile(<doubleQuotes46>[+-]?(?:\\d*\\.\\d+|\\d+)<doubleQuotes46>);<newline46mondego>Matcher regexMatcher = regex.matcher(subjectString);<newline46mondego>while (regexMatcher.find()) {<newline46mondego>    // matched text: regexMatcher.group()<newline46mondego>    // match start: regexMatcher.start()<newline46mondego>    // match end: regexMatcher.end()<newline46mondego>} <newline46mondego>"
"1795splitHere46","4365119splitHere46","JCheckBox b = new JCheckBox();<newline46mondego>    b.setPressedIcon(pressedIcon)<newline46mondego>    b.setIcon(defaultIcon);<newline46mondego>    b.setDisabledIcon(disabledIcon)<newline46mondego>"
"1796splitHere46","4365201splitHere46","split(<doubleQuotes46>\\s+<doubleQuotes46>)"
"1797splitHere46","4365216splitHere46","@Retention(RetentionPolicy.RUNTIME)<newline46mondego>  @Target(value = ElementType.TYPE)<newline46mondego>  public static @interface Line {<newline46mondego><newline46mondego>  }<newline46mondego><newline46mondego>  @Retention(RetentionPolicy.RUNTIME)<newline46mondego>  @Target(value = ElementType.FIELD)<newline46mondego>  public static @interface Cell {<newline46mondego><newline46mondego>  }<newline46mondego>"
"1798splitHere46","4365216splitHere46","isAnnotationPresent(annotationClass)"
"1799splitHere46","4365216splitHere46","java.lang.Class"
"1800splitHere46","4365216splitHere46","class.getDeclaredField(fieldName)"
"1801splitHere46","4365216splitHere46","3."
"1802splitHere46","4365216splitHere46","String name() default DEFAULT"
"1803splitHere46","4365216splitHere46","name()"
"1804splitHere46","4365216splitHere46","propertyName"
"1805splitHere46","4365300splitHere46","qemsg.obj = mySpanned;<newline46mondego>"
"1806splitHere46","4365407splitHere46","ActionEvent nev = new ActionEvent(fileTable, ActionEvent.ACTION_PERFORMED, <doubleQuotes46>copy<doubleQuotes46>);<newline46mondego>fileTable.selectAll();<newline46mondego>fileTable.getActionMap().get(nev.getActionCommand()).actionPerformed(nev);<newline46mondego>"
"1807splitHere46","4365407splitHere46","selectAll()"
"1808splitHere46","4365417splitHere46","try-finally"
"1809splitHere46","4365417splitHere46","finally"
"1810splitHere46","4365417splitHere46","IOUtils.closeConnection()"
"1811splitHere46","4365619splitHere46","android:configChanges=<doubleQuotes46>orientation|keyboardHidden<doubleQuotes46><newline46mondego>"
"1812splitHere46","4365619splitHere46","android:configChanges=<doubleQuotes46>orientation|keyboardHidden|screenSize<doubleQuotes46><newline46mondego>"
"1813splitHere46","4365619splitHere46","@Override<newline46mondego>public void onConfigurationChanged(Configuration newConfig) {<newline46mondego>    super.onConfigurationChanged(newConfig);<newline46mondego><newline46mondego>    // Checks the orientation of the screen<newline46mondego>    if (newConfig.orientation == Configuration.ORIENTATION_LANDSCAPE) {<newline46mondego>        Toast.makeText(this, <doubleQuotes46>landscape<doubleQuotes46>, Toast.LENGTH_SHORT).show();<newline46mondego>    } else if (newConfig.orientation == Configuration.ORIENTATION_PORTRAIT){<newline46mondego>        Toast.makeText(this, <doubleQuotes46>portrait<doubleQuotes46>, Toast.LENGTH_SHORT).show();<newline46mondego>    }<newline46mondego>    // Checks whether a hardware keyboard is available<newline46mondego>    if (newConfig.hardKeyboardHidden == Configuration.HARDKEYBOARDHIDDEN_NO) {<newline46mondego>        Toast.makeText(this, <doubleQuotes46>keyboard visible<doubleQuotes46>, Toast.LENGTH_SHORT).show();<newline46mondego>    } else if (newConfig.hardKeyboardHidden == Configuration.HARDKEYBOARDHIDDEN_YES) {<newline46mondego>        Toast.makeText(this, <doubleQuotes46>keyboard hidden<doubleQuotes46>, Toast.LENGTH_SHORT).show();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1814splitHere46","4365648splitHere46","List<String> ls = new ArrayList<String>();<newline46mondego>ls.add(<doubleQuotes46>aaa<doubleQuotes46>);<newline46mondego>ls.add(<doubleQuotes46>bbbbb<doubleQuotes46>);<newline46mondego><newline46mondego>FileUtils.writeLines(new File(<doubleQuotes46>newfile.txt<doubleQuotes46>), <doubleQuotes46>UTF-8<doubleQuotes46>, ls);   // same effect as with <doubleQuotes46>null<doubleQuotes46> as encoding<newline46mondego>"
"1815splitHere46","4365648splitHere46","newFile.txt"
"1816splitHere46","4365648splitHere46","od -a newfile.txt"
"1817splitHere46","4365648splitHere46","0000000   a   a   a  cr  nl   b   b   b   b   b  cr  nl<newline46mondego>0000014<newline46mondego>"
"1818splitHere46","4365668splitHere46","instanceof"
"1819splitHere46","4365848splitHere46","java -classpath <doubleQuotes46>xSocket.jar;.;ChatDemo.jar ChatDemo"
"1820splitHere46","4365848splitHere46",".jar"
"1821splitHere46","4365848splitHere46","gnu\getopt"
"1822splitHere46","4365870splitHere46","StringBuilder"
"1823splitHere46","4365987splitHere46","WIN32_FIND_DATA findData;<newline46mondego>HANDLE findFile;<newline46mondego>findFile = FindFirstFile (path, &findData);<newline46mondego>FindNextFile (findFile, &findData);<newline46mondego>"
"1824splitHere46","4365987splitHere46","wpath ourPath(pDirectory);<newline46mondego>wdirectory_iterator endIter;<newline46mondego>for (wdirectory_iterator iter(ourPath); iter != endIter; ++iter)<newline46mondego>{<newline46mondego> pContents.push_back(iter->leaf());<newline46mondego>}<newline46mondego>"
"1825splitHere46","4366076splitHere46","DPFPSamle.serialize()"
"1826splitHere46","4366076splitHere46","DPFPSamle"
"1827splitHere46","4366076splitHere46","writeObject(dPFPSample)"
"1828splitHere46","4366076splitHere46","DPFPSample"
"1829splitHere46","4366076splitHere46","java.io.Serializable"
"1830splitHere46","4366086splitHere46","javax.Servlet.ServletContextListener"
"1831splitHere46","4366086splitHere46","web.xml"
"1832splitHere46","4366086splitHere46","contextInitialized"
"1833splitHere46","4366086splitHere46","contextDestroyed"
"1834splitHere46","4366203splitHere46","<$n>"
"1835splitHere46","4366203splitHere46","{10,4}"
"1836splitHere46","4366394splitHere46","iterate(String)"
"1837splitHere46","4366394splitHere46","class PetStore {<newline46mondego>  <T extends Pet> PetIterator<T> iterate(Class<T> clazz);<newline46mondego>}<newline46mondego>"
"1838splitHere46","4366394splitHere46","PetIterator<Dog> dogs = petstore.iterate (Dog.class);<newline46mondego>// ...<newline46mondego>Dog dog = dogs.next();<newline46mondego>"
"1839splitHere46","4366411splitHere46","oauthParameters= new GoogleOAuthParameters ();<newline46mondego>  oauthParameters.setOAuthConsumerKey (CONSUMER_KEY);<newline46mondego>  oauthParameters.setOAuthConsumerSecret (CONSUMER_SECRET);<newline46mondego>  oauthParameters.setOAuthType (OAuthType.TWO_LEGGED_OAUTH);<newline46mondego>  oauthParameters.setScope (<doubleQuotes46>https://spreadsheets.google.com/feeds/<doubleQuotes46>);<newline46mondego><newline46mondego>  SpreadsheetService spreadsheetService= new SpreadsheetService (<doubleQuotes46>appname<doubleQuotes46>);<newline46mondego>  spreadsheetService.useSsl ();<newline46mondego>  spreadsheetService.setOAuthCredentials (oauthParameters,<newline46mondego>    new OAuthHmacSha1Signer ());<newline46mondego><newline46mondego>  URL feedUrl= new URL (<newline46mondego>    <doubleQuotes46>https://spreadsheets.google.com<doubleQuotes46><newline46mondego>      + <doubleQuotes46>/feeds/spreadsheets/private/full?title=Spreadsheetname&xoauth_requestor_id=<doubleQuotes46><newline46mondego>      + userEmail);<newline46mondego><newline46mondego>  SpreadsheetFeed resultFeed= spreadsheetService.getFeed (feedUrl,<newline46mondego>    SpreadsheetFeed.class);<newline46mondego><newline46mondego>  List <SpreadsheetEntry> spreadsheets= resultFeed.getEntries ();<newline46mondego>  SpreadsheetEntry spreadsheetEntry= spreadsheets.get (0);<newline46mondego><newline46mondego>  URL worksheetFeedUrl= spreadsheetEntry.getWorksheetFeedUrl ();<newline46mondego>  log.severe (worksheetFeedUrl.toString ());<newline46mondego>  WorksheetFeed worksheetFeed= spreadsheetService.getFeed (<newline46mondego>    worksheetFeedUrl, WorksheetFeed.class);<newline46mondego><newline46mondego>  List <WorksheetEntry> worksheetEntrys= worksheetFeed.getEntries ();<newline46mondego>  WorksheetEntry worksheetEntry= worksheetEntrys.get (0);<newline46mondego><newline46mondego>  // Write header line into Spreadsheet<newline46mondego>  URL cellFeedUrl= worksheetEntry.getCellFeedUrl ();<newline46mondego>  CellFeed cellFeed= spreadsheetService.getFeed (cellFeedUrl,<newline46mondego>    CellFeed.class);<newline46mondego><newline46mondego>  CellEntry cellEntry= new CellEntry (1, 1, <doubleQuotes46>headline1<doubleQuotes46>);<newline46mondego>  cellFeed.insert (cellEntry);<newline46mondego>  cellEntry= new CellEntry (1, 2, <doubleQuotes46>headline2<doubleQuotes46>);<newline46mondego>  cellFeed.insert (cellEntry);<newline46mondego>"
"1840splitHere46","4366460splitHere46","?"
"1841splitHere46","4366460splitHere46","\\d"
"1842splitHere46","4366872splitHere46","@Fetch(FetchMode.JOIN)"
"1843splitHere46","4366872splitHere46","select distinct pb from ProductBid pb left join fetch pb.rejection pbr where pbr is null and pb.product = :product order by pb.amount desc"
"1844splitHere46","4367107splitHere46","com.digitalpersona.onetouch.jni.FeatureExtractionLibrary"
"1845splitHere46","4367107splitHere46","otfxjni"
"1846splitHere46","4367107splitHere46","-Djava.library.path=<path to otfxjni file>"
"1847splitHere46","4367185splitHere46","sun.java2d.SunGraphics2D"
"1848splitHere46","4367185splitHere46","sourceGraphics2D"
"1849splitHere46","4367185splitHere46","Graphics2D"
"1850splitHere46","4367185splitHere46","Graphics2D"
"1851splitHere46","4367185splitHere46","BufferedImage"
"1852splitHere46","4367185splitHere46","paintComponent"
"1853splitHere46","4367185splitHere46","Graphics2D"
"1854splitHere46","4367185splitHere46","Graphics2D"
