"1splitHere46","1970159splitHere46","while(br.ready()){<newline46mondego>     System.out.println(br.readLine());<newline46mondego>}<newline46mondego>"
"1421splitHere46","2021269splitHere46","Comparable"
"1422splitHere46","2021269splitHere46","score"
"1423splitHere46","2021269splitHere46","id"
"1424splitHere46","2021269splitHere46","toString()"
"1425splitHere46","2021269splitHere46","Comparator"
"1426splitHere46","2021269splitHere46","Comparable"
"1427splitHere46","2021269splitHere46","Comparable<T>"
"1428splitHere46","2021269splitHere46","o1.compareTo(o2)"
"1429splitHere46","2021269splitHere46","compareTo"
"1430splitHere46","2021269splitHere46","Collections"
"1431splitHere46","2021269splitHere46","sort"
"1432splitHere46","2021269splitHere46","List"
"1433splitHere46","2021269splitHere46","Comparables"
"1434splitHere46","2021413splitHere46","Integer.valueOf"
"1435splitHere46","2022272splitHere46","maven-assembly-plugin"
"1436splitHere46","2022272splitHere46","jar-with-dependencies"
"1437splitHere46","2022272splitHere46","<build><newline46mondego>  <plugins><newline46mondego>    <plugin><newline46mondego>      <artifactId>maven-assembly-plugin</artifactId><newline46mondego>      <configuration><newline46mondego>        <descriptorRefs><newline46mondego>          <descriptorRef>jar-with-dependencies</descriptorRef><newline46mondego>        </descriptorRefs><newline46mondego>        <archive><newline46mondego>          <manifest><newline46mondego>            <mainClass>fully.qualified.MainClass</mainClass><newline46mondego>          </manifest><newline46mondego>        </archive><newline46mondego>      </configuration><newline46mondego>    </plugin><newline46mondego>  </plugins><newline46mondego></build><newline46mondego>"
"1438splitHere46","2022272splitHere46","mvn assembly:assembly<newline46mondego>"
"1439splitHere46","2022272splitHere46","assembly:single"
"1440splitHere46","2022272splitHere46","<build><newline46mondego>  <plugins><newline46mondego>    <plugin><newline46mondego>      <artifactId>maven-assembly-plugin</artifactId><newline46mondego>      <configuration><newline46mondego>        <descriptorRefs><newline46mondego>          <descriptorRef>jar-with-dependencies</descriptorRef><newline46mondego>        </descriptorRefs><newline46mondego>        <archive><newline46mondego>          <manifest><newline46mondego>            <mainClass>fully.qualified.MainClass</mainClass><newline46mondego>          </manifest><newline46mondego>        </archive><newline46mondego>      </configuration><newline46mondego>      <executions><newline46mondego>        <execution><newline46mondego>          <phase>package</phase><newline46mondego>          <goals><newline46mondego>            <goal>single</goal><newline46mondego>          </goals><newline46mondego>        </execution><newline46mondego>      </executions><newline46mondego>    </plugin><newline46mondego>  </plugins><newline46mondego></build><newline46mondego>"
"1441splitHere46","2022272splitHere46","mvn package<newline46mondego>"
"1442splitHere46","2022373splitHere46","HashMap map = new HashMap();<newline46mondego>map.put(<doubleQuotes46>one<doubleQuotes46>, new OrderItem());<newline46mondego>OrderItem one = map.get(<doubleQuotes46>one<doubleQuotes46>);<newline46mondego>OrderItem two = map.get(<doubleQuotes46>one<doubleQuotes46>);<newline46mondego>one.setStatus(1);<newline46mondego>two.setStatus(2);<newline46mondego>"
"1443splitHere46","2022382splitHere46","**Abstract**"
"1444splitHere46","2022465splitHere46","private class DownloadFilesTask extends AsyncTask<String, List<Product>, Integer> {<newline46mondego>     protected List<Products> doInBackground(String... requestStrings) {<newline46mondego>        int count = requestStrings.length;<newline46mondego>        int results = 0;<newline46mondego>        for (int i = 0; i < count; i++) {<newline46mondego>          String requestString = requestStrings[i];<newline46mondego>          HttpGet httpGet = new HttpGet(requestString);<newline46mondego>          httpGet.addHeader(<doubleQuotes46>Accept<doubleQuotes46>, <doubleQuotes46>text/xml<doubleQuotes46>);<newline46mondego>          String encodingString = <doubleQuotes46>testuser:testpass<doubleQuotes46>;<newline46mondego>          String sEncodedString = Base64Coder.encodeString(encodingString);<newline46mondego>          try{<newline46mondego>            String sContent = fetchURL(requestString, sEncodedString);<newline46mondego>            XMLParser xmlParser = new XMLParser();<newline46mondego>            List <Product> products = xmlParser.getProducts(sContent);<newline46mondego>            results++;<newline46mondego>            publishProgress(products);<newline46mondego>          }<newline46mondego>          catch(Exception ex){<newline46mondego>            Log.e(TAG, ex.getMessage());<newline46mondego>          }<newline46mondego>        }<newline46mondego>        return results;<newline46mondego>     }<newline46mondego><newline46mondego>     protected void onProgressUpdate(Integer... progress) {<newline46mondego>         // TODO You are on the GUI thread, and the first element in <newline46mondego>         // the progress parameter contains the last progress<newline46mondego>         // published from doInBackground, so update your GUI<newline46mondego>     }<newline46mondego><newline46mondego>     protected void onPostExecute(int result) {<newline46mondego>       // Processing is complete, result contains the number of <newline46mondego>       // results you processed<newline46mondego>     }<newline46mondego> }<newline46mondego>"
"1445splitHere46","2022465splitHere46","new DownloadFilesTask().execute(url1, url2, url3);<newline46mondego>"
"1446splitHere46","2023287splitHere46","<roseanne-roseannadanna> nevermind! </roseanne-roseannadanna>"
"1447splitHere46","2023464splitHere46","javax.microedition.io"
"1448splitHere46","2023464splitHere46","String url = <doubleQuotes46>socket://192.168.xxx.xxx:12345<doubleQuotes46>;<newline46mondego>SocketConnection conn = (SocketConnection) Connector.open(url);<newline46mondego>"
"1449splitHere46","2023464splitHere46","InputStream"
"1450splitHere46","2023464splitHere46","OutputStream"
"1451splitHere46","2023464splitHere46","DataInputStream"
"1452splitHere46","2023464splitHere46","DataOutputStream"
"1453splitHere46","2023464splitHere46","String url = <doubleQuotes46>socket://:12345<doubleQuotes46>;<newline46mondego>ServerSocketConnection sock = (ServerSocketConnection) Connector.open(url);<newline46mondego>SocketConnection conn = (SocketConnection) sock.acceptAndOpen();<newline46mondego>"
"1454splitHere46","2023464splitHere46","acceptAndOpen"
"1455splitHere46","2023464splitHere46","MIDlet-Push"
"1456splitHere46","2023494splitHere46","int[] myNumbers = new int[size];<newline46mondego>Arrays.fill(myNumbers, 0);<newline46mondego>"
"1457splitHere46","2023544splitHere46","java -cp myapp.jar com.example.Main1"
"1458splitHere46","2023544splitHere46","java -cp myapp.jar com.example.Main2"
"1459splitHere46","2023544splitHere46","java -jar myapp.jar"
"1460splitHere46","2023544splitHere46","Main-Class: myPrograms.MyClass"
"1461splitHere46","2023544splitHere46","META-INF/MANIFEST.MF"
"1462splitHere46","2023634splitHere46","RSAPublicKeySpec spec = new RSAPublicKeySpec(modulus, exponent);<newline46mondego>KeyFactory factory = KeyFactory.getInstance(<doubleQuotes46>RSA<doubleQuotes46>);<newline46mondego>PublicKey pub = factory.generatePublic(spec);<newline46mondego>Signature verifier = Signature.getInstance(<doubleQuotes46>SHA1withRSA<doubleQuotes46>);<newline46mondego>verifier.initVerify(pub);<newline46mondego>verifier.update(url.getBytes(<doubleQuotes46>UTF-8<doubleQuotes46>)); // Or whatever interface specifies.<newline46mondego>boolean okay = verifier.verify(signature);<newline46mondego>"
"1463splitHere46","2023685splitHere46","public static String getUrl(double fromLat, double fromLon,<newline46mondego>   double toLat, double toLon) {// connect to map web service<newline46mondego>  StringBuffer urlString = new StringBuffer();<newline46mondego>  urlString.append(<doubleQuotes46>http://maps.google.com/maps?f=d&hl=en<doubleQuotes46>);<newline46mondego>  urlString.append(<doubleQuotes46>&saddr=<doubleQuotes46>);// from<newline46mondego>  urlString.append(Double.toString(fromLat));<newline46mondego>  urlString.append(<doubleQuotes46>,<doubleQuotes46>);<newline46mondego>  urlString.append(Double.toString(fromLon));<newline46mondego>  urlString.append(<doubleQuotes46>&daddr=<doubleQuotes46>);// to<newline46mondego>  urlString.append(Double.toString(toLat));<newline46mondego>  urlString.append(<doubleQuotes46>,<doubleQuotes46>);<newline46mondego>  urlString.append(Double.toString(toLon));<newline46mondego>  urlString.append(<doubleQuotes46>&ie=UTF8&0&om=0&output=kml<doubleQuotes46>);<newline46mondego>  return urlString.toString();<newline46mondego> }<newline46mondego>"
"1464splitHere46","2023685splitHere46","public class Point {<newline46mondego> String mName;<newline46mondego> String mDescription;<newline46mondego> String mIconUrl;<newline46mondego> double mLatitude;<newline46mondego> double mLongitude;<newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>public class Road {<newline46mondego> public String mName;<newline46mondego> public String mDescription;<newline46mondego> public int mColor;<newline46mondego> public int mWidth;<newline46mondego> public double[][] mRoute = new double[][] {};<newline46mondego> public Point[] mPoints = new Point[] {};<newline46mondego>}<newline46mondego>"
"1465splitHere46","2023685splitHere46","public static String getUrl(double fromLat, double fromLon,<newline46mondego>   double toLat, double toLon)<newline46mondego>"
"1466splitHere46","2023685splitHere46","public static Road getRoute(InputStream is) <newline46mondego>"
"1467splitHere46","2023685splitHere46","class MapPathScreen extends MainScreen {<newline46mondego> MapControl map;<newline46mondego> Road mRoad = new Road();    <newline46mondego> public MapPathScreen() {<newline46mondego>  double fromLat = 49.85, fromLon = 24.016667;<newline46mondego>  double toLat = 50.45, toLon = 30.523333;<newline46mondego>  String url = RoadProvider.getUrl(fromLat, fromLon, toLat, toLon);<newline46mondego>  InputStream is = getConnection(url);<newline46mondego>  mRoad = RoadProvider.getRoute(is);<newline46mondego>  map = new MapControl();<newline46mondego>  add(new LabelField(mRoad.mName));<newline46mondego>  add(new LabelField(mRoad.mDescription));<newline46mondego>  add(map);<newline46mondego> }   <newline46mondego> protected void onUiEngineAttached(boolean attached) {<newline46mondego>  super.onUiEngineAttached(attached);<newline46mondego>  if (attached) {<newline46mondego>   map.drawPath(mRoad);<newline46mondego>  }<newline46mondego> }    <newline46mondego> private InputStream getConnection(String url) {<newline46mondego>  HttpConnection urlConnection = null;<newline46mondego>  InputStream is = null;<newline46mondego>  try {<newline46mondego>   urlConnection = (HttpConnection) Connector.open(url);<newline46mondego>   urlConnection.setRequestMethod(<doubleQuotes46>GET<doubleQuotes46>);<newline46mondego>   is = urlConnection.openInputStream();<newline46mondego>  } catch (IOException e) {<newline46mondego>   e.printStackTrace();<newline46mondego>  }<newline46mondego>  return is;<newline46mondego> }    <newline46mondego>}<newline46mondego>"
"1468splitHere46","2023685splitHere46","public class MapRouteActivity extends MapActivity {    <newline46mondego> LinearLayout linearLayout;<newline46mondego> MapView mapView;<newline46mondego> private Road mRoad;    <newline46mondego> @Override<newline46mondego> public void onCreate(Bundle savedInstanceState) {<newline46mondego>  super.onCreate(savedInstanceState);<newline46mondego>  setContentView(R.layout.main);<newline46mondego>  mapView = (MapView) findViewById(R.id.mapview);<newline46mondego>  mapView.setBuiltInZoomControls(true);    <newline46mondego>  new Thread() {<newline46mondego>   @Override<newline46mondego>   public void run() {<newline46mondego>    double fromLat = 49.85, fromLon = 24.016667; <newline46mondego>    double toLat = 50.45, toLon = 30.523333;<newline46mondego>    String url = RoadProvider<newline46mondego>      .getUrl(fromLat, fromLon, toLat, toLon);<newline46mondego>    InputStream is = getConnection(url);<newline46mondego>    mRoad = RoadProvider.getRoute(is);<newline46mondego>    mHandler.sendEmptyMessage(0);<newline46mondego>   }<newline46mondego>  }.start();<newline46mondego> }<newline46mondego><newline46mondego> Handler mHandler = new Handler() {<newline46mondego>  public void handleMessage(android.os.Message msg) {<newline46mondego>   TextView textView = (TextView) findViewById(R.id.description);<newline46mondego>   textView.setText(mRoad.mName + <doubleQuotes46> <doubleQuotes46> + mRoad.mDescription);<newline46mondego>   MapOverlay mapOverlay = new MapOverlay(mRoad, mapView);<newline46mondego>   List<Overlay> listOfOverlays = mapView.getOverlays();<newline46mondego>   listOfOverlays.clear();<newline46mondego>   listOfOverlays.add(mapOverlay);<newline46mondego>   mapView.invalidate();<newline46mondego>  };<newline46mondego> };<newline46mondego><newline46mondego> private InputStream getConnection(String url) {<newline46mondego>  InputStream is = null;<newline46mondego>  try {<newline46mondego>   URLConnection conn = new URL(url).openConnection();<newline46mondego>   is = conn.getInputStream();<newline46mondego>  } catch (MalformedURLException e) {<newline46mondego>   e.printStackTrace();<newline46mondego>  } catch (IOException e) {<newline46mondego>   e.printStackTrace();<newline46mondego>  }<newline46mondego>  return is;<newline46mondego> }    <newline46mondego> @Override<newline46mondego> protected boolean isRouteDisplayed() {<newline46mondego>  return false;<newline46mondego> }<newline46mondego>}<newline46mondego>"
"1469splitHere46","2023782splitHere46","Collections"
"1470splitHere46","2023782splitHere46","java.util.Collections"
"1471splitHere46","2023782splitHere46","Collections.asList()"
"1472splitHere46","2023782splitHere46","Arrays.asList()"
"1473splitHere46","2023863splitHere46","optional"
"1474splitHere46","2023863splitHere46","pom.xml"
"1475splitHere46","2023863splitHere46","mvn dependency:tree"
"1476splitHere46","2023863splitHere46","-Dverbose=true"
"1477splitHere46","2023863splitHere46","mvn dependency:analyze"
"1478splitHere46","2023894splitHere46","((Column) sessionFactoryBean.getConfiguration().getClassMapping(Person.class.getName())<newline46mondego>        .getProperty(<doubleQuotes46>myProperty<doubleQuotes46>).getColumnIterator().next()).getName();<newline46mondego>"
"1479splitHere46","2024548splitHere46","List<T>"
"1480splitHere46","2024548splitHere46","T"
"1481splitHere46","2024548splitHere46","T"
"1482splitHere46","2024548splitHere46","Location"
"1483splitHere46","2024548splitHere46","Location"
"1484splitHere46","2024548splitHere46","List<String> strings = new List<String>();<newline46mondego>strings.add(new Object());<newline46mondego>"
"1485splitHere46","2024548splitHere46","locationsTypeMap.get(key)"
"1486splitHere46","2024548splitHere46","List<ExoticLocation>"
"1487splitHere46","2024548splitHere46","BoringLocation"
"1488splitHere46","2024548splitHere46","BoringLocation"
"1489splitHere46","2024548splitHere46","List<ExoticLocation>"
"1490splitHere46","2024548splitHere46","List<? extends Location>"
"1491splitHere46","2024548splitHere46","Location"
"1492splitHere46","2024548splitHere46","super"
"1493splitHere46","2024548splitHere46","List<? super Location>"
"1494splitHere46","2024548splitHere46","Location"
"1495splitHere46","2024548splitHere46","Location"
"1496splitHere46","2024685splitHere46","<newline46mondego>class Example<newline46mondego>{ String f1;<newline46mondego>  String f2;<newline46mondego>}<newline46mondego><newline46mondego>Example e1 = new Example(<doubleQuotes46>foo<doubleQuotes46>, <doubleQuotes46>bar<doubleQuotes46>);<newline46mondego>Example e2 = new Example(<doubleQuotes46>foo<doubleQuotes46>, <doubleQuotes46>baz<doubleQuotes46>);<newline46mondego>"
"1497splitHere46","2024685splitHere46","<pre><newline46mondego>mi = 0<newline46mondego>for each value x taken by f1:<newline46mondego>{  sum = 0<newline46mondego>   for each value y taken by f2:<newline46mondego>   {  p_xy = number of examples where f1=x and f2=y<newline46mondego>      p_x = number of examples where f1=x<newline46mondego>      p_y = number of examples where f2=y<newline46mondego>      sum += p_xy * log(p_xy/(p_x*p_y))<newline46mondego>   }<newline46mondego>   mi += sum<newline46mondego>}<newline46mondego>"
"1498splitHere46","2024707splitHere46","obj"
"1499splitHere46","2024707splitHere46","B"
"1500splitHere46","2024707splitHere46","if (!is_A) {<newline46mondego>    int n = ((B) obj).pingB(3);<newline46mondego>}<newline46mondego>"
"1501splitHere46","2024707splitHere46","instanceof"
"1502splitHere46","2024707splitHere46","is_A"
"1503splitHere46","2024707splitHere46","if (obj instanceof B) {<newline46mondego>    int n = ((B) obj).pingB(3);<newline46mondego>}<newline46mondego>"
"1504splitHere46","2024911splitHere46","ProcessBuilder pb = new ProcessBuilder(<doubleQuotes46>java<doubleQuotes46>, <doubleQuotes46>-jar<doubleQuotes46>,  f.getAbsolutePath());<newline46mondego>Process p = pb.start();<newline46mondego>"
"1505splitHere46","2024911splitHere46","// MainApp.java<newline46mondego><newline46mondego>public class MainApp {<newline46mondego>    public static void main( String [] args ) throws IOException {<newline46mondego>        JFrame frame = new JFrame(<doubleQuotes46>MainApp<doubleQuotes46>);<newline46mondego>        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        frame.add( new JLabel(<doubleQuotes46><html><font size='48'>Main App Running</font><html><doubleQuotes46>) );<newline46mondego>        frame.pack();<newline46mondego>        frame.setLocationRelativeTo( null );<newline46mondego>        frame.setVisible( true );<newline46mondego>        launchSeparateProcess();<newline46mondego>        frame.addWindowListener( new WindowAdapter() {<newline46mondego>            public void windowClosing( WindowEvent e ){<newline46mondego>                System.out.println(<doubleQuotes46>MainAppp finished<doubleQuotes46>);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>    private static void launchSeparateProcess() throws IOException {<newline46mondego>        File f = new File(<doubleQuotes46>./yourjar.jar<doubleQuotes46>);<newline46mondego>        ProcessBuilder pb = new ProcessBuilder(<doubleQuotes46>java<doubleQuotes46>, <doubleQuotes46>-jar<doubleQuotes46>, f.getAbsolutePath() );<newline46mondego>        Process p = pb.start();<newline46mondego>    }<newline46mondego>}    <newline46mondego><newline46mondego>//-- Updater.jar<newline46mondego>public class Updater {<newline46mondego>    public static void main( String [] args ) {<newline46mondego>        JFrame frame = new JFrame();<newline46mondego>        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>        frame.add( new JLabel(<doubleQuotes46><html><font size='78'>Updating....</font></html><doubleQuotes46>));<newline46mondego>        frame.pack();<newline46mondego>        frame.setVisible(true);<newline46mondego>    }<newline46mondego>}<newline46mondego>//--manifest.mf<newline46mondego>Main-Class: Updater<newline46mondego>"
"1506splitHere46","2025123splitHere46","buttonClone = Button.wrap(buttonCloneElement)"
"1507splitHere46","2025302splitHere46","<c:forEach items=<doubleQuotes46>${model.availableitems}<doubleQuotes46> var=<doubleQuotes46>item<doubleQuotes46>><newline46mondego>  <form:form method=<doubleQuotes46>post<doubleQuotes46> commandName=<doubleQuotes46>myCommand<doubleQuotes46>><newline46mondego>    <span class=<doubleQuotes46>item<doubleQuotes46>>${item.description}</span> <newline46mondego>    <input type=<doubleQuotes46>hidden<doubleQuotes46> name=<doubleQuotes46>id<doubleQuotes46> value=<doubleQuotes46>${item.ID}<doubleQuotes46>/><newline46mondego>    <input type=<doubleQuotes46>submit<doubleQuotes46> name=<doubleQuotes46>SelectButton<doubleQuotes46> value=<doubleQuotes46>Select<doubleQuotes46> /><newline46mondego>  </form:form>        <newline46mondego></c:forEach><newline46mondego>"
"1508splitHere46","2025460splitHere46","wrap"
"1509splitHere46","2025460splitHere46","class SimplePerson{<newline46mondego><newline46mondego>    ComplexPerson _person;<newline46mondego><newline46mondego>    public void WalkForward (int steps){<newline46mondego><newline46mondego>        for (int i = 0; i < steps; i ++){<newline46mondego>            _person.LeftFoot ();<newline46mondego>            _person.MoveFoot ();<newline46mondego>            _person.PlaceFoot ();<newline46mondego>        }<newline46mondego>    }<newline46mondego>    // More methods<newline46mondego>}<newline46mondego>"
"1510splitHere46","2025460splitHere46","SimplePerson _person;<newline46mondego><newline46mondego>Console.WriteLine (<doubleQuotes46>Class {0} has the following methods:<doubleQuotes46>, _person.GetType().Name); <newline46mondego><newline46mondego>foreach (var method in _person.GetType().GetMethods()){<newline46mondego>    Console.WriteLine (<doubleQuotes46>\t {0}<doubleQuotes46>, method.Name);<newline46mondego>}<newline46mondego>"
"1511splitHere46","2025460splitHere46","Eat         <newline46mondego>    WalkForward<newline46mondego>    RunForward<newline46mondego>"
"1512splitHere46","2025468splitHere46","$_SERVER[<doubleQuotes46>HTTP_USER_AGENT<doubleQuotes46>]<newline46mondego>"
"1513splitHere46","2025468splitHere46","header(<doubleQuotes46>location: http://mobile.mysite.com<doubleQuotes46>);<newline46mondego>"
"1514splitHere46","2025468splitHere46","*"
"1515splitHere46","2026012splitHere46","equals()"
"1516splitHere46","2026012splitHere46","remove"
"1517splitHere46","2026012splitHere46","delete"
"1518splitHere46","2026012splitHere46","equals()"
"1519splitHere46","2026012splitHere46","hashCode()"
"1520splitHere46","2026012splitHere46","id"
"1521splitHere46","2026012splitHere46","getChildren().remove(child)"
"1522splitHere46","2026012splitHere46","Iterator<Child> i = form.getDeleteItems().iterator();<newline46mondego>while(i.hasNext()){<newline46mondego>    Child child = i.next();<newline46mondego>    for (Iterator<Child> it = parent.getChildren().iterator();) {<newline46mondego>         if (child.getId().equals(it.next().getId()) {<newline46mondego>             it.remove(); // this removes the child from the underlying collection<newline46mondego>         }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1523splitHere46","2026043splitHere46","processNames({ <doubleQuotes46>Jane<doubleQuotes46>, <doubleQuotes46>John<doubleQuotes46> });<newline46mondego>"
"1524splitHere46","2026043splitHere46","processNames(<doubleQuotes46>Jane<doubleQuotes46>, <doubleQuotes46>John<doubleQuotes46>); <newline46mondego>"
"1525splitHere46","2026043splitHere46","public void processNames(String... arg)<newline46mondego>"
"1526splitHere46","2026043splitHere46","..."
"1527splitHere46","2026043splitHere46","[]"
"1528splitHere46","2026113splitHere46","setValue"
"1529splitHere46","2026113splitHere46","map.put"
"1530splitHere46","2026113splitHere46","map.put"
"1531splitHere46","2026113splitHere46","entry.setValue"
"1532splitHere46","2026113splitHere46","for (Iterator<Map.Entry<String, Node>> it = map.entrySet().iterator(); <newline46mondego>     it.hasNext();)<newline46mondego>{<newline46mondego>    Map.Entry<String, Node> entry = it.next();<newline46mondego>    Node n = entry.getValue().optimize();<newline46mondego>    if(n == null) <newline46mondego>    {<newline46mondego>        it.remove();<newline46mondego>    }<newline46mondego>    else<newline46mondego>    {<newline46mondego>        entry.setValue(n);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1533splitHere46","2026113splitHere46","entry"
"1534splitHere46","2026113splitHere46","remove"
"1535splitHere46","2026113splitHere46","HashSet.keySet()"
"1536splitHere46","2026113splitHere46","for (String key : new HashSet<String>(map.keySet())) {<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"1537splitHere46","2026113splitHere46","HashMap.keySet()"
"1538splitHere46","2026113splitHere46","Map"
"1539splitHere46","2026135splitHere46","ServletContext.getRealPath"
"1540splitHere46","2026135splitHere46","ServletContext.getRealPath(<doubleQuotes46>/<doubleQuotes46>)"
"1541splitHere46","2026135splitHere46","WEB-INF/jasperreports"
"1542splitHere46","2026135splitHere46","ServletContext sc = getServletContext();<newline46mondego>String reportPath = sc.getRealPath(<doubleQuotes46>/WEB-INF/jasperreports<doubleQuotes46>);<newline46mondego>"
"1543splitHere46","2026135splitHere46","Servlet"
"1544splitHere46","2026135splitHere46","ServletContextListener"
"1545splitHere46","2026135splitHere46","ServletContext"
"1546splitHere46","2026135splitHere46","getServletContext()"
"1547splitHere46","2026135splitHere46","servletContextEvent.getServletContext()"
"1548splitHere46","2026299splitHere46","HttpURLConnection"
"1549splitHere46","2026299splitHere46","URL url = new URL(urlString);<newline46mondego>    URLConnection conn = url.openConnection();<newline46mondego>    conn.setDoOutput(true);<newline46mondego>    conn.setRequestProperty (<doubleQuotes46>Authorization<doubleQuotes46>, encodedCredentials);<newline46mondego><newline46mondego>    OutputStreamWriter writer = new OutputStreamWriter(conn.getOutputStream());<newline46mondego><newline46mondego>    writer.write(data);<newline46mondego>    writer.flush();<newline46mondego>    String line;<newline46mondego>    BufferedReader reader = new BufferedReader(new <newline46mondego>                                     InputStreamReader(conn.getInputStream()));<newline46mondego>    while ((line = reader.readLine()) != null) {<newline46mondego>      System.out.println(line);<newline46mondego>    }<newline46mondego>    writer.close();<newline46mondego>    reader.close();<newline46mondego>"
"1550splitHere46","2026299splitHere46","URLConnection"
"1551splitHere46","2026299splitHere46","HttpURLConnection"
"1552splitHere46","2026299splitHere46","HttpURLConnection conn = url.openConnection();<newline46mondego>    conn.setRequestMethod(<doubleQuotes46>POST<doubleQuotes46>);<newline46mondego>"
"1553splitHere46","2026550splitHere46","convert"
"1554splitHere46","2026550splitHere46","List"
"1555splitHere46","2026550splitHere46","Field.setAccessible(true)"
"1556splitHere46","2026550splitHere46","final"
"1557splitHere46","2026550splitHere46","Field.set()"
"1558splitHere46","2026550splitHere46","IllegalAccessException: Field is final"
"1559splitHere46","2026550splitHere46","List"
"1560splitHere46","2026550splitHere46","ArrayList"
"1561splitHere46","2026550splitHere46","// Note that this is an unchecked cast<newline46mondego>List<ClassB> listB = (List<ClassB>) convert(listA, ArrayList.class);<newline46mondego>"
"1562splitHere46","2026550splitHere46","serialVersionUID"
"1563splitHere46","2026550splitHere46","static final serialVersionUID"
"1564splitHere46","2026550splitHere46","ArrayList"
"1565splitHere46","2026550splitHere46","public static <A, B> B convert(A instance, <newline46mondego>                           Class<B> targetClass) throws Exception { <newline46mondego>    B target = (B)targetClass.newInstance(); <newline46mondego><newline46mondego>    for (Field targetField : targetClass.getDeclaredFields()) { <newline46mondego>        targetField.setAccessible(true); <newline46mondego>        Field field = <newline46mondego>            instance.getClass().getDeclaredField(targetField.getName()); <newline46mondego>        field.setAccessible(true); <newline46mondego><newline46mondego>        // Ignore attempts to set final fields<newline46mondego>        try {<newline46mondego>            targetField.set(target, field.get(instance)); <newline46mondego>        } catch (IllegalAccessException e) {<newline46mondego>            continue;<newline46mondego>        }<newline46mondego>    } <newline46mondego><newline46mondego>    return target; <newline46mondego>}<newline46mondego>"
"1566splitHere46","2026550splitHere46","convert"
"1567splitHere46","2026550splitHere46","List"
"1568splitHere46","2026550splitHere46","convert"
"1569splitHere46","2026550splitHere46","ClassA"
"1570splitHere46","2026550splitHere46","ClassB"
"1571splitHere46","2026550splitHere46","ClassCastException"
"1572splitHere46","2026550splitHere46","convert"
"1573splitHere46","2026550splitHere46","public static <A, B extends List<C>, C> B convertList(<newline46mondego>    List<A> list, Class<B> targetListClass, Class<C> targetClass) <newline46mondego>    throws Exception {<newline46mondego><newline46mondego>    B targetList = targetListClass.newInstance();<newline46mondego><newline46mondego>    for (A object : list) {<newline46mondego>        targetList.add(convert(object, targetClass));<newline46mondego>    }<newline46mondego><newline46mondego>    return targetList;<newline46mondego>}<newline46mondego>"
"1574splitHere46","2026550splitHere46","List<ClassB> listB = (List<ClassB>) convertList(<newline46mondego>    listA, ArrayList.class, ClassB.class);<newline46mondego>"
"1575splitHere46","2026890splitHere46","target/classes"
"1576splitHere46","2026890splitHere46","maven-jar-plugin"
"1577splitHere46","2026890splitHere46","target/generated-classes"
"1578splitHere46","2026890splitHere46","${build.project.outputDirectory}"
"1579splitHere46","2026890splitHere46","target/generated-classes"
"1580splitHere46","2026890splitHere46","<project><newline46mondego>  ...<newline46mondego>  <build><newline46mondego>    <plugins><newline46mondego>      ...<newline46mondego>      <plugin><newline46mondego>        <groupId>org.apache.maven.plugins</groupId><newline46mondego>        <artifactId>maven-jar-plugin</artifactId><newline46mondego>        <version>2.3</version> <!-- replace with correct version nbr! --><newline46mondego>        <configuration><newline46mondego>          <includes><newline46mondego>            <include>${project.build.directory}/generated-classes/**/*.class</include><newline46mondego>          </includes><newline46mondego>          <excludes><newline46mondego>            <exclude>${project.build.directory}/classes/**/*.class</include><newline46mondego>          </excludes><newline46mondego><newline46mondego>        </configuration><newline46mondego>      </plugin><newline46mondego>      ...<newline46mondego>    </plugins><newline46mondego>  </build><newline46mondego>  ...<newline46mondego></project><newline46mondego>"
"1581splitHere46","2026890splitHere46","${project.build.directory}"
"1582splitHere46","2026890splitHere46","${project.build.ouputDirectory}"
"1583splitHere46","2026890splitHere46","${project.build.ouputDirectory}"
"1584splitHere46","2026890splitHere46","coberture:instrument"
"1585splitHere46","2027173splitHere46","List<Person> sortedByAgePersons = new ArrayList<Person>(persons);<newline46mondego>Collections.sort(sortedByAgePersons, new Comparator<Person>() {<newline46mondego>        public int compare(Person p1, Person p2) {<newline46mondego>           return Integer.valueOf(p1.getAge()).compareTo(p2.getAge());<newline46mondego>        }<newline46mondego>});<newline46mondego>"
"1586splitHere46","2027173splitHere46","List<Person> sortedByAgePersons = sort(persons, on(Person.class).getAge());<newline46mondego>"
"1587splitHere46","2027199splitHere46","Calendar time1 =  Calendar.getInstance();<newline46mondego>// assign time1 date from your array<newline46mondego><newline46mondego>Calendar time2 =  Calendar.getInstance();<newline46mondego>// assign time2 date from your array<newline46mondego><newline46mondego>long diff = time1.getTimeInMills() - time2.getTimeInMills();<newline46mondego>"
"1588splitHere46","2027201splitHere46","boolean isNeverDeleted(){<newline46mondego>    return deletionDate == null;<newline46mondego>}<newline46mondego>"
"1589splitHere46","2027422splitHere46","ExceptionInInitializerError"
"1590splitHere46","2027422splitHere46","RuntimeException"
