"1splitHere46","10107861splitHere46","import java.awt.BorderLayout;<newline46mondego>import java.awt.Image;<newline46mondego>import java.io.File;<newline46mondego>import java.io.IOException;<newline46mondego><newline46mondego>import javax.imageio.ImageIO;<newline46mondego>import javax.swing.ImageIcon;<newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.JLabel;<newline46mondego><newline46mondego>public class ShowImage {<newline46mondego>    public static void main(String[] args) {<newline46mondego>        JFrame frame = new JFrame(<doubleQuotes46>Debug Frame<doubleQuotes46>);<newline46mondego>        frame.setSize(200, 200);<newline46mondego>        frame.setLayout(new BorderLayout());<newline46mondego>        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego><newline46mondego>        Image image = null;<newline46mondego>        JLabel label = null;<newline46mondego><newline46mondego>        try {<newline46mondego>            image = ImageIO.read(new File(<doubleQuotes46>c:/scratch/hotdog.jpg<doubleQuotes46>));<newline46mondego>            label = new JLabel(new ImageIcon(image));<newline46mondego>        } catch (IOException e) {<newline46mondego>            label.setText(<doubleQuotes46>Image loading failed<doubleQuotes46>);<newline46mondego>        }<newline46mondego><newline46mondego>        frame.add(label,BorderLayout.CENTER);<newline46mondego>        frame.setVisible(true);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"437splitHere46","10118377splitHere46","AsyncTask"
"438splitHere46","10118377splitHere46","private class DownloadFilesTask extends AsyncTask<Void, Void, Void> {<newline46mondego>             Drawable drawable;<newline46mondego><newline46mondego>             @Override<newline46mondego>             protected Void doInBackground(Void... params) {<newline46mondego>             drawable = createDrawableFromURL(<newline46mondego>                                   <doubleQuotes46>http://savagelook.com/misc/sl_drop2.png<doubleQuotes46>);<newline46mondego>              return null;<newline46mondego>             }<newline46mondego>             protected void onPostExecute(Void result) {<newline46mondego>                    imageView.setImageDrawable(drawable);<newline46mondego>            }          <newline46mondego>        } <newline46mondego>"
"439splitHere46","10118430splitHere46","Statement"
"440splitHere46","10118430splitHere46","ResultSet"
"441splitHere46","10118430splitHere46","Set"
"442splitHere46","10118430splitHere46","List"
"443splitHere46","10118530splitHere46","JavaCompiler"
"444splitHere46","10118530splitHere46","JavaCompiler"
"445splitHere46","10118531splitHere46","@Consumes(<doubleQuotes46>application/json<doubleQuotes46>)<newline46mondego>public String getResource(JSONObject obj) {<newline46mondego>...<newline46mondego>}<newline46mondego>"
"446splitHere46","10118531splitHere46","@Consumes(<doubleQuotes46>application/json<doubleQuotes46>)<newline46mondego>public String getResource(CustomObj customObj) {<newline46mondego>...<newline46mondego>}<newline46mondego>"
"447splitHere46","10118577splitHere46","useCourses"
"448splitHere46","10118577splitHere46","Object"
"449splitHere46","10118577splitHere46","Interfaces"
"450splitHere46","10118582splitHere46","ResultSet rs2 = stmt.executeQuery(...)<newline46mondego>             // ^^^^<newline46mondego>"
"451splitHere46","10118582splitHere46","stmt2"
"452splitHere46","10118608splitHere46","if(name.equals(o.getName())) {<newline46mondego>    return 0;<newline46mondego>}<newline46mondego>"
"453splitHere46","10118608splitHere46","compareTo()"
"454splitHere46","10118608splitHere46","a.equals(b)"
"455splitHere46","10118608splitHere46","a.compareTo(b) == 0"
"456splitHere46","10118634splitHere46","javac -d bin path/to/A.java path/to/B.java<newline46mondego>"
"457splitHere46","10118634splitHere46","javac -d bin -cp path/to/Broot path/to/A.java<newline46mondego>"
"458splitHere46","10118634splitHere46","javac -d bin -cp /x/y/z path/to/A.java<newline46mondego>"
"459splitHere46","10118637splitHere46","<h:form><newline46mondego>  <p:growl id=<doubleQuotes46>messages><newline46mondego>  <p:poll listener=<doubleQuotes46>#{myBean.updateGrowl}<doubleQuotes46> update=<doubleQuotes46>messages<doubleQuotes46> /><newline46mondego></h:form><newline46mondego>"
"460splitHere46","10118637splitHere46","public void updateGrowl() {<newline46mondego> FacesContext.getCurrentInstance().addMessage(null, message);<newline46mondego>}<newline46mondego>"
"461splitHere46","10118784splitHere46","attach"
"462splitHere46","10118784splitHere46","Content-Transfer-Encoding"
"463splitHere46","10118878splitHere46","sameElements"
"464splitHere46","10118878splitHere46","scala> import collection.JavaConversions._<newline46mondego>import collection.JavaConversions._<newline46mondego><newline46mondego>scala> res0.sameElements(res1)            <newline46mondego>res3: Boolean = true<newline46mondego>"
"465splitHere46","10118894splitHere46","build.xml"
"466splitHere46","10118894splitHere46","pom.xml"
"467splitHere46","10118894splitHere46",".project"
"468splitHere46","10118894splitHere46",".settings/*"
"469splitHere46","10118894splitHere46",".pref"
"470splitHere46","10118894splitHere46",".properties"
"471splitHere46","10118894splitHere46",".classpath"
"472splitHere46","10118921splitHere46","A.java"
"473splitHere46","10118921splitHere46","import java.io.*;"
"474splitHere46","10118921splitHere46","B.java"
"475splitHere46","10118921splitHere46","java.io.*;"
"476splitHere46","10118921splitHere46","B.java"
"477splitHere46","10119023splitHere46","String convertLatinLikeToAscii(String text) {<newline46mondego>    char[] chars = text.toCharArray();<newline46mondego>    for (int i = 0; i < chars.length; i++) {<newline46mondego>        char c = chars[i];<newline46mondego>        if (c >= 0xff01 && c <= 0xff5e) {<newline46mondego>            // Map U+FF01 to U+0021 etc<newline46mondego>            chars[i] = (char) (c - (0xff01 - 0x21));<newline46mondego>        }<newline46mondego>    }<newline46mondego>    return new String(chars);<newline46mondego>}<newline46mondego>"
"478splitHere46","10119114splitHere46","FieldEditor"
"479splitHere46","10119271splitHere46","public String threeDaysBefore(){<newline46mondego>    String threeDaysBefore = <doubleQuotes46><doubleQuotes46>;<newline46mondego>    Date date = new Date();<newline46mondego>    Calendar cal = Calendar.getInstance();<newline46mondego>    cal.setTime(date);<newline46mondego><newline46mondego>    cal.add(Calendar.DAY_OF_YEAR, -3);<newline46mondego>    Date before = cal.getTime();<newline46mondego>    SimpleDateFormat formatter = new SimpleDateFormat(<doubleQuotes46>dd.MM.yyyy HH:mm<doubleQuotes46>);<newline46mondego>    threeDaysBefore = formatter.format(before);<newline46mondego>    return threeDaysBefore;<newline46mondego>}<newline46mondego>"
"480splitHere46","10119271splitHere46","WebElement calendarManualInput = driver.findElement...// find the manual input field<newline46mondego>  calendarManualInput.sendKeys(threeDaysBefore());<newline46mondego>"
"481splitHere46","10119271splitHere46","public String threeDaysBefore(){<newline46mondego>    String threeDaysBefore = <doubleQuotes46><doubleQuotes46>;<newline46mondego>    Date date = new Date();<newline46mondego>    Calendar cal = Calendar.getInstance();<newline46mondego>    cal.setTime(date);<newline46mondego><newline46mondego>    cal.add(Calendar.DAY_OF_YEAR, -3);<newline46mondego>    Date before = cal.getTime();<newline46mondego>    SimpleDateFormat formatter = new SimpleDateFormat(<doubleQuotes46>dd<doubleQuotes46>);<newline46mondego>    threeDaysBefore = formatter.format(before);<newline46mondego>    return threeDaysBefore;<newline46mondego>}<newline46mondego>"
"482splitHere46","10119271splitHere46","//this will click three days before<newline46mondego>Date today = new Date();<newline46mondego>Date minusThree = new Date();<newline46mondego>Calendar now = Calendar.getInstance();<newline46mondego>now.setTime(today);<newline46mondego>Calendar before = Calendar.getInstance();<newline46mondego>before.setTime(minusThree);<newline46mondego>before.add(Calendar.DAY_OF_YEAR, -3);<newline46mondego>int monthNow = now.get(Calendar.MONTH);<newline46mondego>int monthBefore = before.get(Calendar.MONTH);<newline46mondego><newline46mondego>if (monthBefore < monthNow){<newline46mondego>  // click previous month in the calendar tooltip on page<newline46mondego>}<newline46mondego>WebElement dateToSelect = driver.findElement(By.xpath(<doubleQuotes46>//span[text()='<doubleQuotes46>+threeDaysBefore()+<doubleQuotes46>']<doubleQuotes46>));<newline46mondego>dateToSelect.click();<newline46mondego>"
"483splitHere46","10119305splitHere46","IndexOutOfBoundsException"
"484splitHere46","10119305splitHere46","(int)(sf*o.width)"
"485splitHere46","10119305splitHere46","(int)(sf*o.height)"
"486splitHere46","10119305splitHere46","x"
"487splitHere46","10119305splitHere46","y"
"488splitHere46","10119305splitHere46","Math.min(...)"
"489splitHere46","10119305splitHere46","Math.max(...)"
"490splitHere46","10119305splitHere46","int y = round((i / sf) * o.width;"
"491splitHere46","10119305splitHere46","i"
"492splitHere46","10119305splitHere46","round((119 * 100) / 1.2)"
"493splitHere46","10119305splitHere46","round(9916.66) = 9917"
"494splitHere46","10119305splitHere46","round(119 / 1.2) * 100"
"495splitHere46","10119305splitHere46","round(99.16) * 100 = 9900"
"496splitHere46","10119305splitHere46","y"
"497splitHere46","10119305splitHere46","int scaledWidth = (int)(sf*o.width);<newline46mondego>int scaledHeight = (int)(sf*o.height);<newline46mondego>PImage out = createImage(scaledWidth, scaledHeight, RGB);<newline46mondego>o.loadPixels();<newline46mondego>out.loadPixels();<newline46mondego>for (int i = 0; i < scaledHeight; i++) {<newline46mondego>  for (int j = 0; j < scaledWidth; j++) {<newline46mondego>    int y = Math.min( round(i / sf), o.height ) * o.width;<newline46mondego>    int x = Math.min( round(j / sf), o.width );<newline46mondego>    out.pixels[(int)((scaledWidth * i) + j)] = o.pixels[(y + x)];<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"498splitHere46","10119323splitHere46","panel.remove(custompanel);<newline46mondego>        panel.add(new CustomPanel(<doubleQuotes46>/hinhtu2.jpg<doubleQuotes46>), BorderLayout.CENTER);<newline46mondego>        panel.repaint();<newline46mondego>        panel.revalidate();<newline46mondego>"
"499splitHere46","10119323splitHere46","public void paintComponent(Graphics g) {<newline46mondego>    Image x = Toolkit.getDefaultToolkit().getImage(getClass().getResource(resource));<newline46mondego>    g.drawImage(x, 0, 0, null); <newline46mondego>}   <newline46mondego>"
"500splitHere46","10119405splitHere46","second = first"
"501splitHere46","10119405splitHere46","first"
"502splitHere46","10119405splitHere46","second"
"503splitHere46","10119405splitHere46","second = first"
"504splitHere46","10119435splitHere46","go through all digits"
"505splitHere46","10119435splitHere46","check % 2"
"506splitHere46","10119435splitHere46","check"
"507splitHere46","10119435splitHere46","check /= 2"
"508splitHere46","10119435splitHere46","check = check / 2;"
"509splitHere46","10119452splitHere46","private void removeMessage(Context context, String fromAddress) {<newline46mondego><newline46mondego>        Uri uriSMS = Uri.parse(<doubleQuotes46>content://sms/inbox<doubleQuotes46>);<newline46mondego>        Cursor cursor = context.getContentResolver()<newline46mondego>                                       .query(uriSMS, null, null, null, null);<newline46mondego>        cursor.moveToFirst();<newline46mondego>        if(cursor.getCount() > 0){<newline46mondego>            int ThreadId = cursor.getInt(1);<newline46mondego>            Log.d(<doubleQuotes46>Thread Id<doubleQuotes46>, ThreadId+<doubleQuotes46> id - <doubleQuotes46>+cursor.getInt(0));<newline46mondego>            Log.d(<doubleQuotes46>contact number<doubleQuotes46>, cursor.getString(2));<newline46mondego>            Log.d(<doubleQuotes46>column name<doubleQuotes46>, cursor.getColumnName(2));<newline46mondego><newline46mondego>            context.getContentResolver().delete(Uri.<newline46mondego>                   parse(<doubleQuotes46>content://sms/conversations/<doubleQuotes46>+ThreadId), <doubleQuotes46>address=?<doubleQuotes46>, <newline46mondego>                                                     new String[]{fromAddress});<newline46mondego>            Log.d(<doubleQuotes46>Message Thread Deleted<doubleQuotes46>, fromAddress);<newline46mondego>        }<newline46mondego>        cursor.close();<newline46mondego>    }<newline46mondego>"
"510splitHere46","10119452splitHere46","new Thread(new Runnable() {<newline46mondego>    @Override<newline46mondego>    public void run() {<newline46mondego>        try {<newline46mondego>            Thread.sleep(2000);<newline46mondego>            removeMessage(mContext, <doubleQuotes46>From_number<doubleQuotes46>);<newline46mondego>        } catch (InterruptedException e) {<newline46mondego>            e.printStackTrace();<newline46mondego>             }<newline46mondego>"
"511splitHere46","10119554splitHere46","double dist = 150.0 / 6371.0;<newline46mondego>"
"512splitHere46","10119554splitHere46","150/6371"
"513splitHere46","10119554splitHere46","0"
"514splitHere46","10119554splitHere46","double"
"515splitHere46","10119615splitHere46","java.net.URLConnection"
"516splitHere46","10119615splitHere46","ftp"
"517splitHere46","10119615splitHere46","http"
"518splitHere46","10119615splitHere46","http://www.google.com"
"519splitHere46","10119615splitHere46","hp.openConnection();"
"520splitHere46","10119615splitHere46","HttpURLConnection"
"521splitHere46","10119615splitHere46","HTTPURLConnection"
"522splitHere46","10119615splitHere46","abstract"
"523splitHere46","10119615splitHere46","HttpURLConnection hpCon = (HttpURLConnection) hp.openConnection();"
"524splitHere46","10119615splitHere46","HttpURLConnection hpCon = new HttpURLConnection(hp);"
"525splitHere46","10119615splitHere46","URL"
"526splitHere46","10119615splitHere46","URLConnections"
"527splitHere46","10119679splitHere46","myJScrollPane.getVerticalScrollBar().setUnitIncrement(16);"
"528splitHere46","10119977splitHere46","Class<?> act = Class.forName(<doubleQuotes46>com.bla.TestActivity<doubleQuotes46>);<newline46mondego>"
"529splitHere46","10120017splitHere46","printStackTrace"
"530splitHere46","10120017splitHere46","System.err"
"531splitHere46","10120017splitHere46","System.out"
"532splitHere46","10120017splitHere46","System.err.println"
"533splitHere46","10120017splitHere46","System.out"
"534splitHere46","10120060splitHere46","import java.io.*; <newline46mondego>    import com.gargoylesoftware.htmlunit.html.HtmlPage;<newline46mondego>    import com.gargoylesoftware.htmlunit.html.HtmlTable;<newline46mondego>    import com.gargoylesoftware.htmlunit.html.HtmlTableRow;<newline46mondego>    import com.gargoylesoftware.htmlunit.html.*;<newline46mondego>    import com.gargoylesoftware.htmlunit.WebClient;<newline46mondego><newline46mondego><newline46mondego>    public class test {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego><newline46mondego>    WebClient client = new WebClient();<newline46mondego>    HtmlPage currentPage = client.getPage(<doubleQuotes46>http://www.mysite.com<doubleQuotes46>);<newline46mondego>    client.waitForBackgroundJavaScript(10000);<newline46mondego><newline46mondego>FileWriter fstream = new FileWriter(<doubleQuotes46>index.txt<doubleQuotes46>);<newline46mondego>BufferedWriter out = new BufferedWriter(fstream);<newline46mondego><newline46mondego><newline46mondego><newline46mondego>   for (int i=0;i<2;i++){<newline46mondego><newline46mondego>final HtmlTable table = (HtmlTable) currentPage.getByXPath(<doubleQuotes46>//table[@class=' table-main']<doubleQuotes46>).get(i);<newline46mondego><newline46mondego><newline46mondego><newline46mondego><newline46mondego>   for (final HtmlTableRow row : table.getRows()) {<newline46mondego><newline46mondego>   for (final HtmlTableCell cell : row.getCells()) {<newline46mondego>    out.write(cell.asText()+',');<newline46mondego>   }<newline46mondego>out.write('\n');<newline46mondego>   }<newline46mondego><newline46mondego>   }<newline46mondego><newline46mondego>out.close();<newline46mondego><newline46mondego>    client.closeAllWindows();<newline46mondego><newline46mondego>   }<newline46mondego><newline46mondego>   }<newline46mondego>"
"535splitHere46","10120088splitHere46","TO_DATE"
"536splitHere46","10120088splitHere46","TO_DATE(?,'YYYY-MM-DD HH24:MI:SS')"
"537splitHere46","10120102splitHere46","STARTER"
"538splitHere46","10120102splitHere46","ENDER"
"539splitHere46","10120102splitHere46","STARTER"
"540splitHere46","10120102splitHere46","ENDER"
"541splitHere46","10120102splitHere46","String expr = <doubleQuotes46>^<doubleQuotes46> + Pattern.quote(STARTER) + <doubleQuotes46>.*<doubleQuotes46> + Pattern.quote(ENDER) + <doubleQuotes46>$<doubleQuotes46>;<newline46mondego>"
"542splitHere46","10120102splitHere46","STARTER == <doubleQuotes46>Start<doubleQuotes46>"
"543splitHere46","10120102splitHere46","ENDER == <doubleQuotes46>End<doubleQuotes46>"
"544splitHere46","10120102splitHere46","REPLACEMENT == <doubleQuotes46>Replace<doubleQuotes46>"
"545splitHere46","10120102splitHere46","replaceAll()"
"546splitHere46","10120102splitHere46","<doubleQuotes46>Start foobar End<doubleQuotes46>      --> <doubleQuotes46>StartReplaceEnd<doubleQuotes46><newline46mondego><doubleQuotes46>StartEnd<doubleQuotes46>              --> <doubleQuotes46>StartReplaceEnd<doubleQuotes46><newline46mondego><doubleQuotes46> Start foobar End<doubleQuotes46>     --> <doubleQuotes46> Start foobar End<doubleQuotes46><newline46mondego><doubleQuotes46>Start foo\nbar End<doubleQuotes46>    --> <doubleQuotes46>Start foo\nbar End<doubleQuotes46><newline46mondego><doubleQuotes46>foo Start bar End baz<doubleQuotes46> --> <doubleQuotes46>foo Start bar End baz<doubleQuotes46><newline46mondego><doubleQuotes46>Start End\nStart End<doubleQuotes46>  --> <doubleQuotes46>Start End\nStart End<doubleQuotes46><newline46mondego>"
"547splitHere46","10120147splitHere46","-Djavax.net.debug=all<newline46mondego>"
"548splitHere46","10120147splitHere46","openssl s_client -connect host:port -debug -msg<newline46mondego>"
"549splitHere46","10120147splitHere46","...<newline46mondego>Acceptable client certificate CA names<newline46mondego>/C=PL/O=company/OU=xx/CN=host/emailAddress=email@example.com<newline46mondego>/C=PL/O=company/OU=xx/CN=ca/emailAddress=email@example.com<newline46mondego>---<newline46mondego>SSL handshake has read 2536 bytes and written 116 bytes<newline46mondego>...<newline46mondego>"
"550splitHere46","10120255splitHere46","<% for(int count=0; count<eqArray.size(); count++){ %><newline46mondego>    <option value=<doubleQuotes46><%= eqArray.get(count) %><doubleQuotes46> <%= (eqArray.get(count).equals(<doubleQuotes46>eqName<doubleQuotes46>))?<doubleQuotes46>selected<doubleQuotes46>:<doubleQuotes46><doubleQuotes46> %> ><%= eqArray.get(count) %></option>  <newline46mondego><%} %><newline46mondego>"
"551splitHere46","10120336splitHere46","String syntax = <doubleQuotes46>RDF/XML-ABBREV<doubleQuotes46>; // also try <doubleQuotes46>N-TRIPLE<doubleQuotes46> and <doubleQuotes46>TURTLE<doubleQuotes46><newline46mondego>StringWriter out = new StringWriter();<newline46mondego>model.write(out, syntax);<newline46mondego>String result = out.toString();<newline46mondego>"
"552splitHere46","10120336splitHere46","System.out"
"553splitHere46","10120336splitHere46","model.write(System.out, <doubleQuotes46>RDF/XML-ABBREV<doubleQuotes46>);<newline46mondego>"
"554splitHere46","10120389splitHere46","/a/b/c/text()[1]"
"555splitHere46","10120389splitHere46","(/a/b/c/text())[1]"
"556splitHere46","10120389splitHere46","ARG/substring-after(., ':')<newline46mondego>"
"557splitHere46","10120389splitHere46","substring-after(string-join(ARG, ''), ':')<newline46mondego>"
"558splitHere46","10120408splitHere46","public class PrettyPrintingMap<K, V> {<newline46mondego>    private Map<K, V> map;<newline46mondego><newline46mondego>    public PrettyPrintingMap(Map<K, V> map) {<newline46mondego>        this.map = map;<newline46mondego>    }<newline46mondego><newline46mondego>    public String toString() {<newline46mondego>        StringBuilder sb = new StringBuilder();<newline46mondego>        Iterator<Entry<K, V>> iter = map.entrySet().iterator();<newline46mondego>        while (iter.hasNext()) {<newline46mondego>            Entry<K, V> entry = iter.next();<newline46mondego>            sb.append(entry.getKey());<newline46mondego>            sb.append('=').append('<doubleQuotes46>');<newline46mondego>            sb.append(entry.getValue());<newline46mondego>            sb.append('<doubleQuotes46>');<newline46mondego>            if (iter.hasNext()) {<newline46mondego>                sb.append(',').append(' ');<newline46mondego>            }<newline46mondego>        }<newline46mondego>        return sb.toString();<newline46mondego><newline46mondego>    }<newline46mondego>}<newline46mondego>"
"559splitHere46","10120408splitHere46","Map<String, String> myMap = new HashMap<String, String>();<newline46mondego><newline46mondego>System.out.println(new PrettyPrintingMap<String, String>(myMap));<newline46mondego>"
"560splitHere46","10120455splitHere46","public static void main( String[] args) {<newline46mondego>        String line=<doubleQuotes46>a,b,a,b,a,b<doubleQuotes46>;<newline46mondego>        String[] split = line.split( <doubleQuotes46>,<doubleQuotes46> );<newline46mondego>        Arrays.sort( split );<newline46mondego>        for ( int i = split.length -1; i > 0 ; i--) {<newline46mondego>            System.out.print( split[i] );<newline46mondego>            System.out.print( <doubleQuotes46>,<doubleQuotes46> );<newline46mondego>        }<newline46mondego>        System.out.print( split[0] );<newline46mondego>    }<newline46mondego>"
"561splitHere46","10120505splitHere46","readLine();"
"562splitHere46","10120505splitHere46","equals()"
"563splitHere46","10120505splitHere46","BufferedReader reader1 = ...; // depends on your source<newline46mondego>BufferedReader reader2 = ...; // depends on your source<newline46mondego><newline46mondego>String line1 = null;<newline46mondego>String line2 = null;<newline46mondego><newline46mondego>while ((line1 = reader1.readLine()) != null && (line2 = reader2.readLine()) != null)<newline46mondego>{<newline46mondego>     if (line1.equals(line2))<newline46mondego>     {<newline46mondego><newline46mondego>     }<newline46mondego>}<newline46mondego>"
"564splitHere46","10120582splitHere46","@XmlSchema"
"565splitHere46","10120582splitHere46","package-info"
"566splitHere46","10120582splitHere46","@XmlSchema( <newline46mondego>    namespace = <doubleQuotes46>http://tempuri.org/<doubleQuotes46>, <newline46mondego>    elementFormDefault = XmlNsForm.QUALIFIED) <newline46mondego>package example;<newline46mondego><newline46mondego>import javax.xml.bind.annotation.XmlNsForm;<newline46mondego>import javax.xml.bind.annotation.XmlSchema;<newline46mondego>"
"567splitHere46","10120653splitHere46","List<MyClass> myVector = new Vector<MyClass>();<newline46mondego><newline46mondego>myVector.add(myClass1);<newline46mondego>myVector.add(myClass2);<newline46mondego>myVector.add(myclass3);<newline46mondego><newline46mondego><newline46mondego>Collections.sort(myVector, new Comparator<MyClass>() {<newline46mondego>    public int compare(MyClass one, MyClass two) {<newline46mondego>        return Double.valueOf(one.getDistance()).compareTo(two.getDistance());<newline46mondego>    }<newline46mondego>});<newline46mondego>"
"568splitHere46","10120653splitHere46","List"
"569splitHere46","10120653splitHere46","MyClass"
"570splitHere46","10120653splitHere46","Comparable"
"571splitHere46","10120653splitHere46","class MyClass implements Comparable<MyClass> {<newline46mondego>    private double distance;<newline46mondego>    private String name;<newline46mondego><newline46mondego>    @Override<newline46mondego>    public int compareTo(MyClass other) {<newline46mondego>        return Double.valueOf(this.distance).compareTo(other.distance);<newline46mondego>    }<newline46mondego><newline46mondego>    ...<newline46mondego>    getters and setters<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"572splitHere46","10120653splitHere46","Collections.sort(myVector)"
"573splitHere46","10120692splitHere46","var x = getElementsByTagName(<doubleQuotes46>table<doubleQuotes46>);<newline46mondego>var nTables = x.length<newline46mondego>"
"574splitHere46","10120715splitHere46","java.io.FileNotFoundException: yourFile.txt (The system cannot find the file specified)<newline46mondego>"
"575splitHere46","10120715splitHere46","java.io.FileNotFoundException: yourFile.txt (The system cannot find the file specified)<newline46mondego>at java.io.FileInputStream.open(Native Method)<newline46mondego>at java.io.FileInputStream.(FileInputStream.java:106)<newline46mondego>at java.io.FileReader.(FileReader.java:55)<newline46mondego>at ReadFromFile.main(ReadFromFile.java:14)<newline46mondego>"
"576splitHere46","10120715splitHere46","public static String exceptionStacktraceToString(Exception e)<newline46mondego>{<newline46mondego>    ByteArrayOutputStream baos = new ByteArrayOutputStream();<newline46mondego>    PrintStream ps = new PrintStream(baos);<newline46mondego>    e.printStackTrace(ps);<newline46mondego>    ps.close();<newline46mondego>    return baos.toString();<newline46mondego>}<newline46mondego>"
"577splitHere46","10120715splitHere46","toString()"
"578splitHere46","10120766splitHere46","Ball[] m_ball = new Ball[20];<newline46mondego><newline46mondego>for(int i = 0; i < m_ball.Length; i++)<newline46mondego>{<newline46mondego>   m_ball[i] = new Ball();<newline46mondego>}<newline46mondego>"
"579splitHere46","10120835splitHere46","import java.awt.*;<newline46mondego><newline46mondego>import javax.swing.JPanel;<newline46mondego><newline46mondego><newline46mondego><newline46mondego>public class FigurePanel extends JPanel {<newline46mondego><newline46mondego>// Define constants<newline46mondego>public static final int LINE = 1;<newline46mondego><newline46mondego>public static final int RECTANGLE = 2;<newline46mondego><newline46mondego>public static final int ROUND_RECTANGLE = 3;<newline46mondego><newline46mondego>public static final int OVAL = 4;<newline46mondego><newline46mondego>private int type = 1;<newline46mondego><newline46mondego>private boolean filled;<newline46mondego><newline46mondego>/** Construct a default FigurePanel */<newline46mondego><newline46mondego>public FigurePanel() {<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>/** Construct a FigurePanel with the specified type */<newline46mondego><newline46mondego>public FigurePanel(int type) {<newline46mondego><newline46mondego>this.type = type;<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego><newline46mondego>/** Construct a FigurePanel with the specified type and filled */<newline46mondego><newline46mondego>public FigurePanel(int type, boolean filled) {<newline46mondego><newline46mondego>this.type = type;<newline46mondego><newline46mondego>this.filled = filled;<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego><newline46mondego>/** Draw a figure on the panel */<newline46mondego><newline46mondego>public void paintComponent(Graphics g) {<newline46mondego><newline46mondego>super.paintComponent(g);<newline46mondego><newline46mondego><newline46mondego><newline46mondego>// Get the appropriate size for the figure<newline46mondego>int width = getSize().width;<newline46mondego><newline46mondego>int height = getSize().height;<newline46mondego><newline46mondego><newline46mondego><newline46mondego>switch (type) {<newline46mondego><newline46mondego>  case LINE: // Display two cross lines<newline46mondego>    g.setColor(Color.BLACK);<newline46mondego><newline46mondego>    g.drawLine(10, 10, width - 10, height - 10);<newline46mondego><newline46mondego>    g.drawLine(width - 10, 10, 10, height - 10);<newline46mondego><newline46mondego>    break;<newline46mondego><newline46mondego>  case RECTANGLE: // Display a rectangle<newline46mondego>    g.setColor(Color.BLUE);<newline46mondego><newline46mondego>    if (filled)<newline46mondego><newline46mondego>      g.fillRect((int)(0.1 * width), (int)(0.1 * height),<newline46mondego><newline46mondego>        (int)(0.8 * width), (int)(0.8 * height));<newline46mondego><newline46mondego>    else<newline46mondego><newline46mondego>      g.drawRect((int)(0.1 * width), (int)(0.1 * height),<newline46mondego><newline46mondego>        (int)(0.8 * width), (int)(0.8 * height));<newline46mondego><newline46mondego>    break;<newline46mondego><newline46mondego>  case ROUND_RECTANGLE: // Display a round-cornered rectangle<newline46mondego>    g.setColor(Color.RED);<newline46mondego><newline46mondego>    if (filled)<newline46mondego><newline46mondego>      g.fillRoundRect((int)(0.1 * width), (int)(0.1 * height),<newline46mondego><newline46mondego>        (int)(0.8 * width), (int)(0.8 * height), 20, 20);<newline46mondego><newline46mondego>    else<newline46mondego><newline46mondego>      g.drawRoundRect((int)(0.1 * width), (int)(0.1 * height),<newline46mondego><newline46mondego>        (int)(0.8 * width), (int)(0.8 * height), 20, 20);<newline46mondego><newline46mondego>    break;<newline46mondego><newline46mondego>  case OVAL: // Display an oval<newline46mondego>    g.setColor(Color.BLACK);<newline46mondego><newline46mondego>    if (filled)<newline46mondego><newline46mondego>      g.fillOval((int)(0.1 * width), (int)(0.1 * height),<newline46mondego><newline46mondego>        (int)(0.8 * width), (int)(0.8 * height));<newline46mondego><newline46mondego>    else<newline46mondego><newline46mondego>      g.drawOval((int)(0.1 * width), (int)(0.1 * height),<newline46mondego><newline46mondego>        (int)(0.8 * width), (int)(0.8 * height));<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego><newline46mondego>  /** Set a new figure type */<newline46mondego><newline46mondego>  public void setType(int type) {<newline46mondego><newline46mondego>  this.type = type;<newline46mondego><newline46mondego>  repaint();<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego><newline46mondego>/** Return figure type */<newline46mondego><newline46mondego>public int getType() {<newline46mondego><newline46mondego>return type;<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego><newline46mondego>/** Set a new filled property */<newline46mondego><newline46mondego>public void setFilled(boolean filled) {<newline46mondego><newline46mondego>  this.filled = filled;<newline46mondego><newline46mondego>  repaint();<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego><newline46mondego>/** Check if the figure is filled */<newline46mondego><newline46mondego>public boolean isFilled() {<newline46mondego><newline46mondego>return filled;<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego><newline46mondego>/** Specify preferred size */<newline46mondego><newline46mondego>public Dimension getPreferredSize() {<newline46mondego><newline46mondego>return new Dimension(80, 80);<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>}<newline46mondego>"
