"1splitHere46","14623876splitHere46","for(int year = 1900; year <= 2012; year++){<newline46mondego>if((year % 4 == 0 && year % 100 != 0) || year % 400 == 0){<newline46mondego>driver.findElement(By.id(<doubleQuotes46>DOB<doubleQuotes46>)).clear();<newline46mondego>driver.findElement(By.id(<doubleQuotes46>DOB<doubleQuotes46>)).sendKeys(<doubleQuotes46>29/02/<doubleQuotes46> + year);<newline46mondego>}<newline46mondego>}<newline46mondego>"
"492splitHere46","14638390splitHere46","import java.io.*;<newline46mondego>import java.util.*;<newline46mondego><newline46mondego>/**  <newline46mondego> * Class League - An instance of this class represents the teams in a<newline46mondego> * football (or similar) league. It provides a class method for creating<newline46mondego> * a new instance of League by reading the data for the teams from a CSV<newline46mondego> * file.<newline46mondego> * <newline46mondego> * @author Lewis Jones <newline46mondego> * @version 1.0<newline46mondego> */<newline46mondego><newline46mondego>public class League<newline46mondego>{<newline46mondego>   /* instance variables */<newline46mondego>   private String name;  // The name of the league<newline46mondego>   private Team[] teams; // An array to hold the teams in the league<newline46mondego><newline46mondego>   /**<newline46mondego>    * Constructor for objects of class League. It sets the name of the league<newline46mondego>    * to the String object provided as the first argument and initialises teams<newline46mondego>    * to an array of the size provided as the second argument. This constructor <newline46mondego>    * is private as it is intended for use only by the class method loadLeague().<newline46mondego>    */<newline46mondego>   private League(String aName, Team[] teams)<newline46mondego>   {<newline46mondego>      super();<newline46mondego>      this.name = aName;<newline46mondego>      this.teams = teams;<newline46mondego>   }<newline46mondego><newline46mondego>   /* class method */<newline46mondego>   /**<newline46mondego>    * This method creates a new League object by reading the required details from<newline46mondego>    * a CSV file. The file must be organised as follows:<newline46mondego>    *     name(String), number of teams (int)<newline46mondego>    *     team name(String), won(int), drawn(int), lost(int), for(int), against    (int)<newline46mondego>    *        and so on for each team<newline46mondego>    * Having created the new League object the method should create all the Team <newline46mondego>    * objects (using the data in the file to set their attributes) and add them <newline46mondego>    * to the teams array.<newline46mondego>    */<newline46mondego>   public static League loadLeague()<newline46mondego>   {<newline46mondego>      League theLeague = null;<newline46mondego>      String pathname = OUFileChooser.getFilename();<newline46mondego>      File aFile = new File(pathname);<newline46mondego>      Scanner bufferedScanner = null;<newline46mondego><newline46mondego>      try<newline46mondego>      {<newline46mondego>         String leagueName;<newline46mondego>         int numberOfTeams;<newline46mondego><newline46mondego>         String teamName;<newline46mondego>         int won;<newline46mondego>         int drawn;<newline46mondego>         int lost;<newline46mondego>         int goalsFor;<newline46mondego>         int goalsAgainst;<newline46mondego>         Scanner lineScanner;<newline46mondego>         String currentLine;<newline46mondego>         bufferedScanner = new Scanner(new BufferedReader(new FileReader (aFile)));    <newline46mondego>         boolean firstLine = true;<newline46mondego>         List<Team> teamsList = new ArrayList<Team>();<newline46mondego>         Team[] teams = null;<newline46mondego>         while (bufferedScanner.hasNextLine())<newline46mondego>         {<newline46mondego>            currentLine = bufferedScanner.nextLine();<newline46mondego>            lineScanner = new Scanner(currentLine);<newline46mondego>            lineScanner.useDelimiter(<doubleQuotes46>,<doubleQuotes46>);<newline46mondego><newline46mondego>            if (firstLine) {<newline46mondego>                // you originally used <doubleQuotes46>bufferedScanner<doubleQuotes46> which actually <newline46mondego>                // gets the values on the next line, not the current line<newline46mondego>                leagueName = lineScanner.next();<newline46mondego>                numberOfTeams = lineScanner.nextInt();<newline46mondego>                firstLine = false;<newline46mondego>                continue;<newline46mondego>            }<newline46mondego><newline46mondego>            Team aTeam = new Team(lineScanner.next());<newline46mondego>            aTeam.setWon(lineScanner.nextInt());<newline46mondego>            aTeam.setDrawn(lineScanner.nextInt());<newline46mondego>            aTeam.setLost(lineScanner.nextInt());<newline46mondego>            aTeam.setGoalsFor(lineScanner.nextInt());<newline46mondego>            aTeam.setGoalsAgainst(lineScanner.nextInt());<newline46mondego>            teamsList.add(aTeam);<newline46mondego><newline46mondego>         }<newline46mondego>         teams = teamsList.toArray(new Team[]{});<newline46mondego>         theLeague = new League(leagueName, teams);<newline46mondego>      }  <newline46mondego>      catch (Exception anException)<newline46mondego>      {<newline46mondego>         System.out.println(<doubleQuotes46>Error: <doubleQuotes46> + anException);<newline46mondego>      }<newline46mondego>      finally<newline46mondego>      {<newline46mondego>         try<newline46mondego>         {<newline46mondego>            bufferedScanner.close();<newline46mondego>         }<newline46mondego>         catch (Exception anException)<newline46mondego>         {<newline46mondego>            System.out.println(<doubleQuotes46>Error: <doubleQuotes46> + anException);<newline46mondego>         }<newline46mondego>      }<newline46mondego>      return theLeague;<newline46mondego>   }<newline46mondego><newline46mondego>   /* instance methods */<newline46mondego><newline46mondego>   /**<newline46mondego>    * Displays the league table in tabular format to the standard output<newline46mondego>    */<newline46mondego>   public void display()<newline46mondego>   {<newline46mondego>      System.out.println(this.name);<newline46mondego>      System.out.format(<doubleQuotes46>%20s %2s %2s %2s %2s %2s %2s %    2s\n<doubleQuotes46>,<doubleQuotes46><doubleQuotes46>,<doubleQuotes46>P<doubleQuotes46>,<doubleQuotes46>W<doubleQuotes46>,<doubleQuotes46>L<doubleQuotes46>,<doubleQuotes46>D<doubleQuotes46>,<doubleQuotes46>F<doubleQuotes46>,<doubleQuotes46>A<doubleQuotes46>,<doubleQuotes46>Pt<doubleQuotes46>);<newline46mondego>      for (Team eachTeam : this.teams)<newline46mondego>      {<newline46mondego>         System.out.format(<doubleQuotes46>%20s %2d %2d %2d %2d %2d %2d %2d\n<doubleQuotes46>,<newline46mondego>                       eachTeam.getName(), eachTeam.getPlayed(), <newline46mondego>                       eachTeam.getWon(), eachTeam.getDrawn(), <newline46mondego>                       eachTeam.getLost(),eachTeam.getGoalsFor(), <newline46mondego>                       eachTeam.getGoalsAgainst(), eachTeam.getPoints());        <newline46mondego>      }<newline46mondego>   }<newline46mondego><newline46mondego>   /**<newline46mondego>    * Arrange the elements of teams in their natural order. This will only<newline46mondego>    * work if a natural order has been defined for the class Team.<newline46mondego>    */<newline46mondego>   public void sort()<newline46mondego>   {<newline46mondego>      // to be written later...<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"493splitHere46","14638416splitHere46","class Throttler implements TimerTask {<newline46mondego>  final Semaphore s = new Semaphore(80);  <newline46mondego>  final Timer timer = new Timer(true);<newline46mondego><newline46mondego>  Throttler() {<newline46mondego>    timer.schedule(this, 0, 60*1000);   //schedule this for 1 min execution  <newline46mondego>  }<newline46mondego><newline46mondego>  run() {  //called by timer <newline46mondego>    s.release(80 - s.availablePermits());<newline46mondego>  }<newline46mondego><newline46mondego>  makeCall() {<newline46mondego>    s.acquire();<newline46mondego>    doMakeCall();<newline46mondego>  }<newline46mondego><newline46mondego>}<newline46mondego>"
"494splitHere46","14638416splitHere46","com.google.common.util.concurrent.RateLimiter"
"495splitHere46","14638416splitHere46","class Throttler {<newline46mondego>  final RateLimiter rateLimiter = RateLimiter.create(80.0/60.0);<newline46mondego><newline46mondego>  makeCall() {<newline46mondego>    rateLimiter.acquire();<newline46mondego>    doMakeCall();<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"496splitHere46","14638616splitHere46","A.doSomething()"
"497splitHere46","14638616splitHere46","a"
"498splitHere46","14638616splitHere46","doSomething"
"499splitHere46","14638621splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><web-app xmlns=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<doubleQuotes46><newline46mondego>    xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46><newline46mondego>    xsi:schemaLocation=<doubleQuotes46>http://java.sun.com/xml/ns/javaee<newline46mondego>                        http://java.sun.com/xml/ns/javaee/web-app_3_0.xsd<doubleQuotes46><newline46mondego>    version=<doubleQuotes46>3.0<doubleQuotes46>><newline46mondego><newline46mondego>    <display-name>Test application</display-name><newline46mondego><newline46mondego>    <servlet><newline46mondego>        <servlet-name>Order Servlet</servlet-name><newline46mondego>        <servlet-class>com.example.TestOrderServlet</servlet-class><newline46mondego>    </servlet><newline46mondego>    <servlet-mapping><newline46mondego>        <servlet-name>Order Servlet</servlet-name><newline46mondego>        <url-pattern>/MakeOrder.do</url-pattern><newline46mondego>    </servlet-mapping><newline46mondego><newline46mondego></web-app><newline46mondego>"
"500splitHere46","14638621splitHere46","<!DOCTYPE html><newline46mondego><html><newline46mondego><head><newline46mondego>    <title>Test Page</title><newline46mondego>    <meta http-equiv=<doubleQuotes46>Content-Type<doubleQuotes46> content=<doubleQuotes46>text/html; charset=UTF-8<doubleQuotes46>><newline46mondego></head><newline46mondego><body><newline46mondego>    <h1>Test page</h1><newline46mondego>    <form action=<doubleQuotes46>MakeOrder.do<doubleQuotes46> method=<doubleQuotes46>post<doubleQuotes46>><newline46mondego>        <div style=<doubleQuotes46>color: #FF0000;<doubleQuotes46>>${errorMessage}</div><newline46mondego>        <p>Enter amount: <input type=<doubleQuotes46>text<doubleQuotes46> name=<doubleQuotes46>itemAmount<doubleQuotes46> /></p><newline46mondego>        <input type=<doubleQuotes46>submit<doubleQuotes46> value=<doubleQuotes46>Submit Data<doubleQuotes46> /><newline46mondego>    </form><newline46mondego></body><newline46mondego></html><newline46mondego>"
"501splitHere46","14638621splitHere46","package com.example;<newline46mondego><newline46mondego>import javax.servlet.http.HttpServlet;<newline46mondego>import javax.servlet.http.HttpServletRequest;<newline46mondego>import javax.servlet.http.HttpServletResponse;<newline46mondego>import javax.servlet.ServletException;<newline46mondego><newline46mondego>import java.io.IOException;<newline46mondego><newline46mondego>public class TestOrderServlet extends HttpServlet {<newline46mondego><newline46mondego>    protected void doPost(HttpServletRequest request, HttpServletResponse response)<newline46mondego>                    throws ServletException, IOException {<newline46mondego>        int amount = 0;<newline46mondego>        try {<newline46mondego>            amount = Integer.parseInt(request.getParameter(<doubleQuotes46>itemAmount<doubleQuotes46>));<newline46mondego>        } catch (NumberFormatException e) {<newline46mondego>            // do something or whatever<newline46mondego>        }<newline46mondego><newline46mondego>        if ((amount > 0) && (amount < 100)) {   // an amount is OK<newline46mondego>            request.getRequestDispatcher(<doubleQuotes46>/index.jsp<doubleQuotes46>).forward(request, response);<newline46mondego>        } else {                                // invalid amount<newline46mondego>            // Set some error message as a request attribute.<newline46mondego>            if (amount <= 0) {<newline46mondego>                request.setAttribute(<doubleQuotes46>errorMessage<doubleQuotes46>, <doubleQuotes46>Please submit an amount of at least 1<doubleQuotes46>);<newline46mondego>            } <newline46mondego>            if (amount > 100){<newline46mondego>                request.setAttribute(<doubleQuotes46>errorMessage<doubleQuotes46>, <doubleQuotes46>Amount of items ordered is too big. No more than 100 is currently available.<doubleQuotes46>);<newline46mondego>            }<newline46mondego>            // get back to order.jsp page using forward<newline46mondego>            request.getRequestDispatcher(<doubleQuotes46>/order.jsp<doubleQuotes46>).forward(request, response);<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"502splitHere46","14638621splitHere46","package com.example;<newline46mondego><newline46mondego>import javax.servlet.http.HttpServlet;<newline46mondego>import javax.servlet.http.HttpServletRequest;<newline46mondego>import javax.servlet.http.HttpServletResponse;<newline46mondego>import javax.servlet.ServletException;<newline46mondego><newline46mondego>import java.io.IOException;<newline46mondego><newline46mondego>public class TestOrderServlet extends HttpServlet {<newline46mondego><newline46mondego>    protected void doPost(HttpServletRequest request, HttpServletResponse response)<newline46mondego>                    throws ServletException, IOException {<newline46mondego>        int amount = 0;<newline46mondego>        try {<newline46mondego>            amount = Integer.parseInt(request.getParameter(<doubleQuotes46>itemAmount<doubleQuotes46>));<newline46mondego>        } catch (NumberFormatException e) {<newline46mondego>            // do something or whatever<newline46mondego>        }<newline46mondego><newline46mondego>        if ((amount > 0) && (amount < 100)) {   // an amount is OK<newline46mondego>            // If the session does not have an object bound with the specified name, the removeAttribute() method does nothing.<newline46mondego>            request.getSession().removeAttribute(<doubleQuotes46>errorMessage<doubleQuotes46>);<newline46mondego>            request.getRequestDispatcher(<doubleQuotes46>/index.jsp<doubleQuotes46>).forward(request, response);<newline46mondego>        } else {                                // invalid amount<newline46mondego>            // Set some error message as a Session attribute.<newline46mondego>            if (amount <= 0) {<newline46mondego>                request.getSession().setAttribute(<doubleQuotes46>errorMessage<doubleQuotes46>, <doubleQuotes46>Please submit an amount of at least 1<doubleQuotes46>);<newline46mondego>            } <newline46mondego>            if (amount > 100){<newline46mondego>                request.getSession().setAttribute(<doubleQuotes46>errorMessage<doubleQuotes46>, <doubleQuotes46>Amount of items ordered is too big. No more than 100 is currently available.<doubleQuotes46>);<newline46mondego>            }<newline46mondego>            // get back to the referer page using redirect<newline46mondego>            response.sendRedirect(request.getHeader(<doubleQuotes46>Referer<doubleQuotes46>));<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"503splitHere46","14638640splitHere46","new Handler().postDelayed(Runnable runnable, long millis)"
"504splitHere46","14638781splitHere46","nextInt"
"505splitHere46","14638781splitHere46","if (in.hasNextInt() && in.nextInt() >= 1 || in.nextInt() <= max) {<newline46mondego>            selection = in.nextInt();<newline46mondego>//...<newline46mondego>"
"506splitHere46","14638781splitHere46","if(in.hasNextInt()) {<newline46mondego>   int selection = in.nextInt();<newline46mondego>   if(selection >= 1 || selection <= max) {<newline46mondego>       run = false;<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"507splitHere46","14638876splitHere46","POM.xml"
"508splitHere46","14638876splitHere46","use-maven-layout.sh"
"509splitHere46","14638883splitHere46","import java.util.zip.CRC32;<newline46mondego><newline46mondego>public class HugeStringCollection {<newline46mondego>    private Collection<String> strings;<newline46mondego><newline46mondego>    public HugeStringCollection(Collection<String> strings) {<newline46mondego>        this.strings = strings;<newline46mondego>    }<newline46mondego><newline46mondego>    public int hashCode() {<newline46mondego>        CRC32 crc = new CRC32();<newline46mondego>        for(String string : strings) {<newline46mondego>            crc.update(string.getBytes())<newline46mondego>        }<newline46mondego><newline46mondego>        return (int)( crc.getValue() );<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"510splitHere46","14639061splitHere46","java –jar jumbo-converters-crystal-cif-0.3-SNAPSHOT-jar-with-dependencies.jar 0151.cif 0151.cml<newline46mondego>"
"511splitHere46","14639061splitHere46","java -jar jumbo-converters-crystal-cif-0.3-SNAPSHOT-jar-with-dependencies.jar 0151.cif 0151.cml<newline46mondego>"
"512splitHere46","14639061splitHere46","jar"
"513splitHere46","14639312splitHere46","getViewportBorderBounds()"
"514splitHere46","14639312splitHere46","getViewport()"
"515splitHere46","14639312splitHere46","getVisibleRect()"
"516splitHere46","14639446splitHere46","Mathey()"
"517splitHere46","14639446splitHere46","a, b, c"
"518splitHere46","14639446splitHere46","solveA()"
"519splitHere46","14639446splitHere46","solveB()"
"520splitHere46","14639446splitHere46","a, b, c"
"521splitHere46","14639446splitHere46","2*a"
"522splitHere46","14639446splitHere46","solution1"
"523splitHere46","14639446splitHere46","solution2"
"524splitHere46","14639446splitHere46","NaN"
"525splitHere46","14639446splitHere46","double a = aN, b = bN, c = cN;<newline46mondego>"
"526splitHere46","14639446splitHere46","a = aN, b = bN, c = cN;<newline46mondego>"
"527splitHere46","14639446splitHere46","double"
"528splitHere46","14639446splitHere46","int"
"529splitHere46","14639446splitHere46","int a;int b;int c;<newline46mondego>"
"530splitHere46","14639446splitHere46","double a, b, c;<newline46mondego>"
"531splitHere46","14639446splitHere46","Mathey"
"532splitHere46","14639446splitHere46","chooser?"
"533splitHere46","14639446splitHere46","determinant"
"534splitHere46","14639636splitHere46","class Cat implements Thawed<Dog> { }<newline46mondego>class HouseCat extends Cat { }<newline46mondego>class Dog implements Frozen<HouseCat> { }<newline46mondego>"
"535splitHere46","14639636splitHere46","public interface Thawed<F extends Frozen<T, F>, T extends Thawed<F, T>> { }<newline46mondego><newline46mondego>public interface Frozen<T extends Thawed<F, T>, F extends Frozen<T, F>> { }<newline46mondego>"
"536splitHere46","14639636splitHere46","class Cat implements Thawed<Dog, HouseCat> { }<newline46mondego><newline46mondego>class HouseCat extends Cat { }<newline46mondego><newline46mondego>class Dog implements Frozen<HouseCat, Dog> { }<newline46mondego>"
"537splitHere46","14639788splitHere46","Scrollable"
"538splitHere46","14639788splitHere46","public boolean scrollableTracksViewportWidth() {<newline46mondego>    return true;<newline46mondego>}<newline46mondego>"
"539splitHere46","14640070splitHere46","jar -cvf playground/wordcount.jar -C playground/classes .<newline46mondego>"
"540splitHere46","14640135splitHere46","$"
"541splitHere46","14640135splitHere46","String.startsWith"
"542splitHere46","14640135splitHere46","if (w.startsWith(<doubleQuotes46>$<doubleQuotes46>) || w.startsWith(<doubleQuotes46> $<doubleQuotes46>))<newline46mondego>"
"543splitHere46","14640135splitHere46","String.startsWith(String prefix, int offset)"
"544splitHere46","14640135splitHere46","0"
"545splitHere46","14640135splitHere46","$"
"546splitHere46","14640180splitHere46","//Create a file chooser<newline46mondego>final JFileChooser fc = new JFileChooser();<newline46mondego>...<newline46mondego>//In response to a button click:<newline46mondego>int returnVal = fc.showOpenDialog(aComponent);<newline46mondego>"
"547splitHere46","14640180splitHere46","int returnVal = fc.showOpenDialog(null);<newline46mondego>"
"548splitHere46","14640216splitHere46","for(Object o : Objects)<newline46mondego>{<newline46mondego>    for(Object p : Objects2)<newline46mondego>    {<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"549splitHere46","14640216splitHere46","for(Iterator<Object> iter = Objects.iterator(); iter.hasNext();)<newline46mondego>{<newline46mondego>    Object o = iter.next();<newline46mondego>    for(Iterator<Object> iter2 = Objects2.iterator(); iter2.hasNext();)<newline46mondego>    {<newline46mondego>        Object p = iter2.next();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"550splitHere46","14640216splitHere46","iter2"
"551splitHere46","14640216splitHere46","Objects"
"552splitHere46","14640216splitHere46","Objects2"
"553splitHere46","14640216splitHere46","o"
"554splitHere46","14640216splitHere46","Objects2.iterator()"
"555splitHere46","14640216splitHere46","Iterable#iterator()"
"556splitHere46","14640216splitHere46","Objects2.iterator()"
"557splitHere46","14640216splitHere46","Iterator"
"558splitHere46","14640216splitHere46","Objects2"
"559splitHere46","14640216splitHere46","iter2"
"560splitHere46","14640216splitHere46","package com.stackoverflow;<newline46mondego><newline46mondego>import java.util.Iterator;<newline46mondego><newline46mondego>public class Question14640184<newline46mondego>{<newline46mondego>    public void enhancedForLoop(Iterable<Object> objects1, Iterable<Object> objects2)<newline46mondego>    {<newline46mondego>        for(Object o1 : objects1)<newline46mondego>        {<newline46mondego>            for(Object o2 : objects2)<newline46mondego>            {<newline46mondego>                // do something<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    public void iteratorForLoop(Iterable<Object> objects1, Iterable<Object> objects2)<newline46mondego>    {<newline46mondego>        for(Iterator<Object> iter1 = objects1.iterator(); iter1.hasNext();)<newline46mondego>        {<newline46mondego>            Object o1 = iter1.next();<newline46mondego>            for(Iterator<Object> iter2 = objects2.iterator(); iter2.hasNext();)<newline46mondego>            {<newline46mondego>                Object o2 = iter2.next();<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"561splitHere46","14640216splitHere46","✗ javac Question14640184.java<newline46mondego>✗ javap -c Question14640184<newline46mondego>Compiled from <doubleQuotes46>Question14640184.java<doubleQuotes46><newline46mondego>public class com.stackoverflow.Question14640184 extends java.lang.Object{<newline46mondego>public com.stackoverflow.Question14640184();<newline46mondego>  Code:<newline46mondego>   0:   aload_0<newline46mondego>   1:   invokespecial   #1; //Method java/lang/Object.<doubleQuotes46><init><doubleQuotes46>:()V<newline46mondego>   4:   return<newline46mondego><newline46mondego>public void enhancedForLoop(java.lang.Iterable, java.lang.Iterable);<newline46mondego>  Code:<newline46mondego>   0:   aload_1<newline46mondego>   1:   invokeinterface #2,  1; //InterfaceMethod java/lang/Iterable.iterator:()Ljava/util/Iterator;<newline46mondego>   6:   astore_3<newline46mondego>   7:   aload_3<newline46mondego>   8:   invokeinterface #3,  1; //InterfaceMethod java/util/Iterator.hasNext:()Z<newline46mondego>   13:  ifeq    57<newline46mondego>   16:  aload_3<newline46mondego>   17:  invokeinterface #4,  1; //InterfaceMethod java/util/Iterator.next:()Ljava/lang/Object;<newline46mondego>   22:  astore  4<newline46mondego>   24:  aload_2<newline46mondego>   25:  invokeinterface #2,  1; //InterfaceMethod java/lang/Iterable.iterator:()Ljava/util/Iterator;<newline46mondego>   30:  astore  5<newline46mondego>   32:  aload   5<newline46mondego>   34:  invokeinterface #3,  1; //InterfaceMethod java/util/Iterator.hasNext:()Z<newline46mondego>   39:  ifeq    54<newline46mondego>   42:  aload   5<newline46mondego>   44:  invokeinterface #4,  1; //InterfaceMethod java/util/Iterator.next:()Ljava/lang/Object;<newline46mondego>   49:  astore  6<newline46mondego>   51:  goto    32<newline46mondego>   54:  goto    7<newline46mondego>   57:  return<newline46mondego><newline46mondego>public void iteratorForLoop(java.lang.Iterable, java.lang.Iterable);<newline46mondego>  Code:<newline46mondego>   0:   aload_1<newline46mondego>   1:   invokeinterface #2,  1; //InterfaceMethod java/lang/Iterable.iterator:()Ljava/util/Iterator;<newline46mondego>   6:   astore_3<newline46mondego>   7:   aload_3<newline46mondego>   8:   invokeinterface #3,  1; //InterfaceMethod java/util/Iterator.hasNext:()Z<newline46mondego>   13:  ifeq    57<newline46mondego>   16:  aload_3<newline46mondego>   17:  invokeinterface #4,  1; //InterfaceMethod java/util/Iterator.next:()Ljava/lang/Object;<newline46mondego>   22:  astore  4<newline46mondego>   24:  aload_2<newline46mondego>   25:  invokeinterface #2,  1; //InterfaceMethod java/lang/Iterable.iterator:()Ljava/util/Iterator;<newline46mondego>   30:  astore  5<newline46mondego>   32:  aload   5<newline46mondego>   34:  invokeinterface #3,  1; //InterfaceMethod java/util/Iterator.hasNext:()Z<newline46mondego>   39:  <newline46mondego>"
"562splitHere46","14640396splitHere46","@Controller<newline46mondego>@SessionAttributes({<doubleQuotes46>changePasswordForm<doubleQuotes46>})<newline46mondego>public class MyController {<newline46mondego>    @InitBinder<newline46mondego>    public void initBinder(WebDataBinder binder) {<newline46mondego>       binder.setValidator(new ChangePasswordFormValidator());<newline46mondego>    }<newline46mondego><newline46mondego>    @ModelAttribute(<doubleQuotes46>changePasswordForm<doubleQuotes46>)<newline46mondego>    public ChangePasswordForm createChangePasswordForm() {<newline46mondego>      ...<newline46mondego>    }<newline46mondego><newline46mondego><newline46mondego>    @RequestMapping(...)<newline46mondego>    public ModelAndView controllerMethod(<newline46mondego>          @Valid @ModelAttribute changePasswordForm ChangePasswordForm) {<newline46mondego>      ...<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"563splitHere46","14640396splitHere46","public void validate(Object target, Errors errors) {<newline46mondego>    ValidationUtils.rejectIfEmptyOrWhitespace(errors, <doubleQuotes46>username<doubleQuotes46>, <doubleQuotes46>username.required<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"564splitHere46","14640614splitHere46","public class XmlEntry implements Comparable<XmlEntry>{<newline46mondego>    private final String mName;<newline46mondego>    private final String mType;<newline46mondego><newline46mondego>    public String getName() {<newline46mondego>        return mName;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getType() {<newline46mondego>        return mType;<newline46mondego>    }<newline46mondego><newline46mondego>    public XmlEntry(String name, String type) {<newline46mondego>        mName = name;<newline46mondego>        mType = type;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public int compareTo(XmlEntry xmlEntry) {<newline46mondego>        //--sort by name--<newline46mondego>        return mName.compareTo(xmlEntry.getName());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"565splitHere46","14640614splitHere46","ArrayList<XmlEntry>"
"566splitHere46","14640614splitHere46","alEntries.add(new XmlEntry(name,type))"
"567splitHere46","14640614splitHere46","Collections.sort(alEntries)"
"568splitHere46","14640614splitHere46","XmlEntry"
"569splitHere46","14640883splitHere46","schemaLocation"
"570splitHere46","14640883splitHere46","<webapp>"
"571splitHere46","14640883splitHere46","version"
"572splitHere46","14640883splitHere46","3.0"
"573splitHere46","14640883splitHere46","schemaLocation"
"574splitHere46","14641089splitHere46","(?i)(?:[a-z]*[aeiou]){3}[a-z]*<newline46mondego>"
"575splitHere46","14641089splitHere46","String.matches"
"576splitHere46","14641089splitHere46","Matcher"
"577splitHere46","14641089splitHere46","[a-z&&[^aeiou]]"
"578splitHere46","14641089splitHere46","String.matches"
"579splitHere46","14641089splitHere46","(?i)(?:[a-z&&[^aeiou]]*[aeiou]){3}[a-z&&[^aeiou]]*<newline46mondego>"
"580splitHere46","14641089splitHere46","(?i)(?<![a-z])(?:[a-z&&[^aeiou]]*[aeiou]){3}[a-z&&[^aeiou]]*(?![a-z])<newline46mondego>"
"581splitHere46","14641091splitHere46","ArrayList"
"582splitHere46","14641091splitHere46","List"
"583splitHere46","14641091splitHere46","public static List<String> getTiles(List<String> inputList) {<newline46mondego>    // criteria for dividing up the strings themselves<newline46mondego>    // logic to modify the list in-place or create a new copy to return<newline46mondego>}<newline46mondego>"
"584splitHere46","14641300splitHere46","move"
"585splitHere46","14641351splitHere46","customer_id"
"586splitHere46","14641351splitHere46","customer_id"
"587splitHere46","14641351splitHere46","@ManyToOne"
"588splitHere46","14641351splitHere46","@OneToMany(mappedBy = <doubleQuotes46>customer<doubleQuotes46>, cascade = CascadeType.REMOVE)"
"589splitHere46","14641351splitHere46","customer_id"
"590splitHere46","14641655splitHere46","wait()"
"591splitHere46","14641681splitHere46","syntax/java.vim"
"592splitHere46","14641681splitHere46","2010 March 23"
"593splitHere46","14641681splitHere46","2012 Oct 05"
"594splitHere46","14641681splitHere46","~/.vim/after/syntax/java.vim"
"595splitHere46","14641681splitHere46","if v:version < 703<newline46mondego>    <doubleQuotes46> The default Java syntax file lacks the 'fold' option.<newline46mondego>    syn region javaFold start=<doubleQuotes46>{<doubleQuotes46> end=<doubleQuotes46>}<doubleQuotes46> transparent fold<newline46mondego>endif<newline46mondego>"
"596splitHere46","14641997splitHere46","Runnable moveTask = new Runnable () {<newline46mondego>    public void run() {<newline46mondego>        while (true) {<newline46mondego>            Thread.sleep(...);<newline46mondego>            SwingUtilities.invokeLater(theActualMoveHere());<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>new Thread(moveTask).start();<newline46mondego>"
"597splitHere46","14642054splitHere46","Request"
"598splitHere46","14642054splitHere46","Request"
"599splitHere46","14642054splitHere46","List <String>"
"600splitHere46","14642054splitHere46","List<Request>"
"601splitHere46","14642054splitHere46","String"
"602splitHere46","14642054splitHere46","Request"
"603splitHere46","14642054splitHere46","Response"
"604splitHere46","14642054splitHere46","Request"
"605splitHere46","14642054splitHere46","Request"
"606splitHere46","14642054splitHere46","Response"
"607splitHere46","14642054splitHere46","Processor"
"608splitHere46","14642103splitHere46","-clearPersistedState"
"609splitHere46","14642103splitHere46","Clear"
"610splitHere46","14642129splitHere46","s_ysymbol = s_ysymbol.replace(<doubleQuotes46>^<doubleQuotes46>,<doubleQuotes46>255E<doubleQuotes46>);"
"611splitHere46","14642146splitHere46","html"
"612splitHere46","14642146splitHere46","CustomerRegistrationPanel"
"613splitHere46","14642146splitHere46","CustomerRegistrationPanel.html"
"614splitHere46","14642239splitHere46","int[][]"
"615splitHere46","14642239splitHere46","int[][] arr = new int[size][2];<newline46mondego>"
"616splitHere46","14642239splitHere46","size"
"617splitHere46","14642239splitHere46","int[][] arr = new int[2][size];<newline46mondego>"
"618splitHere46","14642299splitHere46","new File(<doubleQuotes46>~/<doubleQuotes46>)<newline46mondego>"
"619splitHere46","14642299splitHere46","~"
"620splitHere46","14642299splitHere46","new File(<doubleQuotes46>/home/myself/<doubleQuotes46>)<newline46mondego>"
"621splitHere46","14642299splitHere46","File()"
"622splitHere46","14642299splitHere46","~"
