"1splitHere46","3612071splitHere46","JSONObject query = json.getJSONObject(<doubleQuotes46>query<doubleQuotes46>);<newline46mondego>JSONObject results = query.getJSONObject(<doubleQuotes46>results<doubleQuotes46>);<newline46mondego>JSONArray quotes = results.getJSONArray(<doubleQuotes46>quotes<doubleQuotes46>);<newline46mondego>"
"1785splitHere46","3663048splitHere46","public class MyActionClass ...{<newline46mondego><newline46mondego>  ...<newline46mondego>  public String actionMethod() {<newline46mondego>    //Your action code here<newline46mondego>    return SUCCESS;<newline46mondego> } <newline46mondego>}<newline46mondego>"
"1786splitHere46","3663048splitHere46","<package name=<doubleQuotes46>default<doubleQuotes46> extends=<doubleQuotes46>struts-default<doubleQuotes46>><newline46mondego>   <!--Interceptors, Global Results etc.--><newline46mondego>   <action name=<doubleQuotes46>myaction<doubleQuotes46> class=<doubleQuotes46>my.package.MyActionClass<doubleQuotes46> method=<doubleQuotes46>actionMethod<doubleQuotes46>><newline46mondego>        <result>/WEB-INF/path/to/yourpage.jsp</result><newline46mondego>    </action><newline46mondego>   ...<newline46mondego></package><newline46mondego>"
"1787splitHere46","3663048splitHere46","<package  name=<doubleQuotes46>2<doubleQuotes46> extends=<doubleQuotes46>default<doubleQuotes46> namespace=<doubleQuotes46>/2<doubleQuotes46> ><newline46mondego><newline46mondego>      <action name=<doubleQuotes46>myaction<doubleQuotes46> class=<doubleQuotes46>my.package.MyActionClass<doubleQuotes46> method=<doubleQuotes46>actionMethod<doubleQuotes46>><newline46mondego>        <result>/WEB-INF/path/to/yourpage.jsp</result><newline46mondego>       </action><newline46mondego>   ...<newline46mondego>   </package><newline46mondego>"
"1788splitHere46","3663264splitHere46","php_java.dll"
"1789splitHere46","3663415splitHere46","value1 = values.substring(0, 2); value2 = values.substring(2,4)"
"1790splitHere46","3663596splitHere46","public NumericTextField(String text) {<newline46mondego>    super(text);<newline46mondego>    // This next line will erase the content on the current document<newline46mondego>    setDocument(new CustomFilterDocument());<newline46mondego>}<newline46mondego>"
"1791splitHere46","3663614splitHere46","ServletRequestListener"
"1792splitHere46","3663614splitHere46","Filter"
"1793splitHere46","3663614splitHere46","Filter"
"1794splitHere46","3663614splitHere46","Filter"
"1795splitHere46","3663614splitHere46","ServletRequestListener"
"1796splitHere46","3663614splitHere46","ServletRequestListener"
"1797splitHere46","3663614splitHere46","Filter"
"1798splitHere46","3663614splitHere46","Filter"
"1799splitHere46","3663693splitHere46","Activity.getResources().getConfiguration().orientation<newline46mondego>"
"1800splitHere46","3663949splitHere46","String[] yourArray = Arrays.copyOfRange(oldArr, 1, oldArr.length);<newline46mondego>"
"1801splitHere46","3663949splitHere46","List<String>"
"1802splitHere46","3663949splitHere46","List<String> list = new ArrayList<String>(); // or LinkedList<String>();<newline46mondego>list.add(<doubleQuotes46>Stuff<doubleQuotes46>);<newline46mondego>// add lots of stuff<newline46mondego>list.remove(0); // removes the first item<newline46mondego>"
"1803splitHere46","3663953splitHere46","<web-app><newline46mondego><listener><newline46mondego>    <listener-class><newline46mondego>     mypackage.MyContextListener<newline46mondego>    </listener-class><newline46mondego>  </listener><newline46mondego><servlet/><newline46mondego><servlet-mapping/><newline46mondego></web-app><newline46mondego>"
"1804splitHere46","3664096splitHere46","enums"
"1805splitHere46","3664108splitHere46","import java.util.HashSet;<newline46mondego>import java.util.Set;<newline46mondego><newline46mondego>public class Customer {<newline46mondego><newline46mondego>    private String name = null;<newline46mondego>    private Set<Order> orders = new HashSet<Order>();<newline46mondego>    private long id = 0;<newline46mondego><newline46mondego>    public long getId() {<newline46mondego>        return id;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setId(long id) {<newline46mondego>        this.id = id;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getName() {<newline46mondego>        return name;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setName(String name) {<newline46mondego>        this.name = name;<newline46mondego>    }<newline46mondego><newline46mondego>    public Set<Order> getOrders() {<newline46mondego>        return orders;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setOrders(Set<Order> orders) {<newline46mondego>        this.orders = orders;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>import java.util.ArrayList;<newline46mondego>import java.util.Date;<newline46mondego>import java.util.List;<newline46mondego><newline46mondego>public class Order {<newline46mondego>    private long id = 0;<newline46mondego>    private Date date = null;<newline46mondego>    private Customer customer = null;<newline46mondego>    private List<LineItem> lineItems = new ArrayList<LineItem>();<newline46mondego><newline46mondego>    public long getId() {<newline46mondego>        return id;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setId(long id) {<newline46mondego>        this.id = id;<newline46mondego>    }<newline46mondego><newline46mondego>    public Date getDate() {<newline46mondego>        return date;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setDate(Date date) {<newline46mondego>        this.date = date;<newline46mondego>    }<newline46mondego><newline46mondego>    public Customer getCustomer() {<newline46mondego>        return customer;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setCustomer(Customer customer) {<newline46mondego>        this.customer = customer;<newline46mondego>    }<newline46mondego><newline46mondego>    public List<LineItem> getLineItems() {<newline46mondego>        return lineItems;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setLineItems(List<LineItem> lineItems) {<newline46mondego>        this.lineItems = lineItems;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public class LineItem {<newline46mondego>    private int quantity = 0;<newline46mondego>    private Product product = null;<newline46mondego><newline46mondego>    public int getQuantity() {<newline46mondego>        return quantity;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setQuantity(int quantity) {<newline46mondego>        this.quantity = quantity;<newline46mondego>    }<newline46mondego><newline46mondego>    public Product getProduct() {<newline46mondego>        return product;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setProduct(Product product) {<newline46mondego>        this.product = product;<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public class Product {<newline46mondego>    private long id = 0;<newline46mondego>    private String serialNumber = null;<newline46mondego><newline46mondego>    public long getId() {<newline46mondego>        return id;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setId(long id) {<newline46mondego>        this.id = id;<newline46mondego>    }<newline46mondego><newline46mondego>    public String getSerialNumber() {<newline46mondego>        return serialNumber;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setSerialNumber(String serialNumber) {<newline46mondego>        this.serialNumber = serialNumber;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1806splitHere46","3664269splitHere46","AppController.m"
"1807splitHere46","3664269splitHere46","[sock readDataToData:[AsyncSocket CRLFData] withTimeout:READ_TIMEOUT tag:0];<newline46mondego>"
"1808splitHere46","3664269splitHere46","out.print(<doubleQuotes46>hello, there\r\n<doubleQuotes46>);<newline46mondego>"
"1809splitHere46","3664269splitHere46","out.println(<doubleQuotes46>hello, there\r<doubleQuotes46>);<newline46mondego>"
"1810splitHere46","3664300splitHere46","package gov.hhs.cms.nlr.test;<newline46mondego><newline46mondego>import org.junit.runner.RunWith;<newline46mondego>import org.junit.runners.Suite;<newline46mondego>import org.junit.runners.Suite.SuiteClasses;<newline46mondego><newline46mondego>@RunWith(Suite.class)<newline46mondego>@SuiteClasses({OtherTest.class, SomeTestTest.class})<newline46mondego>public class AllTests <newline46mondego>{<newline46mondego><newline46mondego>}<newline46mondego>"
"1811splitHere46","3664300splitHere46","java org.junit.runner.JUnitCore gov.hhs.cms.nlr.test.AllTests<newline46mondego>"
"1812splitHere46","3664363splitHere46","static class CommandLine {<newline46mondego>    HashMap<String,Options> options = new HashMap<String,Options>();<newline46mondego><newline46mondego>    public void register(String cmd, Options opts) {<newline46mondego>        options.put(cmd, opts);<newline46mondego>    }<newline46mondego><newline46mondego>    public void parse(String line) {<newline46mondego>        // a better parser here would handle quoted strings<newline46mondego>        String[] split = line.split(<doubleQuotes46>\\s<doubleQuotes46>);<newline46mondego><newline46mondego>        String cmd = split[0];<newline46mondego>        String[] args = new String[split.length-1];<newline46mondego>        if (args.length > 0)<newline46mondego>            System.arraycopy(split, 1, args, 0, args.length);<newline46mondego><newline46mondego>        Options opts = options.get(cmd);<newline46mondego>        if (opts == null) <newline46mondego>            ; // handle unknown command<newline46mondego>        else {<newline46mondego>            opts.parse(args);<newline46mondego>            // handle results...<newline46mondego>            opts.reset(); // required?<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>public static void main(String[] args) throws Exception {<newline46mondego><newline46mondego>    CommandLine cl = new CommandLine();<newline46mondego>    cl.register(<doubleQuotes46>size<doubleQuotes46>, new Options());        // This will vary based on library Some<newline46mondego>    cl.register(<doubleQuotes46>create-char<doubleQuotes46>, new Options()); // require subclasses, others use builder<newline46mondego>    //...                                         pattern, or other means.<newline46mondego><newline46mondego>    BufferedReader in = new BufferedReader(new InputStreamReader(System.in));<newline46mondego>    while (true) {<newline46mondego>        cl.parse(in.readLine());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1813splitHere46","3664465splitHere46","Thread.exit()"
"1814splitHere46","3664642splitHere46","adb devices<newline46mondego>"
"1815splitHere46","3664642splitHere46","adb -s name-of-your-device logcat <newline46mondego>"
"1816splitHere46","3664667splitHere46","import java.awt.Color;<newline46mondego>import enigma.console.*;<newline46mondego>import enigma.core.Enigma;<newline46mondego>public class Main<newline46mondego>{<newline46mondego>    public static void main(String[] args)<newline46mondego>    {<newline46mondego>        TextAttributes attrs = new TextAttributes(Color.BLUE, Color.WHITE);<newline46mondego>        s_console.setTextAttributes(attrs);<newline46mondego>        System.out.println(<doubleQuotes46>Hello World!<doubleQuotes46>);<newline46mondego>    }<newline46mondego>    private static final Console s_console;<newline46mondego>    static<newline46mondego>    {<newline46mondego>        s_console = Enigma.getConsole(<doubleQuotes46>Hellow World!<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1817splitHere46","3664759splitHere46","NullPointerException"
"1818splitHere46","3664759splitHere46","catch (JSONException e) {<newline46mondego>            System.out.println(e);<newline46mondego> }<newline46mondego> catch (NullPointerException n) {<newline46mondego>            // do something useful here<newline46mondego> }<newline46mondego>"
"1819splitHere46","3664797splitHere46",")"
"1820splitHere46","3664797splitHere46","this"
"1821splitHere46","3664797splitHere46","this"
"1822splitHere46","3664797splitHere46","Runnable"
"1823splitHere46","3664797splitHere46","run"
"1824splitHere46","3664797splitHere46","Thread"
"1825splitHere46","3664797splitHere46","Runnable"
"1826splitHere46","3664797splitHere46","Thread"
"1827splitHere46","3664797splitHere46","Thread dt = new Thread(new Runnable() {<newline46mondego>     public void run() {<newline46mondego>         ...<newline46mondego>     }<newline46mondego>});<newline46mondego>"
"1828splitHere46","3664797splitHere46",")"
"1829splitHere46","3664797splitHere46","this"
"1830splitHere46","3664797splitHere46","Runnable"
"1831splitHere46","3664797splitHere46","Thread dt = new Thread(this);<newline46mondego>"
"1832splitHere46","3665081splitHere46","JTextField textField = ...<newline46mondego>textField.addFocusListener(new FocusAdapter(){ void focusLost(FocusEvent e) <newline46mondego>  { doSomething(); } );<newline46mondego>"
"1833splitHere46","3665298splitHere46","Richfaces"
"1834splitHere46","3665298splitHere46","<a4j:mediaOutput>"
"1835splitHere46","3665443splitHere46","hashCode()"
"1836splitHere46","3665443splitHere46","equals()"
"1837splitHere46","3665443splitHere46","compareTo()"
"1838splitHere46","3665565splitHere46","new URL(url, relativePath);<newline46mondego>"
"1839splitHere46","3665734splitHere46","requestStart/requestDone"
"1840splitHere46","3665818splitHere46","<plugin><newline46mondego>    <artifactId>maven-antrun-plugin</artifactId><newline46mondego>    <version>1.4</version><newline46mondego>    <dependencies><newline46mondego>        <dependency><newline46mondego>            <groupId>org.aspectj</groupId><newline46mondego>            <artifactId>aspectjtools</artifactId><newline46mondego>            <version>${aspectj.version}</version><newline46mondego>        </dependency><newline46mondego>    </dependencies><newline46mondego>    <executions><newline46mondego>        <execution><newline46mondego>            <id>ajc-compile</id><newline46mondego>            <phase>process-classes</phase><newline46mondego>            <configuration><newline46mondego>                <tasks><newline46mondego>                    <property name=<doubleQuotes46>aspectj.sourcepath<doubleQuotes46><newline46mondego>                        value=<doubleQuotes46>${project.basedir}/src/main/aspect<doubleQuotes46> /><newline46mondego>                    <property name=<doubleQuotes46>aspectj.binarypath<doubleQuotes46><newline46mondego>                        value=<doubleQuotes46>${project.build.outputDirectory}<doubleQuotes46> /><newline46mondego>                    <property name=<doubleQuotes46>aspectj.targetpath<doubleQuotes46><newline46mondego>                        value=<doubleQuotes46>${project.build.directory}/aspectj-classes<doubleQuotes46> /><newline46mondego>                    <property name=<doubleQuotes46>scope_classpath<doubleQuotes46> refid=<doubleQuotes46>maven.compile.classpath<doubleQuotes46> /><newline46mondego>                    <property name=<doubleQuotes46>plugin_classpath<doubleQuotes46> refid=<doubleQuotes46>maven.plugin.classpath<doubleQuotes46> /><newline46mondego>                    <ant antfile=<doubleQuotes46>ajc-ant.xml<doubleQuotes46> /><newline46mondego>                </tasks><newline46mondego>            </configuration><newline46mondego>            <goals><newline46mondego>                <goal>run</goal><newline46mondego>            </goals><newline46mondego>        </execution><newline46mondego>        <execution><newline46mondego>            <id>ajc-test-compile</id><newline46mondego>            <phase>process-test-classes</phase><newline46mondego>            <configuration><newline46mondego>                <tasks unless=<doubleQuotes46>maven.test.skip<doubleQuotes46>><newline46mondego>                    <property name=<doubleQuotes46>aspectj.sourcepath<doubleQuotes46><newline46mondego>                        value=<doubleQuotes46>${project.basedir}/src/test/aspect;${project.basedir}/src/main/aspect<doubleQuotes46> /><newline46mondego>                    <property name=<doubleQuotes46>aspectj.binarypath<doubleQuotes46><newline46mondego>                        value=<doubleQuotes46>${project.build.testOutputDirectory}<doubleQuotes46> /><newline46mondego>                    <property name=<doubleQuotes46>aspectj.targetpath<doubleQuotes46><newline46mondego>                        value=<doubleQuotes46>${project.build.directory}/aspectj-test-classes<doubleQuotes46> /><newline46mondego>                    <property name=<doubleQuotes46>scope_classpath<doubleQuotes46> refid=<doubleQuotes46>maven.test.classpath<doubleQuotes46> /><newline46mondego>                    <property name=<doubleQuotes46>plugin_classpath<doubleQuotes46> refid=<doubleQuotes46>maven.plugin.classpath<doubleQuotes46> /><newline46mondego>                    <ant antfile=<doubleQuotes46>ajc-ant.xml<doubleQuotes46> /><newline46mondego>                </tasks><newline46mondego>            </configuration><newline46mondego>            <goals><newline46mondego>                <goal>run</goal><newline46mondego>            </goals><newline46mondego>        </execution><newline46mondego>    </executions><newline46mondego></plugin><newline46mondego>"
"1841splitHere46","3665818splitHere46","<project basedir=<doubleQuotes46>.<doubleQuotes46> default=<doubleQuotes46>ajc<doubleQuotes46>><newline46mondego>    <path id=<doubleQuotes46>classpath<doubleQuotes46>><newline46mondego>        <pathelement path=<doubleQuotes46>${scope_classpath}<doubleQuotes46> /><newline46mondego>        <pathelement path=<doubleQuotes46>${plugin_classpath}<doubleQuotes46> /><newline46mondego>    </path><newline46mondego>    <taskdef<newline46mondego>        classname=<doubleQuotes46>org.aspectj.tools.ant.taskdefs.AjcTask<doubleQuotes46><newline46mondego>        name=<doubleQuotes46>iajc<doubleQuotes46> classpathref=<doubleQuotes46>classpath<doubleQuotes46> /><newline46mondego>    <target name=<doubleQuotes46>ajc<doubleQuotes46>><newline46mondego>        <iajc<newline46mondego>            sourceroots=<doubleQuotes46>${aspectj.sourcepath}<doubleQuotes46><newline46mondego>            inpath=<doubleQuotes46>${aspectj.binarypath}<doubleQuotes46><newline46mondego>            destdir=<doubleQuotes46>${aspectj.targetpath}<doubleQuotes46><newline46mondego>            classpathref=<doubleQuotes46>classpath<doubleQuotes46><newline46mondego>            source=<doubleQuotes46>1.6<doubleQuotes46><newline46mondego>            target=<doubleQuotes46>1.6<doubleQuotes46><newline46mondego>        /><newline46mondego>        <move todir=<doubleQuotes46>${aspectj.binarypath}<doubleQuotes46>><newline46mondego>            <fileset dir=<doubleQuotes46>${aspectj.targetpath}<doubleQuotes46>><newline46mondego>                <include name=<doubleQuotes46>**/*.class<doubleQuotes46> /><newline46mondego>            </fileset><newline46mondego>        </move><newline46mondego>    </target><newline46mondego></project><newline46mondego>"
"1842splitHere46","3665818splitHere46","<plugin><newline46mondego>    <groupId>com.myclient.maven.plugins</groupId><newline46mondego>    <artifactId>maven-ajc-plugin</artifactId><newline46mondego>    <version>1.0-SNAPSHOT</version><newline46mondego>    <executions><newline46mondego>        <execution><newline46mondego>            <id>compile-ajc</id><newline46mondego>            <goals><newline46mondego>                <goal>compile</goal><newline46mondego>            </goals><newline46mondego>        </execution><newline46mondego>        <execution><newline46mondego>            <id>testcompile-ajc</id><newline46mondego>            <goals><newline46mondego>                <goal>test-compile</goal><newline46mondego>            </goals><newline46mondego>            <configuration><newline46mondego>                <aspectSourcePath>${project.basedir}/src/main/aspect</aspectSourcePath><newline46mondego>            </configuration><newline46mondego>        </execution><newline46mondego>    </executions><newline46mondego>    <configuration><newline46mondego><newline46mondego>    </configuration><newline46mondego></plugin><newline46mondego>"
"1843splitHere46","3666036splitHere46","JButton button = ...<newline46mondego>button.setFocusable(false);<newline46mondego>"
"1844splitHere46","3666052splitHere46","//European countries use <doubleQuotes46>;<doubleQuotes46> as <newline46mondego>    //CSV separator because <doubleQuotes46>,<doubleQuotes46> is their digit separator<newline46mondego>    private static final String CSV_SEPARATOR = <doubleQuotes46>,<doubleQuotes46>;<newline46mondego>    private static void writeToCSV(ArrayList<Product> productList)<newline46mondego>    {<newline46mondego>        try<newline46mondego>        {<newline46mondego>            BufferedWriter bw = new BufferedWriter(new OutputStreamWriter(new FileOutputStream(<doubleQuotes46>products.csv<doubleQuotes46>), <doubleQuotes46>UTF-8<doubleQuotes46>));<newline46mondego>            for (Product product : productList)<newline46mondego>            {<newline46mondego>                StringBuffer oneLine = new StringBuffer();<newline46mondego>                oneLine.append(product.getId() <=0 ? <doubleQuotes46><doubleQuotes46> : product.getId());<newline46mondego>                oneLine.append(CSV_SEPARATOR);<newline46mondego>                oneLine.append(product.getName().trim().length() == 0? <doubleQuotes46><doubleQuotes46> : product.getName());<newline46mondego>                oneLine.append(CSV_SEPARATOR);<newline46mondego>                oneLine.append(product.getCostPrice() < 0 ? <doubleQuotes46><doubleQuotes46> : product.getCostPrice());<newline46mondego>                oneLine.append(CSV_SEPARATOR);<newline46mondego>                oneLine.append(product.isVatApplicable() ? <doubleQuotes46>Yes<doubleQuotes46> : <doubleQuotes46>No<doubleQuotes46>);<newline46mondego>                bw.write(oneLine.toString());<newline46mondego>                bw.newLine();<newline46mondego>            }<newline46mondego>            bw.flush();<newline46mondego>            bw.close();<newline46mondego>        }<newline46mondego>        catch (UnsupportedEncodingException e) {}<newline46mondego>        catch (FileNotFoundException e){}<newline46mondego>        catch (IOException e){}<newline46mondego>    }<newline46mondego>"
"1845splitHere46","3666052splitHere46","class Product<newline46mondego>{<newline46mondego>    private long id;<newline46mondego>    private String name;<newline46mondego>    private double costPrice;<newline46mondego>    private boolean vatApplicable;<newline46mondego>}<newline46mondego>"
"1846splitHere46","3666052splitHere46","public static void main(String[] args)<newline46mondego>    {<newline46mondego>        ArrayList<Product> productList = new ArrayList<Product>();<newline46mondego>        productList.add(new Product(1, <doubleQuotes46>Pen<doubleQuotes46>, 2.00, false));<newline46mondego>        productList.add(new Product(2, <doubleQuotes46>TV<doubleQuotes46>, 300, true));<newline46mondego>        productList.add(new Product(3, <doubleQuotes46>iPhone<doubleQuotes46>, 500, true));<newline46mondego>        writeToCSV(productList);<newline46mondego>    }<newline46mondego>"
"1847splitHere46","3666123splitHere46","long"
"1848splitHere46","3666123splitHere46","%"
"1849splitHere46","3666123splitHere46","BigInteger.remainder(..)"
"1850splitHere46","3666123splitHere46","char"
"1851splitHere46","3666175splitHere46","@XmlElement"
"1852splitHere46","3666175splitHere46","@XmlAccessorType(XmlAccessType.FIELD)"
"1853splitHere46","3666487splitHere46","Type"
"1854splitHere46","3666487splitHere46","TYPE"
"1855splitHere46","3666721splitHere46","Application"
"1856splitHere46","3666721splitHere46","MyApplication app = ((MyApplication)getApplicationContext());<newline46mondego>MyXmlHandler handler = new MyXmlHandler(app.getStr());<newline46mondego>"
"1857splitHere46","3666826splitHere46","POST"
"1858splitHere46","3666826splitHere46","URIEncoding=<doubleQuotes46>UTF-8<doubleQuotes46>"
"1859splitHere46","3666826splitHere46","CharacterEncodingFilter"
"1860splitHere46","3666840splitHere46","JDK_HOME/bin/"
"1861splitHere46","3666840splitHere46","wsimport -d [outputdir] wsdl_file<newline46mondego>"
"1862splitHere46","3666840splitHere46","[outputdir]"
"1863splitHere46","3666840splitHere46","wsimport"
"1864splitHere46","3666840splitHere46","WSDL2Java"
"1865splitHere46","3666840splitHere46","WSDL2Java"
"1866splitHere46","3666935splitHere46","<class name=<doubleQuotes46>GeneralCode<doubleQuotes46> table=<doubleQuotes46>code_mstr<doubleQuotes46>><newline46mondego>  <composite-id name=<doubleQuotes46>key<doubleQuotes46>><newline46mondego>    <key-property name=<doubleQuotes46>key<doubleQuotes46> column=<doubleQuotes46>code_fieldName<doubleQuotes46> type=<doubleQuotes46>string<doubleQuotes46>/><newline46mondego>    <key-property name=<doubleQuotes46>value<doubleQuotes46> column=<doubleQuotes46>code_value<doubleQuotes46> type=<doubleQuotes46>string<doubleQuotes46>/><newline46mondego>  </composite-id><newline46mondego>  <discriminator column=<doubleQuotes46>code_fieldName<doubleQuotes46> type=<doubleQuotes46>string<doubleQuotes46> insert=<doubleQuotes46>false<doubleQuotes46>/><newline46mondego>  <subclass name=<doubleQuotes46>Segment<doubleQuotes46> discriminator-value=<doubleQuotes46>segment<doubleQuotes46>><newline46mondego>    <property name=<doubleQuotes46>name<doubleQuotes46> type=<doubleQuotes46>string<doubleQuotes46> column=<doubleQuotes46>code_comment<doubleQuotes46>/><newline46mondego>  </subclass><newline46mondego></class><newline46mondego>"
"1867splitHere46","3666935splitHere46","<many-to-one name=<doubleQuotes46>segment<doubleQuotes46> class=<doubleQuotes46>Segment<doubleQuotes46><newline46mondego>             lazy=<doubleQuotes46>false<doubleQuotes46> insert=<doubleQuotes46>false<doubleQuotes46> update=<doubleQuotes46>false<doubleQuotes46>><newline46mondego>  <formula>'segment'</formula><newline46mondego>  <column name=<doubleQuotes46>segment<doubleQuotes46>/><newline46mondego></many-to-one><newline46mondego>"
"1868splitHere46","3666951splitHere46","c3"
"1869splitHere46","3666951splitHere46","c2"
"1870splitHere46","3666951splitHere46","CardBoard c3 = c1.go(c2);"
"1871splitHere46","3666951splitHere46","c2"
"1872splitHere46","3666951splitHere46","c1"
"1873splitHere46","3666951splitHere46","Short"
"1874splitHere46","3666971splitHere46","picture above | Java code<newline46mondego>---------------+----------------<newline46mondego> P0            | p1<newline46mondego> P1            | p2<newline46mondego> P2            | temp<newline46mondego> P3            | p3<newline46mondego> a             | a<newline46mondego> (a+b)         | d<newline46mondego> h             | h<newline46mondego> r0            | distanceFromP1<newline46mondego> r1            | distanceFromP2<newline46mondego>"
"1875splitHere46","3666971splitHere46","public class Main {<newline46mondego><newline46mondego>    public static Point[] getP3(Point p1, double distanceFromP1, Point p2, double distanceFromP2) {<newline46mondego>        double d = p1.distance(p2);<newline46mondego><newline46mondego>        if(d > (distanceFromP1 + distanceFromP2) || p1.equals(p2) || d < Math.abs(distanceFromP1 - distanceFromP2)) {<newline46mondego>            // there does not exist a 3rd point, or there are an infinite amount of them<newline46mondego>            return new Point[]{};<newline46mondego>        }<newline46mondego><newline46mondego>        double a = (distanceFromP1*distanceFromP1 - distanceFromP2*distanceFromP2 + d*d) / (2*d);<newline46mondego>        double h = Math.sqrt(distanceFromP1*distanceFromP1 - a*a);<newline46mondego><newline46mondego>        Point temp = new Point(p1.x + a*(p2.x - p1.x) / d, p1.y + a*(p2.y - p1.y) / d);<newline46mondego><newline46mondego>        return new Point[]{<newline46mondego>                new Point(temp.x + h * (p2.y - p1.y) / d, temp.y - h * (p2.x - p1.x) / d),<newline46mondego>                new Point(temp.x - h * (p2.y - p1.y) / d, temp.y + h * (p2.x - p1.x) / d)<newline46mondego>        };<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[]args) throws Exception {<newline46mondego>        Point a = new Point(1,1);<newline46mondego>        Point b = new Point(5,4);<newline46mondego>        Point c = new Point(0,0);<newline46mondego>        Point d = new Point(2,0);<newline46mondego>        System.out.println(<doubleQuotes46>test 1 :: <doubleQuotes46>+Arrays.toString(getP3(a, 4, b, 3)));       // 2 distinct 3rd points<newline46mondego>        System.out.println(<doubleQuotes46>test 2 :: <doubleQuotes46>+Arrays.toString(getP3(c, 1, d, 1)));       // 1 distinct 3rd point<newline46mondego>        System.out.println(<doubleQuotes46>test 3 :: <doubleQuotes46>+Arrays.toString(getP3(c, 0.99999, d, 1))); // none<newline46mondego>        System.out.println(<doubleQuotes46>test 4 :: <doubleQuotes46>+Arrays.toString(getP3(d, 1, d, 1)));       // infinite<newline46mondego>        System.out.println(<doubleQuotes46>test 5 :: <doubleQuotes46>+Arrays.toString(getP3(c, 50, d, 1)));      // none, one circle <doubleQuotes46>contains<doubleQuotes46> the other<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class Point {<newline46mondego><newline46mondego>    final double x;<newline46mondego>    final double y;<newline46mondego>    private final int hash;<newline46mondego><newline46mondego>    public Point(double x, double y) {<newline46mondego>        this.x = x;<newline46mondego>        this.y = y;<newline46mondego>        this.hash = Double.valueOf(x).hashCode() ^ Double.valueOf(y).hashCode();<newline46mondego>    }<newline46mondego><newline46mondego>    public double distance(Point that) {<newline46mondego>        double dX = this.x - that.x;<newline46mondego>        double dY = this.y - that.y;<newline46mondego>        return Math.sqrt(dX*dX + dY*dY);<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public boolean equals(Object o) {<newline46mondego>        if(o == null || getClass() != o.getClass()) return false;<newline46mondego>        Point that = (Point)o;<newline46mondego>        return this.x == that.x && this.y == that.y;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public int hashCode() {<newline46mondego>        return  hash;<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public String toString() {<newline46mondego>        return String.format(<doubleQuotes46>(x=%f, y=%f)<doubleQuotes46>, x, y);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1876splitHere46","3666971splitHere46","test 1 :: [(x=5.000000, y=1.000000), (x=2.120000, y=4.840000)]<newline46mondego>test 2 :: [(x=1.000000, y=0.000000), (x=1.000000, y=0.000000)]<newline46mondego>test 3 :: []<newline46mondego>test 4 :: []<newline46mondego>test 5 :: []<newline46mondego>"
"1877splitHere46","3667079splitHere46","paintComponent()"
"1878splitHere46","3667079splitHere46","JLabel"
"1879splitHere46","3667079splitHere46","public void endGame() {<newline46mondego>    myIcon = new ImageIcon(<doubleQuotes46>portal-cake.jpg<doubleQuotes46>);<newline46mondego>    JLabel label = new JLabel(myIcon);<newline46mondego>    this.setLayout(new GridLayout());<newline46mondego>    this.add(label);<newline46mondego>    this.validate();<newline46mondego>}<newline46mondego>"
