"1splitHere46","15840399splitHere46","String ms[] = msgTime.split(<doubleQuotes46>\\.<doubleQuotes46>);"
"1271splitHere46","15864883splitHere46","private static int countOccurencesOf(final String countMatchesOf, final File inFile) throws IOException {<newline46mondego>    final Pattern pattern = Pattern.compile(<doubleQuotes46>\\b<doubleQuotes46> + countMatchesOf + <doubleQuotes46>\\b<doubleQuotes46>);<newline46mondego>    int count = 0;<newline46mondego>    try (final BufferedReader bufferedReader =<newline46mondego>            new BufferedReader(new InputStreamReader(new FileInputStream(inFile), <doubleQuotes46>UTF-8<doubleQuotes46>))) {<newline46mondego>        String line;<newline46mondego>        while ((line = bufferedReader.readLine()) != null) {<newline46mondego>            final Matcher matcher = pattern.matcher(line);<newline46mondego>            while (matcher.find()) {<newline46mondego>                ++count;<newline46mondego>            }<newline46mondego>        };<newline46mondego>    }<newline46mondego>    return count;<newline46mondego>}<newline46mondego>"
"1272splitHere46","15864883splitHere46","String"
"1273splitHere46","15864883splitHere46","Pattern"
"1274splitHere46","15864988splitHere46","edt.getText().toString()"
"1275splitHere46","15864988splitHere46","float number = 0;<newline46mondego>try{<newline46mondego>   number = Float.valueOf(edt.getText().toString());<newline46mondego>} catch (NumberFormatException e) {<newline46mondego>   e.printStackTrace();<newline46mondego>}<newline46mondego>"
"1276splitHere46","15865037splitHere46","double"
"1277splitHere46","15865037splitHere46","float"
"1278splitHere46","15865037splitHere46","Double"
"1279splitHere46","15865037splitHere46","Float"
"1280splitHere46","15865037splitHere46","double"
"1281splitHere46","15865037splitHere46","0.1"
"1282splitHere46","15865037splitHere46","BigDecimal"
"1283splitHere46","15865125splitHere46","EntityManager.merge()"
"1284splitHere46","15865125splitHere46","article = this.articleRepository.saveAndFlush(article);<newline46mondego>return article;<newline46mondego>"
"1285splitHere46","15865186splitHere46","/faces/**"
"1286splitHere46","15865186splitHere46","*.jsf"
"1287splitHere46","15865186splitHere46","*.jsf"
"1288splitHere46","15865186splitHere46","http://host/context/admin/userlist.jsf"
"1289splitHere46","15865186splitHere46","admin/userlist.xhtml"
"1290splitHere46","15865321splitHere46","customType<Number>"
"1291splitHere46","15865321splitHere46","customType<Integer>"
"1292splitHere46","15865321splitHere46","Integer"
"1293splitHere46","15865321splitHere46","Float"
"1294splitHere46","15865321splitHere46","items"
"1295splitHere46","15865321splitHere46","List<CustomType<?>> items = new LinkedList<CustomType<?>>();"
"1296splitHere46","15865321splitHere46","public static void addItemToList(List<? super CustomType<?>> l, CustomType<? extends Number> o){  <newline46mondego>        l.add(o);  <newline46mondego>}  <newline46mondego>"
"1297splitHere46","15865321splitHere46","CustomFloat f = new CustomFloat();  <newline46mondego>CustomInteger i = new CustomInteger();  <newline46mondego>process(items, i);    <newline46mondego>process(items, f);  <newline46mondego>"
"1298splitHere46","15865354splitHere46","for(int elem : yourArrayList){<newline46mondego>   elem;//do whatever with the element<newline46mondego>}<newline46mondego>"
"1299splitHere46","15865361splitHere46","Path2D.Double"
"1300splitHere46","15865361splitHere46","Path2D.Double path1 = new Path2D.Double();<newline46mondego>path1.moveTo(x1, y1);<newline46mondego>path1.curveTo(x0, y0, x2, y2, x4, y4);<newline46mondego>g.draw(path1);<newline46mondego>"
"1301splitHere46","15865361splitHere46","Path2D.Double path1 = new Path2D.Double();<newline46mondego>path1.moveTo(x1, y1);<newline46mondego>path1.curveTo(cx1a, cy1a, cx1b, cy1b, x2, y2);<newline46mondego>path1.curveTo(cx2a, cy2a, cx2b, cy2b, x3, y3);<newline46mondego>g.draw(path1);<newline46mondego>"
"1302splitHere46","15865361splitHere46","cx"
"1303splitHere46","15865361splitHere46","cy"
"1304splitHere46","15865361splitHere46","cx1a = x1 + (x2 - x1) / 3;<newline46mondego>cy1a = y1 + (y2 - y1) / 3;<newline46mondego>cx1b = x2 - (x3 - x1) / 3;<newline46mondego>cy1b = y2 - (y3 - y1) / 3;<newline46mondego>cx2a = x2 + (x3 - x1) / 3;<newline46mondego>cy2a = y2 + (y3 - y1) / 3;<newline46mondego>cx2b = x3 - (x3 - x2) / 3;<newline46mondego>cy2b = y3 - (y3 - y2) / 3;<newline46mondego>"
"1305splitHere46","15865638splitHere46","while ((line = input.readLine()) != null) {<newline46mondego>            output += (line + '\n');<newline46mondego>        } <newline46mondego>"
"1306splitHere46","15865638splitHere46","while ((line = input.readLine()) != null) {<newline46mondego>         System.out.println(line);               <newline46mondego>         output += (line + '\n');<newline46mondego>      } <newline46mondego>"
"1307splitHere46","15865650splitHere46","radix"
"1308splitHere46","15865650splitHere46","parseInt( String num , int radix)"
"1309splitHere46","15865650splitHere46","String octal = Integer.parseInt(<doubleQuotes46>100<doubleQuotes46>,8);<newline46mondego>String hexadecimal = Integer.parseInt(<doubleQuotes46>100<doubleQuotes46>,16);<newline46mondego>String binary = Integer.parseInt(<doubleQuotes46>100<doubleQuotes46>,2);<newline46mondego>"
"1310splitHere46","15865677splitHere46","List<User>"
"1311splitHere46","15865677splitHere46","com.google.gson.internal.StringMap"
"1312splitHere46","15865677splitHere46","TypeReference"
"1313splitHere46","15865677splitHere46","31    protected TypeReference()<newline46mondego>32    {<newline46mondego>33        Type superClass = getClass().getGenericSuperclass();<newline46mondego>34        if (superClass instanceof Class<?>) { // sanity check, should never happen<newline46mondego>35            throw new IllegalArgumentException(<doubleQuotes46>Internal error: TypeReference constructed without actual type information<doubleQuotes46>);<newline46mondego>36        }<newline46mondego>45    }<newline46mondego>"
"1314splitHere46","15865677splitHere46","public <T> List<T> get(String key, Type type) {<newline46mondego>    return this.gson.fromJson(this.data.get(key), type);<newline46mondego>}<newline46mondego><newline46mondego>public <T> void set(String key, List<T> value, Type type) {<newline46mondego>    this.data.put(key, this.gson.toJson(value, type));<newline46mondego>}<newline46mondego>"
"1315splitHere46","15865679splitHere46","[^a-zA-z]+"
"1316splitHere46","15865679splitHere46","// previous code...<newline46mondego>Scanner scanner = new Scanner(lineScanner.nextLine()).useDelimiter(<doubleQuotes46>[^a-zA-z]+<doubleQuotes46>);<newline46mondego>    while (scanner.hasNext()) {<newline46mondego>        String word = scanner.next().toLowerCase();<newline46mondego>        // ...your other code<newline46mondego>    }<newline46mondego>}<newline46mondego>// ... after code<newline46mondego>"
"1317splitHere46","15865679splitHere46","Scanner scanner = new Scanner(lineScanner.nextLine());<newline46mondego>"
"1318splitHere46","15865679splitHere46","<doubleQuotes46>Hello World. A test, ok.<doubleQuotes46>"
"1319splitHere46","15865679splitHere46","scanner.hasNext(<doubleQuotes46>[a-ZA-Z]+<doubleQuotes46>)"
"1320splitHere46","15865679splitHere46","if there is a token that match your pattern"
"1321splitHere46","15865679splitHere46","true"
"1322splitHere46","15865679splitHere46","it doesn't match the pattern"
"1323splitHere46","15865679splitHere46","fail"
"1324splitHere46","15865679splitHere46","scanner.hasNext(<doubleQuotes46>[a-ZA-Z]+<doubleQuotes46>)"
"1325splitHere46","15865679splitHere46","false"
"1326splitHere46","15865686splitHere46","for (int i = 1; i <= n; i++) {<newline46mondego>    for (int j = i; j <= n; j++) {<newline46mondego>"
"1327splitHere46","15865686splitHere46","for (int i = 0; i < n; i++) {<newline46mondego>    for (int j = i; j < n; j++) {<newline46mondego>"
"1328splitHere46","15865686splitHere46","return lookUpChain(m, p, 1, n);<newline46mondego>"
"1329splitHere46","15865686splitHere46","return lookUpChain(m, p, 1, n - 1);<newline46mondego>"
"1330splitHere46","15865705splitHere46","Content-Type"
"1331splitHere46","15865705splitHere46","application/x-www-form-urlencoded; charset=utf-8"
"1332splitHere46","15865705splitHere46","accept-charset"
"1333splitHere46","15865713splitHere46","Fragment"
"1334splitHere46","15865713splitHere46","Fragment"
"1335splitHere46","15865713splitHere46","FragmentActivity"
"1336splitHere46","15865713splitHere46","Activity"
"1337splitHere46","15865713splitHere46","ListFragment"
"1338splitHere46","15865713splitHere46","ListFragment"
"1339splitHere46","15865713splitHere46","onListItemClick()"
"1340splitHere46","15865713splitHere46","ListActivity"
"1341splitHere46","15865788splitHere46","public static void editnumbersArray(int[] a){<newline46mondego>    a[2] = 9;<newline46mondego>}<newline46mondego>"
"1342splitHere46","15865788splitHere46","a"
"1343splitHere46","15865788splitHere46","int"
"1344splitHere46","15865788splitHere46","a"
"1345splitHere46","15865816splitHere46","Queue"
"1346splitHere46","15865816splitHere46","Queue<City> q = new LinkedList<City>();     <newline46mondego>"
"1347splitHere46","15865816splitHere46","city"
"1348splitHere46","15865816splitHere46","City"
"1349splitHere46","15865971splitHere46","JTree"
"1350splitHere46","15865971splitHere46","import javax.swing.*;<newline46mondego>import javax.swing.tree.*;<newline46mondego>import java.awt.event.*;<newline46mondego>import java.awt.*;<newline46mondego>import java.util.*;<newline46mondego>import java.io.*;<newline46mondego><newline46mondego>public class SimpleTree extends JPanel {<newline46mondego><newline46mondego>JTree tree;<newline46mondego>  DefaultMutableTreeNode root;<newline46mondego>  public SimpleTree() {<newline46mondego>    root = new DefaultMutableTreeNode(<doubleQuotes46>root<doubleQuotes46>, true);<newline46mondego>    getList(root, new File(<doubleQuotes46>C:\\Program Files<doubleQuotes46>)); // change path here<newline46mondego>    setLayout(new BorderLayout());<newline46mondego>    tree = new JTree(root);<newline46mondego>    tree.setRootVisible(false);<newline46mondego>    add(new JScrollPane((JTree)tree),<doubleQuotes46>Center<doubleQuotes46>);<newline46mondego>    }<newline46mondego><newline46mondego>  public Dimension getPreferredSize(){<newline46mondego>    return new Dimension(200, 120);<newline46mondego>    }<newline46mondego><newline46mondego>  public void getList(DefaultMutableTreeNode node, File f) {<newline46mondego>     if(!f.isDirectory()) {<newline46mondego>         // We keep only JAVA source file for display in this HowTo<newline46mondego>         if (f.getName().endsWith(<doubleQuotes46>java<doubleQuotes46>)) {<newline46mondego>            System.out.println(<doubleQuotes46>FILE  -  <doubleQuotes46> + f.getName());<newline46mondego>            DefaultMutableTreeNode child = new DefaultMutableTreeNode(f);<newline46mondego>            node.add(child);<newline46mondego>            }<newline46mondego>         }<newline46mondego>     else {<newline46mondego>         System.out.println(<doubleQuotes46>DIRECTORY  -  <doubleQuotes46> + f.getName());<newline46mondego>         DefaultMutableTreeNode child = new DefaultMutableTreeNode(f);<newline46mondego>         node.add(child);<newline46mondego>         File fList[] = f.listFiles();<newline46mondego>         for(int i = 0; i  < fList.length; i++)<newline46mondego>             getList(child, fList[i]);<newline46mondego>         }<newline46mondego>    }<newline46mondego><newline46mondego>  public static void main(String s[]){<newline46mondego>    MyJFrame frame = new MyJFrame(<doubleQuotes46>Directory explorer<doubleQuotes46>);<newline46mondego>    }<newline46mondego>  }<newline46mondego><newline46mondego>class WindowCloser extends WindowAdapter {<newline46mondego>  public void windowClosing(WindowEvent e) {<newline46mondego>    Window win = e.getWindow();<newline46mondego>    win.setVisible(false);<newline46mondego>    System.exit(0);<newline46mondego>    }<newline46mondego>  }<newline46mondego><newline46mondego>class MyJFrame extends JFrame {<newline46mondego>  JButton b1, b2, b3;<newline46mondego>  SimpleTree panel;<newline46mondego>  MyJFrame(String s) {<newline46mondego>    super(s);<newline46mondego>    panel = new SimpleTree();<newline46mondego>    getContentPane().add(panel,<doubleQuotes46>Center<doubleQuotes46>);<newline46mondego>    setSize(300,300);<newline46mondego>    setVisible(true);<newline46mondego>    setDefaultCloseOperation(JFrame.DO_NOTHING_ON_CLOSE);<newline46mondego>    addWindowListener(new WindowCloser());<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"1351splitHere46","15866010splitHere46","button.addActionListener(...)"
"1352splitHere46","15866010splitHere46","cardGUI.add(issueList(), <doubleQuotes46>issueList<doubleQuotes46>);<newline46mondego>...<newline46mondego>cards.show(cardGUI, <doubleQuotes46>IssueList<doubleQuotes46>);<newline46mondego>"
"1353splitHere46","15866057splitHere46","public int OneMissingFieldException(Person p) extends Exception<newline46mondego>{ ... }<newline46mondego>"
"1354splitHere46","15866057splitHere46","public static class MissingFieldException extends Exception {<newline46mondego>     public MissingFieldException() { } <newline46mondego>     public MissingFieldException( String msg ) {<newline46mondego>          super( msg );<newline46mondego>     }<newline46mondego>}<newline46mondego>"
"1355splitHere46","15866057splitHere46","public void checkForMissingFields( Person p ) throws MissingFieldException {<newline46mondego>      ...<newline46mondego> }<newline46mondego>"
"1356splitHere46","15866057splitHere46","public Person submitData() {<newline46mondego>    Person p = null;<newline46mondego>    try {<newline46mondego>       p = ...;<newline46mondego>       checkForMissingFields( p );<newline46mondego>       ...<newline46mondego>    }<newline46mondego>    catch ( MissingFieldException e) {<newline46mondego>       // handle exception<newline46mondego>    }<newline46mondego>    return p;<newline46mondego>}<newline46mondego>"
"1357splitHere46","15866078splitHere46","/**<newline46mondego> * Facilitates an entire questionnaire<newline46mondego> */<newline46mondego>public class Questionnaire extends ArrayList<Question> {<newline46mondego><newline46mondego>    /**<newline46mondego>     * This questionnaire's name<newline46mondego>     */<newline46mondego>    private String name;<newline46mondego><newline46mondego>    /**<newline46mondego>     * Creates a new questionnaire using the specified name<newline46mondego>     * @param name  The name of this questionnaire<newline46mondego>     */<newline46mondego>    public Questionnaire(String name) {<newline46mondego>        this.name = name;<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Returns the name of this questionnaire<newline46mondego>     */<newline46mondego>    public String getName() {<newline46mondego>        return name;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1358splitHere46","15866078splitHere46","/**<newline46mondego> * Facilitates a question and its answers<newline46mondego> */<newline46mondego>public class Question extends ArrayList<Answer> {<newline46mondego><newline46mondego>    /**<newline46mondego>     * The question's text<newline46mondego>     */<newline46mondego>    private String text;<newline46mondego><newline46mondego>    /**<newline46mondego>     * Constructs a new question using the specified text<newline46mondego>     * @param text  The question's text<newline46mondego>     */<newline46mondego>    public Question(String text) {<newline46mondego>        this.text = test;<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Returns this question's text<newline46mondego>     */<newline46mondego>    public String getText() {<newline46mondego>        return text;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1359splitHere46","15866078splitHere46","/**<newline46mondego> * Facilitates an answer<newline46mondego> */<newline46mondego>public class Answer {<newline46mondego><newline46mondego>    /**<newline46mondego>     * The answer's text<newline46mondego>     */<newline46mondego>    private String text;<newline46mondego><newline46mondego>    /**<newline46mondego>     * Whether or not this answer is correct<newline46mondego>     */<newline46mondego>    private boolean correct;<newline46mondego><newline46mondego>    /**<newline46mondego>     * Constructs a new answer using the specified settings<newline46mondego>     * @param text          The text of this answer<newline46mondego>     * @param correct       Whether or not this answer is correct<newline46mondego>     */<newline46mondego>    public Answer(String text, boolean correct) {<newline46mondego>        this.text = text;<newline46mondego>        this.correct = correct;<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Returns this answer's text<newline46mondego>     */<newline46mondego>    public String getText() {<newline46mondego>        return text;<newline46mondego>    }<newline46mondego><newline46mondego>    /**<newline46mondego>     * Whether or not this answer is correct<newline46mondego>     */<newline46mondego>    public boolean isCorrect() {<newline46mondego>        return correct;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1360splitHere46","15866078splitHere46","// Create a new questionnaire<newline46mondego>Questionnaire questionnaire = new Questionnaire(<doubleQuotes46>The awesome questionnaire<doubleQuotes46>);<newline46mondego><newline46mondego>// Create a question and add answers to it<newline46mondego>Question question = new Question(<doubleQuotes46>How awesome is this questionnaire?<doubleQuotes46>);<newline46mondego>question.add(new Answer(<doubleQuotes46>It's pretty awesome<doubleQuotes46>, false));<newline46mondego>question.add(new Answer(<doubleQuotes46>It's really awesome<doubleQuotes46>, false));<newline46mondego>question.add(new Answer(<doubleQuotes46>It's so awesome my mind blows off!<doubleQuotes46>, true));<newline46mondego><newline46mondego>// Add the question to the questionnaire<newline46mondego>questionnaire.add(question);<newline46mondego>"
"1361splitHere46","15866078splitHere46","// Iterate over the questions within the questionnaire<newline46mondego>for(Question question : questionnaire) {<newline46mondego>    // Print the question's text<newline46mondego>    System.out.println(question.getText());<newline46mondego><newline46mondego>    // Go over each answer in this question<newline46mondego>    for(Answer answer : question) {<newline46mondego>        // Print the question's text<newline46mondego>        System.out.println(answer.getText());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1362splitHere46","15866078splitHere46","// Iterate over the third to fifth question<newline46mondego>for (int questionIndex = 2; questionIndex < 5; questionIndex ++) {<newline46mondego>    // Get the current question<newline46mondego>    Question question = questionnaire.get(questionIndex);<newline46mondego><newline46mondego>    // Iterate over all of the answers<newline46mondego>    for (int answerIndex = 0; answerIndex < question.size(); answerIndex++) {<newline46mondego>        // Get the current answer<newline46mondego>        Answer answer = question.get(answerIndex);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1363splitHere46","15866078splitHere46","// Create a new questionnaire<newline46mondego>Questionnaire questionnaire = new Questionnaire(<doubleQuotes46>My awesome questionnaire<doubleQuotes46>);<newline46mondego><newline46mondego>// Lets scan the file and load it up to the questionnaire<newline46mondego>Scanner scanner = new Scanner(new File(<doubleQuotes46>myfile.txt<doubleQuotes46>));<newline46mondego><newline46mondego>// Read lines from that file and split it into tokens<newline46mondego>String line, tokens[];<newline46mondego>int tokenIndex;<newline46mondego>while (scanner.hasNextLine() && (line = scanner.nextLine()) != null) {<newline46mondego>    tokens = line.split(<doubleQuotes46>,<doubleQuotes46>);<newline46mondego><newline46mondego>    // Create the question taking the first token as its text<newline46mondego>    Question question = new Question(tokens[0]);<newline46mondego><newline46mondego>    // Go over the tokens, from the first index to the one before last<newline46mondego>    for (tokenIndex = 1; tokenIndex < tokens.length-1; tokenIndex++) {<newline46mondego>        // Add the incorrect answer to the question<newline46mondego>        question.add(new Answer(tokens[tokenIndex], false));<newline46mondego>    }<newline46mondego><newline46mondego>    // Add the last question (correct one)<newline46mondego>    question.add(new Answer(tokens[tokenIndex],true));<newline46mondego>}<newline46mondego><newline46mondego>// Tada! questionnaire is now a complete questionnaire.<newline46mondego>"
"1364splitHere46","15866266splitHere46","public static void main(String[] args)<newline46mondego>"
"1365splitHere46","15866266splitHere46","main"
"1366splitHere46","15866266splitHere46","main"
"1367splitHere46","15866266splitHere46","java MyApp arg1 arg2<newline46mondego>"
"1368splitHere46","15866266splitHere46","main"
"1369splitHere46","15866281splitHere46","?"
"1370splitHere46","15866281splitHere46","^(.+?)D$<newline46mondego>"
"1371splitHere46","15866334splitHere46","System.gc()"
"1372splitHere46","15866334splitHere46","Xmx"
"1373splitHere46","15866334splitHere46","OutOfMemoryError"
"1374splitHere46","15866334splitHere46","Xmx"
"1375splitHere46","15866434splitHere46","java.lang.Object"
"1376splitHere46","15866434splitHere46","Comparable"
"1377splitHere46","15866434splitHere46","public abstract class Employee implements Cloneable, Comparable<Employee><newline46mondego>"
"1378splitHere46","15866434splitHere46","public int compareTo(Employee other) {<newline46mondego>    // logic to compare here<newline46mondego>}<newline46mondego>"
"1379splitHere46","15866513splitHere46","HashMap<String,Member>"
"1380splitHere46","15866513splitHere46",".values()"
"1381splitHere46","15866513splitHere46","// This is how you create a hash map:<newline46mondego>HashMap<String,Member> members = new HashMap<String,Member>();<newline46mondego><newline46mondego>// This is how you add an object to it. It is slower than lists,<newline46mondego>// but since reading happens far often, it pays off.<newline46mondego>members.put(<doubleQuotes46>ben<doubleQuotes46>, new Member());<newline46mondego><newline46mondego>// This is how you access an object in the hash map.<newline46mondego>// Accessing a hash map is O(1).<newline46mondego>Member member = members.get(<doubleQuotes46>ben<doubleQuotes46>);<newline46mondego><newline46mondego>// This is how you remove an object from the hash map.<newline46mondego>// Removing an object is also O(1)<newline46mondego>members.remove(<doubleQuotes46>ben<doubleQuotes46>);<newline46mondego><newline46mondego>// Hash maps are also iterable<newline46mondego>for(Member member : members.values()) {<newline46mondego>}<newline46mondego>"
"1382splitHere46","15866566splitHere46","int"
"1383splitHere46","15866566splitHere46","File"
"1384splitHere46","15866566splitHere46","File"
"1385splitHere46","15866566splitHere46","int"
"1386splitHere46","15866566splitHere46","DataOutputStream"
"1387splitHere46","15866566splitHere46","public static void main(String[] args) throws IOException {<newline46mondego>    int myCounter = 0;<newline46mondego>    myCounter += 10;<newline46mondego>    final File file = new File(<doubleQuotes46>/some/sensible/location<doubleQuotes46>);<newline46mondego>    try (final DataOutputStream dos = new DataOutputStream(new FileOutputStream(file))) {<newline46mondego>        dos.writeInt(myCounter);<newline46mondego>    }<newline46mondego>    try (final DataInputStream dis = new DataInputStream(new FileInputStream(file))) {<newline46mondego>        System.out.println(<doubleQuotes46>Reading int from file: <doubleQuotes46> + dis.readInt());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1388splitHere46","15866566splitHere46","updateFile"
"1389splitHere46","15866566splitHere46","File"
"1390splitHere46","15866650splitHere46","final"
"1391splitHere46","15866650splitHere46","Socket.getInetAddress"
"1392splitHere46","15866650splitHere46","final"
"1393splitHere46","15866650splitHere46","return super.getInetAddress().substring(1);"
"1394splitHere46","15866791splitHere46","Deque"
"1395splitHere46","15866791splitHere46","LinkedList"
"1396splitHere46","15866791splitHere46","Deque"
"1397splitHere46","15866813splitHere46","String line = null; <newline46mondego>while ((line = br.readLine()) != null)<newline46mondego>{<newline46mondego>   System.out.println(line + <doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"1398splitHere46","15866838splitHere46","int pos=s.lastIndexOf(<doubleQuotes46>dot<doubleQuotes46>);<newline46mondego>"
"1399splitHere46","15866838splitHere46","int pos=s.lastIndexOf(dot);<newline46mondego>"
"1400splitHere46","15866838splitHere46","Run -> Debug"
"1401splitHere46","15866855splitHere46","java.lang.NullPointerException"
"1402splitHere46","15866855splitHere46","theString = nchild.item(j).getFirstChild().getNodeValue();<newline46mondego>"
"1403splitHere46","15866855splitHere46","null"
"1404splitHere46","15866855splitHere46","null"
"1405splitHere46","15866855splitHere46","null"
"1406splitHere46","15866855splitHere46","for (int j = 1; j < clength; j = j + 2) {<newline46mondego><newline46mondego>                Node thisNode = nchild.item(j);<newline46mondego>                String theString = null;<newline46mondego>                String nodeName = thisNode.getNodeName();<newline46mondego><newline46mondego>                theString = nchild.item(j).getFirstChild().getNodeValue();<newline46mondego>                if (theString != null) {<newline46mondego>                       // rest of your code<newline46mondego>"
"1407splitHere46","15866855splitHere46","null"
"1408splitHere46","15866855splitHere46","for (int j = 1; j < clength; j = j + 2) {<newline46mondego><newline46mondego>        Node thisNode = nchild.item(j);<newline46mondego><newline46mondego>        String theString = null;<newline46mondego>        if (thisNode != null && thisNode.getFirstChild() != null) {<newline46mondego>            theString = thisNode.getFirstChild().getNodeValue();<newline46mondego>        }<newline46mondego><newline46mondego>        if (theString != null) {<newline46mondego>            String nodeName = thisNode.getNodeName();<newline46mondego>            // rest of your code<newline46mondego>"
"1409splitHere46","15866855splitHere46","NullPointerException"
"1410splitHere46","15866860splitHere46","for (int j = cursor2.getCount() - 1; j >= 0; j--) {<newline46mondego>    cursor2.moveToPosition(j); // j might be -1<newline46mondego>"
"1411splitHere46","15866860splitHere46","cursor2 = db.query(TransactionsDbContract.TblTransactions.TABLE_NAME, ...);<newline46mondego>"
"1412splitHere46","15866860splitHere46","cursor2.getCount()"
"1413splitHere46","15866860splitHere46","j"
"1414splitHere46","15866860splitHere46","-1"
"1415splitHere46","15866860splitHere46","while (cursor1.moveToNext()) {<newline46mondego>    catTotal = 0;<newline46mondego>    curCat = cursor1.getString(cursor1.getColumnIndexOrThrow(<newline46mondego>                     CategoriesDbContract.TblCategories.COLUMN_NAME_CATEGORY));<newline46mondego>    cursor2 = db.query(...);<newline46mondego><newline46mondego>    while (cursor2.moveToNext()) {<newline46mondego>        catTotal += cursor2.getDouble(cursor2.getColumnIndexOrThrow(<newline46mondego>                        TransactionsDbContract.TblTransactions.COLUMN_NAME_AMOUNT));<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1416splitHere46","15866860splitHere46","for"
"1417splitHere46","15866973splitHere46","File source =//<newline46mondego>File target = //<newline46mondego>File urls = //<newline46mondego> Scanner scanner = new Scanner(urls);<newline46mondego> while (scanner.hasNextLine()) {<newline46mondego> for (File child :source.listFiles())<newline46mondego> {<newline46mondego>     if (child.isDirectory()) <newline46mondego><newline46mondego><newline46mondego><newline46mondego>        String line = scanner.nextLine();<newline46mondego><newline46mondego>        for (File childOfchild:child.listFiles())<newline46mondego>         {<newline46mondego>             if (childOfchild.getAbsolutePath().contains(line))<newline46mondego><newline46mondego>                           FileUtils.copyFileToDirectory(childOfchild,target);<newline46mondego><newline46mondego>         }<newline46mondego><newline46mondego>        }<newline46mondego>}<newline46mondego>"
"1418splitHere46","15867033splitHere46","String[].class.getField(<doubleQuotes46>test<doubleQuotes46>)"
"1419splitHere46","15867033splitHere46","NoSuchFieldException"
"1420splitHere46","15867033splitHere46","String[]"
"1421splitHere46","15867033splitHere46","packageA.ClassA"
"1422splitHere46","15867033splitHere46","ClassA.class.getField(<doubleQuotes46>test<doubleQuotes46>)"
"1423splitHere46","15867087splitHere46","public void save() {<newline46mondego>   try( PrintWriter outputFile = new PrintWriter(<doubleQuotes46>textExport.txt<doubleQuotes46>)) {<newline46mondego>      for( Student s : studentList ) {<newline46mondego>         s.writeTo( outputFile );<newline46mondego>      }<newline46mondego>      outputFile.close(); // Optional, try() close it in any case.<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"1424splitHere46","15867087splitHere46","public void writeTo( PrintWriter outputFile ) throws IOException {<newline46mondego>   outputFile.println( this.fileName );<newline46mondego>   outputFile.println( this.fileGrade );<newline46mondego>   outputFile.println( this.fileMajor );<newline46mondego>   outputFile.println( this.fileYear );<newline46mondego>   outputFile.println( this.fileId );<newline46mondego>}<newline46mondego>"
"1425splitHere46","15867087splitHere46","public static Student readFrom( Scanner source ) {<newline46mondego>   this.fileName  = source.nextLine();<newline46mondego>   this.fileGrade = source.nextLine();<newline46mondego>   this.fileMajor = source.nextLine();<newline46mondego>   this.fileYear  = Integer.parseInt( source.nextLine());<newline46mondego>   this.fileId    = Double.parseDouble( source.nextLine());<newline46mondego>   return new Student( fileName, fileGrade, fileMajor,  fileYear, fileId );<newline46mondego>}<newline46mondego>"
"1426splitHere46","15867087splitHere46","public void loadData( File fileName ) {<newline46mondego>   try( Scanner scanner = new Scanner( new File( <doubleQuotes46>textImport.txt<doubleQuotes46> ))) {<newline46mondego>      while( scanner.hasNext()) {<newline46mondego>            studentList.add( Student.readFrom( scanner ));<newline46mondego>      }<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"1427splitHere46","15867094splitHere46","for (String key:keys){<newline46mondego>        String value = mapOfStrings.get(key);<newline46mondego>        //here it must uderstand, that the inputText contains <doubleQuotes46>java<doubleQuotes46> that equals to<newline46mondego>        //the key=<doubleQuotes46>java<doubleQuotes46> and put in outputText the correspondent value<newline46mondego>        if (inputText.contains(key))<newline46mondego>        {<newline46mondego>           outputText = value;<newline46mondego>        }<newline46mondego>    }<newline46mondego>"
