"1splitHere46","2912173splitHere46","SimpleDateFormat formatter = new SimpleDateFormat(<doubleQuotes46>EEE, d MMM yyyy 'at' hh:mma<doubleQuotes46>);<newline46mondego>"
"921splitHere46","2941193splitHere46","String substring(int beginIndex, int endIndex)"
"922splitHere46","2941193splitHere46","beginIndex"
"923splitHere46","2941193splitHere46","endIndex - 1"
"924splitHere46","2941339splitHere46","getEncoded()"
"925splitHere46","2941361splitHere46","static String starOutFirst(String s) {<newline46mondego>    final int K = s.indexOf('.');<newline46mondego>    return <doubleQuotes46>*<doubleQuotes46> + s.substring(K);<newline46mondego>}<newline46mondego>static String starOutButLastTwo(String s) {<newline46mondego>    final int K = s.lastIndexOf('.', s.lastIndexOf('.') - 1);<newline46mondego>    return <doubleQuotes46>*<doubleQuotes46> + s.substring(K);<newline46mondego>}<newline46mondego>"
"926splitHere46","2941361splitHere46","System.out.println(starOutFirst(<doubleQuotes46>123.123.123.123<doubleQuotes46>));<newline46mondego>    // prints <doubleQuotes46>*.123.123.123<doubleQuotes46><newline46mondego><newline46mondego>    System.out.println(starOutButLastTwo(<doubleQuotes46>a.b.c.example.com<doubleQuotes46>));<newline46mondego>    // prints <doubleQuotes46>*.example.com<doubleQuotes46><newline46mondego>"
"927splitHere46","2941375splitHere46","DisplayMode oldDisplayMode = myDevice.getDisplayMode();<newline46mondego>try {<newline46mondego>    myDevice.setFullScreenWindow(myWindow);<newline46mondego>    myDevice.setDisplayMode(newDisplayMode);<newline46mondego>    ...<newline46mondego>} finally {<newline46mondego>    myDevice.setDisplayMode(oldDisplayMode);<newline46mondego>    myDevice.setFullScreenWindow(null);<newline46mondego>}<newline46mondego>"
"928splitHere46","2941538splitHere46","import java.lang.reflect.Field;<newline46mondego>/* ... */<newline46mondego><newline46mondego>for (int i = 1; i < 16; i++) {<newline46mondego>    int id = R.id.class.getField(<doubleQuotes46>s<doubleQuotes46> + i).getInt(0);<newline46mondego>    tv[i] = (TextView)findViewById(id);<newline46mondego>    tv[i].setTypeface(face);<newline46mondego>    tv[i].setClickable(true);<newline46mondego>    tv[i].setOnClickListener(clickListener);<newline46mondego>}<newline46mondego>"
"929splitHere46","2941606splitHere46","[android] [screen-orientation]"
"930splitHere46","2941638splitHere46","String after = before.replace(<doubleQuotes46>\\'<doubleQuotes46>, <doubleQuotes46>'<doubleQuotes46>);<newline46mondego>"
"931splitHere46","2941638splitHere46","after"
"932splitHere46","2941638splitHere46","before"
"933splitHere46","2941638splitHere46","\'"
"934splitHere46","2941638splitHere46","'"
"935splitHere46","2941638splitHere46","String replace(CharSequence target, CharSequence replacement)"
"936splitHere46","2941638splitHere46","<doubleQuotes46>aa<doubleQuotes46>"
"937splitHere46","2941638splitHere46","<doubleQuotes46>b<doubleQuotes46>"
"938splitHere46","2941638splitHere46","<doubleQuotes46>aaa<doubleQuotes46>"
"939splitHere46","2941638splitHere46","<doubleQuotes46>ba<doubleQuotes46>"
"940splitHere46","2941638splitHere46","<doubleQuotes46>ab<doubleQuotes46>"
"941splitHere46","2941656splitHere46","println"
"942splitHere46","2941656splitHere46","print"
"943splitHere46","2941693splitHere46","static"
"944splitHere46","2941805splitHere46","public PriorityQueue(int h)<newline46mondego>{<newline46mondego>    highest=h;<newline46mondego>    queues = new ArrayQueue[highest+1];   // Gives an ignorable warning<newline46mondego>}<newline46mondego>"
"945splitHere46","2941805splitHere46","String forEverUseless = (String) new Object(); // this will not give an empty String<newline46mondego>                                               // but an ouch-that-hurts-Exception<newline46mondego>"
"946splitHere46","2941805splitHere46","queue.add(entry, -1)"
"947splitHere46","2941836splitHere46","if (aField.getType().isArray()) {<newline46mondego>  Object array = aField.get(obj);<newline46mondego>  int length = Array.getLength(array);<newline46mondego>  for (int i = 0; i < length; i++) {<newline46mondego>    System.out.println(Array.get(array, i));<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"948splitHere46","2941836splitHere46","Field.get"
"949splitHere46","2941836splitHere46","java.lang.reflect.Array"
"950splitHere46","2941912splitHere46","FontMetrics.getMaxDecent"
"951splitHere46","2942044splitHere46","import java.util.*;<newline46mondego>public class ListTranspose {<newline46mondego>    public static void main(String[] args) {<newline46mondego>        Object[][] data = {<newline46mondego>            { <doubleQuotes46>Title<doubleQuotes46>, <doubleQuotes46>Data1<doubleQuotes46>, <doubleQuotes46>Data2<doubleQuotes46>, <doubleQuotes46>Data3<doubleQuotes46> },<newline46mondego>            { <doubleQuotes46>A<doubleQuotes46>, 2, 3, 4 },<newline46mondego>            { <doubleQuotes46>B<doubleQuotes46>, 3, 5, 7 },<newline46mondego>        };<newline46mondego>        List<List<Object>> table = new ArrayList<List<Object>>();<newline46mondego>        for (Object[] row : data) {<newline46mondego>            table.add(Arrays.asList(row));<newline46mondego>        }<newline46mondego>        System.out.println(table); //  [[Title, Data1, Data2, Data3],<newline46mondego>                                   //   [A, 2, 3, 4],<newline46mondego>                                   //   [B, 3, 5, 7]]<doubleQuotes46><newline46mondego>        table = transpose(table);<newline46mondego>        System.out.println(table); //  [[Title, A, B],<newline46mondego>                                   //   [Data1, 2, 3],<newline46mondego>                                   //   [Data2, 3, 5],<newline46mondego>                                   //   [Data3, 4, 7]]<newline46mondego>    }<newline46mondego>    static <T> List<List<T>> transpose(List<List<T>> table) {<newline46mondego>        List<List<T>> ret = new ArrayList<List<T>>();<newline46mondego>        final int N = table.get(0).size();<newline46mondego>        for (int i = 0; i < N; i++) {<newline46mondego>            List<T> col = new ArrayList<T>();<newline46mondego>            for (List<T> row : table) {<newline46mondego>                col.add(row.get(i));<newline46mondego>            }<newline46mondego>            ret.add(col);<newline46mondego>        }<newline46mondego>        return ret;<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"952splitHere46","2942559splitHere46","private static void iterateall(BinaryTree foo) {<newline46mondego>    Stack<BinaryTree> nodes = new Stack<BinaryTree>();<newline46mondego>    nodes.push(foo);<newline46mondego>    while (!nodes.isEmpty()) {<newline46mondego>        BinaryTree node = nodes.pop();<newline46mondego>        if (node == null)<newline46mondego>            continue;<newline46mondego>        System.out.println(node.node);<newline46mondego>        nodes.push(node.right);<newline46mondego>        nodes.push(node.left);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"953splitHere46","2942726splitHere46","\b\d{5}\b<newline46mondego>"
"954splitHere46","2942726splitHere46","<doubleQuotes46>\\b\\d{5}\\b<doubleQuotes46>"
"955splitHere46","2942754splitHere46","import java.io.BufferedReader;<newline46mondego>import java.io.IOException;<newline46mondego>import java.io.InputStreamReader;<newline46mondego><newline46mondego>/**<newline46mondego> * Simple demonstration of a reader<newline46mondego> *<newline46mondego> * @author jasonmp85<newline46mondego> *<newline46mondego> */<newline46mondego>public class ReaderClass {<newline46mondego><newline46mondego>    /**<newline46mondego>     * Reads two integers from standard in and prints their sum<newline46mondego>     *<newline46mondego>     * @param args<newline46mondego>     *            unused<newline46mondego>     */<newline46mondego>    public static void main(String[] args) {<newline46mondego>        // System.in is standard in. It's an InputStream, which means<newline46mondego>        // the methods on it all deal with reading bytes. We want<newline46mondego>        // to read characters, so we'll wrap it in an<newline46mondego>        // InputStreamReader, which can read characters into a buffer<newline46mondego>        InputStreamReader isReader = new InputStreamReader(System.in);<newline46mondego><newline46mondego>        // but even that's not good enough. BufferedReader will<newline46mondego>        // buffer the input so we can read line-by-line, freeing<newline46mondego>        // us from manually getting each character and having<newline46mondego>        // to deal with things like backspace, etc.<newline46mondego>        // It wraps our InputStreamReader<newline46mondego>        BufferedReader reader = new BufferedReader(isReader);<newline46mondego>        try {<newline46mondego>            System.out.println(<doubleQuotes46>Please enter a number:<doubleQuotes46>);<newline46mondego>            int firstInt = readInt(reader);<newline46mondego><newline46mondego>            System.out.println(<doubleQuotes46>Please enter a second number:<doubleQuotes46>);<newline46mondego>            int secondInt = readInt(reader);<newline46mondego><newline46mondego>            // printf uses a format string to print values<newline46mondego>            System.out.printf(<doubleQuotes46>%d + %d = %d<doubleQuotes46>,<newline46mondego>                              firstInt, secondInt, firstInt + secondInt);<newline46mondego>        } catch (IOException ioe) {<newline46mondego>            // IOException is thrown if a reader error occurs<newline46mondego>            System.err.println(<doubleQuotes46>An error occurred reading from the reader, <doubleQuotes46><newline46mondego>                               + ioe);<newline46mondego><newline46mondego>            // exit with a non-zero status to signal failure<newline46mondego>            System.exit(-1);<newline46mondego>        } finally {<newline46mondego>            try {<newline46mondego>                // the finally block gives us a place to ensure that<newline46mondego>                // we clean up all our resources, namely our reader<newline46mondego>                reader.close();<newline46mondego>            } catch (IOException ioe) {<newline46mondego>                // but even that might throw an error<newline46mondego>                System.err.println(<doubleQuotes46>An error occurred closing the reader, <doubleQuotes46><newline46mondego>                                   + ioe);<newline46mondego>                System.exit(-1);<newline46mondego>            }<newline46mondego>        }<newline46mondego><newline46mondego>    }<newline46mondego><newline46mondego>    private static int readInt(BufferedReader reader) throws IOException {<newline46mondego>        while (true) {<newline46mondego>            try {<newline46mondego>                // Integer.parseInt turns a string into an int<newline46mondego>                return Integer.parseInt(reader.readLine());<newline46mondego>            } catch (NumberFormatException nfe) {<newline46mondego>                // but it throws an exception if the String doesn't look<newline46mondego>                // like any integer it recognizes<newline46mondego>                System.out.println(<doubleQuotes46>That's not a number! Try again.<doubleQuotes46>);<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"956splitHere46","2942795splitHere46","DatabaseMetaData meta = con.getMetaData();<newline46mondego>  ResultSet res = meta.getTables(null, null, null, <newline46mondego>     new String[] {<doubleQuotes46>TABLE<doubleQuotes46>});<newline46mondego>  while (res.next()) {<newline46mondego>     System.out.println(<newline46mondego>        <doubleQuotes46>   <doubleQuotes46>+res.getString(<doubleQuotes46>TABLE_CAT<doubleQuotes46>) <newline46mondego>       + <doubleQuotes46>, <doubleQuotes46>+res.getString(<doubleQuotes46>TABLE_SCHEM<doubleQuotes46>)<newline46mondego>       + <doubleQuotes46>, <doubleQuotes46>+res.getString(<doubleQuotes46>TABLE_NAME<doubleQuotes46>)<newline46mondego>       + <doubleQuotes46>, <doubleQuotes46>+res.getString(<doubleQuotes46>TABLE_TYPE<doubleQuotes46>)<newline46mondego>       + <doubleQuotes46>, <doubleQuotes46>+res.getString(<doubleQuotes46>REMARKS<doubleQuotes46>)); <newline46mondego>  }<newline46mondego>"
"957splitHere46","2942919splitHere46","FileManager"
"958splitHere46","2942919splitHere46","FileManager"
"959splitHere46","2942929splitHere46","stackTrace"
"960splitHere46","2942929splitHere46","catch (SQLException err) {<newline46mondego>    err.printStackTrace();  // <-- add this<newline46mondego><newline46mondego>    JOptionPane.showMessageDialog(Students.this, err.getMessage());<newline46mondego>}<newline46mondego>"
"961splitHere46","2942974splitHere46","return x2;"
"962splitHere46","2942974splitHere46","return y2;"
"963splitHere46","2943110splitHere46","public void callByName(Object obj, String funcName) throws Exception {<newline46mondego>    // Ignoring any possible result<newline46mondego>    obj.getClass().getDeclaredMethod(funcName).invoke(obj);<newline46mondego>}<newline46mondego>"
"964splitHere46","2943110splitHere46","public void callClassByName(Class cls, String funcName) throws Exception {<newline46mondego>    // Ignoring any possible result<newline46mondego>    cls.getDeclaredMethod(funcName).invoke(null);<newline46mondego>}<newline46mondego>"
"965splitHere46","2943110splitHere46","java.lang.reflect.Proxy"
"966splitHere46","2943179splitHere46","if (obj instanceof MarkerInterface) {<newline46mondego>    // do marker interface related stuff<newline46mondego>}<newline46mondego>"
"967splitHere46","2943180splitHere46","<context:annotation-config /><newline46mondego>"
"968splitHere46","2943180splitHere46","<context:component-scan base-package=<doubleQuotes46><doubleQuotes46> /><newline46mondego>"
"969splitHere46","2943230splitHere46","/WEB-INF/lib"
"970splitHere46","2943230splitHere46","<c:import>"
"971splitHere46","2943230splitHere46","<c:catch>"
"972splitHere46","2943230splitHere46","<c:import>"
"973splitHere46","2943230splitHere46","IOException"
"974splitHere46","2943230splitHere46","FileNotFoundException"
"975splitHere46","2943230splitHere46","<c:catch>"
"976splitHere46","2943230splitHere46","Throwable"
"977splitHere46","2943230splitHere46","<c:choose>"
"978splitHere46","2943230splitHere46","<c:if>"
"979splitHere46","2943230splitHere46","<%@taglib uri=<doubleQuotes46>http://java.sun.com/jsp/jstl/core<doubleQuotes46> prefix=<doubleQuotes46>c<doubleQuotes46> %><newline46mondego><c:set var=<doubleQuotes46>url<doubleQuotes46> value=<doubleQuotes46>http://google.com<doubleQuotes46> /><newline46mondego><c:catch var=<doubleQuotes46>e<doubleQuotes46>><newline46mondego>    <c:import url=<doubleQuotes46>${url}<doubleQuotes46> var=<doubleQuotes46>ignore<doubleQuotes46>></c:import><newline46mondego></c:catch><newline46mondego><c:choose><newline46mondego>    <c:when test=<doubleQuotes46>${not empty e}<doubleQuotes46>><newline46mondego>        <p>Site doesn't exist<newline46mondego>    </c:when><newline46mondego>    <c:otherwise><newline46mondego>        <c:redirect url=<doubleQuotes46>${url}<doubleQuotes46> /><newline46mondego>    </c:otherwise><newline46mondego></c:choose><newline46mondego>"
"980splitHere46","2943230splitHere46","var=<doubleQuotes46>ignore<doubleQuotes46>"
"981splitHere46","2943230splitHere46","HttpServlet"
"982splitHere46","2943230splitHere46","Filter"
"983splitHere46","2943230splitHere46","HttpServlet"
"984splitHere46","2943230splitHere46","protected void doGet(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {<newline46mondego>    String url = <doubleQuotes46>http://google.com<doubleQuotes46>;<newline46mondego>    try {<newline46mondego>        new URL(url).openStream(); // Will throw UnknownHostException or FileNotFoundException<newline46mondego>        response.sendRedirect(url);<newline46mondego>    } catch (IOException e) {<newline46mondego>        throw new ServletException(<doubleQuotes46>URL <doubleQuotes46> + url + <doubleQuotes46> does not exist<doubleQuotes46>, e); // Handle whatever you want. Forward to JSP?<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"985splitHere46","2943406splitHere46","equals"
"986splitHere46","2943406splitHere46","hashCode"
"987splitHere46","2943406splitHere46","equals"
"988splitHere46","2943406splitHere46","hashCode"
"989splitHere46","2943534splitHere46","List<Project> projects = (List<Project>) session.createQuery( <newline46mondego>      <doubleQuotes46>select u.projects FROM YFUser u where u.username = :username<doubleQuotes46>) <newline46mondego>      .setParameter(<doubleQuotes46>username<doubleQuotes46>, name).list(); <newline46mondego>"
"990splitHere46","2943574splitHere46","try"
"991splitHere46","2943574splitHere46","try (BufferedReader br = new BufferedReader(new FileReader(path))) {<newline46mondego>   return br.readLine();<newline46mondego>}<newline46mondego>"
"992splitHere46","2943574splitHere46","java.lang.AutoCloseable"
"993splitHere46","2943574splitHere46","try"
"994splitHere46","2943575splitHere46","static"
"995splitHere46","2943622splitHere46","<servlet><newline46mondego>    <servlet-name>helloservlet</servlet-name><newline46mondego>    <servlet-class>com.your.package.HelloServlet</servlet-class><newline46mondego></servlet><newline46mondego><newline46mondego><servlet-mapping><newline46mondego>    <servlet-name>helloservlet</servlet-name> <!-- names must match --><newline46mondego>    <url-pattern>*.html</url-pattern><newline46mondego></servlet-mapping><newline46mondego>"
"996splitHere46","2943671splitHere46","create=true"
"997splitHere46","2943671splitHere46","Connection conn = DriverManager.getConnection(<doubleQuotes46>jdbc:derby:sampleDB;create=true<doubleQuotes46>);<newline46mondego>"
"998splitHere46","2943671splitHere46","SQLWarning"
"999splitHere46","2943732splitHere46","Calendar cal = new GregorianCalendar(2010, Calendar.MAY, 31);<newline46mondego>"
"1000splitHere46","2943732splitHere46","cal.get(Calendar.MONTH)"
"1001splitHere46","2943733splitHere46","CREATE OR REPLACE FUNCTION selectAllEmployments<newline46mondego>    RETURN SYS_REFCURSOR<newline46mondego>AS<newline46mondego>    st_cursor SYS_REFCURSOR;<newline46mondego>BEGIN<newline46mondego>    OPEN st_cursor FOR<newline46mondego> SELECT EMPLOYEE, EMPLOYER,<newline46mondego> STARTDATE, ENDDATE,<newline46mondego> REGIONCODE, EID, VALUE, CURRENCY<newline46mondego> FROM EMPLOYMENT;<newline46mondego>      RETURN  st_cursor;<newline46mondego> END;<newline46mondego>"
"1002splitHere46","2943733splitHere46","<sql-query name=<doubleQuotes46>selectAllEmployees_SP<doubleQuotes46> callable=<doubleQuotes46>true<doubleQuotes46>><newline46mondego>    <return alias=<doubleQuotes46>emp<doubleQuotes46> class=<doubleQuotes46>Employment<doubleQuotes46>><newline46mondego>        <return-property name=<doubleQuotes46>employee<doubleQuotes46> column=<doubleQuotes46>EMPLOYEE<doubleQuotes46>/><newline46mondego>        <return-property name=<doubleQuotes46>employer<doubleQuotes46> column=<doubleQuotes46>EMPLOYER<doubleQuotes46>/><newline46mondego>        <return-property name=<doubleQuotes46>startDate<doubleQuotes46> column=<doubleQuotes46>STARTDATE<doubleQuotes46>/><newline46mondego>        <return-property name=<doubleQuotes46>endDate<doubleQuotes46> column=<doubleQuotes46>ENDDATE<doubleQuotes46>/><newline46mondego>        <return-property name=<doubleQuotes46>regionCode<doubleQuotes46> column=<doubleQuotes46>REGIONCODE<doubleQuotes46>/><newline46mondego>        <return-property name=<doubleQuotes46>id<doubleQuotes46> column=<doubleQuotes46>EID<doubleQuotes46>/><newline46mondego>        <return-property name=<doubleQuotes46>salary<doubleQuotes46>><newline46mondego>            <return-column name=<doubleQuotes46>VALUE<doubleQuotes46>/><newline46mondego>            <return-column name=<doubleQuotes46>CURRENCY<doubleQuotes46>/><newline46mondego>        </return-property><newline46mondego>    </return><newline46mondego>    { ? = call selectAllEmployments() }<newline46mondego></sql-query><newline46mondego>"
"1003splitHere46","2943733splitHere46","<return-join>"
"1004splitHere46","2943733splitHere46","<load-collection>"
"1005splitHere46","2943733splitHere46","session.connection()"
"1006splitHere46","2943733splitHere46","setFirstResult()/setMaxResults()"
"1007splitHere46","2943733splitHere46","{ ? = call<newline46mondego>  functionName(<parameters>) }"
"1008splitHere46","2943733splitHere46","{ ?<newline46mondego>  = call procedureName(<parameters>}"
"1009splitHere46","2943733splitHere46","session.getConnection()"
"1010splitHere46","2943827splitHere46","NC1"
"1011splitHere46","2943827splitHere46","C1.NC1"
"1012splitHere46","2943827splitHere46","import java.util.*;<newline46mondego><newline46mondego>public class C1 implements Iterable<C1.NC1> {<newline46mondego>    private LinkedList<NC1> list;<newline46mondego>    public static class NC1 {<newline46mondego>    }<newline46mondego><newline46mondego>    public Iterator<C1.NC1> iterator() {<newline46mondego>        return list.iterator();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1013splitHere46","2943827splitHere46","import static yourpackage.C1.NC1"
"1014splitHere46","2943921splitHere46","<doubleQuotes46><doubleQuotes46>"
"1015splitHere46","2943921splitHere46","foo,bar,<doubleQuotes46>a <doubleQuotes46><doubleQuotes46>quoted<doubleQuotes46><doubleQuotes46> string<doubleQuotes46>,bang"
"1016splitHere46","2943922splitHere46","java.lang.String#split()"
"1017splitHere46","2943922splitHere46","//Split by tab<newline46mondego>String values[] = myTextLineByLine.split(<doubleQuotes46>\t<doubleQuotes46>);<newline46mondego>List<String> list = Arrays.asList(values);<newline46mondego>//Reverse the list so that longitude and latitude are the first two elements<newline46mondego>Collections.reverse(list);<newline46mondego><newline46mondego>String longitude = list.get(0);<newline46mondego>String latitude = list.get(1);<newline46mondego>"
"1018splitHere46","2944162splitHere46","rt.jar"
"1019splitHere46","2944162splitHere46","src.zip"
"1020splitHere46","2944162splitHere46","-Xbootclasspath"
"1021splitHere46","2944162splitHere46","java"
"1022splitHere46","2944183splitHere46","JLabel"
"1023splitHere46","2944183splitHere46","lblimage"
"1024splitHere46","2944183splitHere46","JPanel mainPanel = new JPanel(new BorderLayout());<newline46mondego>mainPanel.add(lblimage);<newline46mondego>// add more components here<newline46mondego>frame.add(mainPanel);<newline46mondego>frame.setVisible(true);<newline46mondego>"
"1025splitHere46","2944183splitHere46","lblimage"
"1026splitHere46","2944352splitHere46","a = 1.00001"
"1027splitHere46","2944352splitHere46","b = 0.99999"
"1028splitHere46","2944352splitHere46","return Math.abs(a - b) < 1e-4;<newline46mondego>"
"1029splitHere46","2944352splitHere46","a = 1.00010"
"1030splitHere46","2944352splitHere46","b = 1.00019"
"1031splitHere46","2944352splitHere46","a"
"1032splitHere46","2944352splitHere46","b"
"1033splitHere46","2944352splitHere46","return Math.floor(a * 10000) == Math.floor(b * 10000);<newline46mondego>// compare by == is fine here because both sides are integral values.<newline46mondego>// double can represent integral values below 2**53 exactly.<newline46mondego>"
"1034splitHere46","2944352splitHere46","truncate"
"1035splitHere46","2944352splitHere46","BigDecimal aa = new BigDecimal(a);<newline46mondego>BigDecimal bb = new BigDecimal(b);<newline46mondego>aa = aa.setScale(4, BigDecimal.ROUND_DOWN);<newline46mondego>bb = bb.setScale(4, BigDecimal.ROUND_DOWN);<newline46mondego>return aa.equals(bb);<newline46mondego>"
"1036splitHere46","2944479splitHere46","package jvmtest;<newline46mondego><newline46mondego>import java.io.Console;<newline46mondego>import jvmtest.MyClass;<newline46mondego><newline46mondego>public class JVMTest {<newline46mondego>  public static void main(String[] args) {<newline46mondego>    System.out.println(<doubleQuotes46>JVMTest started ...<doubleQuotes46>);<newline46mondego><newline46mondego>    Console c = System.console();<newline46mondego>    String enter = c.readLine(<doubleQuotes46>Press Enter to proceed<doubleQuotes46>);<newline46mondego>    MyClass myClass = new MyClass();<newline46mondego>    System.out.println(<doubleQuotes46>Bye Bye<doubleQuotes46>);<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"1037splitHere46","2944479splitHere46","package jvmtest;<newline46mondego><newline46mondego>public class MyClass {<newline46mondego>  public MyClass() {<newline46mondego>    System.out.println(<doubleQuotes46>MyClass v2<doubleQuotes46>);<newline46mondego>  }<newline46mondego>}<newline46mondego>"
"1038splitHere46","2944479splitHere46","jvmtest/<newline46mondego>  JVMTest.class<newline46mondego>  MyClass.class<newline46mondego>"
"1039splitHere46","2944479splitHere46","> java -cp /tmp/ jvmtest.JVMTest<newline46mondego>"
"1040splitHere46","2944479splitHere46","> Java -version<newline46mondego>"
"1041splitHere46","2944479splitHere46","java version <doubleQuotes46>1.6.0_20<doubleQuotes46><newline46mondego>Java(TM) SE Runtime Environment (build 1.6.0_20-b02-279-10M3065)<newline46mondego>Java HotSpot(TM) 64-Bit Server VM (build 16.3-b01-279, mixed mode)<newline46mondego>"
"1042splitHere46","2944538splitHere46","public class MyFunkyDao extends SqlMapClientDaoSupport<newline46mondego>{<newline46mondego>    private static final int DB_BATCH_SIZE = 1000;<newline46mondego><newline46mondego>    public void storeMyData(final List<MyData> listData)<newline46mondego>    {<newline46mondego>        getSqlMapClientTemplate().execute( new SqlMapClientCallback()<newline46mondego>        {<newline46mondego>            @Override<newline46mondego>            public Object doInSqlMapClient(SqlMapExecutor executor) throws SQLException<newline46mondego>            {<newline46mondego>                int count = 0, total = 0;<newline46mondego><newline46mondego>                Map<String, Object> params = new HashMap<String, Object>();<newline46mondego><newline46mondego>                executor.startBatch();<newline46mondego><newline46mondego>                for (MyData data: listData)<newline46mondego>                {<newline46mondego>                    params.put(<doubleQuotes46>param name 1<doubleQuotes46>, data.getValue());<newline46mondego><newline46mondego>                    executor.insert(<doubleQuotes46>insertData<doubleQuotes46>, params);<newline46mondego><newline46mondego>                    count++;<newline46mondego>                    if (count % DB_BATCH_SIZE == 0) <newline46mondego>                    {<newline46mondego>                        total += executor.executeBatch();<newline46mondego>                        executor.startBatch();<newline46mondego>                    }<newline46mondego><newline46mondego>                    params.clear();<newline46mondego>                }<newline46mondego><newline46mondego>                total += executor.executeBatch();<newline46mondego><newline46mondego>                return new Integer(total);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1043splitHere46","2944573splitHere46","int"
"1044splitHere46","2944573splitHere46","0"
"1045splitHere46","2944723splitHere46","Calendar#clear()"
"1046splitHere46","2944723splitHere46","GregorianCalendar cal = new GregorianCalendar();<newline46mondego>cal.clear();<newline46mondego>// ...<newline46mondego>"
"1047splitHere46","2944723splitHere46","Sun Feb 28 23:59:59 GMT-04:00 2010<newline46mondego>"
"1048splitHere46","2944723splitHere46","java.util.Calendar"
"1049splitHere46","2944723splitHere46","Date"
"1050splitHere46","2944744splitHere46","ArrayIndexOutOfBoundsException"
"1051splitHere46","2944753splitHere46","JLabel label = new JLabel(new ImageIcon(image));<newline46mondego>"
"1052splitHere46","2944782splitHere46","List<T>"
"1053splitHere46","2944782splitHere46","ArrayList<E>"
"1054splitHere46","2944782splitHere46","ArrayList"
"1055splitHere46","2944782splitHere46","List<T>"
"1056splitHere46","2944782splitHere46","Capacity"
"1057splitHere46","2944782splitHere46","ensureCapacity"
"1058splitHere46","2945022splitHere46","java.awt.*"
"1059splitHere46","2945022splitHere46","java.awt.event.*"
"1060splitHere46","2945022splitHere46","java.awt.geom.*"
"1061splitHere46","2945022splitHere46","paintComponent()"
"1062splitHere46","2945025splitHere46","Thread#getStackTrace()"
"1063splitHere46","2945025splitHere46","new Exception()"
"1064splitHere46","2945025splitHere46","initialized"
"1065splitHere46","2945025splitHere46","public abstract class SuperClass {<newline46mondego><newline46mondego>    {<newline46mondego>        if (!isInitialized(getClass())) {<newline46mondego>            initialize(getClass());<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"1066splitHere46","2945025splitHere46","static"
"1067splitHere46","2945043splitHere46","--$(boundary)<newline46mondego>Content-Type: application/xml; charset=UTF-8<newline46mondego><newline46mondego><?xml version=<doubleQuotes46>1.0<doubleQuotes46>?><newline46mondego><!DOCTYPE pap PUBLIC <doubleQuotes46>-//WAPFORUM//DTD PAP 2.0//EN<doubleQuotes46> <newline46mondego>    <doubleQuotes46>http://www.wapforum.org/DTD/pap_2.0.dtd<doubleQuotes46> <newline46mondego>    [<?wap-pap-ver supported-versions=<doubleQuotes46>2.0<doubleQuotes46>?>]><newline46mondego><pap><newline46mondego><push-message push-id=<doubleQuotes46>$(pushid)<doubleQuotes46> ppg-notify-requested-to=<doubleQuotes46>$(notifyURL)<doubleQuotes46>><newline46mondego><newline46mondego><address address-value=<doubleQuotes46>WAPPUSH=$(pin)%3A100/TYPE=USER@rim.net<doubleQuotes46>/><newline46mondego><quality-of-service delivery-method=<doubleQuotes46>$(deliveryMethod)<doubleQuotes46>/><newline46mondego></push-message><newline46mondego></pap><newline46mondego>--$(boundary)<newline46mondego>$(headers)<newline46mondego><newline46mondego>$(content)<newline46mondego>--$(boundary)--<newline46mondego>"
"1068splitHere46","2945053splitHere46","java.util.Arrays.binarySearch"
"1069splitHere46","2945053splitHere46","java.util.Collections.binarySearch"
"1070splitHere46","2945053splitHere46","List"
"1071splitHere46","2945053splitHere46","Comparable"
"1072splitHere46","2945053splitHere46","Comparator"
"1073splitHere46","2945053splitHere46","List.subList(int fromIndex, int toIndex)"
"1074splitHere46","2945086splitHere46","pageIsDynamic"
"1075splitHere46","2945086splitHere46","dynamical"
"1076splitHere46","2945086splitHere46","dynamicallyGenerated"
"1077splitHere46","2945086splitHere46","is"
"1078splitHere46","2945086splitHere46","get"
"1079splitHere46","2945086splitHere46","public boolean is<PropertyName>();<newline46mondego>"
"1080splitHere46","2945086splitHere46","“is<PropertyName>�?"
"1081splitHere46","2945086splitHere46","“get<PropertyName>�?"
"1082splitHere46","2945086splitHere46","“get<PropertyName>�?"
"1083splitHere46","2945086splitHere46","“is<PropertyName>�?"
"1084splitHere46","2945086splitHere46","“is<PropertyName>�?"
"1085splitHere46","2945086splitHere46","public boolean isMarsupial();<newline46mondego>public void setMarsupial(boolean m);<newline46mondego>"
"1086splitHere46","2945121splitHere46","void doWhile(a, b) {<newline46mondego>    /* do something with a and b, hopefully changing them */<newline46mondego>    if (a > b) doWhile(a, b);<newline46mondego>}<newline46mondego>"
