"1splitHere46","2439788splitHere46","public int foo() {...}<newline46mondego>public float foo() {..}<newline46mondego><newline46mondego>...<newline46mondego>foo(); // which one?<newline46mondego>"
"979splitHere46","2469986splitHere46","public class Arbit {<newline46mondego>    public static void main(String[] args) throws Exception{<newline46mondego>        B b1 = new B(<doubleQuotes46>1<doubleQuotes46>);<newline46mondego>        B b2 = new B(<doubleQuotes46>2<doubleQuotes46>);<newline46mondego>        B b3 = new B(<doubleQuotes46>3<doubleQuotes46>);<newline46mondego>        b1.start();<newline46mondego>        b2.start();<newline46mondego>        b3.start();<newline46mondego>        b1.join();<newline46mondego>        b2.join();<newline46mondego>        b3.join();<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class B extends Thread{<newline46mondego>    B(String s){<newline46mondego>        setName(s);<newline46mondego>    }<newline46mondego>    @Override<newline46mondego>    public void run() {<newline46mondego><newline46mondego>        try {<newline46mondego>            Thread.sleep(new Random().nextInt(100));<newline46mondego>        } catch (InterruptedException e) {<newline46mondego>        }<newline46mondego>        System.out.println(A.s);<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class A{<newline46mondego>    static String s = Thread.currentThread().getName();<newline46mondego>}<newline46mondego>"
"980splitHere46","2470020splitHere46","Point2D.Double testLatLng = new Point2D.Double(12.7500, 55.0000); <newline46mondego>"
"981splitHere46","2470118splitHere46","+year:1990 +(-title:<doubleQuotes46>Jurassic Park<doubleQuotes46>)<newline46mondego>"
"982splitHere46","2470118splitHere46","-title:<doubleQuotes46>Jurassic Park<doubleQuotes46><newline46mondego>"
"983splitHere46","2470358splitHere46","Comparator<MyObject> comp = new Comparator<MyObject>{<newline46mondego>  public int compare(MyObject o1, MyObject o2) {<newline46mondego>    // NOTE this compare is not very good as it obeys the contract but<newline46mondego>    // is not consistent with equals. compare() == 0 -> equals() != true here<newline46mondego>    // Better to use some more fields<newline46mondego>    return o1.getId().hashCode() < o2.getId().hashCode();<newline46mondego>  }<newline46mondego>  public boolean equals(Object other) {<newline46mondego>    return 01.getId().equals(o2.getId());<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>Set<MyObject> myObjects = new TreeSet(comp);<newline46mondego>"
"984splitHere46","2470409splitHere46","buffer(1)"
"985splitHere46","2470409splitHere46","buffer(-1)"
"986splitHere46","2470409splitHere46","buffer()"
"987splitHere46","2470426splitHere46","@Controller"
"988splitHere46","2470426splitHere46","AbstractController"
"989splitHere46","2470426splitHere46","@Controller"
"990splitHere46","2470426splitHere46","@RequestMapping"
"991splitHere46","2470426splitHere46","<context:component-scan base-package=<doubleQuotes46>test.mypackage.controller<doubleQuotes46> /><newline46mondego>"
"992splitHere46","2470426splitHere46","@Controller<newline46mondego>public class HelloController {<newline46mondego><newline46mondego>   @RequestMapping(<doubleQuotes46>/hello<doubleQuotes46>)<newline46mondego>   public String handle(ModelMap model) {<newline46mondego>      model.addAttribute(<doubleQuotes46>message<doubleQuotes46>, <doubleQuotes46>Hello World!<doubleQuotes46>);<newline46mondego>      return <doubleQuotes46>hello<doubleQuotes46>;<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"993splitHere46","2470493splitHere46","java.awt.event.MouseMotionListener"
"994splitHere46","2470493splitHere46","MouseInfo.getPointerInfo"
"995splitHere46","2470493splitHere46","MouseMotionListeners"
"996splitHere46","2470493splitHere46","import java.awt.Component;<newline46mondego>import java.awt.MouseInfo;<newline46mondego>import java.awt.Point;<newline46mondego>import java.awt.event.ActionEvent;<newline46mondego>import java.awt.event.ActionListener;<newline46mondego>import java.awt.event.MouseEvent;<newline46mondego>import java.awt.event.MouseMotionListener;<newline46mondego>import java.util.HashSet;<newline46mondego>import java.util.Set;<newline46mondego><newline46mondego>import javax.swing.JFrame;<newline46mondego>import javax.swing.SwingUtilities;<newline46mondego>import javax.swing.Timer;<newline46mondego><newline46mondego>/**<newline46mondego> * Describe class <code>MouseObserver</code> here.<newline46mondego> *<newline46mondego> * @author <a href=<doubleQuotes46>mailto:thomas.kleinbauer@dfki.de<doubleQuotes46>>Thomas Kleinbauer</a><newline46mondego> * @version 1.0<newline46mondego> */<newline46mondego>public class MouseObserver {<newline46mondego>    /* the resolution of the mouse motion */<newline46mondego>    private static final int DELAY = 10;<newline46mondego><newline46mondego>    private Component component;<newline46mondego>    private Timer timer;<newline46mondego>    private Set<MouseMotionListener> mouseMotionListeners;<newline46mondego><newline46mondego>    protected MouseObserver(Component component) {<newline46mondego>        if (component == null) {<newline46mondego>            throw new IllegalArgumentException(<doubleQuotes46>Null component not allowed.<doubleQuotes46>);<newline46mondego>        }<newline46mondego><newline46mondego>        this.component = component;<newline46mondego><newline46mondego>        /* poll mouse coordinates at the given rate */<newline46mondego>        timer = new Timer(DELAY, new ActionListener() {<newline46mondego>                private Point lastPoint = MouseInfo.getPointerInfo().getLocation();<newline46mondego><newline46mondego>                /* called every DELAY milliseconds to fetch the<newline46mondego>                 * current mouse coordinates */<newline46mondego>                public synchronized void actionPerformed(ActionEvent e) {<newline46mondego>                    Point point = MouseInfo.getPointerInfo().getLocation();<newline46mondego><newline46mondego>                    if (!point.equals(lastPoint)) {<newline46mondego>                        fireMouseMotionEvent(point);<newline46mondego>                    }<newline46mondego><newline46mondego>                    lastPoint = point;<newline46mondego>                }<newline46mondego>            });<newline46mondego>        mouseMotionListeners = new HashSet<MouseMotionListener>();<newline46mondego>    }<newline46mondego><newline46mondego>    public Component getComponent() {<newline46mondego>        return component;<newline46mondego>    }<newline46mondego><newline46mondego>    public void start() {<newline46mondego>        timer.start();<newline46mondego>    }<newline46mondego><newline46mondego>    public void stop() {<newline46mondego>        timer.stop();<newline46mondego>    }<newline46mondego><newline46mondego>    public void addMouseMotionListener(MouseMotionListener listener) {<newline46mondego>        synchronized (mouseMotionListeners) {<newline46mondego>            mouseMotionListeners.add(listener);<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    public void removeMouseMotionListener(MouseMotionListener listener) {<newline46mondego>        synchronized (mouseMotionListeners) {<newline46mondego>            mouseMotionListeners.remove(listener);<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    protected void fireMouseMotionEvent(Point point) {<newline46mondego>        synchronized (mouseMotionListeners) {<newline46mondego>            for (final MouseMotionListener listener : mouseMotionListeners) {<newline46mondego>                final MouseEvent event =<newline46mondego>                    new MouseEvent(component, MouseEvent.MOUSE_MOVED, System.currentTimeMillis(),<newline46mondego>                                   0, point.x, point.y, 0, false);<newline46mondego><newline46mondego>                SwingUtilities.invokeLater(new Runnable() {<newline46mondego>                        public void run() {<newline46mondego>                            listener.mouseMoved(event);<newline46mondego>                        }<newline46mondego>                    });<newline46mondego>            }<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    /* Testing the ovserver */<newline46mondego>    public static void main(String[] args) {<newline46mondego>        JFrame main = new JFrame(<doubleQuotes46>dummy...<doubleQuotes46>);<newline46mondego>        main.setSize(100,100);<newline46mondego>        main.setVisible(true);<newline46mondego><newline46mondego>        MouseObserver mo = new MouseObserver(main);<newline46mondego>        mo.addMouseMotionListener(new MouseMotionListener() {<newline46mondego>                public void mouseMoved(MouseEvent e) {<newline46mondego>                    System.out.println(<doubleQuotes46>mouse moved: <doubleQuotes46> + e.getPoint());<newline46mondego>                }<newline46mondego><newline46mondego>                public void mouseDragged(MouseEvent e) {<newline46mondego>                    System.out.println(<doubleQuotes46>mouse dragged: <doubleQuotes46> + e.getPoint());<newline46mondego>                }<newline46mondego>            });<newline46mondego><newline46mondego>        mo.start();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"997splitHere46","2470493splitHere46","mouseMoved"
"998splitHere46","2470493splitHere46","mouseDragged"
"999splitHere46","2470493splitHere46","modifiers"
"1000splitHere46","2470493splitHere46","MouseEvent"
"1001splitHere46","2470493splitHere46","clickCount"
"1002splitHere46","2470493splitHere46","popupTrigger"
"1003splitHere46","2470493splitHere46","button"
"1004splitHere46","2470493splitHere46","java.awt.Component"
"1005splitHere46","2470493splitHere46","MouseEvent"
"1006splitHere46","2470493splitHere46","null"
"1007splitHere46","2470567splitHere46","private"
"1008splitHere46","2470567splitHere46","private"
"1009splitHere46","2470567splitHere46","public"
"1010splitHere46","2470567splitHere46","int[][] cards = new int[4][4];<newline46mondego>"
"1011splitHere46","2470567splitHere46","public class Cards {<newline46mondego>   private int[][] cards = new int[4][4];<newline46mondego>}<newline46mondego>"
"1012splitHere46","2470567splitHere46","shuffle(cards);<newline46mondego><newline46mondego>for (int i = 0; i < 4; i++){<newline46mondego>   for (int j = 0; j < 4; j++){<newline46mondego>       System.out.print(cards[i][j]);<newline46mondego>       System.out.print(<doubleQuotes46> <doubleQuotes46>);<newline46mondego>   }<newline46mondego>   System.out.println(<doubleQuotes46><doubleQuotes46>);<newline46mondego>   System.out.println(<doubleQuotes46><doubleQuotes46>);<newline46mondego>}<newline46mondego>"
"1013splitHere46","2470567splitHere46","public class Cards {<newline46mondego>   private int[][] cards = new int[4][4];<newline46mondego><newline46mondego>   public void shuffle() {<newline46mondego>      // existing shuffle method goes here - but works with private cards<newline46mondego>   }<newline46mondego><newline46mondego>   public void print() {<newline46mondego>      for (int i = 0; i < 4; i++){<newline46mondego>        for (int j = 0; j < 4; j++){<newline46mondego>           System.out.print(cards[i][j]);<newline46mondego>           System.out.print(<doubleQuotes46> <doubleQuotes46>);<newline46mondego>        }<newline46mondego>      System.out.println(<doubleQuotes46><doubleQuotes46>);<newline46mondego>      System.out.println(<doubleQuotes46><doubleQuotes46>);<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"1014splitHere46","2470567splitHere46","Cards"
"1015splitHere46","2470567splitHere46","public class Cards {<newline46mondego>   private int width;<newline46mondego>   private int length;<newline46mondego>   private int[][] cards;<newline46mondego><newline46mondego>   public void shuffle() {<newline46mondego>      // existing shuffle method goes here - but works with private cards<newline46mondego>   }<newline46mondego><newline46mondego>   public void print() {<newline46mondego>      for (int i = 0; i < length; i++){<newline46mondego>        for (int j = 0; j < width; j++){<newline46mondego>           System.out.print(cards[i][j]);<newline46mondego>           System.out.print(<doubleQuotes46> <doubleQuotes46>);<newline46mondego>        }<newline46mondego>      System.out.println(<doubleQuotes46><doubleQuotes46>);<newline46mondego>      System.out.println(<doubleQuotes46><doubleQuotes46>);<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"1016splitHere46","2470567splitHere46","length"
"1017splitHere46","2470567splitHere46","width"
"1018splitHere46","2470567splitHere46","public class Cards {<newline46mondego>    private int width;<newline46mondego>    private int length;<newline46mondego>    private int[][] cards;<newline46mondego><newline46mondego>   public Cards(int length, int width) {<newline46mondego>      this.length = length;<newline46mondego>      this.width = width;<newline46mondego>      this.cards = new int[length][width];<newline46mondego>   }<newline46mondego><newline46mondego>   public void shuffle() {<newline46mondego>      // existing shuffle method goes here - but works with private cards<newline46mondego>   }<newline46mondego><newline46mondego>   public void print() {<newline46mondego>      for (int i = 0; i < length; i++){<newline46mondego>        for (int j = 0; j < width; j++){<newline46mondego>           System.out.print(cards[i][j]);<newline46mondego>           System.out.print(<doubleQuotes46> <doubleQuotes46>);<newline46mondego>        }<newline46mondego>      System.out.println(<doubleQuotes46><doubleQuotes46>);<newline46mondego>      System.out.println(<doubleQuotes46><doubleQuotes46>);<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"1019splitHere46","2470567splitHere46","Cards"
"1020splitHere46","2470567splitHere46","Board"
"1021splitHere46","2470648splitHere46","Shape"
"1022splitHere46","2470648splitHere46","java.awt.geom.Path2D.Double"
"1023splitHere46","2470648splitHere46","Shape"
"1024splitHere46","2470648splitHere46","Shape"
"1025splitHere46","2470648splitHere46","readObject"
"1026splitHere46","2470648splitHere46","Shape"
"1027splitHere46","2470675splitHere46","Properties"
"1028splitHere46","2470675splitHere46","Javadoc location"
"1029splitHere46","2470675splitHere46","Javadoc location path"
"1030splitHere46","2470679splitHere46","Parceable"
"1031splitHere46","2470679splitHere46","Intent"
"1032splitHere46","2470776splitHere46","players"
"1033splitHere46","2470776splitHere46","tmpBrowser"
"1034splitHere46","2470776splitHere46","ServiceBrowser tmpBrowser = null;<newline46mondego>"
"1035splitHere46","2470776splitHere46","getStatus()"
"1036splitHere46","2470810splitHere46","<null/>"
"1037splitHere46","2470810splitHere46","BaseCommandController"
"1038splitHere46","2470810splitHere46","setValidator"
"1039splitHere46","2470810splitHere46","initApplicationContext()"
"1040splitHere46","2470867splitHere46","l.addAll(myCollection)<newline46mondego>"
"1041splitHere46","2470887splitHere46","ExecutorService"
"1042splitHere46","2470887splitHere46","threadManager"
"1043splitHere46","2470887splitHere46","ApplicationContextAware"
"1044splitHere46","2470887splitHere46","BeanFactoryAware"
"1045splitHere46","2470887splitHere46","createThread(..)"
"1046splitHere46","2470887splitHere46","prototype"
"1047splitHere46","2470958splitHere46","src"
"1048splitHere46","2470958splitHere46","war"
"1049splitHere46","2470958splitHere46","src/main/java"
"1050splitHere46","2470958splitHere46","src/main/resources"
"1051splitHere46","2470958splitHere46","src/main/webapp"
"1052splitHere46","2470958splitHere46","<packaging>"
"1053splitHere46","2470958splitHere46","war"
"1054splitHere46","2471034splitHere46","Double value = 3.14159265;<newline46mondego>System.out.println(value.toString()); //outputs 3.14159265<newline46mondego>value = Math.sin(value);<newline46mondego>System.out.println(value.toString()); //outputs NaN<newline46mondego>"
"1055splitHere46","2471034splitHere46","3.14159265<newline46mondego>3.5897930298416118E-9<newline46mondego>"
"1056splitHere46","2471034splitHere46","NaN"
"1057splitHere46","2471034splitHere46","Math.sin"
"1058splitHere46","2471034splitHere46","inf"
"1059splitHere46","2471034splitHere46","NaN"
"1060splitHere46","2471034splitHere46","Double d = 0.0/0.0;<newline46mondego>System.out.println(Math.sin(d));<newline46mondego>double d2 = Double.POSITIVE_INFINITY;<newline46mondego>System.out.println(Math.sin(d2));<newline46mondego>"
"1061splitHere46","2471034splitHere46","NaN"
"1062splitHere46","2471034splitHere46","value"
"1063splitHere46","2471034splitHere46","Value"
"1064splitHere46","2471034splitHere46","toString()"
"1065splitHere46","2471034splitHere46","System.out.println(value)"
"1066splitHere46","2471112splitHere46","RowSet"
"1067splitHere46","2471112splitHere46","CacheRowSet"
"1068splitHere46","2471112splitHere46","FilteredRowSet"
"1069splitHere46","2471112splitHere46","DataView"
"1070splitHere46","2471112splitHere46","DataSet"
"1071splitHere46","2471112splitHere46","RowSet"
"1072splitHere46","2471137splitHere46","values()"
"1073splitHere46","2471137splitHere46","Arrays.asList( values() )"
"1074splitHere46","2471137splitHere46","EnumSet.allOf( )"
"1075splitHere46","2471137splitHere46","oneValueEnum_testValues         1.328<newline46mondego>oneValueEnum_testList           1.687<newline46mondego>oneValueEnum_testEnumSet        0.578<newline46mondego><newline46mondego>TwoValuesEnum_testValues        1.360<newline46mondego>TwoValuesEnum_testList          1.906<newline46mondego>TwoValuesEnum_testEnumSet       0.797<newline46mondego><newline46mondego>ThreeValuesEnum_testValues      1.343<newline46mondego>ThreeValuesEnum_testList        2.141<newline46mondego>ThreeValuesEnum_testEnumSet     1.000<newline46mondego><newline46mondego>FourValuesEnum_testValues       1.375<newline46mondego>FourValuesEnum_testList         2.359<newline46mondego>FourValuesEnum_testEnumSet      1.219<newline46mondego><newline46mondego>TenValuesEnum_testValues        1.453<newline46mondego>TenValuesEnum_testList          3.531<newline46mondego>TenValuesEnum_testEnumSet       2.485<newline46mondego><newline46mondego>TwentyValuesEnum_testValues     1.656<newline46mondego>TwentyValuesEnum_testList       5.578<newline46mondego>TwentyValuesEnum_testEnumSet    4.750<newline46mondego><newline46mondego>FortyValuesEnum_testValues      2.016<newline46mondego>FortyValuesEnum_testList        9.703<newline46mondego>FortyValuesEnum_testEnumSet     9.266<newline46mondego>"
"1076splitHere46","2471137splitHere46","testValues"
"1077splitHere46","2471137splitHere46","EnumSet"
"1078splitHere46","2471137splitHere46","for ( val : array )"
"1079splitHere46","2471137splitHere46","Arrays.asList( )"
"1080splitHere46","2471137splitHere46","EnumSet.allOf"
"1081splitHere46","2471137splitHere46","for ( final MyEnum val: MyEnum.values( ) )<newline46mondego>"
"1082splitHere46","2471137splitHere46","Iterables.filter(<newline46mondego>    EnumSet.allOf( MyEnum.class ),<newline46mondego>    new Predicate< MyEnum >( ) {...}<newline46mondego>)<newline46mondego>"
"1083splitHere46","2471137splitHere46","Arrays.asList( MyEnum.values( ) )"
"1084splitHere46","2471137splitHere46","java.util.List"
"1085splitHere46","2471368splitHere46","equals()"
"1086splitHere46","2471368splitHere46","=="
"1087splitHere46","2471368splitHere46","public Long getSomeLongValue () {<newline46mondego>    Long l = 55l;<newline46mondego>    return l;<newline46mondego>}<newline46mondego><newline46mondego>public String getSomeString () {<newline46mondego>    return <doubleQuotes46>55<doubleQuotes46>;<newline46mondego>}<newline46mondego>"
"1088splitHere46","2471368splitHere46","<s:if test=<doubleQuotes46>someLongValue.toString().equals(someString)<doubleQuotes46>><newline46mondego>    CAME IN IF<newline46mondego></s:if><newline46mondego><s:else><newline46mondego>    CAME IN SIDE ELSE<newline46mondego></s:else><newline46mondego>"
"1089splitHere46","2471466splitHere46","UPDATE table SET name='', surname='' WHERE ...<newline46mondego>"
"1090splitHere46","2471466splitHere46","UPDATE table SET name=null, surname=null WHERE ...<newline46mondego>"
"1091splitHere46","2471479splitHere46","<plugins><newline46mondego>  ...<newline46mondego>  <plugin><newline46mondego>    <groupId>org.apache.maven.plugins</groupId><newline46mondego>    <artifactId>maven-antrun-plugin</artifactId><newline46mondego>    <version>1.3</version><newline46mondego>    <executions><newline46mondego>      <execution><newline46mondego>        <goals><newline46mondego>          <goal>run</goal><newline46mondego>        </goals><newline46mondego>        <phase>generate-sources</phase><newline46mondego>        <configuration><newline46mondego>          <tasks><newline46mondego>            <property name=<doubleQuotes46>src.dir<doubleQuotes46> value=<doubleQuotes46>${project.build.sourceDirectory}<doubleQuotes46> /><newline46mondego>            <property name=<doubleQuotes46>package.dir<doubleQuotes46> value=<doubleQuotes46>com/foo/bar<doubleQuotes46> /><newline46mondego>            <property name=<doubleQuotes46>package.name<doubleQuotes46> value=<doubleQuotes46>com.foo.bar<doubleQuotes46> /><newline46mondego>            <property name=<doubleQuotes46>buildtime<doubleQuotes46> value=<doubleQuotes46>${maven.build.timestamp}<doubleQuotes46> /><newline46mondego><newline46mondego>            <echo file=<doubleQuotes46>${src.dir}/${package.dir}/Version.java<doubleQuotes46> message=<doubleQuotes46>package ${package.name};${line.separator}<doubleQuotes46> /><newline46mondego>            <echo file=<doubleQuotes46>${src.dir}/${package.dir}/Version.java<doubleQuotes46> append=<doubleQuotes46>true<doubleQuotes46> message=<doubleQuotes46>public final class Version {${line.separator}<doubleQuotes46> /><newline46mondego>            <echo file=<doubleQuotes46>${src.dir}/${package.dir}/Version.java<doubleQuotes46> append=<doubleQuotes46>true<doubleQuotes46><newline46mondego>              message=<doubleQuotes46> public static String VERSION=&quot;${buildtime}&quot;;${line.separator}<doubleQuotes46> /><newline46mondego>            <echo file=<doubleQuotes46>${src.dir}/${package.dir}/Version.java<doubleQuotes46> append=<doubleQuotes46>true<doubleQuotes46> message=<doubleQuotes46>}${line.separator}<doubleQuotes46> /><newline46mondego>            <echo message=<doubleQuotes46>BUILD ${buildtime}<doubleQuotes46> /><newline46mondego>          </tasks><newline46mondego>        </configuration><newline46mondego>      </execution><newline46mondego>    </executions><newline46mondego>  </plugin><newline46mondego>  ...<newline46mondego></plugins><newline46mondego>"
"1092splitHere46","2471479splitHere46","package com.foo.bar;<newline46mondego>public final class Version {<newline46mondego> public static String VERSION=<doubleQuotes46>100318.1211<doubleQuotes46>;<newline46mondego>}<newline46mondego>"
"1093splitHere46","2471853splitHere46",".getCanonicalFile()"
"1094splitHere46","2471853splitHere46","File"
"1095splitHere46","2471853splitHere46","File directory = new File(<doubleQuotes46>/path/symlink/foo/bar<doubleQuotes46>).getCanonicalFile();<newline46mondego>String[] files = directory.listFiles();<newline46mondego>"
"1096splitHere46","2471864splitHere46","<context:load-time-weaver />"
"1097splitHere46","2471864splitHere46","-javaagent:..."
"1098splitHere46","2471921splitHere46","SwingUtilities.invokeLater"
"1099splitHere46","2471921splitHere46","SwingWorker"
"1100splitHere46","2472465splitHere46","MyTest"
"1101splitHere46","2472465splitHere46","package com.myself;<newline46mondego>"
"1102splitHere46","2472465splitHere46","/myproject/src/com/myself/MyClass.java<newline46mondego>"
"1103splitHere46","2472465splitHere46","/myproject/classes<newline46mondego>"
"1104splitHere46","2472465splitHere46","/myproject/classes"
"1105splitHere46","2472465splitHere46","CLASSPATH"
"1106splitHere46","2472465splitHere46","java org.junit.runner.JUnitCore com.myself.MyTest<newline46mondego>"
"1107splitHere46","2472465splitHere46",".class"
"1108splitHere46","2472465splitHere46","java org.junit.runner.JUnitCore MyTest<newline46mondego>"
"1109splitHere46","2472627splitHere46","ImageIO.write"
"1110splitHere46","2472627splitHere46","File"
"1111splitHere46","2472627splitHere46","File"
"1112splitHere46","2472627splitHere46","it"
"1113splitHere46","2472627splitHere46","File"
"1114splitHere46","2472735splitHere46","<xs:schema xmlns:test=<doubleQuotes46>http://service.PROJECT.DEPARTMENT.COMPANY.com<doubleQuotes46> attributeFormDefault=<doubleQuotes46>qualified<doubleQuotes46> elementFormDefault=<doubleQuotes46>qualified<doubleQuotes46> targetNamespace=<doubleQuotes46>http://DEPARTMENT.COMPANY.com/xsd<doubleQuotes46>><newline46mondego>        <xs:import namespace=<doubleQuotes46>http://service.PROJECT.DEPARTMENT.COMPANY.com<doubleQuotes46>/><newline46mondego>        <xs:complexType name=<doubleQuotes46>SOAPException<doubleQuotes46>><newline46mondego>            <xs:complexContent><newline46mondego>                <xs:extension base=<doubleQuotes46>ns:Exception<doubleQuotes46>><newline46mondego>                    <xs:sequence/><newline46mondego>                </xs:extension><newline46mondego>            </xs:complexContent><newline46mondego>        </xs:complexType><newline46mondego>    </xs:schema><newline46mondego>"
"1115splitHere46","2472735splitHere46","xmlns:im=<doubleQuotes46>http://DEPARTMENT.COMPANY.com/xsd<doubleQuotes46><newline46mondego>"
"1116splitHere46","2472735splitHere46","ns"
"1117splitHere46","2472735splitHere46","im"
"1118splitHere46","2472735splitHere46","<xs:schema attributeFormDefault=<doubleQuotes46>qualified<doubleQuotes46> elementFormDefault=<doubleQuotes46>qualified<doubleQuotes46> targetNamespace=<doubleQuotes46>http://service.ims.im.sa.homedepot.com/xsd<doubleQuotes46>><newline46mondego>        <xs:complexType name=<doubleQuotes46>SOAPLocatorException<doubleQuotes46>><newline46mondego>            <xs:complexContent><newline46mondego>                <xs:extension base=<doubleQuotes46>im:SOAPException<doubleQuotes46>><newline46mondego>                    <xs:sequence><newline46mondego>                        <xs:element minOccurs=<doubleQuotes46>0<doubleQuotes46> name=<doubleQuotes46>message<doubleQuotes46> nillable=<doubleQuotes46>true<doubleQuotes46> type=<doubleQuotes46>xs:string<doubleQuotes46>/><newline46mondego>                        <xs:element minOccurs=<doubleQuotes46>0<doubleQuotes46> name=<doubleQuotes46>messageCode<doubleQuotes46> nillable=<doubleQuotes46>true<doubleQuotes46> type=<doubleQuotes46>xs:string<doubleQuotes46>/><newline46mondego>                    </xs:sequence><newline46mondego>                </xs:extension><newline46mondego>            </xs:complexContent><newline46mondego>        </xs:complexType><newline46mondego>    </xs:schema><newline46mondego>"
"1119splitHere46","2472735splitHere46","xs:schema"
"1120splitHere46","2472735splitHere46","DEPARTMENT.COMPANY.com"
"1121splitHere46","2472752splitHere46","DefaultMutableTreeNode"
"1122splitHere46","2472752splitHere46","isLeaf()"
"1123splitHere46","2472933splitHere46","cat myText.txt | javaw myJavaClass<newline46mondego>"
"1124splitHere46","2472933splitHere46","type myText.txt | javaw myjavaClass<newline46mondego>"
"1125splitHere46","2472936splitHere46","<property name=<doubleQuotes46>maxPostSize<doubleQuotes46> value=<doubleQuotes46><doubleQuotes46>><newline46mondego>"
"1126splitHere46","2473075splitHere46","boolean isNowBetweenDateTime(final Date s, final Date e)<newline46mondego>{<newline46mondego>    final Date now = new Date();<newline46mondego>    return now.after(s) && now.before(e);<newline46mondego>}<newline46mondego>"
"1127splitHere46","2473075splitHere46","String"
"1128splitHere46","2473075splitHere46","private Date dateFromHourMinSec(final String hhmmss)<newline46mondego>{<newline46mondego>    if (hhmmss.matches(<doubleQuotes46>^[0-2][0-9]:[0-5][0-9]:[0-5][0-9]$<doubleQuotes46>))<newline46mondego>    {<newline46mondego>        final String[] hms = hhmmss.split(<doubleQuotes46>:<doubleQuotes46>);<newline46mondego>        final GregorianCalendar gc = new GregorianCalendar();<newline46mondego>        gc.set(Calendar.HOUR_OF_DAY, Integer.parseInt(hms[0]));<newline46mondego>        gc.set(Calendar.MINUTE, Integer.parseInt(hms[1]));<newline46mondego>        gc.set(Calendar.SECOND, Integer.parseInt(hms[2]));<newline46mondego>        gc.set(Calendar.MILLISECOND, 0);<newline46mondego>        return gc.getTime();<newline46mondego>    }<newline46mondego>    else<newline46mondego>    {<newline46mondego>        throw new IllegalArgumentException(hhmmss + <doubleQuotes46> is not a valid time, expecting HH:MM:SS format<doubleQuotes46>);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1129splitHere46","2473092splitHere46","<?xml version=<doubleQuotes46>1.0<doubleQuotes46> encoding=<doubleQuotes46>UTF-8<doubleQuotes46>?><newline46mondego><!DOCTYPE sun-web-app PUBLIC <doubleQuotes46>-//Sun Microsystems, Inc.//DTD Sun ONE Application Server 8.0 Servlet 2.4//EN<doubleQuotes46> <doubleQuotes46>http://www.sun.com/software/sunone/appserver/dtds/sun-web-app_2_4-0.dtd<doubleQuotes46>><newline46mondego><newline46mondego><sun-web-app><newline46mondego><locale-charset-info default-locale=<doubleQuotes46><doubleQuotes46>><newline46mondego><locale-charset-map locale=<doubleQuotes46><doubleQuotes46> charset=<doubleQuotes46><doubleQuotes46>/><newline46mondego><parameter-encoding default-charset=<doubleQuotes46>UTF-8<doubleQuotes46>/><newline46mondego></locale-charset-info><newline46mondego></sun-web-app><newline46mondego>"
"1130splitHere46","2473169splitHere46","ClassLoader.loadClass(..)"
"1131splitHere46","2473169splitHere46","// First, check if the class has already been loaded<newline46mondego>Class c = findLoadedClass(name);<newline46mondego>if (c == null) {<newline46mondego>    ...<newline46mondego>}<newline46mondego>"
"1132splitHere46","2473297splitHere46","IllegalArgumentException"
"1133splitHere46","2473405splitHere46","TrayIcon.displayMessage()"
"1134splitHere46","2473431splitHere46","SoftReference"
"1135splitHere46","2473431splitHere46","Reference"
"1136splitHere46","2473446splitHere46","<modules><newline46mondego>  <module>stbSchemas</module><newline46mondego>  <module>core</module><newline46mondego></modules><newline46mondego>"
"1137splitHere46","2473446splitHere46","<parent><newline46mondego>       <groupId>parent.group</groupId><newline46mondego>        <artifactId>parent</artifactId><newline46mondego>        <version>1.0-SNAPSHOT</version><newline46mondego>      </parent><newline46mondego>"
"1138splitHere46","2473446splitHere46","<dependency><newline46mondego>  <groupId>my.group</groupId><newline46mondego>  <artifactId>stbSchemas</artifactId><newline46mondego>  <version>1.0-SNAPSHOT</version><newline46mondego></dependency><newline46mondego>"
