"1splitHere46","6611642splitHere46","rename"
"2580splitHere46","6695985splitHere46","character_set_server=utf8mb4"
"2581splitHere46","6695985splitHere46","characterEncoding"
"2582splitHere46","6696003splitHere46","rcp -r unixhost.user:/example/directory <doubleQuotes46>C:\Directory<doubleQuotes46><newline46mondego>"
"2583splitHere46","6696003splitHere46","rcp"
"2584splitHere46","6696003splitHere46","rcp -r unixhost.user:/example/directory C\:/Directory<newline46mondego>"
"2585splitHere46","6696003splitHere46","c:<newline46mondego>rcp -r unixhost.user:/example/directory \Directory<newline46mondego>"
"2586splitHere46","6696010splitHere46","org.tmatesoft.svn.core.wc.Revision.HEAD"
"2587splitHere46","6696025splitHere46","JMenu importMenu = new JMenu(<doubleQuotes46>Import<doubleQuotes46>);<newline46mondego>"
"2588splitHere46","6696133splitHere46","<beans xmlns=<doubleQuotes46>http://www.springframework.org/schema/beans<doubleQuotes46><newline46mondego> xmlns:xsi=<doubleQuotes46>http://www.w3.org/2001/XMLSchema-instance<doubleQuotes46><newline46mondego> xmlns:context=<doubleQuotes46>http://www.springframework.org/schema/context<doubleQuotes46><newline46mondego> xsi:schemaLocation=<doubleQuotes46><newline46mondego>      http://www.springframework.org/schema/beans<newline46mondego>      http://www.springframework.org/schema/beans/spring-beans-2.5.xsd<newline46mondego>      http://www.springframework.org/schema/context<newline46mondego>      http://www.springframework.org/schema/context/spring-context-2.5.xsd<doubleQuotes46>><newline46mondego>    <context:property-placeholder location=<doubleQuotes46>classpath:/config.properties<doubleQuotes46> /><newline46mondego>    <bean id=<doubleQuotes46>mybean<doubleQuotes46> class=<doubleQuotes46>...<doubleQuotes46>><newline46mondego>        <property name=<doubleQuotes46>xxx<doubleQuotes46> value=<doubleQuotes46>${prop.value}<doubleQuotes46> /><newline46mondego>    </bean><newline46mondego></beans><newline46mondego>"
"2589splitHere46","6696209splitHere46","SuperClass"
"2590splitHere46","6696209splitHere46","import java.io.FileReader;<newline46mondego>import java.util.Date;<newline46mondego>import java.util.List;<newline46mondego><newline46mondego>import com.google.gson.Gson;<newline46mondego>import com.google.gson.GsonBuilder;<newline46mondego><newline46mondego>public class Foo<newline46mondego>{<newline46mondego>  public static void main(String[] args) throws Exception<newline46mondego>  {<newline46mondego>    Gson gson = new GsonBuilder().setDateFormat(<doubleQuotes46>MM/dd/yyyy hh:mm<doubleQuotes46>).create();<newline46mondego><newline46mondego>    SuperClass sc = gson.fromJson(new FileReader(<doubleQuotes46>input.json<doubleQuotes46>), SuperClass.class);<newline46mondego>    System.out.println(gson.toJson(sc));<newline46mondego>    // {<doubleQuotes46>name<doubleQuotes46>:<doubleQuotes46>0<doubleQuotes46>,<doubleQuotes46>dtExpiration<doubleQuotes46>:<doubleQuotes46>07/14/2011 12:00<doubleQuotes46>,<doubleQuotes46>question_array<doubleQuotes46>:[{<doubleQuotes46>question<doubleQuotes46>:0,<doubleQuotes46>questionType<doubleQuotes46>:<doubleQuotes46>resposta de texto<doubleQuotes46>,<doubleQuotes46>min<doubleQuotes46>:<doubleQuotes46>null<doubleQuotes46>,<doubleQuotes46>max<doubleQuotes46>:<doubleQuotes46>null<doubleQuotes46>,<doubleQuotes46>responceList<doubleQuotes46>:[],<doubleQuotes46>answer_array<doubleQuotes46>:[{<doubleQuotes46>id<doubleQuotes46>:1,<doubleQuotes46>answer<doubleQuotes46>:<doubleQuotes46>yes<doubleQuotes46>},{<doubleQuotes46>id<doubleQuotes46>:2,<doubleQuotes46>answer<doubleQuotes46>:<doubleQuotes46>no<doubleQuotes46>}]}]}<newline46mondego>  }<newline46mondego>}<newline46mondego><newline46mondego>class SuperClass<newline46mondego>{<newline46mondego>  String name;<newline46mondego>  Date dtExpiration;<newline46mondego>  List<String> quotaList;<newline46mondego>  Question[] question_array;<newline46mondego>}<newline46mondego><newline46mondego>class Question<newline46mondego>{<newline46mondego>  int question;<newline46mondego>  String questionType;<newline46mondego>  String min;<newline46mondego>  String max;<newline46mondego>  List<String> responceList;<newline46mondego>  Answer[] answer_array;<newline46mondego>}<newline46mondego><newline46mondego>class Answer<newline46mondego>{<newline46mondego>  int id;<newline46mondego>  String answer;<newline46mondego>}<newline46mondego>"
"2591splitHere46","6696234splitHere46","OutputStream"
"2592splitHere46","6696234splitHere46","ContentProviders"
"2593splitHere46","6696234splitHere46","writeTo()"
"2594splitHere46","6696234splitHere46","OutputStream"
"2595splitHere46","6696234splitHere46","OutputStream"
"2596splitHere46","6696234splitHere46","OutputStream"
"2597splitHere46","6696234splitHere46","OutputStream"
"2598splitHere46","6696234splitHere46","public void writeTo(OutputStream outputStream) throws IOException<newline46mondego>{<newline46mondego>    byte[] buf = createByteBufferFromFile(StorageManager.getFileFromName(context, gId.toString()));<newline46mondego>    outputStream.write(buf);<newline46mondego>    outputStream.flush();<newline46mondego>}<newline46mondego>"
"2599splitHere46","6696234splitHere46","Base64 OutputStream"
"2600splitHere46","6696371splitHere46","getXXX()"
"2601splitHere46","6696371splitHere46",","
"2602splitHere46","6696621splitHere46","getClass().getResourceAsStream(<doubleQuotes46>foo.properties<doubleQuotes46>)"
"2603splitHere46","6696621splitHere46","FileInputStream(..)"
"2604splitHere46","6696621splitHere46","java.io.File"
"2605splitHere46","6696621splitHere46","foo.properties"
"2606splitHere46","6696621splitHere46","/home/usr/"
"2607splitHere46","6696621splitHere46","c:\documents and settings\usr"
"2608splitHere46","6696621splitHere46",".properties"
"2609splitHere46","6696621splitHere46","Class.getResourceAsStream(..)"
"2610splitHere46","6696761splitHere46","array"
"2611splitHere46","6696776splitHere46","<execution/>"
"2612splitHere46","6696776splitHere46","<executions><newline46mondego>  <execution><newline46mondego>    <id>jaxb-mac</id><newline46mondego>    <phase>generate-sources</phase><newline46mondego>    <goals><newline46mondego>      <goal>generate</goal><newline46mondego>    </goals><newline46mondego>    <configuration><newline46mondego>      <forceRegenerate>true</forceRegenerate><newline46mondego>      <generatePackage>my.company.mac</generatePackage><newline46mondego>      <schemaDirectory>src/main/schema</schemaDirectory><newline46mondego>      <schemaIncludes><newline46mondego>        <include>mac-3.4.xsd</include><newline46mondego>      </schemaIncludes><newline46mondego>    </configuration><newline46mondego>  </execution><newline46mondego>  <execution><newline46mondego>    <id>jaxb-stylesheet</id><newline46mondego>    <phase>generate-sources</phase><newline46mondego>    <goals><newline46mondego>      <goal>generate</goal><newline46mondego>    </goals><newline46mondego>    <configuration><newline46mondego>      <forceRegenerate>true</forceRegenerate><newline46mondego>      <generatePackage>my.company.stylesheet</generatePackage><newline46mondego>      <schemaDirectory>src/main/schema</schemaDirectory><newline46mondego>      <schemaIncludes><newline46mondego>        <include>mac-stylesheet-3.4.xsd</include><newline46mondego>      </schemaIncludes><newline46mondego>    </configuration><newline46mondego>  </execution><newline46mondego>"
"2613splitHere46","6696776splitHere46","<forceRegenerate>true</forceRegenerate>"
"2614splitHere46","6696776splitHere46","<execution/>"
"2615splitHere46","6696776splitHere46","<episode/>"
"2616splitHere46","6696798splitHere46","BorderLayout"
"2617splitHere46","6696798splitHere46","contentPane.setLayout(new BorderLayout());<newline46mondego>contentPane.add(textArea, BorderLayout.NORTH);<newline46mondego>"
"2618splitHere46","6696798splitHere46","textArea.setLineWrap(true);"
"2619splitHere46","6696831splitHere46","listView.updateUI();<newline46mondego>"
"2620splitHere46","6696831splitHere46","JList"
"2621splitHere46","6696831splitHere46","NullPointerException"
"2622splitHere46","6696831splitHere46","listView.revalidate();<newline46mondego>"
"2623splitHere46","6696831splitHere46","repaint()"
"2624splitHere46","6696914splitHere46","List<String> urlList = ...;<newline46mondego><newline46mondego>for (String url : urlList) {<newline46mondego>    long t0 = System.nanoTime();<newline46mondego>    Connection c = Jsoup.connect(url).timeout(10*1000);<newline46mondego>    long t1 = System.nanoTime();<newline46mondego>    Document doc = c.get();<newline46mondego>    long t2 = System.nanoTime();<newline46mondego><newline46mondego>    System.err.println(url + <doubleQuotes46>: t1=<doubleQuotes46> + (t1-t0) + <doubleQuotes46>   t2=<doubleQuotes46> + (t2-t1));<newline46mondego>}<newline46mondego>"
"2625splitHere46","6697000splitHere46","readLine"
"2626splitHere46","6697055splitHere46","render();<newline46mondego>Display.swapBuffers();<newline46mondego>render();<newline46mondego>"
"2627splitHere46","6697104splitHere46","<tomcat_home>/bin/setenv.sh"
"2628splitHere46","6697104splitHere46","CATALINA_OPTS=<doubleQuotes46>$CATALINA_OPTS -javaagent:/path/to/YourJar.jar<doubleQuotes46><newline46mondego>"
"2629splitHere46","6697104splitHere46","chmod"
"2630splitHere46","6697104splitHere46","711"
"2631splitHere46","6697104splitHere46","755"
"2632splitHere46","6697104splitHere46","setenv.bat"
"2633splitHere46","6697199splitHere46","Display.setDefaultVirtualKeyboard(null);"
"2634splitHere46","6697241splitHere46","java.util.Properties"
"2635splitHere46","6697241splitHere46","group1.key1=valgroup1key1<newline46mondego>group2.key1=valgroup2key1<newline46mondego>group2.key2=valgroup2key2<newline46mondego>"
"2636splitHere46","6697241splitHere46","class PrefixedProperty extends Properties {<newline46mondego>    public String getProperty(String group, String key) {<newline46mondego>        return getProperty(group + '.' + key);<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2637splitHere46","6697241splitHere46","/* loading, initialization like for java.util.Properties */<newline46mondego>String val = prefixedProperty.getProperty(<doubleQuotes46>group1<doubleQuotes46>, <doubleQuotes46>key1<doubleQuotes46>);<newline46mondego>"
"2638splitHere46","6697385splitHere46","JSONObject objects = getArray.getJSONArray(i);<newline46mondego>"
"2639splitHere46","6697385splitHere46","JSONObject objects = getArray.getJSONObject(i);<newline46mondego>"
"2640splitHere46","6697385splitHere46","JSONObject objects = getArray.optJSONObject(i);<newline46mondego>"
"2641splitHere46","6697385splitHere46","getJSONObject"
"2642splitHere46","6697385splitHere46","JSONObject"
"2643splitHere46","6697385splitHere46","String a = objects.get(<doubleQuotes46>A<doubleQuotes46>);<newline46mondego>"
"2644splitHere46","6697385splitHere46","JSONObject"
"2645splitHere46","6697385splitHere46","JSONObject.getNames(JSONObject)"
"2646splitHere46","6697385splitHere46","String[] elementNames = JSONObject.getNames(objects);<newline46mondego>"
"2647splitHere46","6697385splitHere46","getArray.length() - 1"
"2648splitHere46","6697385splitHere46","import org.json.JSONArray;<newline46mondego>import org.json.JSONObject;<newline46mondego><newline46mondego>public class Foo<newline46mondego>{<newline46mondego>  public static void main(String[] args) throws Exception<newline46mondego>  {<newline46mondego>    String jsonInput = <doubleQuotes46>{\<doubleQuotes46>JObjects\<doubleQuotes46>:{\<doubleQuotes46>JArray1\<doubleQuotes46>:[{\<doubleQuotes46>A\<doubleQuotes46>:\<doubleQuotes46>a\<doubleQuotes46>,\<doubleQuotes46>B\<doubleQuotes46>:\<doubleQuotes46>b\<doubleQuotes46>,\<doubleQuotes46>C\<doubleQuotes46>:\<doubleQuotes46>c\<doubleQuotes46>},{\<doubleQuotes46>A\<doubleQuotes46>:\<doubleQuotes46>a1\<doubleQuotes46>,\<doubleQuotes46>B\<doubleQuotes46>:\<doubleQuotes46>b2\<doubleQuotes46>,\<doubleQuotes46>C\<doubleQuotes46>:\<doubleQuotes46>c3\<doubleQuotes46>,\<doubleQuotes46>D\<doubleQuotes46>:\<doubleQuotes46>d4\<doubleQuotes46>,\<doubleQuotes46>E\<doubleQuotes46>:\<doubleQuotes46>e5\<doubleQuotes46>},{\<doubleQuotes46>A\<doubleQuotes46>:\<doubleQuotes46>aa\<doubleQuotes46>,\<doubleQuotes46>B\<doubleQuotes46>:\<doubleQuotes46>bb\<doubleQuotes46>,\<doubleQuotes46>C\<doubleQuotes46>:\<doubleQuotes46>cc\<doubleQuotes46>,\<doubleQuotes46>D\<doubleQuotes46>:\<doubleQuotes46>dd\<doubleQuotes46>}]}}<doubleQuotes46>;<newline46mondego><newline46mondego>    // <doubleQuotes46>I want to iterate though the objects in the array...<doubleQuotes46><newline46mondego>    JSONObject outerObject = new JSONObject(jsonInput);<newline46mondego>    JSONObject innerObject = outerObject.getJSONObject(<doubleQuotes46>JObjects<doubleQuotes46>);<newline46mondego>    JSONArray jsonArray = innerObject.getJSONArray(<doubleQuotes46>JArray1<doubleQuotes46>);<newline46mondego>    for (int i = 0, size = jsonArray.length(); i < size; i++)<newline46mondego>    {<newline46mondego>      JSONObject objectInArray = jsonArray.getJSONObject(i);<newline46mondego><newline46mondego>      // <doubleQuotes46>...and get thier component and thier value.<doubleQuotes46><newline46mondego>      String[] elementNames = JSONObject.getNames(objectInArray);<newline46mondego>      System.out.printf(<doubleQuotes46>%d ELEMENTS IN CURRENT OBJECT:\n<doubleQuotes46>, elementNames.length);<newline46mondego>      for (String elementName : elementNames)<newline46mondego>      {<newline46mondego>        String value = objectInArray.getString(elementName);<newline46mondego>        System.out.printf(<doubleQuotes46>name=%s, value=%s\n<doubleQuotes46>, elementName, value);<newline46mondego>      }<newline46mondego>      System.out.println();<newline46mondego>    }<newline46mondego>  }<newline46mondego>}<newline46mondego>/*<newline46mondego>OUTPUT:<newline46mondego>3 ELEMENTS IN CURRENT OBJECT:<newline46mondego>name=A, value=a<newline46mondego>name=B, value=b<newline46mondego>name=C, value=c<newline46mondego><newline46mondego>5 ELEMENTS IN CURRENT OBJECT:<newline46mondego>name=D, value=d4<newline46mondego>name=E, value=e5<newline46mondego>name=A, value=a1<newline46mondego>name=B, value=b2<newline46mondego>name=C, value=c3<newline46mondego><newline46mondego>4 ELEMENTS IN CURRENT OBJECT:<newline46mondego>name=D, value=dd<newline46mondego>name=A, value=aa<newline46mondego>name=B, value=bb<newline46mondego>name=C, value=cc<newline46mondego>*/<newline46mondego>"
"2649splitHere46","6697395splitHere46","ResultSet"
"2650splitHere46","6697395splitHere46","executeUpdate()"
"2651splitHere46","6697447splitHere46","str = null;<newline46mondego>"
"2652splitHere46","6697470splitHere46","public enum Symbol {<newline46mondego>   ALPHA(<doubleQuotes46>alpha<doubleQuotes46>),<newline46mondego>   BETA(<doubleQuotes46>beta<doubleQuotes46>);<newline46mondego><newline46mondego>   private final String value;<newline46mondego><newline46mondego>   private Symbol(String value) {<newline46mondego>     this.value = value;<newline46mondego>   }<newline46mondego><newline46mondego>   public String getValue() {<newline46mondego>     return value;<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"2653splitHere46","6697470splitHere46","Symbol.ALPHA"
"2654splitHere46","6697495splitHere46","."
"2655splitHere46","6697495splitHere46","\r"
"2656splitHere46","6697495splitHere46","\n"
"2657splitHere46","6697495splitHere46","."
"2658splitHere46","6697495splitHere46","s"
"2659splitHere46","6697495splitHere46","^(?s).+$<newline46mondego>"
"2660splitHere46","6697581splitHere46","private final PropertyChangeSupport pcs = new PropertyChangeSupport( this );<newline46mondego>"
"2661splitHere46","6697581splitHere46","//All code to swap out the panel goes here<newline46mondego>this.pcs.firePropertyChange( <doubleQuotes46>childUpdated<doubleQuotes46>, false, true );<newline46mondego>"
"2662splitHere46","6697581splitHere46","//...where initialization occurs:<newline46mondego>...<newline46mondego>amountField.addPropertyChangeListener(<doubleQuotes46>childUpdated<doubleQuotes46>,<newline46mondego>                                      new ChildUpdateListener());<newline46mondego>...<newline46mondego>class ChildUpdateListener implements PropertyChangeListener {<newline46mondego>    public void propertyChanged(PropertyChangeEvent e) {<newline46mondego>        updateToPreferedSize();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2663splitHere46","6697639splitHere46","for ( Class<?> c : paramTypes )<newline46mondego>                            if ( <doubleQuotes46>int<doubleQuotes46>.equals(c.getSimpleName() ) {<newline46mondego>                                  // parse int<newline46mondego>                            }<newline46mondego>                            else if (<doubleQuotes46>boolean<doubleQuotes46>.equals(c.getSimpleName() ) {<newline46mondego>                                  // parse boolean<newline46mondego>                            }<newline46mondego>                     }<newline46mondego>"
"2664splitHere46","6697696splitHere46","dir.mkdir()"
"2665splitHere46","6697696splitHere46","duplicate.mkdir()"
"2666splitHere46","6697773splitHere46","a = 5, b = 4 (5:4)"
"2667splitHere46","6697773splitHere46","public class LissajousPanel extends JPanel {<newline46mondego><newline46mondego>    private static final int SIZE = 400;<newline46mondego>    private GeneralPath path = new GeneralPath();<newline46mondego><newline46mondego>    @Override<newline46mondego>    public Dimension getPreferredSize() {<newline46mondego>        return new Dimension(SIZE, SIZE);<newline46mondego>    }<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void paintComponent(Graphics g) {<newline46mondego>        super.paintComponent(g);<newline46mondego>        Graphics2D g2d = (Graphics2D) g;<newline46mondego>        g2d.setRenderingHint(<newline46mondego>            RenderingHints.KEY_ANTIALIASING,<newline46mondego>            RenderingHints.VALUE_ANTIALIAS_ON);<newline46mondego>        double dt = Math.PI / 180;<newline46mondego>        int w = getWidth() / 2;<newline46mondego>        int h = getHeight() / 2;<newline46mondego>        path.reset();<newline46mondego>        path.moveTo(w, h);<newline46mondego>        for (double t = 0; t < 2 * Math.PI; t += dt) {<newline46mondego>            double x = w * Math.sin(5 * t) + w;<newline46mondego>            double y = h * Math.sin(4 * t) + h;<newline46mondego>            path.lineTo(x, y);<newline46mondego>        }<newline46mondego>        g2d.setColor(Color.blue);<newline46mondego>        g2d.draw(path);<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(String[] args) {<newline46mondego>        EventQueue.invokeLater(new Runnable() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void run() {<newline46mondego>                JFrame f = new JFrame();<newline46mondego>                f.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);<newline46mondego>                f.add(new LissajousPanel());<newline46mondego>                f.pack();<newline46mondego>                f.setVisible(true);<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2668splitHere46","6697981splitHere46","format.applyLocalizedPattern(<doubleQuotes46>#00.0#<doubleQuotes46>);"
"2669splitHere46","6697981splitHere46","format.setGroupingUsed(false);"
"2670splitHere46","6697981splitHere46","DecimalFormatSymbols decimalSymbol = new DecimalFormatSymbols(Locale.getDefault());<newline46mondego>decimalSymbol.setDecimalSeparator('.');<newline46mondego>format.setGroupingUsed(false);<newline46mondego>"
"2671splitHere46","6697981splitHere46","g2d.drawString(str, x, y)"
"2672splitHere46","6697997splitHere46","...<newline46mondego>String newTestCode = <doubleQuotes46>public void testSetName() { .... }<doubleQuotes46>;<newline46mondego>IProgressMonitor monitor = new NullProgressMonitor();<newline46mondego><newline46mondego>IMethod method = testUnit.getTypes[0].createMethod(newTestCode, null, false, monitor);<newline46mondego>"
"2673splitHere46","6698106splitHere46","parse"
"2674splitHere46","6698106splitHere46","null"
"2675splitHere46","6698106splitHere46","public static boolean isDate(String text, String date_pattern) {<newline46mondego>    String newDate = text.replace(<doubleQuotes46>T00:00:00<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>);<newline46mondego>    SimpleDateFormat formatter = new SimpleDateFormat(date_pattern);<newline46mondego>    ParsePosition position = new ParsePosition(0);<newline46mondego>    formatter.setLenient(false);<newline46mondego>    return formatter.parse(newDate, position) != null;<newline46mondego>}<newline46mondego>"
"2676splitHere46","6698136splitHere46","JSlider mySlider = new Slider(10, 30); // min value of slider, maxValue of slider<newline46mondego>"
"2677splitHere46","6698136splitHere46","getValue()"
"2678splitHere46","6698136splitHere46","Math.pow()"
"2679splitHere46","6698136splitHere46","setLabelTable(Dictionary labels)"
"2680splitHere46","6698136splitHere46","HashTable"
"2681splitHere46","6698136splitHere46","Dictionary"
"2682splitHere46","6698174splitHere46","HtmlEditorKit"
"2683splitHere46","6698174splitHere46","String"
"2684splitHere46","6698174splitHere46","StringReader"
"2685splitHere46","6698174splitHere46","htmlDoc"
"2686splitHere46","6698174splitHere46","Reader stringReader = new StringReader(string);<newline46mondego>HTMLEditorKit htmlKit = new HTMLEditorKit();<newline46mondego>HTMLDocument htmlDoc = (HTMLDocument) htmlKit.createDefaultDocument();<newline46mondego>HTMLEditorKit.Parser parser = new ParserDelegator();<newline46mondego>parser.parse(stringReader, htmlDoc.getReader(0), true);<newline46mondego>"
"2687splitHere46","6698347splitHere46","import javax.xml.bind.JAXBContext;<newline46mondego>import javax.xml.bind.JAXBElement;<newline46mondego>import javax.xml.bind.Marshaller;<newline46mondego>import javax.xml.namespace.QName;<newline46mondego>import javax.xml.stream.XMLOutputFactory;<newline46mondego>import javax.xml.stream.XMLStreamWriter;<newline46mondego><newline46mondego>public class Demo {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        JAXBContext jc = JAXBContext.newInstance(X.class);<newline46mondego>        Marshaller marshaller = jc.createMarshaller();<newline46mondego>        marshaller.setProperty(Marshaller.JAXB_FRAGMENT, true);<newline46mondego><newline46mondego>        XMLOutputFactory xof = XMLOutputFactory.newFactory();<newline46mondego>        XMLStreamWriter xsw = xof.createXMLStreamWriter(System.out);<newline46mondego><newline46mondego>        xsw.writeStartDocument();<newline46mondego>        xsw.writeStartElement(<doubleQuotes46>x<doubleQuotes46>);<newline46mondego>        xsw.writeStartElement(<doubleQuotes46>y<doubleQuotes46>);<newline46mondego>        xsw.writeStartElement(<doubleQuotes46>k<doubleQuotes46>);<newline46mondego><newline46mondego>        X x1 = new X();<newline46mondego>        x1.setId(1);<newline46mondego>        JAXBElement<X> jaxbElement1 = new JAXBElement<X>(new QName(<doubleQuotes46>x1<doubleQuotes46>), X.class, x1);<newline46mondego>        marshaller.marshal(jaxbElement1, xsw);<newline46mondego><newline46mondego>        X x2 = new X();<newline46mondego>        x2.setId(1);<newline46mondego>        JAXBElement<X> jaxbElement2 = new JAXBElement<X>(new QName(<doubleQuotes46>x2<doubleQuotes46>), X.class, x2);<newline46mondego>        marshaller.marshal(jaxbElement2, xsw);<newline46mondego><newline46mondego>        X x3 = new X();<newline46mondego>        x3.setId(3);<newline46mondego>        JAXBElement<X> jaxbElement3 = new JAXBElement<X>(new QName(<doubleQuotes46>x3<doubleQuotes46>), X.class, x3);<newline46mondego>        marshaller.marshal(jaxbElement3, xsw);<newline46mondego><newline46mondego>        xsw.writeEndElement();<newline46mondego>        xsw.writeEndElement();<newline46mondego>        xsw.writeEndElement();<newline46mondego>        xsw.writeEndDocument();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"2688splitHere46","6698347splitHere46","<?xml version='1.0' encoding='UTF-8'?><x><y><k><x1 id=<doubleQuotes46>1<doubleQuotes46> /><x2 id=<doubleQuotes46>1<doubleQuotes46> /><x3 id=<doubleQuotes46>3<doubleQuotes46> /></k></y></x><newline46mondego>"
"2689splitHere46","6698347splitHere46","import javax.xml.bind.JAXBContext;<newline46mondego>import javax.xml.bind.JAXBElement;<newline46mondego>import javax.xml.bind.Marshaller;<newline46mondego>import javax.xml.namespace.QName;<newline46mondego>import javax.xml.stream.XMLOutputFactory;<newline46mondego>import javax.xml.stream.XMLStreamWriter;<newline46mondego><newline46mondego>public class Demo {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        JAXBContext jc = JAXBContext.newInstance(X.class);<newline46mondego>        Marshaller marshaller = jc.createMarshaller();<newline46mondego>        marshaller.setProperty(Marshaller.JAXB_FRAGMENT, true);<newline46mondego><newline46mondego>        XMLOutputFactory xof = XMLOutputFactory.newFactory();<newline46mondego>        XMLStreamWriter xsw = xof.createXMLStreamWriter(System.out);<newline46mondego><newline46mondego>        xsw.writeStartDocument();<newline46mondego>        xsw.writeCharacters(<doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>        xsw.writeStartElement(<doubleQuotes46>x<doubleQuotes46>);<newline46mondego>        xsw.writeCharacters(<doubleQuotes46>\n\t<doubleQuotes46>);<newline46mondego>        xsw.writeStartElement(<doubleQuotes46>y<doubleQuotes46>);<newline46mondego>        xsw.writeCharacters(<doubleQuotes46>\n\t\t<doubleQuotes46>);<newline46mondego>        xsw.writeStartElement(<doubleQuotes46>k<doubleQuotes46>);<newline46mondego><newline46mondego>        X x1 = new X();<newline46mondego>        x1.setId(1);<newline46mondego>        x1.setF1(<doubleQuotes46>x1f1<doubleQuotes46>);<newline46mondego>        JAXBElement<X> jaxbElement1 = new JAXBElement<X>(new QName(<doubleQuotes46>x1<doubleQuotes46>), X.class, x1);<newline46mondego>        xsw.writeCharacters(<doubleQuotes46>\n\t\t\t<doubleQuotes46>);<newline46mondego>        marshaller.marshal(jaxbElement1, xsw);<newline46mondego><newline46mondego>        X x2 = new X();<newline46mondego>        x2.setId(1);<newline46mondego>        x2.setF1(<doubleQuotes46>x2f1<doubleQuotes46>);<newline46mondego>        JAXBElement<X> jaxbElement2 = new JAXBElement<X>(new QName(<doubleQuotes46>x2<doubleQuotes46>), X.class, x2);<newline46mondego>        xsw.writeCharacters(<doubleQuotes46>\n\t\t\t<doubleQuotes46>);<newline46mondego>        marshaller.marshal(jaxbElement2, xsw);<newline46mondego><newline46mondego>        X x3 = new X();<newline46mondego>        x3.setId(3);<newline46mondego>        x3.setF1(<doubleQuotes46>x3f1<doubleQuotes46>);<newline46mondego>        JAXBElement<X> jaxbElement3 = new JAXBElement<X>(new QName(<doubleQuotes46>x3<doubleQuotes46>), X.class, x3);<newline46mondego>        xsw.writeCharacters(<doubleQuotes46>\n\t\t\t<doubleQuotes46>);<newline46mondego>        marshaller.marshal(jaxbElement3, xsw);<newline46mondego><newline46mondego>        xsw.writeCharacters(<doubleQuotes46>\n\t\t<doubleQuotes46>);<newline46mondego>        xsw.writeEndElement();<newline46mondego>        xsw.writeCharacters(<doubleQuotes46>\n\t<doubleQuotes46>);<newline46mondego>        xsw.writeEndElement();<newline46mondego>        xsw.writeCharacters(<doubleQuotes46>\n<doubleQuotes46>);<newline46mondego>        xsw.writeEndElement();<newline46mondego>        xsw.writeEndDocument();<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"2690splitHere46","6698347splitHere46","<?xml version='1.0' encoding='UTF-8'?><newline46mondego><x><newline46mondego>    <y><newline46mondego>        <k><newline46mondego>            <x1 id=<doubleQuotes46>1<doubleQuotes46>><f1>x1f1</f1></x1><newline46mondego>            <x2 id=<doubleQuotes46>1<doubleQuotes46>><f1>x2f1</f1></x2><newline46mondego>            <x3 id=<doubleQuotes46>3<doubleQuotes46>><f1>x3f1</f1></x3><newline46mondego>        </k><newline46mondego>    </y><newline46mondego></x><newline46mondego>"
"2691splitHere46","6698588splitHere46","...<newline46mondego>HttpClient client = new DefaultHttpClient();<newline46mondego>client.getParams().setParameter(ClientPNames.ALLOW_CIRCULAR_REDIRECTS, true);<newline46mondego>...<newline46mondego>"
"2692splitHere46","6698602splitHere46","java.util.logging.Logger log = java.util.logging.Logger.getLogger(<doubleQuotes46>Test<doubleQuotes46>);<newline46mondego>log.severe(<doubleQuotes46>severe<doubleQuotes46>);<newline46mondego>"
"2693splitHere46","6698602splitHere46","java.util.logging.Logger log = java.util.logging.Logger.getLogger(<doubleQuotes46>Test<doubleQuotes46>);<newline46mondego>log.severe(<doubleQuotes46>severe<doubleQuotes46>);<newline46mondego>"
"2694splitHere46","6698602splitHere46","<inherits name=<doubleQuotes46>com.google.gwt.logging.Logging<doubleQuotes46>/><newline46mondego>"
"2695splitHere46","6698628splitHere46","BillingController.IConfiguration"
"2696splitHere46","6698628splitHere46","MainActivity"
"2697splitHere46","6698628splitHere46","Preferences"
