"1splitHere46","16802813splitHere46","JDialog dialog = new JDialog(parentFrame, true); // owner, modal<newline46mondego>"
"1701splitHere46","16852979splitHere46","5 + 5 + 0"
"1702splitHere46","16853030splitHere46","public class ContextListener implements ServletContextListener"
"1703splitHere46","16853030splitHere46","public void contextInitialized(ServletContextEvent sce)"
"1704splitHere46","16853118splitHere46","xperienced.com.pl/blog/how-to-implement-mvc-pattern-in-cocos2d-game<newline46mondego>"
"1705splitHere46","16853184splitHere46","call perms(4,<doubleQuotes46><doubleQuotes46>);                   //1 st rec<newline46mondego>        perms(3,<doubleQuotes46>1<doubleQuotes46>);               //2 nd rec<newline46mondego>           perms(2,<doubleQuotes46>11<doubleQuotes46>);           //3 rd rec<newline46mondego>              perms(1,<doubleQuotes46>111');       //4 th rec<newline46mondego>"
"1706splitHere46","16853184splitHere46","remaining = 0"
"1707splitHere46","16853184splitHere46","go back to 4th rec and print 111<newline46mondego>        go back to 3rd rec and print 11<newline46mondego>      go back to 2nd rec and pring 1<newline46mondego>    go back to 1st rec and print (blank space)<newline46mondego>"
"1708splitHere46","16853422splitHere46","keytool -genkey -keyalg RSA -alias selfsigned -keystore keystore.jks <newline46mondego>        -storepass password -validity 360 -keysize 2048<newline46mondego>"
"1709splitHere46","16853422splitHere46","keystore"
"1710splitHere46","16853422splitHere46","keystore.jks"
"1711splitHere46","16853422splitHere46","password"
"1712splitHere46","16853422splitHere46","-storepass"
"1713splitHere46","16853449splitHere46","return Float.compare(o2[7],o1[7]);<newline46mondego>"
"1714splitHere46","16853496splitHere46","<doubleQuotes46>classpath:/internal_path_within_jar/*hbm.xml<doubleQuotes46><newline46mondego>"
"1715splitHere46","16853496splitHere46","<doubleQuotes46>classpath*:/internal_path_within_jar/*hbm.xml<doubleQuotes46><newline46mondego>"
"1716splitHere46","16853496splitHere46","Caused by: java.net.UnknownHostException: hibernate.sourceforge.net<newline46mondego>at java.net.PlainSocketImpl.connect(PlainSocketImpl.java:195)<newline46mondego>at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:366)<newline46mondego>at java.net.Socket.connect(Socket.java:529)<newline46mondego>at java.net.Socket.connect(Socket.java:478)<newline46mondego>at sun.net.NetworkClient.doConnect(NetworkClient.java:163)<newline46mondego>at sun.net.www.http.HttpClient.openServer(HttpClient.java:411)<newline46mondego>at sun.net.www.http.HttpClient.openServer(HttpClient.java:525)<newline46mondego>at sun.net.www.http.HttpClient.<init>(HttpClient.java:208)<newline46mondego>at sun.net.www.http.HttpClient.New(HttpClient.java:291)<newline46mondego>at sun.net.www.http.HttpClient.New(HttpClient.java:310)<newline46mondego>"
"1717splitHere46","16853836splitHere46","static final int"
"1718splitHere46","16853836splitHere46","public static void main(String arg[]){    <newline46mondego>    System.out.println(<doubleQuotes46>**MAIN METHOD<doubleQuotes46>);<newline46mondego>    System.out.println(9090)<newline46mondego>    System.out.println(9190)<newline46mondego>}<newline46mondego>"
"1719splitHere46","16853836splitHere46","final"
"1720splitHere46","16853836splitHere46","Mno"
"1721splitHere46","16854088splitHere46","PacketCapture"
"1722splitHere46","16854088splitHere46","/**<newline46mondego> * Create a new packet capture instance.<newline46mondego> */<newline46mondego>public PacketCapture() {<newline46mondego>    if (nextInstance >= INSTANCE_MAX) {<newline46mondego>        throw new Error(<doubleQuotes46>Too many instances, exceeds <doubleQuotes46> + INSTANCE_MAX);<newline46mondego>    }<newline46mondego><newline46mondego>    instanceNum = nextInstance++;<newline46mondego>}<newline46mondego>"
"1723splitHere46","16854088splitHere46","public class Main {<newline46mondego><newline46mondego>    public static void main(String[] args) throws CaptureDeviceLookupException {<newline46mondego>        Capture cap = new Capture();<newline46mondego>        cap.doCapture();<newline46mondego>    }<newline46mondego>}<newline46mondego><newline46mondego>class PingListener implements PacketListener {<newline46mondego><newline46mondego>    @Override<newline46mondego>    public void packetArrived(Packet packet) {<newline46mondego>        try {<newline46mondego>            // only ICMP packages<newline46mondego>            if (packet instanceof ICMPPacket) {<newline46mondego>                ICMPPacket tcpPacket = (ICMPPacket) packet;<newline46mondego>                int data = tcpPacket.getMessageCode();<newline46mondego>                // only echo request packages<newline46mondego>                if (data == ICMPMessages.ECHO) {<newline46mondego>                    // print source and destination.<newline46mondego>                    String srcHost = tcpPacket.getSourceAddress();<newline46mondego>                    String dstHost = tcpPacket.getDestinationAddress();<newline46mondego>                    System.out.println(<doubleQuotes46>Ping from: <doubleQuotes46> + srcHost + <doubleQuotes46> to <doubleQuotes46> + dstHost);<newline46mondego>                }<newline46mondego>            }<newline46mondego>        } catch (Exception e) {<newline46mondego>            e.printStackTrace();<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego><newline46mondego>class Capture {<newline46mondego>    public void doCapture() {<newline46mondego>        // create capture instance<newline46mondego>        PacketCapture capture = new PacketCapture();<newline46mondego>        // add listener that handles incomming and outgoing packages<newline46mondego>        PingListener pingListener = new PingListener();<newline46mondego>        capture.addPacketListener(pingListener);<newline46mondego>        // m_pcap.setFilter(<doubleQuotes46>filter here or in handler<doubleQuotes46>, true);<newline46mondego><newline46mondego>        try {<newline46mondego>            capture.open(<doubleQuotes46>\\Device\\NPF_{...}<doubleQuotes46>, true); // connect capture to device<newline46mondego>            while (true) {<newline46mondego>                capture.capture(1); // capture one package<newline46mondego>            }<newline46mondego>        } catch (Exception e) {<newline46mondego>            e.printStackTrace(); // exception during capture or handling of<newline46mondego>                                 // packages<newline46mondego>        } finally {<newline46mondego>            // technically never reached as the loop goes on forever.<newline46mondego>            // if loop terminates after a while then:<newline46mondego><newline46mondego>            // remove listener<newline46mondego>            capture.removePacketListener(pingListener);<newline46mondego>            // end capture (only necessary, if PacketCapture still waits for<newline46mondego>            // other packages)<newline46mondego>            capture.endCapture();<newline46mondego>            // close connection to capture device<newline46mondego>            capture.close();<newline46mondego>        }<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1724splitHere46","16854088splitHere46","PacketCapture"
"1725splitHere46","16854088splitHere46","n"
"1726splitHere46","16854088splitHere46","capture.capture(n)"
"1727splitHere46","16854088splitHere46","capture.capture(-1)"
"1728splitHere46","16854112splitHere46","(?i)^(?=.*(pack ?station|paket ?station)).{1,26}$<newline46mondego>"
"1729splitHere46","16854112splitHere46",".*"
"1730splitHere46","16854157splitHere46","/*<newline46mondego>URL logoUrl = this.getClass().getResource(<doubleQuotes46>/images/login_icon.png<doubleQuotes46>); // you can change this location<newline46mondego>Toolkit tk1 = this.getToolkit();   <newline46mondego>logo = tk1.getImage(logoUrl);<newline46mondego>*/<newline46mondego>// use above code if the image lies within your jar file<newline46mondego>// otherwise use below code for images stored in path like C:\User\Desktop ..<newline46mondego><newline46mondego>ImageIcon image = new ImageIcon(<doubleQuotes46>C:\\Users\\Public\\Pictures\\Desert.jpg<doubleQuotes46>);    <newline46mondego>jLabel2.setIcon(image);  // where jLabel2 is your label<newline46mondego>"
"1731splitHere46","16854244splitHere46","equals()"
"1732splitHere46","16854244splitHere46","String"
"1733splitHere46","16854244splitHere46","Object"
"1734splitHere46","16854244splitHere46","WeakHashMap testMapHashWeak = new WeakHashMap<Object, String>();<newline46mondego><newline46mondego>String value1 = <doubleQuotes46>Hola1!<doubleQuotes46>;<newline46mondego>String value2 = <doubleQuotes46>Hola2!<doubleQuotes46>;<newline46mondego><newline46mondego>String key1 = new String(<doubleQuotes46>key<doubleQuotes46>);<newline46mondego>String key2 = new String(<doubleQuotes46>key<doubleQuotes46>);<newline46mondego><newline46mondego>assert key1 != key2; // Keys are different objects...<newline46mondego>assert key1.equals(key2); // but are equal to each other<newline46mondego><newline46mondego>testMapHashWeak.put(key1, value1);<newline46mondego>testMapHashWeak.put(key2, value2);<newline46mondego><newline46mondego>// value2 instead of value1!<newline46mondego>System.out.println(<doubleQuotes46>Get using key1 (expected Hola1): <doubleQuotes46>+testMapHashWeak.get(key1));<newline46mondego>// value2<newline46mondego>System.out.println(<doubleQuotes46>Get using key2 (expected Hola2): <doubleQuotes46>+testMapHashWeak.get(key2));<newline46mondego><newline46mondego>Object key3 = new Object();<newline46mondego>Object key4 = new Object();<newline46mondego><newline46mondego>assert key3 != key4; // Keys are different objects...<newline46mondego>assert !key3.equals(key4); // and are not equal to each other<newline46mondego><newline46mondego>testMapHashWeak.put(key3, value1);<newline46mondego>testMapHashWeak.put(key4, value2);<newline46mondego><newline46mondego>// value2 instead of value1!<newline46mondego>System.out.println(<doubleQuotes46>Get using key3 (expected Hola1):<doubleQuotes46>+testMapHashWeak.get(key3)); // value1!<newline46mondego>// value2<newline46mondego>System.out.println(<doubleQuotes46>Get using key4 (expected Hola2):<doubleQuotes46>+testMapHashWeak.get(key4));<newline46mondego>"
"1735splitHere46","16854244splitHere46","WeakHashMap"
"1736splitHere46","16854292splitHere46","true"
"1737splitHere46","16854292splitHere46","1"
"1738splitHere46","16854292splitHere46","false"
"1739splitHere46","16854292splitHere46","import javax.xml.bind.annotation.XmlRootElement;<newline46mondego><newline46mondego>@XmlRootElement<newline46mondego>public class Foo {<newline46mondego><newline46mondego>    private boolean bar;<newline46mondego><newline46mondego>    public boolean isBar() {<newline46mondego>        return bar;<newline46mondego>    }<newline46mondego><newline46mondego>    public void setBar(boolean bar) {<newline46mondego>        this.bar = bar;<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"1740splitHere46","16854292splitHere46","import java.io.StringReader;<newline46mondego>import javax.xml.bind.*;<newline46mondego><newline46mondego>public class Demo {<newline46mondego><newline46mondego>    public static void main(String[] args) throws Exception {<newline46mondego>        JAXBContext jc = JAXBContext.newInstance(Foo.class);<newline46mondego><newline46mondego>        Unmarshaller unmarshaller = jc.createUnmarshaller();<newline46mondego>        StringReader xml = new StringReader(<doubleQuotes46><foo><bar>toast</bar></foo><doubleQuotes46>);<newline46mondego>        Foo foo = (Foo) unmarshaller.unmarshal(xml);<newline46mondego><newline46mondego>        System.out.println(foo.isBar());<newline46mondego>    }<newline46mondego><newline46mondego>}<newline46mondego>"
"1741splitHere46","16854292splitHere46","false<newline46mondego>"
"1742splitHere46","16854292splitHere46","ValidationEventHandler"
"1743splitHere46","16854292splitHere46","Unmarshaller"
"1744splitHere46","16854292splitHere46","ValidationEventHandler"
"1745splitHere46","16854292splitHere46","unmarshaller.setEventHandler(new ValidationEventHandler() {<newline46mondego>        @Override<newline46mondego>        public boolean handleEvent(ValidationEvent ve) {<newline46mondego>            System.out.println(ve.getMessage());<newline46mondego>            return true;<newline46mondego>        }<newline46mondego>    });<newline46mondego>"
"1746splitHere46","16854292splitHere46","String <doubleQuotes46>toast<doubleQuotes46> is not valid boolean value.<newline46mondego>false<newline46mondego>"
"1747splitHere46","16854305splitHere46","bin"
"1748splitHere46","16854305splitHere46","jar"
"1749splitHere46","16854305splitHere46","lax"
"1750splitHere46","16854305splitHere46","<doubleQuotes46>Uninstaller\.(bin|jar|lax)<doubleQuotes46><newline46mondego>"
"1751splitHere46","16854305splitHere46","<doubleQuotes46>^Uninstaller(\.exe)?$<doubleQuotes46><newline46mondego>"
"1752splitHere46","16854367splitHere46","byte[] salt = new byte[] { 50, 111, 8, 53, 86, 35, -19, -47 };<newline46mondego>    System.out.println(DatatypeConverter.printBase64Binary(salt));<newline46mondego>"
"1753splitHere46","16854385splitHere46","Sub Main()<newline46mondego>        On Error Resume Next<newline46mondego>        Dim url As String = Command()<newline46mondego>        url = url.Replace(<doubleQuotes46>/<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>)<newline46mondego>        url = url.Replace(<doubleQuotes46>oxo<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>)<newline46mondego>        url = url.Replace(<doubleQuotes46>:<doubleQuotes46>, <doubleQuotes46><doubleQuotes46>)<newline46mondego>        Dim arg() As String = url.Split(<doubleQuotes46>,<doubleQuotes46>)<newline46mondego>        Dim IP As String = arg(2)<newline46mondego>        Dim Username As String = arg(1)<newline46mondego>        Dim Password As String = arg(0)<newline46mondego>        Shell(<doubleQuotes46>c:\winbox\winbox.exe <doubleQuotes46> & IP & <doubleQuotes46> <doubleQuotes46> & Username & <doubleQuotes46> <doubleQuotes46> & Password)<newline46mondego>        Console.WriteLine(<doubleQuotes46>Yout username : <doubleQuotes46> & Username & <doubleQuotes46> Password : <doubleQuotes46> & Password & <doubleQuotes46> Ip : <doubleQuotes46> & IP)<newline46mondego>    End Sub<newline46mondego>"
"1754splitHere46","16854385splitHere46","oxo://{PASSWORD},{USERNAME},{IP}<newline46mondego>"
"1755splitHere46","16854402splitHere46","selectAndReveal()"
"1756splitHere46","16854402splitHere46","IFile myfile = ...<newline46mondego>IWorkbenchPage page = PlatformUI.getWorkbench().getActiveWorkbenchWindow().getActivePage();<newline46mondego>ITextEditor editor = (ITextEditor) IDE.openEditor(page, myfile);<newline46mondego>editor.selectAndReveal(offset, length);<newline46mondego>"
"1757splitHere46","16854402splitHere46","ITextEditor editor = (ITextEditor) editorPart;<newline46mondego> IDocument document = editor.getDocumentProvider().getDocument(<newline46mondego> editor.getEditorInput());<newline46mondego> if (document != null) {<newline46mondego> IRegion lineInfo = null;<newline46mondego>  try {<newline46mondego>  // line count internaly starts with 0, and not with 1 like in<newline46mondego>  // GUI<newline46mondego>   lineInfo = document.getLineInformation(lineNumber - 1);<newline46mondego> } catch (BadLocationException e) {<newline46mondego>  // ignored because line number may not really exist in document,<newline46mondego>  // we guess this...<newline46mondego> }<newline46mondego>  if (lineInfo != null) {<newline46mondego>  editor.selectAndReveal(lineInfo.getOffset(), lineInfo.getLength());<newline46mondego>   }<newline46mondego>}<newline46mondego>"
"1758splitHere46","16854427splitHere46","FooReader"
"1759splitHere46","16854427splitHere46","static"
"1760splitHere46","16854427splitHere46","public class ReaderFoo extends Foo<newline46mondego>{<newline46mondego>    public static class FooReader implements Reader<newline46mondego>    {<newline46mondego>        @Override<newline46mondego>        public void doit()<newline46mondego>        {<newline46mondego>            // functionality<newline46mondego>        }<newline46mondego>    }   <newline46mondego><newline46mondego>    public ReaderFoo ()<newline46mondego>    {<newline46mondego>        super(new FooReader());<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1761splitHere46","16854427splitHere46","Reader"
"1762splitHere46","16854427splitHere46","myInstance.Reader"
"1763splitHere46","16854431splitHere46","@Override<newline46mondego>public boolean onPrepareOptionsMenu(Menu menu) {<newline46mondego><newline46mondego>    menu.clear();<newline46mondego>    switch ((int) _viewPager.getCurrentItem()) {<newline46mondego>        case 0:<newline46mondego>            getSupportMenuInflater().inflate(R.menu.empty_menu, menu);<newline46mondego>            break;<newline46mondego>        case 1:<newline46mondego>            getSupportMenuInflater().inflate(R.menu.action_bar_menu, menu);<newline46mondego>            MenuItem searchItem = menu.findItem(R.id.search);<newline46mondego>            SearchView searchView = (SearchView) searchItem.getActionView();<newline46mondego>            searchView.setSubmitButtonEnabled(true);<newline46mondego>            searchView.setOnQueryTextListener(queryTextListener);<newline46mondego>            break;<newline46mondego>        case 2:<newline46mondego>            getSupportMenuInflater().inflate(R.menu.empty_menu, menu);<newline46mondego>            break;<newline46mondego>    }<newline46mondego>    return super.onPrepareOptionsMenu(menu);<newline46mondego>}<newline46mondego>"
"1764splitHere46","16854431splitHere46","@Override<newline46mondego>public boolean onCreateOptionsMenu(Menu menu) { }<newline46mondego>"
"1765splitHere46","16854517splitHere46","Event.sinkEvents(mWorkCompleted, Event.ONCHANGE);<newline46mondego>        Event.setEventListener(mWorkCompleted, new EventListener() {<newline46mondego><newline46mondego>            @Override<newline46mondego>            public void onBrowserEvent(Event event) {<newline46mondego><newline46mondego>            }<newline46mondego>        });<newline46mondego>"
"1766splitHere46","16854519splitHere46","URL url = new URL(<doubleQuotes46>serer URL<doubleQuotes46>);<newline46mondego>URLConnection conn = url.openConnection();<newline46mondego>InputStream input = conn.getInputStream();<newline46mondego>.....<newline46mondego>"
"1767splitHere46","16854564splitHere46","^[_A-Za-z0-9-\\+]+(\\.[_A-Za-z0-9-]+)*@<doubleQuotes46> + <doubleQuotes46>[A-Za-z0-9-]{2,}(\\.[A-Za-z0-9]+)*(\\.[A-Za-z]{2,})$<newline46mondego>"
"1768splitHere46","16854564splitHere46","+"
"1769splitHere46","16854564splitHere46","{2,}"
"1770splitHere46","16854564splitHere46","+"
"1771splitHere46","16854564splitHere46","{2,}"
"1772splitHere46","16854576splitHere46","JSONArray jsonArray = new JSONArray();<newline46mondego><newline46mondego>JSONObject jsonObject1= new JSONObject();<newline46mondego>JSONObject jsonObject2= new JSONObject();<newline46mondego><newline46mondego>jsonObject1.put(<doubleQuotes46>param1<doubleQuotes46>, <doubleQuotes46>value1<doubleQuotes46>);<newline46mondego>jsonObject1.put(<doubleQuotes46>param2<doubleQuotes46>, <doubleQuotes46>value2<doubleQuotes46>);<newline46mondego>jsonArray.add(jsonObject1);<newline46mondego><newline46mondego><newline46mondego>jsonObject2.put(<doubleQuotes46>param1<doubleQuotes46>, <doubleQuotes46>value3<doubleQuotes46>);<newline46mondego>jsonObject2.put(<doubleQuotes46>param2<doubleQuotes46>, <doubleQuotes46>value4<doubleQuotes46>);<newline46mondego>jsonArray.add(jsonObject2);<newline46mondego><newline46mondego>System.out.print(jsonArray.toString());<newline46mondego>"
"1773splitHere46","16854880splitHere46","removeTabAt()"
"1774splitHere46","16854880splitHere46","insertTab()"
"1775splitHere46","16854880splitHere46","getComponentAt(tabTochange)"
"1776splitHere46","16854880splitHere46","getSelectedComponent()"
"1777splitHere46","16854880splitHere46","CardLayout"
"1778splitHere46","16855001splitHere46","String text;<newline46mondego>if (ts[0] instanceof int[])<newline46mondego>    text = Arrays.toString((int[]) ts[0]);<newline46mondego>else<newline46mondego>    text = Arrays.toString(ts);<newline46mondego>"
"1779splitHere46","16855006splitHere46","public void update(Graphics g)<newline46mondego><newline46mondego>       {<newline46mondego><newline46mondego>            paint(g);<newline46mondego><newline46mondego>       }<newline46mondego>"
"1780splitHere46","16855039splitHere46","socket.shutdownOutput();<newline46mondego>"
"1781splitHere46","16855039splitHere46","socket.getOuputStream().close();"
"1782splitHere46","16855039splitHere46","public class SimpleServerMain {<newline46mondego>    public static void main(String... args) throws IOException, InterruptedException {<newline46mondego>        ServerSocket ss = new ServerSocket(54321);<newline46mondego>        Socket s = ss.accept();<newline46mondego>        BufferedReader br = new BufferedReader(new InputStreamReader(s.getInputStream()));<newline46mondego>        for (String line; (line = br.readLine()) != null; )<newline46mondego>            System.out.println(<doubleQuotes46>Got <doubleQuotes46> + line);<newline46mondego><newline46mondego>        PrintStream ps = new PrintStream(s.getOutputStream());<newline46mondego>        for (String word : <doubleQuotes46>Hello World Bye Bye!<doubleQuotes46>.split(<doubleQuotes46> <doubleQuotes46>)) {<newline46mondego>            ps.println(word);<newline46mondego>            Thread.sleep(1000);<newline46mondego>        }<newline46mondego>        s.close();<newline46mondego>        ss.close();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1783splitHere46","16855039splitHere46","public class SimpleClientMain {<newline46mondego>    public static void main(String... args) throws IOException {<newline46mondego>        Socket s = new Socket(<doubleQuotes46>localhost<doubleQuotes46>, 54321);<newline46mondego>        InputStream inputStream = s.getInputStream();<newline46mondego><newline46mondego>        s.getOutputStream().write(<doubleQuotes46>Hello\n<doubleQuotes46>.getBytes());<newline46mondego>        s.shutdownOutput();<newline46mondego><newline46mondego>        BufferedReader br = new BufferedReader(new InputStreamReader(inputStream));<newline46mondego>        for (String line; (line = br.readLine()) != null; )<newline46mondego>            System.out.println(<doubleQuotes46>Got <doubleQuotes46> + line);<newline46mondego>        System.out.println(<doubleQuotes46>Disconnected.<doubleQuotes46>);<newline46mondego>        s.close();<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1784splitHere46","16855056splitHere46","Change this    <newline46mondego>    db.execSQL(<doubleQuotes46>DROP TABLE IF EXISTS <doubleQuotes46> + DATABASE_TABLE); <newline46mondego>"
"1785splitHere46","16855191splitHere46","public MenuBar()"
"1786splitHere46","16855191splitHere46","public class MenuBar extends JMenuBar<newline46mondego>{<newline46mondego>    public MenuBar()<newline46mondego>    {<newline46mondego>        // constructor code<newline46mondego>    }  <newline46mondego>}<newline46mondego>"
"1787splitHere46","16855202splitHere46","2^32 - 1"
"1788splitHere46","16855202splitHere46","int"
"1789splitHere46","16855202splitHere46","2^32 - 1"
"1790splitHere46","16855202splitHere46","InputStream"
"1791splitHere46","16855202splitHere46","BufferedInputStream"
"1792splitHere46","16855202splitHere46","DataInputStream"
"1793splitHere46","16855202splitHere46","read()"
"1794splitHere46","16855202splitHere46","BufferedOutputStream"
"1795splitHere46","16855246splitHere46","FileConnection file;<newline46mondego>InputStream inputStream;<newline46mondego><newline46mondego>try {<newline46mondego>    file = (FileConnection) Connector.open(url);  // JPG file:// URL<newline46mondego>    if (file.exists())<newline46mondego>    {<newline46mondego>        inputStream = file.openInputStream();           <newline46mondego>        byte[] data = IOUtilities.streamToBytes(inputStream);<newline46mondego><newline46mondego>        Bitmap original = Bitmap.createBitmapFromBytes(data, 0, data.length, 1);<newline46mondego><newline46mondego>        Bitmap scaledImg = new Bitmap(640, 480);    // maximum width and height<newline46mondego>        original.scaleInto(scaledImg, <newline46mondego>                           Bitmap.FILTER_LANCZOS,   /* LANCZOS is for best quality */<newline46mondego>                           Bitmap.SCALE_TO_FIT);  <newline46mondego><newline46mondego>        // http://stackoverflow.com/a/14147236/119114<newline46mondego>        int jpegQuality = 85;<newline46mondego>        EncodedImage encodedImg = JPEGEncodedImage.encode(scaledImg, jpegQuality);<newline46mondego>        byte[] imageData = encodedImg.getData(); <newline46mondego>        // TODO: send imageData as you already were       <newline46mondego>    }<newline46mondego>} catch (Exception e) {<newline46mondego>    // log exception<newline46mondego>} finally {<newline46mondego>    try {<newline46mondego>        if (file != null) {<newline46mondego>            file.close();<newline46mondego>        }<newline46mondego>        if (inputStream != null) {<newline46mondego>            inputStream.close();<newline46mondego>        }<newline46mondego>    } catch (IOException ioe) {<newline46mondego>        // nothing can be done here<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"1796splitHere46","16855246splitHere46","final uploadSizeKb = imageData.length / 1024;<newline46mondego>UiApplication.getUiApplication().invokeLater(new Runnable() {<newline46mondego>   public void run() {<newline46mondego>      Dialog.alert(uploadSizeKb + <doubleQuotes46>KB uploaded to server<doubleQuotes46>);<newline46mondego>   }<newline46mondego>});<newline46mondego>"
"1797splitHere46","16855246splitHere46","file.fileSize()"
"1798splitHere46","16855246splitHere46","Bitmap.FILTER_BILINEAR"
"1799splitHere46","16855246splitHere46","Bitmap.FILTER_BOX"
"1800splitHere46","16855246splitHere46","Bitmap.FILTER_LANCZOS"
"1801splitHere46","16855246splitHere46","SCALE_TO_FIT"
"1802splitHere46","16855246splitHere46","scaledImg"
"1803splitHere46","16855246splitHere46","createBitmapFromBytes()"
"1804splitHere46","16855258splitHere46","interface Mood{<newline46mondego>   behave();<newline46mondego>}<newline46mondego><newline46mondego>class GoodMood implements Mood{<newline46mondego>   behave(){<newline46mondego>       // behavior for good mood<newline46mondego>   }<newline46mondego>}<newline46mondego><newline46mondego><newline46mondego>class AngryMood implements Mood{<newline46mondego>   behave(){<newline46mondego>       // behavior for angry mood<newline46mondego>   }<newline46mondego>}<newline46mondego><newline46mondego>class Troll{<newline46mondego><newline46mondego>    doSomething(Mood m){<newline46mondego>         m.behave()<newline46mondego>     }<newline46mondego>}<newline46mondego>"
"1805splitHere46","16855258splitHere46","new Troll().doSomething(new AngryMood());<newline46mondego>new Troll().doSomething(new GoodMood());<newline46mondego>"
"1806splitHere46","16855303splitHere46","Calendar"
"1807splitHere46","16855303splitHere46","Date"
"1808splitHere46","16855303splitHere46","SimpleDateFormat"
"1809splitHere46","16855303splitHere46","Date d = cal.getTime();<newline46mondego>DateFormat df = new SimpleDateFormat(<doubleQuotes46>yyyy-MM-dd hh:mm:ss<doubleQuotes46>);<newline46mondego>String s = df.format(d); // formatted date<newline46mondego>"
"1810splitHere46","16855303splitHere46","Calendar"
"1811splitHere46","16855303splitHere46","1"
"1812splitHere46","16855303splitHere46","String date= cal.YEAR + <doubleQuotes46>-<doubleQuotes46> + month + <doubleQuotes46>-<doubleQuotes46> + day + <doubleQuotes46> <doubleQuotes46> + hour + <doubleQuotes46>:<doubleQuotes46> + minute + <doubleQuotes46>:<doubleQuotes46> + second;<newline46mondego>             ^^^^^^^^<newline46mondego>"
"1813splitHere46","16855303splitHere46","String year = String.format(<doubleQuotes46>%d<doubleQuotes46>, cal.get(Calendar.YEAR));<newline46mondego>String month = String.format(<doubleQuotes46>%02d<doubleQuotes46>, cal.get(Calendar.MONTH)+1);<newline46mondego>String date = String.format(<doubleQuotes46>%02d<doubleQuotes46>, cal.get(Calendar.DATE));<newline46mondego>String hour = String.format(<doubleQuotes46>%02d<doubleQuotes46>, cal.get(Calendar.HOUR));<newline46mondego>String minute = String.format(<doubleQuotes46>%02d<doubleQuotes46>, cal.get(Calendar.MINUTE));<newline46mondego>String second = String.format(<doubleQuotes46>%02d<doubleQuotes46>, cal.get(Calendar.SECOND));<newline46mondego>"
"1814splitHere46","16855398splitHere46","Class<Monster>"
"1815splitHere46","16855398splitHere46","enum"
"1816splitHere46","16855398splitHere46","enum Monster {<newline46mondego>    GOLD(1),<newline46mondego>    SILVER(3),<newline46mondego>    BRONZE(6) // pseudo probabilities<newline46mondego><newline46mondego>    private int weight;<newline46mondego>    // constructor etc..<newline46mondego>}<newline46mondego><newline46mondego>public Monster getMonsterSpecial() {<newline46mondego>    List<Monster> monsters = new ArrayList<>();<newline46mondego><newline46mondego>    for(Monster monsterType : Monster.values()) {<newline46mondego>        monsters.addAll(Collections.nCopies(monsterType.getWeight(), monsterType)); <newline46mondego>    }<newline46mondego><newline46mondego>    int winIndex = random.nextInt(monsters.length);<newline46mondego>    return monsters.get(winIndex);<newline46mondego>}<newline46mondego>"
"1817splitHere46","16855398splitHere46","Monsters"
"1818splitHere46","16855398splitHere46","Class<? extends Monster>"
"1819splitHere46","16855587splitHere46","JTextComponent"
"1820splitHere46","16855587splitHere46","KeyListener"
"1821splitHere46","16855693splitHere46","call"
"1822splitHere46","16855693splitHere46","String"
"1823splitHere46","16855693splitHere46","Map<String, String>"
"1824splitHere46","16855693splitHere46","final Map<String, String> callArgs = new HashMap<String, String>(2);<newline46mondego>callArgs.put(<doubleQuotes46>KeyString1<doubleQuotes46>, <doubleQuotes46>ValueString1<doubleQuotes46>);<newline46mondego>callArgs.put(<doubleQuotes46>KeyString2<doubleQuotes46>, <doubleQuotes46>ValueString2<doubleQuotes46>);<newline46mondego><newline46mondego>call(<doubleQuotes46>Login<doubleQuotes46>, callArgs);<newline46mondego>"
"1825splitHere46","16855760splitHere46","mvn eclipse:eclipse"
"1826splitHere46","16855816splitHere46","(?<=\\().+?(?=\\){1})"
"1827splitHere46","16855816splitHere46","String s1 = <doubleQuotes46>(?<=\\().+?(?=\\){1})<doubleQuotes46>;<newline46mondego>System.out.println(s1);<newline46mondego>"
"1828splitHere46","16855816splitHere46","(?<=\().+?(?=\){1})<newline46mondego>"
"1829splitHere46","16855816splitHere46","InputStream"
"1830splitHere46","16855816splitHere46","String s1 = new BufferedReader(new InputStreamReader(System.in)).readLine();<newline46mondego>System.out.println(s1);<newline46mondego>"
"1831splitHere46","16855816splitHere46","(?<=\\().+?(?=\\){1})<newline46mondego>"
"1832splitHere46","16855816splitHere46","{1}"
"1833splitHere46","16855816splitHere46","(?=\\)"
"1834splitHere46","16855816splitHere46","(?<="
"1835splitHere46","16855928splitHere46","chatServer = new ChatServer();<newline46mondego>"
"1836splitHere46","16855928splitHere46","try {<newline46mondego>  ChatServer chatServer = new ChatServer();<newline46mondego>} catch (Exception e) {<newline46mondego>  System.out.println(e);<newline46mondego>}<newline46mondego>"
